    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1 161.1
0.625 -19.03 -15.02 -7 -21 -13.06 -13.06 -2.045 11.96 -5.034 -9.045 11.96 28 21.94 3.933 9.989 11.96
0.63 -23.04 -17.07 -7 -28 -16.04 -10.07 0 7 -7 -15.02 14 24.93 21.94 0.9438 18.96 16.99
0.635 -23.04 -17.07 -3.067 -28 -17.07 -8.022 5.978 7 -5.034 -15.02 21 22.97 18.96 2.989 31.93 19.98
0.64 -27.06 -9.045 0.9438 -21 -15.02 -5.034 5.978 7.944 -1.022 -9.045 28 19.98 15.97 9.989 42 19.98
0.645 -26.03 -5.034 0.9438 -14 -17.07 -2.045 1.966 7 0 -3.067 29.97 14.94 14.94 17.93 37.99 14
0.65 -26.03 -3.067 -3.067 -15.02 -21 -2.045 -3.067 1.966 1.966 -3.067 19.98 2.989 8.966 14 14.94 -1.022
0.655 -23.04 -3.067 -7 -17.07 -27.06 -11.01 -13.06 -15.02 -2.045 -9.045 0 -7 0 0 -11.01 -13.06
0.66 -16.04 -3.067 -11.01 -23.04 -31.07 -17.07 -21 -35 -7 -19.03 -10.07 -23.04 -7 -11.01 -26.03 -26.03
0.665 -14 -1.022 -13.06 -27.06 -33.03 -23.04 -25.01 -51.04 -19.03 -25.01 -16.04 -29.02 -17.07 -25.01 -30.04 -32.01
0.67 -17.07 -1.022 -13.06 -29.02 -35 -29.02 -29.02 -63 -35 -29.02 -13.06 -33.03 -27.06 -29.02 -27.06 -35
0.675 -21 -1.022 -11.01 -29.02 -35 -31.07 -31.07 -67.01 -47.03 -29.02 -8.022 -37.04 -35 -25.01 -22.02 -32.01
0.68 -23.04 0.9438 -11.01 -31.07 -35 -31.07 -35 -65.04 -53.01 -25.01 -6.056 -39.01 -39.01 -17.07 -27.06 -30.04
0.685 -23.04 -1.022 -11.01 -33.03 -35 -27.06 -39.01 -57.02 -51.04 -19.03 -9.045 -41.06 -39.01 -13.06 -35 -29.02
0.69 -23.04 -5.034 -11.01 -33.03 -31.07 -19.03 -37.04 -47.03 -41.06 -13.06 -15.02 -39.01 -31.07 -13.06 -43.02 -25.01
0.695 -19.03 -7 -9.045 -31.07 -25.01 -9.045 -31.07 -37.04 -29.02 -5.034 -21 -35 -21 -13.06 -43.02 -19.03
0.7 -17.07 -7 -7 -25.01 -17.07 -1.022 -21 -29.02 -17.07 -2.045 -23.04 -29.02 -7 -5.034 -33.03 -7
