    T[sec]  F7  F3   F  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1
0.833333 -11.04 -29.02 -41.04 -24.04 -8.012 -2.052 -38.01 -23.06 -30.09 13.97 14.95 -9.086 -2.052 53.93 0.977 35.96
0.84 0.977 -22.08 -29.02 -15.05 -4.006 27.94 -14.07 0 -12.02 30 51.98 21.98 11.92 69.96 30.97 59.99
0.846667 15.93 -1.075 -18.08 -1.075 -6.058 43.97 19.93 16.9 2.931 28.92 79.92 52.96 28.92 76.99 56.96 81
0.853333 6.937 11.92 -12.02 0 -15.05 39.96 37.91 16.9 10.94 11.92 77.97 59.99 30.97 58.92 64.97 77.97
0.86 -8.012 7.914 -21.01 -8.012 -21.01 15.93 30 3.908 0 -6.058 58.92 44.94 18.95 31.95 44.94 52.96
0.866667 -18.08 -1.075 -22.08 -18.08 -25.01 7.914 0 -1.075 -12.02 -11.04 37.91 31.95 0.977 6.937 22.96 23.94
0.873333 -3.029 -5.081 -12.02 -11.04 -16.02 11.92 -1.075 10.94 -12.02 -4.006 33.9 30.97 -6.058 -6.058 14.95 2.931
0.88 24.91 12.99 15.93 9.966 -1.075 30 26.97 47 2.931 9.966 35.96 45.92 -11.04 -19.05 26.97 -5.081
0.886667 49.93 55.98 51.98 40.94 24.91 35.96 72.98 87.93 38.98 23.94 24.91 57.94 -6.058 -23.06 32.93 -9.086
0.893333 47.97 74.94 67.9 59.99 39.96 22.96 96.92 104.9 68.98 24.91 -12.02 44.94 -5.081 -36.05 8.989 -23.06
0.9 20.91 62.92 50.9 51.98 36.93 -5.081 75.92 81 74.94 15.93 -71.03 4.983 -14.07 -52.08 -29.02 -46.02
0.906667 0 37.91 24.91 30.97 10.94 -28.04 33.9 40.94 51.98 0.977 -124.1 -38.01 -34 -62.04 -73.08 -67.02
0.913333 -8.012 22.96 6.937 10.94 -7.035 -33.02 0.977 0.977 17.98 -11.04 -148 -76.01 -59.01 -68 -103.1 -74.06
0.92 -7.035 13.97 0.977 -2.052 -21.01 -29.02 -15.05 -25.01 -9.086 -23.06 -125.1 -91.06 -77.09 -59.01 -101 -69.08
0.926667 -7.035 0.977 -4.006 -1.075 -16.02 -12.02 -26.09 -31.07 -19.05 -19.05 -64.09 -75.04 -69.08 -30.09 -71.03 -41.04
0.933333 -19.05 -21.01 -21.01 -10.06 -14.07 1.954 -36.05 -37.03 -15.05 -13.09 1.954 -40.06 -53.05 0 -13.09 -2.052
0.94 -36.05 -47.09 -45.04 -26.09 -22.08 3.908 -40.06 -41.04 -11.04 -1.075 53.93 -11.04 -29.02 22.96 32.93 28.92
0.946667 -41.04 -61.06 -61.06 -42.01 -31.07 11.92 -36.05 -48.07 -17 0 79.92 6.937 -14.07 33.9 58.92 50.9
0.953333 -38.01 -63.02 -63.02 -59.01 -32.05 10.94 -34 -58.04 -27.06 3.908 79.92 14.95 -9.086 32.93 52.96 51.98
0.96 -20.03 -57.06 -61.06 -65.07 -22.08 14.95 -36.05 -65.07 -39.08 5.96 65.95 14.95 -13.09 20.91 34.98 37.91
0.966667 0 -47.09 -49.05 -55.01 -7.035 22.96 -33.02 -56.08 -41.04 6.937 60.97 19.93 -18.08 10.94 28.92 26.97
0.973333 20.91 -23.06 -24.04 -29.02 2.931 30 -11.04 -27.06 -31.07 10.94 52.96 24.91 -14.07 0 30.97 12.99
0.98 31.95 7.914 7.914 1.954 11.92 17.98 19.93 5.96 -11.04 11.92 27.94 25.99 -7.035 -11.04 22.96 0.977
0.986667 23.94 39.96 41.91 31.95 21.98 -1.075 51.98 47.97 9.966 17.98 -9.086 17.98 1.954 -23.06 -1.075 -17
0.993333 -1.075 47.97 50.9 45.92 28.92 -34 53.93 64 34.98 20.91 -62.04 1.954 10.94 -36.05 -39.08 -42.01
1 -19.05 33.9 35.96 41.91 30 -60.09 33.9 52.96 47.97 15.93 -109 -27.06 5.96 -56.08 -67.02 -69.08
1.00667 -17 19.93 21.98 30 24.91 -61.06 11.92 36.93 50.9 5.96 -134 -50.02 -2.052 -75.04 -79.04 -86.08
1.01333 1.954 19.93 17.98 19.93 10.94 -45.04 7.914 20.91 40.94 -11.04 -142.1 -56.08 -24.04 -87.05 -79.04 -92.04
1.02 15.93 27.94 19.93 9.966 -7.035 -18.08 18.95 13.97 22.96 -31.07 -123 -44.06 -40.06 -80.02 -73.08 -84.03
1.02667 25.99 31.95 23.94 2.931 -26.09 6.937 32.93 13.97 3.908 -29.02 -76.01 -21.01 -43.09 -50.02 -55.01 -53.05
1.03333 19.93 17.98 11.92 -13.09 -35.08 28.92 31.95 1.954 -4.006 -15.05 -11.04 2.931 -30.09 -7.035 -29.02 -10.06
1.04 3.908 0 -6.058 -34 -31.07 39.96 23.94 -9.086 -13.09 1.954 42.99 23.94 -9.086 28.92 4.983 25.99
1.04667 -3.029 -21.01 -25.01 -49.05 -23.06 37.91 5.96 -25.01 -13.09 11.92 83.93 37.91 3.908 61.94 44.94 61.94
1.05333 -13.09 -32.05 -34 -55.01 -16.02 30.97 -9.086 -42.01 -10.06 16.9 101.9 42.99 9.966 74.94 72.98 81.97
1.06 -19.05 -42.01 -42.01 -46.02 -13.09 17.98 -26.09 -60.09 -18.08 12.99 99.95 32.93 6.937 71.91 76.99 82.95
1.06667 -19.05 -51 -46.02 -40.06 -13.09 14.95 -44.06 -71.03 -28.04 6.937 86.96 20.91 0.977 59.99 62.92 70.93
1.07333 -22.08 -55.01 -45.04 -30.09 -12.02 8.989 -46.02 -67.02 -31.07 1.954 78.94 14.95 0.977 38.98 47 51.98
1.08 -14.07 -39.08 -24.04 -13.09 -2.052 7.914 -29.02 -42.01 -22.08 -2.052 71.91 12.99 -1.075 10.94 40.94 34.98
1.08667 -1.075 -3.029 6.937 8.989 7.914 11.92 1.954 0.977 -2.052 -2.052 61.94 18.95 5.96 -5.081 38.98 19.93
1.09333 7.914 28.92 36.93 33.9 14.95 2.931 28.92 27.94 14.95 8.989 19.93 14.95 3.908 -23.06 22.96 -2.052
1.1 9.966 47 42.99 50.9 16.9 -9.086 39.96 32.93 25.99 12.99 -43.09 -4.006 -5.081 -48.07 -23.06 -39.08
1.10667 8.989 45.92 33.9 42.99 9.966 -18.08 31.95 22.96 25.99 6.937 -110 -37.03 -21.01 -64.09 -87.05 -82.07
1.11333 5.96 34.98 16.9 30.97 0.977 -17 23.94 6.937 13.97 -6.058 -145.1 -56.08 -39.08 -76.01 -129.1 -115.1
1.12 11.92 32.93 10.94 19.93 -8.012 0 26.97 1.954 4.983 -22.08 -131 -54.03 -47.09 -67.02 -123 -113
1.12667 13.97 33.9 12.99 16.9 -13.09 19.93 35.96 7.914 -1.075 -21.01 -73.08 -28.04 -33.02 -37.03 -77.09 -75.04
1.13333 14.95 33.9 14.95 15.93 -16.02 33.9 33.9 10.94 4.983 -4.006 -9.086 1.954 -10.06 1.954 -13.09 -22.08
1.14 8.989 23.94 5.96 10.94 -8.012 38.98 22.96 3.908 11.92 9.966 38.98 24.91 11.92 28.92 26.97 19.93
1.14667 1.954 1.954 -4.006 2.931 0.977 38.98 4.983 -5.081 22.96 24.91 64.97 38.98 32.93 53.93 52.96 54.91
1.15333 -7.035 -22.08 -28.04 -12.02 0.977 31.95 -8.012 -28.04 22.96 22.96 69.96 38.98 34.98 64 56.96 72.98
1.16 -21.01 -42.01 -52.08 -35.08 -12.02 14.95 -27.06 -58.04 2.931 8.989 61.94 20.91 17.98 60.97 60.97 71.91
1.16667 -35.08 -51 -65.07 -49.05 -23.06 0.977 -39.08 -79.04 -27.06 0.977 57.94 -2.052 0 47.97 58.92 65.95
1.17333 -49.05 -44.06 -58.04 -44.06 -23.06 -15.05 -43.09 -83.05 -53.05 -4.006 48.95 -15.05 -5.081 30.97 50.9 45.92
1.18 -55.01 -33.02 -41.04 -27.06 -15.05 -24.04 -41.04 -69.08 -54.03 0.977 27.94 -22.08 -10.06 5.96 24.91 16.9
1.18667 -49.05 -23.06 -23.06 -10.06 -8.012 -20.03 -28.04 -37.03 -35.08 1.954 2.931 -21.01 -3.029 -2.052 0.977 -3.029
1.19333 -41.04 -9.086 -13.09 -1.075 -1.075 -16.02 -12.02 -19.05 -6.058 1.954 -13.09 -16.02 0.977 -10.06 -17 -10.06
1.2 -27.06 0 -5.081 1.954 1.954 -19.05 -1.075 -8.012 2.931 0 -30.09 -14.07 2.931 -13.09 -15.05 -10.06
1.20667 -19.05 7.914 -1.075 7.914 0.977 -23.06 -2.052 -4.006 0.977 -1.075 -50.02 -16.02 1.954 -11.04 -19.05 -10.06
1.21333 -15.05 7.914 -2.052 7.914 0.977 -26.09 -5.081 -6.058 -1.075 -15.05 -79.04 -37.03 -23.06 -24.04 -51 -41.04
1.22 -6.058 1.954 4.983 0 -8.012 -28.04 -11.04 -3.029 -8.012 -28.04 -100 -56.08 -48.07 -50.02 -95.07 -84.03
1.22667 -5.081 -2.052 3.908 -3.029 -19.05 -23.06 -11.04 -1.075 -11.04 -35.08 -103.1 -71.03 -61.06 -63.02 -119 -113
1.23333 -11.04 -2.052 -2.052 -3.029 -15.05 -17 -7.035 -3.029 -7.035 -21.01 -83.05 -69.08 -45.04 -51 -107.1 -103.1
1.24 -15.05 1.954 0.977 3.908 1.954 -5.081 -1.075 -1.075 -1.075 5.96 -49.05 -43.09 -6.058 -14.07 -69.08 -58.04
1.24667 -3.029 7.914 3.908 13.97 30 13.97 5.96 13.97 15.93 41.91 -13.09 0.977 37.91 25.99 -21.01 -1.075
1.25333 11.92 15.93 17.98 20.91 39.96 35.96 26.97 27.94 40.94 59.99 7.914 37.91 70.93 56.96 16.9 40.94
1.26 23.94 17.98 19.93 16.9 27.94 41.91 38.98 25.99 48.95 51.98 25.99 57.94 74.94 62.92 38.98 64.97
1.26667 19.93 5.96 5.96 2.931 7.914 33.9 26.97 -2.052 34.98 37.91 41.91 45.92 56.96 56.96 44.94 69.96
1.27333 -2.052 -7.035 -10.06 -8.012 -1.075 12.99 -4.006 -30.09 6.937 24.91 52.96 17.98 25.99 43.97 38.98 54.91
1.28 -15.05 -17 -17 -20.03 -5.081 0 -30.09 -47.09 -12.02 11.92 53.93 0.977 4.983 30.97 34.98 35.96
1.28667 -19.05 -13.09 -6.058 -15.05 -2.052 2.931 -32.05 -30.09 -16.02 6.937 47 1.954 1.954 19.93 34.98 25.99
1.29333 -19.05 -5.081 -2.052 -3.029 -7.035 5.96 -19.05 -13.09 -5.081 -5.081 25.99 3.908 5.96 1.954 26.97 13.97
1.3 -17 0.977 1.954 4.983 -12.02 7.914 -3.029 -7.035 -1.075 -17 11.92 8.989 5.96 -10.06 16.9 6.937
1.30667 -1.075 0.977 -4.006 6.937 -15.05 10.94 1.954 -4.006 -4.006 -26.09 6.937 7.914 1.954 -16.02 8.989 0
1.31333 9.966 0 -3.029 2.931 -16.02 16.9 6.937 -4.006 -15.05 -27.06 10.94 0.977 -16.02 -18.08 4.983 -9.086
1.32 9.966 0 0 -1.075 -24.04 15.93 10.94 -2.052 -22.08 -25.01 10.94 -6.058 -33.02 -18.08 -1.075 -26.09
1.32667 -7.035 -1.075 -1.075 -7.035 -33.02 6.937 2.931 -2.052 -19.05 -18.08 2.931 -17 -34 -15.05 -13.09 -38.01
1.33333 -38.01 -14.07 -16.02 -18.08 -42.01 -7.035 -10.06 -13.09 -13.09 -16.02 -11.04 -32.05 -27.06 -11.04 -29.02 -36.05
1.34 -49.05 -25.01 -30.09 -20.03 -29.02 -17 -19.05 -15.05 -11.04 -2.052 -21.01 -31.07 -7.035 -2.052 -33.02 -22.08
1.34667 -27.06 -13.09 -15.05 -8.012 -3.029 -4.006 -8.012 3.908 -5.081 16.9 -27.06 -14.07 15.93 14.95 -21.01 1.954
1.35333 2.931 4.983 15.93 8.989 20.91 13.97 13.97 43.97 11.92 38.98 -27.06 4.983 32.93 32.93 -5.081 13.97
1.36 27.94 31.95 43.97 28.92 37.91 22.96 40.94 64 39.96 44.94 -29.02 16.9 30 36.93 0.977 18.95
1.36667 19.93 37.91 48.95 32.93 33.9 19.93 49.93 59.99 55.98 34.98 -19.05 17.98 19.93 28.92 0.977 16.9
1.37333 0 26.97 22.96 16.9 12.99 3.908 32.93 17.98 41.91 14.95 -11.04 2.931 3.908 11.92 -3.029 8.989
1.38 -25.01 5.96 -4.006 -3.029 1.954 -8.012 0.977 -14.07 11.92 -1.075 0 -5.081 0 -1.075 -3.029 1.954
1.38667 -25.01 -3.029 -17 -21.01 1.954 -9.086 -16.02 -24.04 -8.012 0.977 2.931 -14.07 -5.081 -10.06 -3.029 -12.02
1.39333 -5.081 -3.029 -7.035 -16.02 2.931 1.954 -16.02 -14.07 -9.086 0 10.94 -8.012 0 -14.07 -1.075 -13.09
1.4 7.914 0 2.931 1.954 7.914 8.989 1.954 0 -1.075 4.983 24.91 3.908 0.977 -10.06 10.94 -7.035
1.40667 5.96 5.96 11.92 8.989 6.937 17.98 13.97 -3.029 8.989 1.954 35.96 16.9 0 -4.006 22.96 0.977
1.41333 -7.035 3.908 3.908 7.914 -1.075 9.966 5.96 -19.05 1.954 -9.086 30 5.96 -5.081 -5.081 20.91 1.954
1.42 -21.01 -2.052 -1.075 -2.052 -16.02 0.977 -6.058 -28.04 -6.058 -26.09 12.99 -6.058 -21.01 -13.09 6.937 -5.081
1.42667 -9.086 0.977 -2.052 -2.052 -29.02 1.954 -10.06 -19.05 -16.02 -39.08 -2.052 -15.05 -32.05 -22.08 -7.035 -17
1.43333 5.96 -2.052 0 -8.012 -37.03 14.95 0.977 -4.006 -18.08 -38.01 -2.052 -5.081 -33.02 -29.02 -13.09 -22.08
1.44 9.966 0.977 -11.04 -12.02 -33.02 23.94 20.91 -1.075 -16.02 -25.01 -3.029 5.96 -20.03 -18.08 -7.035 -13.09
1.44667 0 -7.035 -23.06 -18.08 -13.09 23.94 16.9 -5.081 -16.02 0.977 -9.086 7.914 -6.058 0 -3.029 -4.006
1.45333 -15.05 -19.05 -31.07 -20.03 1.954 3.908 1.954 -9.086 -14.07 15.93 -27.06 -11.04 -1.075 6.937 -17 -10.06
1.46 -23.06 -29.02 -31.07 -23.06 15.93 -17 -21.01 -9.086 -7.035 21.98 -39.08 -39.08 0.977 5.96 -39.08 -25.01
1.46667 -31.07 -37.03 -33.02 -23.06 15.93 -25.01 -31.07 -3.029 -1.075 17.98 -35.08 -51 -8.012 2.931 -53.05 -32.05
1.47333 -47.09 -45.04 -41.04 -29.02 3.908 -25.01 -35.08 -11.04 -2.052 3.908 -15.05 -43.09 -21.01 -3.029 -43.09 -37.03
1.48 -63.02 -55.01 -51 -35.08 -5.081 -15.05 -37.03 -27.06 -13.09 -9.086 9.966 -25.01 -29.02 -9.086 -15.05 -31.07
1.48667 -58.04 -57.06 -50.02 -39.08 -18.08 0 -37.03 -31.07 -31.07 -18.08 34.98 -6.058 -26.09 -1.075 12.99 -17
1.49333 -37.03 -43.09 -38.01 -39.08 -32.05 2.931 -27.06 -26.09 -41.04 -22.08 39.96 -2.052 -20.03 0.977 26.97 -4.006
1.5 -17 -21.01 -21.01 -35.08 -37.03 6.937 -13.09 -7.035 -35.08 -19.05 38.98 0 -15.05 10.94 28.92 0.977
1.50667 -11.04 -1.075 -3.029 -21.01 -29.02 0.977 -3.029 7.914 -25.01 -11.04 30.97 1.954 -5.081 18.95 26.97 14.95
1.51333 -13.09 10.94 10.94 -1.075 -15.05 0 -1.075 16.9 -9.086 -3.029 19.93 0 0.977 15.93 20.91 19.93
1.52 -1.075 24.91 26.97 15.93 -1.075 0 0 23.94 2.931 -2.052 6.937 11.92 6.937 7.914 20.91 18.95
1.52667 15.93 37.91 38.98 31.95 5.96 12.99 13.97 37.91 15.93 5.96 0.977 30 16.9 0 18.95 20.91
1.53333 28.92 53.93 47 41.91 13.97 13.97 36.93 47 30.97 13.97 -14.07 31.95 26.97 -3.029 14.95 17.98
1.54 21.98 57.94 41.91 45.92 19.93 7.914 45.92 51.98 39.96 17.98 -17 25.99 30 -7.035 4.983 11.92
1.54667 12.99 48.95 37.91 41.91 30 3.908 42.99 51.98 47 25.99 -6.058 15.93 35.96 0.977 0.977 10.94
1.55333 2.931 24.91 21.98 30 24.91 2.931 25.99 31.95 42.99 24.91 3.908 1.954 30 12.99 0.977 7.914
1.56 -3.029 1.954 0.977 11.92 11.92 0 6.937 4.983 30 17.98 11.92 0.977 16.9 25.99 2.931 13.97
1.56667 -24.04 -22.08 -13.09 -3.029 -1.075 -2.052 -14.07 -10.06 11.92 12.99 12.99 -12.02 7.914 39.96 6.937 15.93
1.57333 -54.03 -41.04 -37.03 -20.03 -7.035 -17 -39.08 -27.06 0.977 9.966 6.937 -28.04 0 42.99 -1.075 13.97
1.58 -71.03 -51 -55.01 -28.04 -15.05 -25.01 -54.03 -38.01 -6.058 5.96 6.937 -35.08 -3.029 39.96 0.977 11.92
1.58667 -59.01 -52.08 -60.09 -36.05 -26.09 -17 -53.05 -45.04 -18.08 1.954 20.91 -28.04 -6.058 35.96 12.99 12.99
1.59333 -32.05 -46.02 -60.09 -39.08 -37.03 -4.006 -42.01 -53.05 -31.07 -14.07 35.96 -12.02 -12.02 20.91 22.96 11.92
1.6 -7.035 -34 -51 -40.06 -42.01 2.931 -29.02 -47.09 -42.01 -25.01 38.98 -1.075 -23.06 3.908 24.91 0.977
1.60667 4.983 -18.08 -34 -29.02 -39.08 6.937 -16.02 -27.06 -43.09 -24.04 23.94 1.954 -22.08 -2.052 8.989 -5.081
1.61333 5.96 -2.052 -18.08 -16.02 -26.09 0 -1.075 -9.086 -26.09 -14.07 -2.052 -4.006 -18.08 -11.04 -7.035 -18.08
1.62 -2.052 3.908 -9.086 -4.006 -13.09 -9.086 0.977 0 -8.012 -5.081 -36.05 -11.04 -11.04 -23.06 -21.01 -19.05
1.62667 -1.075 11.92 3.908 6.937 0.977 -17 0 0 1.954 0 -54.03 -14.07 0 -24.04 -23.06 -13.09
1.63333 0.977 26.97 23.94 23.94 12.99 -14.07 -1.075 16.9 17.98 18.95 -54.03 -2.052 17.98 -19.05 -15.05 -1.075
1.64 21.98 47.97 48.95 47.97 33.9 0 18.95 47 33.9 39.96 -37.03 21.98 44.94 -1.075 -3.029 11.92
1.64667 42.99 64.97 71.91 67.9 48.95 30.97 51.98 81.97 60.97 60.97 -9.086 55.98 73.96 24.91 12.99 37.91
1.65333 42.99 66.93 71.91 69.96 43.97 47.97 76.99 98 84.9 65.95 11.92 79.92 91.94 48.95 36.93 62.92
1.66 19.93 47.97 53.93 57.94 25.99 45.92 67.9 77.97 85.98 55.98 31.95 73.96 89.99 59.99 48.95 71.91
1.66667 1.954 21.98 32.93 35.96 11.92 31.95 34.98 47 72.98 45.92 47 47.97 70.93 61.94 50.9 64
1.67333 -13.09 0.977 6.937 13.97 -1.075 14.95 0 7.914 43.97 23.94 47.97 15.93 36.93 47.97 34.98 40.94
1.68 -7.035 -16.02 -4.006 -2.052 -5.081 9.966 -7.035 -13.09 18.95 5.96 44.94 -7.035 2.931 31.95 16.9 14.95
1.68667 0 -22.08 -10.06 -5.081 -9.086 12.99 -5.081 -24.04 -2.052 -5.081 45.92 -13.09 -16.02 21.98 4.983 3.908
1.69333 1.954 -23.06 -15.05 -11.04 -13.09 12.99 -7.035 -35.08 -11.04 -15.05 34.98 -9.086 -27.06 10.94 2.931 0
1.7 -9.086 -31.07 -23.06 -17 -19.05 0.977 -23.06 -53.05 -21.01 -17 22.96 -13.09 -35.08 -2.052 2.931 -10.06
1.70667 -30.09 -45.04 -38.01 -25.01 -22.08 -12.02 -43.09 -60.09 -31.07 -16.02 3.908 -23.06 -34 -18.08 -9.086 -22.08
1.71333 -38.01 -51 -44.06 -27.06 -16.02 -30.09 -47.09 -59.01 -35.08 -10.06 -20.03 -34 -34 -33.02 -29.02 -35.08
1.72 -25.01 -39.08 -37.03 -21.01 -13.09 -39.08 -33.02 -45.04 -31.07 -11.04 -53.05 -43.09 -39.08 -45.04 -57.06 -51
1.72667 0.977 -15.05 -17 -7.035 -7.035 -31.07 -13.09 -31.07 -19.05 -9.086 -75.04 -41.04 -37.03 -43.09 -71.03 -49.05
1.73333 6.937 0.977 -10.06 -3.029 -8.012 -20.03 -3.029 -31.07 -8.012 -12.02 -68 -32.05 -32.05 -36.05 -55.01 -36.05
1.74 -1.075 -3.029 -19.05 -11.04 -19.05 -12.02 -9.086 -38.01 -13.09 -17 -32.05 -17 -25.01 -28.04 -19.05 -16.02
1.74667 -17 -17 -25.01 -25.01 -25.01 -1.075 -19.05 -30.09 -22.08 -15.05 15.93 1.954 -14.07 -14.07 22.96 3.908
1.75333 -19.05 -23.06 -19.05 -25.01 -31.07 5.96 -17 -10.06 -22.08 -9.086 51.98 18.95 -1.075 -2.052 52.96 19.93
1.76 0.977 -7.035 1.954 -3.029 -21.01 18.95 3.908 18.95 -5.081 0 60.97 35.96 21.98 6.937 60.97 30.97
1.76667 31.95 15.93 39.96 24.91 -1.075 32.93 34.98 51.98 20.91 27.94 51.98 48.95 42.99 30 56.96 41.91
1.77333 57.94 37.91 61.94 43.97 25.99 40.94 51.98 67.9 50.9 51.98 43.97 55.98 59.99 44.94 48.95 47.97
1.78 64.97 48.95 66.93 48.95 33.9 45.92 58.92 71.91 68.98 64.97 41.91 53.93 62.92 54.91 40.94 47.97
1.78667 61.94 49.93 64 43.97 37.91 43.97 57.94 73.96 71.91 67.9 37.91 51.98 61.94 57.94 32.93 47.97
1.79333 52.96 48.95 60.97 45.92 41.91 38.98 60.97 69.96 68.98 61.94 25.99 47 53.93 54.91 20.91 35.96
1.8 36.93 37.91 48.95 44.94 37.91 21.98 56.96 50.9 58.92 47.97 4.983 33.9 37.91 38.98 2.931 14.95
1.80667 16.9 18.95 26.97 30.97 30.97 1.954 31.95 17.98 39.96 25.99 -14.07 11.92 13.97 14.95 -17 -8.012
1.81333 -5.081 -10.06 -9.086 -1.075 4.983 -18.08 0.977 -25.01 18.95 -2.052 -41.04 -12.02 -14.07 -17 -47.09 -41.04
1.82 -27.06 -42.01 -44.06 -33.02 -24.04 -34 -34 -66.05 -13.09 -35.08 -58.04 -40.06 -42.01 -50.02 -69.08 -64.09
1.82667 -37.03 -60.09 -62.04 -54.03 -48.07 -40.06 -50.02 -80.02 -44.06 -50.02 -66.05 -52.08 -56.08 -56.08 -73.08 -63.02
1.83333 -42.01 -55.01 -52.08 -55.01 -50.02 -44.06 -52.08 -75.04 -63.02 -45.04 -63.02 -60.09 -58.04 -47.09 -59.01 -53.05
1.84 -33.02 -42.01 -30.09 -37.03 -37.03 -44.06 -42.01 -56.08 -54.03 -26.09 -41.04 -56.08 -45.04 -28.04 -33.02 -31.07
1.84667 -22.08 -20.03 -9.086 -17 -20.03 -31.07 -27.06 -29.02 -31.07 -9.086 -7.035 -38.01 -20.03 -10.06 -5.081 -11.04
1.85333 -3.029 -2.052 -1.075 -3.029 -11.04 -10.06 -10.06 -14.07 -12.02 -4.006 5.96 -12.02 -1.075 -4.006 6.937 0.977
1.86 10.94 5.96 2.931 1.954 -6.058 4.983 8.989 -1.075 -5.081 -1.075 11.92 14.95 10.94 -5.081 8.989 1.954
1.86667 25.99 14.95 18.95 12.99 2.931 20.91 26.97 14.95 1.954 8.989 12.99 30.97 20.91 4.983 12.99 7.914
1.87333 30 20.91 34.98 25.99 24.91 20.91 26.97 32.93 11.92 27.94 8.989 28.92 24.91 15.93 14.95 8.989
1.88 27.94 28.92 45.92 38.98 42.99 10.94 21.98 37.91 38.98 38.98 1.954 8.989 28.92 23.94 6.937 1.954
1.88667 20.91 32.93 44.94 44.94 47 -2.052 13.97 37.91 49.93 35.96 -8.012 -5.081 27.94 20.91 -5.081 -2.052
1.89333 12.99 21.98 28.92 32.93 31.95 -3.029 6.937 18.95 44.94 25.99 -24.04 -13.09 19.93 8.989 -29.02 -8.012
1.9 2.931 6.937 10.94 15.93 21.98 -1.075 4.983 11.92 28.92 17.98 -17 -8.012 10.94 8.989 -33.02 -7.035
1.90667 0 -1.075 5.96 7.914 19.93 13.97 3.908 19.93 21.98 19.93 7.914 9.966 11.92 15.93 -7.035 7.914
1.91333 6.937 2.931 10.94 16.9 25.99 31.95 16.9 35.96 30.97 24.91 35.96 37.91 24.91 22.96 22.96 31.95
1.92 23.94 21.98 19.93 27.94 33.9 38.98 37.91 45.92 42.99 25.99 31.95 59.99 35.96 22.96 42.99 45.92
1.92667 41.91 39.96 33.9 36.93 32.93 38.98 58.92 53.93 42.99 25.99 15.93 66.93 40.94 19.93 36.93 47.97
1.93333 39.96 39.96 27.94 27.94 17.98 24.91 55.98 39.96 37.91 15.93 4.983 53.93 35.96 14.95 24.91 34.98
1.94 21.98 17.98 11.92 5.96 0 5.96 31.95 12.99 24.91 5.96 9.966 22.96 14.95 10.94 16.9 17.98
1.94667 -3.029 -7.035 -15.05 -19.05 -11.04 -9.086 -5.081 -18.08 2.931 -5.081 13.97 -12.02 -4.006 0.977 14.95 0
1.95333 -33.02 -35.08 -51 -45.04 -27.06 -30.09 -43.09 -54.03 -17 -27.06 1.954 -53.05 -31.07 -14.07 -1.075 -22.08
1.96 -34 -49.05 -64.09 -59.01 -30.09 -40.06 -67.02 -73.08 -46.02 -34 -30.09 -76.01 -46.02 -38.01 -29.02 -54.03
1.96667 -19.05 -49.05 -59.01 -61.06 -25.01 -35.08 -71.03 -69.08 -61.06 -31.07 -51 -83.05 -53.05 -45.04 -69.08 -75.04
1.97333 -1.075 -37.03 -43.09 -51 -9.086 -21.01 -59.01 -55.01 -59.01 -13.09 -47.09 -69.08 -51 -39.08 -83.05 -83.05
1.98 0 -21.01 -25.01 -35.08 7.914 -7.035 -35.08 -39.08 -43.09 0.977 -23.06 -49.05 -49.05 -27.06 -65.07 -76.01
1.98667 0.977 -9.086 -13.09 -23.06 19.93 0.977 -17 -23.06 -27.06 0 -5.081 -35.08 -45.04 -13.09 -37.03 -63.02
1.99333 -9.086 -7.035 -13.09 -17 11.92 -3.029 -14.07 -21.01 -16.02 -3.029 -2.052 -27.06 -43.09 -6.058 -27.06 -52.08
2 -15.05 -15.05 -17 -19.05 0.977 -7.035 -24.04 -21.01 -14.07 -13.09 -4.006 -25.01 -39.08 -4.006 -27.06 -42.01
2.00667 -17 -23.06 -17 -22.08 -11.04 -5.081 -28.04 -18.08 -20.03 -13.09 2.931 -15.05 -26.09 0.977 -17 -20.03
2.01333 -21.01 -23.06 -11.04 -16.02 -5.081 -5.081 -15.05 -10.06 -18.08 -1.075 15.93 0 -8.012 8.989 6.937 1.954
2.02 -21.01 -7.035 0 1.954 5.96 -3.029 -1.075 4.983 -4.006 7.914 16.9 17.98 5.96 8.989 24.91 22.96
2.02667 -5.081 13.97 25.99 23.94 28.92 4.983 24.91 35.96 14.95 22.96 2.931 30 33.9 9.966 26.97 37.91
2.03333 21.98 41.91 49.93 43.97 43.97 11.92 43.97 53.93 37.91 30 -11.04 35.96 47.97 11.92 22.96 45.92
2.04 41.91 55.98 53.93 52.96 47 16.9 51.98 48.95 53.93 28.92 -17 25.99 47 12.99 28.92 47.97
2.04667 39.96 47.97 31.95 36.93 25.99 5.96 43.97 20.91 43.97 9.966 -19.05 5.96 22.96 8.989 32.93 33.9
2.05333 13.97 21.98 -5.081 1.954 -6.058 -16.02 7.914 -21.01 10.94 -12.02 -37.03 -25.01 -10.06 -7.035 4.983 1.954
2.06 0.977 -1.075 -35.08 -25.01 -38.01 -32.05 -21.01 -53.05 -24.04 -30.09 -45.04 -53.05 -42.01 -21.01 -37.03 -32.05
