    T[sec]  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
1.34375 -1.035 -37.25 -187.3 171.8 -265.9 -96.23 1.035 58.98 -388 53.8 -169.7 251.4 -155.2 323.9
1.35156 -30.01 -247.3 -226.6 -92.09 -290.7 -309.4 -121.1 -56.91 -199.7 -47.6 -101.4 -17.59 -394.2 413.9
1.35938 -164.5 -243.2 -87.95 97.26 -344.6 -393.2 -276.3 -100.4 -367.3 -160.4 -240 -181.1 -421.1 572.2
1.36719 -183.1 -118 -166.6 -143.8 18.62 -162.4 -191.4 -348.7 -264.9 -149 -24.83 -178 -435.6 778.1
1.375 43.46 230.7 3.104 -31.04 62.08 186.2 149 -62.08 -64.15 161.4 214.2 99.33 -13.45 1138
1.38281 44.49 316.6 224.5 241.1 161.4 399.4 458.4 138.6 -158.3 404.6 575.3 -27.94 244.2 1192
1.39063 -129.3 300.1 318.7 259.7 38.28 395.2 277.3 -56.91 19.66 593.9 852.6 -134.5 584.6 1296
1.39844 -128.3 276.3 120 158.3 120 256.6 288.7 -74.5 134.5 797.7 783.3 271.1 861.9 1370
1.40625 -101.4 64.15 61.05 127.3 -68.29 102.4 30.01 95.19 381.8 449.1 904.3 319.7 712.9 1394
1.41406 -116.9 54.84 88.98 202.8 -180 -101.4 45.53 103.5 273.2 88.98 411.8 134.5 431.5 1226
1.42188 -80.71 -83.81 126.2 263.8 -110.7 -129.3 -53.8 149 76.57 63.12 458.4 15.52 164.5 912.6
1.42969 -40.35 94.16 -33.11 11.38 -96.23 -158.3 -85.88 22.76 -46.56 -19.66 272.1 26.9 -74.5 548.4
1.4375 124.2 -60.01 245.2 -84.84 -33.11 61.05 -325.9 77.6 -151.1 -106.6 -131.4 -52.77 -351.8 274.2
1.44531 86.91 -49.66 1.035 -83.81 -6.208 -58.98 -268 -12.42 3.104 -37.25 20.69 -364.2 -361.1 58.98
1.45313 60.01 -31.04 -111.7 -139.7 -22.76 -35.18 -201.8 -258.7 -33.11 91.05 297 11.38 -569.1 299
1.46094 56.91 140.7 -75.53 -69.32 -154.2 36.21 331.1 -168.7 -402.5 102.4 278.3 114.9 -476 735.7
1.46875 45.53 172.8 109.7 192.5 -312.5 14.49 278.3 -97.26 -232.8 167.6 651.9 171.8 122.1 1271
1.47656 32.08 248.3 323.9 -15.52 -154.2 78.64 187.3 -52.77 110.7 252.5 556.7 -60.01 679.8 1592
1.48438 -60.01 216.2 97.26 243.2 18.62 21.73 246.3 -10.35 62.08 366.3 634.3 -43.46 775 1252
1.49219 -187.3 62.08 162.4 437.7 -174.9 -160.4 -107.6 213.1 -525.6 238 447 -71.39 413.9 817.4
1.5 -5.173 18.62 258.7 212.1 88.98 33.11 43.46 213.1 230.7 252.5 542.2 46.56 455.3 514.2
1.50781 116.9 178 286.6 169.7 259.7 217.3 125.2 191.4 1017 439.7 528.7 364.2 291.8 554.6
1.51563 380.8 320.8 25.87 -8.277 394.2 364.2 138.6 -98.3 649.8 457.3 626 328 93.12 686
1.52344 506 180 78.64 -32.08 462.5 176.9 38.28 99.33 -127.3 433.5 605.3 58.98 -127.3 553.6
1.53125 286.6 188.3 -101.4 163.5 318.7 25.87 -218.3 -155.2 -100.4 620.8 528.7 -339.4 74.5 610.5
1.53906 88.98 20.69 65.19 4.139 -172.8 -66.22 -50.7 48.63 70.36 937.4 330.1 141.8 290.7 862.9
1.54688 -229.7 -201.8 -161.4 -353.9 -143.8 -287.6 14.49 -58.98 20.69 439.7 683.9 462.5 318.7 926
1.55469 -269 -273.2 -105.5 -141.8 -253.5 -213.1 73.46 -96.23 10.35 315.6 696.3 423.2 575.3 1138
1.5625 -77.6 -33.11 -15.52 133.5 -399.4 -208 65.19 -329 -261.8 224.5 728.4 -423.2 238 1085
1.57031 -217.3 -259.7 -60.01 87.95 -166.6 -308.3 -30.01 -230.7 -418 176.9 546.3 -194.5 221.4 994.3
1.57813 112.8 106.6 95.19 138.6 -136.6 -30.01 -21.73 146.9 -45.53 498.7 682.9 -156.2 357 947.8
1.58594 393.2 112.8 287.6 184.2 224.5 249.4 278.3 110.7 108.6 846.4 954 351.8 271.1 998.5
1.59375 328 256.6 395.2 139.7 180 362.1 119 79.67 188.3 876.4 652.9 143.8 546.3 823.6
1.60156 405.6 174.9 213.1 83.81 167.6 130.4 66.22 85.88 2.069 836 792.6 21.73 462.5 968.5
1.60938 -19.66 260.7 24.83 288.7 -98.3 131.4 62.08 115.9 -216.2 545.3 975.7 -104.5 215.2 888.8
1.61719 31.04 186.2 270.1 354.9 377.7 102.4 259.7 -98.3 281.4 660.1 924 -21.73 400.4 905.3
1.625 329 42.42 309.4 200.7 492.5 203.8 333.2 194.5 779.1 700.5 1032 253.5 753.3 891.9
1.63281 335.2 130.4 164.5 15.52 516.3 -12.42 317.6 227.6 704.6 997.4 1308 444.9 570.1 1080
1.64063 -171.8 28.97 73.46 -18.62 -70.36 -151.1 -42.42 -264.9 335.2 853.6 972.6 -3.104 250.4 1233
1.64844 -381.8 -123.1 -161.4 -216.2 -542.2 -130.4 -299 -487.3 -300.1 480.1 581.5 -187.3 223.5 1242
1.65625 -408.7 -171.8 -76.57 -340.4 -660.1 6.208 -197.6 -209 -537 468.7 706.7 -249.4 400.4 1296
1.66406 -151.1 4.139 33.11 -77.6 -145.9 -107.6 142.8 139.7 -210 452.2 622.9 -19.66 334.2 978.8
1.67188 -187.3 -87.95 324.9 285.6 20.69 -172.8 226.6 271.1 -78.64 348.7 693.2 75.53 355.9 570.1
1.67969 48.63 144.9 275.2 409.7 265.9 -131.4 422.2 100.4 81.74 310.4 700.5 306.3 99.33 665.3
1.6875 381.8 258.7 223.5 111.7 251.4 12.42 -19.66 -120 69.32 285.6 516.3 52.77 355.9 660.1
1.69531 383.9 138.6 303.2 358 174.9 -14.49 -153.1 -26.9 120 439.7 519.4 -236.9 272.1 844.3
1.70313 123.1 316.6 145.9 352.8 330.1 405.6 -113.8 -130.4 129.3 428.4 705.7 -189.3 424.2 676.7
1.71094 170.7 204.9 361.1 279.4 240 142.8 109.7 -105.5 141.8 694.3 712.9 -77.6 439.7 756.4
1.71875 275.2 194.5 533.9 124.2 181.1 62.08 170.7 -63.12 73.46 471.8 594.9 -102.4 472.9 463.5
1.72656 170.7 358 248.3 47.6 16.55 77.6 16.55 54.84 -17.59 402.5 399.4 53.8 -64.15 66.22
1.73438 264.9 216.2 168.7 -60.01 176.9 204.9 -39.32 140.7 196.6 253.5 290.7 13.45 -43.46 -96.23
1.74219 276.3 270.1 28.97 -6.208 372.5 33.11 -60.01 221.4 366.3 327 294.9 131.4 269 256.6
1.75 -41.39 66.22 -3.104 -24.83 144.9 151.1 -103.5 187.3 251.4 328 670.5 194.5 402.5 599.1
1.75781 -276.3 138.6 -102.4 171.8 -106.6 -66.22 262.8 145.9 112.8 537 721.2 474.9 429.4 1094
1.76563 -497.7 44.49 194.5 15.52 -275.2 56.91 346.6 -34.14 -42.42 459.4 728.4 195.6 735.7 1237
1.77344 -285.6 72.43 235.9 34.14 -66.22 174.9 129.3 -194.5 49.66 643.6 874.3 -62.08 627 1309
1.78125 -216.2 324.9 362.1 159.3 -2.069 493.5 355.9 -125.2 -71.39 960.2 1262 154.2 895 1231
1.78906 -148 232.8 405.6 66.22 -119 114.9 172.8 195.6 -74.5 1257 1175 219.4 1008 1116
1.79688 56.91 70.36 258.7 273.2 -27.94 183.1 98.3 227.6 337.3 1228 1105 -75.53 1081 795.7
1.80469 247.3 132.4 270.1 391.1 320.8 3.104 335.2 145.9 241.1 1131 1082 26.9 1091 782.2
1.8125 226.6 406.6 380.8 303.2 60.01 80.71 423.2 195.6 -172.8 794.6 928.1 76.57 771.9 530.8
1.82031 212.1 430.4 514.2 144.9 -130.4 97.26 330.1 -49.66 -47.6 772.9 746 -21.73 560.8 421.1
1.82813 3.104 202.8 363.2 -36.21 -135.5 255.6 65.19 -11.38 -32.08 679.8 957.1 126.2 433.5 600.1
1.83594 293.9 392.1 335.2 78.64 255.6 148 167.6 80.71 189.3 813.3 1022 391.1 657 975.7
1.84375 368.3 236.9 198.7 -84.84 16.55 128.3 82.77 -44.49 68.29 1015 1132 -203.8 775 882.6
1.85156 222.5 290.7 64.15 -178 63.12 48.63 -53.8 -191.4 -265.9 1066 1072 -170.7 812.2 1274
1.85938 140.7 238 261.8 -51.73 34.14 11.38 102.4 28.97 439.7 1245 954 149 1074 1581
1.86719 -95.19 212.1 231.8 -137.6 196.6 169.7 218.3 91.05 631.2 1284 1060 293.9 1153 1650
1.875 -155.2 176.9 231.8 257.6 10.35 112.8 282.5 246.3 86.91 1326 1151 5.173 1099 1140
1.88281 -71.39 -5.173 335.2 145.9 -61.05 34.14 360.1 137.6 -252.5 1313 983 126.2 1031 920.9
1.89063 -60.01 20.69 178 255.6 21.73 13.45 183.1 109.7 -84.84 1096 1407 240 786.4 653.9
1.89844 -159.3 88.98 380.8 43.46 86.91 141.8 264.9 62.08 -193.5 1316 1355 78.64 954 930.2
1.90625 -26.9 126.2 338.3 274.2 119 10.35 349.7 37.25 160.4 1114 1226 -79.67 909.5 969.5
