    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1 162.1
0.625 -3.007 0 0 5.936 1.979 1.979 -2.058 0.9497 7.993 10.92 2.928 3.957 9.972 18.99 15.99 19.94
0.63 2.928 2.928 11.95 10.92 -2.058 0 2.928 8.943 10.92 2.928 2.928 6.964 10.92 10.92 10.92 19.94
0.635 6.964 8.943 23.98 14.96 1.979 5.936 7.993 17.96 13.93 -2.058 7.993 10.92 16.94 3.957 8.943 23.98
0.64 12.98 14.96 25.96 16.94 1.979 15.99 10.92 20.97 14.96 -12.03 9.972 16.94 26.99 1.979 6.964 25.96
0.645 14.96 16.94 21.92 15.99 4.986 21.92 11.95 22.95 9.972 -22 10.92 15.99 29.99 -4.036 -2.058 21.92
0.65 10.92 11.95 15.99 7.993 0 17.96 13.93 17.96 1.979 -35.06 5.936 11.95 21.92 -11 -9.022 9.972
0.655 4.986 9.972 8.943 2.928 1.979 14.96 13.93 18.99 -2.058 -41.07 -1.029 4.986 10.92 -14.01 -20.02 0
0.66 0.9497 0 5.936 0 -7.043 3.957 12.98 12.98 -8.072 -40.04 -5.065 0 1.979 -18.04 -30.07 -9.022
0.665 -7.043 -1.029 0 -1.029 -17.02 -3.007 3.957 5.936 -13.06 -31.02 -11 -3.007 -1.029 -19.07 -31.02 -17.02
0.67 -5.065 -7.043 0.9497 -4.036 -18.04 -9.022 -1.029 1.979 -14.01 -11 -13.06 -5.065 -4.036 -13.06 -19.07 -20.02
0.675 -3.007 -5.065 -5.065 -11 -17.02 -14.01 -9.022 -3.007 -16.07 3.957 -5.065 -1.029 -11 -11 -9.022 -22
0.68 2.928 -5.065 -15.04 -17.02 -7.043 -15.04 -15.04 -11 -19.07 17.96 -1.029 -3.007 -17.02 -13.06 -5.065 -29.04
0.685 14.96 0 -16.07 -21.05 3.957 -6.015 -13.06 -14.01 -25.01 23.98 -1.029 -4.036 -21.05 -14.01 0 -36.01
0.69 20.97 0.9497 -16.07 -25.01 17.96 0 -11 -18.04 -29.04 25.96 4.986 -6.015 -29.04 -16.07 1.979 -42.02
0.695 22.95 5.936 -17.02 -25.01 23.98 0 -9.022 -19.07 -31.02 25.96 7.993 -11 -29.04 -19.07 0 -45.03
0.7 20.97 5.936 -19.07 -20.02 24.93 0.9497 -6.015 -20.02 -27.07 30.94 5.936 -17.02 -26.04 -16.07 2.928 -40.04
0.705 14.96 0 -19.07 -14.01 16.94 0 -10.05 -22 -19.07 30.94 0 -19.07 -20.02 -10.05 0.9497 -36.01
0.71 6.964 -2.058 -21.05 -9.022 1.979 -9.022 -13.06 -21.05 -13.06 23.98 -7.043 -25.01 -21.05 -1.029 0.9497 -31.02
0.715 2.928 0.9497 -11 -2.058 -4.036 -14.01 -12.03 -16.07 -7.043 12.98 -17.02 -27.07 -20.02 2.928 -8.072 -29.04
0.72 2.928 1.979 0.9497 -1.029 -14.01 -14.01 -8.072 -8.072 -5.065 -1.029 -23.03 -31.02 -22 10.92 -16.07 -23.03
0.725 -1.029 0 5.936 3.957 -19.07 -11 -3.007 -1.029 -3.007 -9.022 -27.07 -27.07 -19.07 9.972 -19.07 -15.04
0.73 -1.029 7.993 16.94 8.943 -16.07 -2.058 0 -1.029 0.9497 -14.01 -16.07 -16.07 -4.036 10.92 -12.03 0.9497
0.735 4.986 11.95 18.99 10.92 -8.072 0.9497 -1.029 2.928 5.936 -16.07 -2.058 1.979 10.92 12.98 1.979 13.93
0.74 8.943 9.972 13.93 11.95 -1.029 7.993 1.979 7.993 15.99 -19.07 9.972 13.93 29.99 13.93 5.936 29.99
0.745 10.92 8.943 10.92 18.99 0.9497 10.92 8.943 16.94 23.98 -20.02 20.97 28.97 44.95 18.99 12.98 39.97
0.75 8.943 4.986 12.98 20.97 2.928 10.92 12.98 24.93 27.94 -22 24.93 32.92 46.93 20.97 10.92 41.94
0.755 4.986 1.979 13.93 19.94 1.979 7.993 13.93 27.94 23.98 -23.03 17.96 25.96 35.93 17.96 1.979 33.95
0.76 2.928 0.9497 16.94 14.96 0.9497 3.957 12.98 22.95 13.93 -20.02 6.964 10.92 18.99 9.972 -7.043 15.99
0.765 -1.029 0 12.98 4.986 1.979 -2.058 0.9497 7.993 0.9497 -12.03 -4.036 -6.015 0 0.9497 -25.01 -1.029
0.77 -9.022 -9.022 1.979 -7.043 -7.043 -9.022 -13.06 -7.043 -15.04 -9.022 -21.05 -25.01 -23.03 -13.06 -41.07 -27.07
0.775 -11 -18.04 -8.072 -18.04 -12.03 -19.07 -28.02 -25.01 -29.04 -6.015 -30.07 -36.01 -34.03 -21.05 -51.05 -45.03
0.78 -13.06 -24.06 -20.02 -26.04 -16.07 -27.07 -36.01 -33 -33 -8.072 -32.05 -36.01 -40.04 -21.05 -53.02 -53.02
0.785 -13.06 -25.01 -27.07 -29.04 -17.02 -27.07 -35.06 -33 -33 -5.065 -27.07 -31.02 -37.04 -15.04 -43.05 -49.07
0.79 -7.043 -18.04 -26.04 -26.04 -8.072 -23.03 -25.01 -25.01 -31.02 -1.029 -16.07 -20.02 -30.07 -7.043 -31.02 -41.07
0.795 0.9497 -12.03 -26.04 -24.06 -2.058 -17.02 -17.02 -21.05 -29.04 6.964 -10.05 -14.01 -24.06 -3.007 -19.07 -35.06
0.8 0.9497 -9.022 -31.02 -27.07 0.9497 -13.06 -17.02 -23.03 -31.02 13.93 -9.022 -15.04 -25.01 -3.007 -11 -35.06
0.805 2.928 -10.05 -32.05 -31.02 0.9497 -15.04 -23.03 -31.02 -31.02 15.99 -10.05 -14.01 -27.07 -5.065 -9.022 -39.02
0.81 4.986 -8.072 -28.02 -32.05 0.9497 -15.04 -27.07 -33 -27.07 15.99 -8.072 -12.03 -26.04 -3.007 -5.065 -39.02
0.815 8.943 -3.007 -17.02 -27.07 -2.058 -11 -21.05 -27.07 -19.07 17.96 -1.029 -1.029 -21.05 -2.058 -2.058 -31.02
0.82 18.99 10.92 -1.029 -13.06 7.993 0 -1.029 -9.022 -7.043 21.92 10.92 10.92 -7.043 5.936 9.972 -13.06
0.825 28.97 28.97 16.94 0 19.94 17.96 15.99 7.993 0 25.96 26.99 24.93 3.957 11.95 19.94 1.979
0.83 36.96 39.97 27.94 11.95 29.99 33.95 31.97 21.92 7.993 23.98 33.95 29.99 15.99 15.99 23.98 17.96
0.835 34.98 34.98 24.93 15.99 29.99 39.97 31.97 21.92 7.993 13.93 30.94 24.93 19.94 17.96 17.96 27.94
0.84 18.99 14.96 10.92 9.972 19.94 29.99 15.99 11.95 9.972 0 16.94 12.98 17.96 19.94 7.993 31.97
0.845 0.9497 -9.022 -1.029 3.957 0 11.95 -2.058 0 13.93 -11 1.979 1.979 15.99 23.98 0 35.93
0.85 -17.02 -22 -4.036 5.936 -11 0.9497 -5.065 -2.058 21.92 -19.07 0 6.964 19.94 29.99 0.9497 45.98
0.855 -23.03 -24.06 2.928 19.94 -15.04 -3.007 -2.058 11.95 33.95 -19.07 -1.029 18.99 31.97 37.99 -2.058 55.95
0.86 -13.06 -7.043 23.98 41.94 -7.043 0 19.94 33.95 41.94 -11 9.972 37.99 43.92 41.94 1.979 63.95
0.865 -1.029 10.92 44.95 57.93 1.979 13.93 41.94 52 43.92 -3.007 22.95 50.97 49.94 39.97 5.936 59.99
0.87 12.98 26.99 55.95 63.95 15.99 31.97 52 57.93 37.99 0.9497 32.92 52.94 47.96 31.97 5.936 43.92
0.875 16.94 27.94 52 57.93 19.94 39.97 45.98 47.96 27.94 -1.029 31.97 41.94 35.93 19.94 5.936 19.94
0.88 12.98 17.96 37.99 43.92 15.99 39.97 31.97 27.94 17.96 -5.065 27.94 25.96 19.94 5.936 3.957 -2.058
0.885 4.986 8.943 25.96 31.97 5.936 31.97 17.96 9.972 9.972 -7.043 19.94 9.972 5.936 -2.058 5.936 -15.04
0.89 0.9497 1.979 19.94 25.96 0 19.94 9.972 0 5.936 -1.029 11.95 0 0.9497 -1.029 7.993 -23.03
0.895 2.928 1.979 17.96 23.98 0 9.972 7.993 0 1.979 5.936 3.957 -1.029 -7.043 0.9497 7.993 -29.04
0.9 10.92 5.936 17.96 21.92 5.936 1.979 7.993 1.979 0.9497 21.92 0.9497 -7.043 -13.06 -2.058 5.936 -33
0.905 14.96 3.957 11.95 13.93 11.95 0.9497 1.979 0 -7.043 31.97 -5.065 -15.04 -19.07 0 1.979 -37.04
0.91 14.96 -2.058 0 0 13.93 -3.007 -3.007 -1.029 -15.04 33.95 -9.022 -23.03 -23.03 0 0.9497 -37.04
0.915 6.964 -7.043 -7.043 -7.043 9.972 -7.043 -15.04 -7.043 -19.07 27.94 -11 -27.07 -23.03 -2.058 -5.065 -31.02
0.92 0.9497 -19.07 -15.04 -13.06 1.979 -11 -23.03 -11 -17.02 17.96 -9.022 -25.01 -17.02 0 -7.043 -17.02
0.925 -7.043 -25.01 -15.04 -13.06 0.9497 -13.06 -23.03 -9.022 -9.022 11.95 -3.007 -17.02 -5.065 5.936 -5.065 0.9497
