    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1
0.625 -25.05 -31.03 -15.01 -38.03 -17.04 -10.04 -38.03 -55.07 -38.03 -19.07 -21.1 -32.05 -27.08 0 13.99 30.92
0.63 0 -1.016 -34.08 -15.01 -5.078 -21.1 -34.08 -11.06 -7.109 -22.01 -20.09 -2.031 0.9028 -1.016 23.92 43.9
0.635 -26.07 -23.02 -13.09 -21.1 -5.078 -24.04 -34.08 -30.02 -28.1 -33.06 -14.11 -17.04 -8.012 -11.06 55.97 67.93
0.64 -31.03 -13.09 -6.094 17.94 2.934 -40.06 -11.06 5.981 0 -40.06 3.95 33.97 21.89 -22.01 69.97 63.98
0.645 -52.02 -27.08 -8.012 -3.047 16.93 -24.04 -1.016 -9.028 6.997 -28.1 14.9 33.97 31.94 -21.1 78.99 62.97
0.65 19.97 16.93 -19.07 8.915 34.98 -9.028 -5.078 23.92 8.915 -18.06 8.915 37.92 50.89 -12.07 62.97 51.91
0.655 20.99 -11.06 -18.06 -8.012 24.94 -1.016 -35.1 -14.11 -1.016 -17.04 -13.09 6.997 4.965 -15.01 57.89 40.96
0.66 33.97 28.89 16.93 48.98 56.99 24.94 2.934 36 9.931 18.96 1.918 45.93 23.92 0.9028 66.92 32.95
0.665 29.9 34.98 40.96 36.9 59.92 33.97 19.97 27.99 46.94 17.94 28.89 24.94 43 9.931 49.99 0.9028
0.67 27.99 44.91 6.997 38.93 56.99 4.965 13.99 37.92 63.98 23.92 12.98 18.96 53.94 5.981 14.9 -26.07
0.675 20.99 18.96 22.91 15.91 41.98 22.91 4.965 0.9028 20.99 23.92 10.95 -16.02 13.99 5.981 5.981 -40.06
0.68 49.99 56.99 -1.016 22.91 54.96 19.97 -5.078 15.91 30.92 30.92 -7.109 14.9 21.89 0 -14.11 -69.06
0.685 44.91 26.97 25.96 5.981 41.98 29.9 -5.078 -16.02 31.94 25.96 -16.02 -21.1 8.915 -10.04 -29 -68.05
0.69 58.91 68.95 4.965 38.93 59.92 2.934 16.93 27.99 52.93 32.95 -2.031 6.997 47.96 0 -37.01 -46.04
0.695 21.89 22.91 10.95 2.934 18.96 3.95 -8.012 5.981 23.92 0.9028 -13.09 -11.06 10.95 -14.11 -46.04 -62.07
0.7 25.96 30.92 -15.01 12.98 32.95 2.934 -15.01 23.92 25.96 4.965 -33.06 -4.063 25.96 -26.07 -82.04 -69.06
0.705 25.96 12.98 3.95 4.965 29.9 33.97 -12.07 -10.04 25.96 5.981 -29 -36.11 20.99 -15.01 -81.02 -57.1
0.71 34.98 43 4.965 8.915 45.93 18.96 -6.094 5.981 40.96 15.91 -13.09 -29 20.99 -1.016 -93.1 -31.03
0.715 -12.07 16.93 1.918 -12.07 13.99 10.95 -23.02 -19.07 24.94 8.915 -22.01 -46.04 -4.063 -7.109 -71.09 -6.094
0.72 5.981 43 -11.06 -10.04 -1.016 -4.063 -16.02 -17.04 8.915 0 -37.01 -28.1 -17.04 -21.1 -82.04 -28.1
0.725 -2.031 -1.016 -9.028 -47.06 -27.08 2.934 -42.09 -56.09 -12.07 -7.109 -50.1 -75.04 -48.07 -11.06 -66.02 -15.01
0.73 24.94 24.94 -17.04 -20.09 3.95 -9.028 -15.01 -25.05 -10.04 12.98 -26.07 -27.08 -21.1 26.97 -24.04 49.99
0.735 -11.06 -1.016 12.98 -20.09 -7.109 -3.047 3.95 -34.08 -18.06 0.9028 17.94 -21.1 -27.08 32.95 22.91 76.96
0.74 -30.02 -7.109 -33.06 -25.05 -21.1 -9.028 -17.04 -15.01 2.934 -7.109 -15.01 3.95 -18.06 20.99 30.92 62.97
0.745 -44.01 -43.11 -42.09 -42.09 -19.07 -19.07 -43.11 -32.05 -10.04 7.899 -23.02 -8.012 -31.03 22.91 28.89 61.95
0.75 -52.02 -29 -37.01 -24.04 -23.02 -25.05 -26.07 -17.04 -12.07 -5.078 -10.04 8.915 -10.04 31.94 36.9 75.95
0.755 -50.1 -41.08 -50.1 -44.01 -31.03 -34.08 -28.1 -23.02 -22.01 -19.07 -18.06 -5.078 -29 12.98 36 55.97
0.76 -36.11 -55.07 -52.02 -46.04 -25.05 -14.11 -31.03 -8.012 -43.11 -21.1 -23.02 10.95 -38.03 0.9028 41.98 28.89
0.765 -45.03 -77.08 -56.09 -54.05 -30.02 -32.05 -41.08 -17.04 -28.1 -32.05 -34.08 -9.028 -37.01 -20.09 16.93 -4.063
0.77 -42.09 -39.05 -31.03 -49.09 -41.08 -59.02 -22.01 -25.05 -58 -39.05 0 -14.11 -46.04 -32.05 9.931 -19.07
0.775 -57.1 -31.03 -9.028 -28.1 -35.1 -32.05 -1.016 -26.07 -55.07 -35.1 7.899 -23.02 -47.06 -30.02 23.92 -18.06
0.78 -53.04 -21.1 -29 -10.04 -23.02 -18.06 -6.094 5.981 -28.1 -36.11 -5.078 3.95 -27.08 -47.06 -5.078 -66.02
0.785 -21.1 -33.06 -7.109 -21.1 1.918 -7.109 0 -12.07 -23.02 -13.09 13.99 -8.012 -28.1 -48.07 16.93 -53.04
0.79 23.92 16.93 32.95 28.89 29.9 16.93 37.92 46.94 -2.031 15.91 70.98 38.93 26.97 -7.109 53.94 -7.109
0.795 28.89 30.92 54.96 32.95 43.9 36 47.96 49.99 27.99 30.92 67.93 51.91 31.94 13.99 79.9 18.96
0.8 29.9 46.94 36 54.96 51.91 44.91 48.98 77.98 50.89 50.89 43.9 79.9 51.91 23.92 52.93 -7.109
0.805 52.93 38.93 37.92 56.99 66.92 47.96 45.93 66.92 63.98 47.96 58.91 54.96 59.92 33.97 25.96 0.9028
0.81 63.98 48.98 36 68.95 75.95 40.96 37.92 72.9 70.98 51.91 36 63.98 74.93 56.99 13.99 12.98
0.815 23.92 32.95 43.9 38.93 47.96 29.9 15.91 59.92 70.98 33.97 5.981 36.9 63.98 32.95 5.981 7.899
0.82 64.89 76.96 56.99 81.93 82.94 56.99 68.95 82.94 70.98 68.95 26.97 65.9 76.96 33.97 0 6.997
0.825 57.89 60.94 54.96 62.97 69.97 45.93 44.91 60.94 83.96 51.91 34.98 43 70.98 48.98 6.997 -4.063
0.83 50.89 76.96 47.96 65.9 73.92 21.89 41.98 69.97 80.91 37.92 36 39.95 78.99 37.92 -6.094 1.918
0.835 27.99 43 39.95 36 43.9 20.99 2.934 25.96 57.89 25.96 -1.016 -1.016 43.9 20.99 -8.012 3.95
0.84 28.89 34.98 5.981 34.98 36.9 19.97 -4.063 23.92 58.91 0.9028 -18.06 -1.016 33.97 -6.094 -16.02 -6.094
0.845 11.96 16.93 30.92 22.91 40.96 28.89 16.93 8.915 48.98 26.97 0 -9.028 32.95 26.97 9.931 34.98
0.85 26.97 48.98 23.92 51.91 61.95 27.99 33.97 38.93 63.98 43.9 24.94 29.9 67.93 51.91 18.96 83.96
0.855 2.934 8.915 -2.031 15.91 28.89 26.97 -8.012 8.915 45.93 26.97 -3.047 -3.047 23.92 27.99 15.91 86.89
0.86 14.9 -1.016 -33.06 6.997 14.9 18.96 -34.08 12.98 34.98 10.95 -31.03 3.95 19.97 4.965 -6.094 57.89
