    T[sec]  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
36.04 1648 1648 1648 1648 1648 1648 1648 1648 1648 1648 1648 1648 1648 1648
0.976563 59.54 158.5 151.3 169 -69.19 114.3 344.4 200.3 73.22 -180.2 -425.6 88.51 -496.4 -313.8
0.984375 19.31 103 142.4 -101.4 154.5 272.8 195.5 183.4 -138.4 -24.14 -180.2 248.6 -172.2 -10.46
0.992188 174.6 218.8 156.9 54.71 368.5 176.2 146.4 232.5 -311.4 -10.46 -12.07 463.4 -196.3 115.9
1 -49.08 198.7 297.7 336.3 -178.6 56.32 210.8 425.6 -352.4 5.632 116.7 303.3 70.8 229.3
1.00781 51.49 192.3 248.6 244.6 -282.4 -181 190.7 177.8 -149.7 -298.5 33.79 427.2 -102.2 435.3
1.01563 17.7 -25.75 -60.34 -203.6 -168.2 -243.8 -3.218 0 169 -375.7 -38.62 184.3 95.75 480.3
1.02344 -73.22 -207.6 -392.6 -263.1 142.4 -303.3 -196.3 -167.4 228.5 -340.3 -425.6 -117.5 276.8 479.5
1.03125 -209.2 -125.5 -258.3 -361.3 145.6 -42.64 -95.75 -158.5 188.3 -166.6 -160.1 -94.14 266.3 509.3
1.03906 -14.48 140.8 248.6 -88.51 93.33 160.9 231.7 -72.41 -108.6 88.51 -41.03 -96.55 420 255.9
1.04688 255.9 243 83.68 110.2 -7.241 221.3 273.6 -23.33 5.632 71.61 166.6 -66.78 23.33 136
1.05469 30.57 158.5 143.2 109.4 235.7 267.9 374.9 -41.03 63.56 427.2 -5.632 88.51 202 213.2
1.0625 212.4 140.8 134.4 72.41 174.6 112.6 306.5 176.2 157.7 274.4 232.5 16.9 210 80.46
1.07031 9.655 140.8 72.41 -139.2 55.52 120.7 225.3 38.62 -38.62 462.6 178.6 -36.21 409.5 215.6
1.07813 127.9 78.85 9.655 78.85 213.2 129.5 179.4 174.6 -9.655 459.4 402.3 81.26 475.5 359.7
1.08594 210 -45.06 146.4 5.632 14.48 46.67 247.8 213.2 167.4 698.4 519 57.93 320.2 463.4
1.09375 0 56.32 276 151.3 -55.52 60.34 120.7 221.3 148.8 545.5 595.4 171.4 375.7 824.7
1.10156 8.851 18.51 -14.48 -74.02 -310.6 107.8 325.9 132.8 -31.38 377.4 659 154.5 573.7 663
1.10938 154.5 40.23 -92.53 -136.8 -191.5 3.218 0.8046 111.8 -147.2 679.9 521.4 -23.33 670.2 801.4
1.11719 110.2 80.46 -165.7 -107 82.87 142.4 57.93 -53.1 -64.37 639.7 576.9 67.59 918.8 796.5
1.125 196.3 -161.7 -261.5 54.71 0.8046 -219.7 -215.6 -143.2 65.98 362.9 410.3 99.77 698.4 766.8
1.13281 22.53 -215.6 -80.46 -456.2 72.41 -96.55 -386.2 -345.2 199.5 466.7 -49.08 -132.8 860.9 569.7
1.14063 -108.6 -53.1 -159.3 77.24 118.3 50.69 -11.26 -114.3 71.61 583.3 38.62 -284 780.5 299.3
1.14844 -57.13 -67.59 -97.36 35.4 113.4 -69.19 -89.31 -221.3 20.92 251.8 81.26 -41.03 436.9 0.8046
1.15625 79.65 104.6 74.83 70 -287.2 -168.2 35.4 -24.14 43.45 98.96 -242.2 -101.4 446.5 -285.6
1.16406 28.97 -197.1 7.241 -175.4 -606.7 -65.17 -235.7 -167.4 -137.6 -182.6 -251 -104.6 -7.241 -534.2
1.17188 9.655 -115.1 107.8 -278.4 -353.2 -48.28 -30.57 -105.4 -172.2 0 -231.7 -54.71 -58.74 -378.2
1.17969 359.7 -13.68 7.241 -196.3 138.4 85.29 217.2 157.7 23.33 228.5 52.3 34.6 35.4 81.26
1.1875 270.3 182.6 -3.218 -69.19 163.3 78.85 71.61 -156.1 -129.5 -66.78 170.6 15.29 -53.1 64.37
1.19531 250.2 190.7 140 -106.2 118.3 6.437 9.655 -22.53 -163.3 -223.7 0.8046 73.22 -36.21 -70.8
1.20313 30.57 32.99 -7.241 -49.08 116.7 -49.08 -34.6 137.6 -161.7 -228.5 -121.5 -49.08 0 82.87
1.21094 105.4 -81.26 -107 59.54 -512.5 -185.1 -26.55 -40.23 134.4 -149.7 11.26 218.8 34.6 200.3
1.21875 21.72 -249.4 -158.5 -235.7 -529.4 -361.3 -111 -145.6 67.59 -175.4 -181 1.609 -63.56 307.4
1.22656 -14.48 -245.4 -361.3 -118.3 108.6 -275.2 -456.2 -216.4 -77.24 -433.7 -503.7 3.218 -82.07 54.71
1.23438 106.2 -173.8 -113.4 6.437 323.4 -262.3 -369.3 -145.6 -31.38 -573.7 -730.6 -70.8 -43.45 -69.19
1.24219 -11.26 118.3 33.79 61.95 -201.1 -178.6 -143.2 -87.7 -222.1 -430.5 -745.1 -281.6 -211.6 -300.1
1.25 256.7 226.9 391.8 105.4 -329.1 -20.11 67.59 -9.655 -16.09 -158.5 -609.1 -340.3 -180.2 -336.3
1.25781 359.7 314.6 200.3 8.851 -131.1 163.3 437.7 217.2 -117.5 -383.8 -401.5 -183.4 -440.1 -588.2
1.26563 313.8 383 143.2 -29.77 119.9 214.8 283.2 116.7 -113.4 -258.3 -360.5 -114.3 -621.1 -756.3
1.27344 322.6 220.5 11.26 180.2 202 257.5 13.68 -22.53 -132.8 -236.6 -363.7 49.88 -731.4 -794.1
1.28125 176.2 364.5 38.62 9.655 65.98 123.9 259.9 -30.57 88.51 -152.1 -139.2 -153.7 -558.4 -733.8
1.28906 70.8 16.9 66.78 96.55 -36.21 117.5 183.4 -51.49 81.26 -203.6 -99.77 -38.62 -650.1 -531
1.29688 114.3 90.92 24.94 -119.1 -53.1 -126.3 143.2 38.62 -101.4 -100.6 -56.32 113.4 -625.2 -299.3
1.30469 -25.75 122.3 -70.8 -77.24 108.6 -103.8 118.3 52.3 -26.55 -299.3 -42.64 228.5 -297.7 7.241
1.3125 -73.22 -49.08 -16.09 -55.52 129.5 161.7 -35.4 113.4 67.59 -143.2 100.6 165.7 -44.25 288.8
1.32031 97.36 94.94 -38.62 -77.24 -205.2 182.6 31.38 -43.45 210.8 -66.78 94.94 22.53 313 313.8
1.32813 178.6 -13.68 -52.3 154.5 -51.49 36.21 -197.1 -29.77 146.4 -77.24 -212.4 -269.5 259.9 116.7
1.33594 0 46.67 30.57 60.34 103.8 -61.15 -320.2 -134.4 46.67 -91.72 -640.5 -343.6 15.29 -98.16
1.34375 7.241 46.67 65.98 42.64 153.7 46.67 -154.5 -92.53 -205.2 -217.2 -392.6 -194.7 -370.1 -640.5
1.35156 232.5 174.6 -31.38 -106.2 249.4 213.2 76.44 -272.8 -110.2 89.31 -279.2 -126.3 -373.3 -651.7
1.35938 92.53 -49.08 129.5 -144 160.9 18.51 202 -106.2 -206.8 -48.28 -577.7 -70.8 -494 -824.7
1.36719 137.6 26.55 202 207.6 -165.7 -166.6 26.55 89.31 77.24 -65.17 -532.6 -114.3 -693.6 -920.5
1.375 147.2 -5.632 9.655 -81.26 -50.69 -163.3 93.33 67.59 -28.16 -223.7 -427.2 -18.51 -512.5 -668.6
1.38281 244.6 -129.5 87.7 -126.3 -79.65 -57.13 1.609 -155.3 108.6 -308.2 -441.7 126.3 -287.2 -432.1
1.39063 33.79 40.23 -88.51 82.87 -317 18.51 -126.3 154.5 -47.47 -270.3 -157.7 93.33 -273.6 -473.1
1.39844 -23.33 90.92 95.75 210.8 -98.16 11.26 35.4 244.6 100.6 46.67 -162.5 212.4 -52.3 -71.61
1.40625 136 148.8 -10.46 59.54 -2.414 -30.57 160.9 219.7 -31.38 -296.1 -197.1 133.6 53.91 84.48
1.41406 196.3 -15.29 -17.7 -70.8 313.8 56.32 55.52 213.2 -168.2 186.7 88.51 328.3 27.36 368.5
1.42188 11.26 -35.4 -80.46 5.632 176.2 116.7 61.95 25.75 -99.77 1.609 58.74 -23.33 289.7 253.4
1.42969 -85.29 4.828 -183.4 -21.72 -371.7 5.632 -118.3 -103.8 -16.09 -150.5 -206.8 -237.4 33.79 -31.38
1.4375 -112.6 132.8 -167.4 20.92 -58.74 -44.25 152.9 -175.4 5.632 -37.01 -363.7 -109.4 41.84 -186.7
1.44531 92.53 26.55 -37.01 116.7 -8.046 126.3 62.76 58.74 60.34 246.2 -255.1 -150.5 -147.2 -342.8
1.45313 145.6 158.5 34.6 169 -143.2 -37.01 204.4 72.41 137.6 157.7 10.46 -60.34 96.55 -217.2
1.46094 -94.14 52.3 -8.046 111.8 198.7 125.5 4.828 121.5 141.6 226.9 126.3 5.632 277.6 -10.46
1.46875 134.4 -35.4 -66.78 -40.23 196.3 -83.68 104.6 -138.4 196.3 200.3 -31.38 236.6 457.8 10.46
1.47656 208.4 86.9 -32.18 57.93 177.8 67.59 -38.62 -105.4 51.49 120.7 117.5 180.2 186.7 -72.41
1.48438 119.9 -19.31 191.5 198.7 -15.29 -30.57 68.39 -22.53 137.6 140.8 31.38 5.632 104.6 35.4
1.49219 107.8 174.6 73.22 -52.3 -15.29 -50.69 251.8 130.3 -119.1 -21.72 72.41 1.609 73.22 -86.09
1.5 -39.43 -9.655 105.4 145.6 86.9 -214 -148 122.3 -145.6 151.3 110.2 45.86 138.4 318.6
1.50781 -136.8 -213.2 -155.3 -105.4 52.3 -302.5 -240.6 -127.1 -102.2 267.9 -59.54 162.5 162.5 359.7
1.51563 -110.2 -175.4 -107 -40.23 48.28 -163.3 -234.1 -91.72 159.3 342.8 -303.3 107.8 145.6 155.3
1.52344 -2.414 -75.63 -93.33 -310.6 5.632 -19.31 -184.3 -228.5 24.94 -34.6 -311.4 -96.55 128.7 2.414
1.53125 -184.3 -67.59 -179.4 -25.75 -111 -297.7 -67.59 -217.2 -76.44 -372.5 -578.5 -167.4 -318.6 -120.7
