    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
30.98 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1 158.1
0.976563 41.99 1.93 31.96 29.95 59.97 5.943 5.943 31.96 35.97 -10.03 9.957 23.93 23.93 -2.007 17.98 29.95
0.984375 47.93 7.95 35.97 35.97 67.92 5.943 0 39.98 44 -6.021 -6.021 31.96 35.97 -24 13.97 27.94
0.992188 35.97 5.943 23.93 23.93 55.96 1.93 -4.014 33.96 44 -4.014 -10.03 31.96 37.98 -36.05 11.96 17.98
1 17.98 3.936 7.95 9.957 31.96 1.93 1.93 25.93 37.98 -4.014 -6.021 29.95 33.96 -34.04 5.943 7.95
1.00781 7.95 3.936 1.93 1.93 11.96 3.936 11.96 17.98 27.94 -4.014 -4.014 25.93 29.95 -26.01 -8.027 0
1.01563 3.936 5.943 3.936 3.936 0 7.95 15.98 11.96 15.98 -4.014 -10.03 17.98 25.93 -24 -24 -6.021
1.02344 -4.014 3.936 1.93 1.93 -12.04 5.943 5.943 0 1.93 -6.021 -26.01 3.936 13.97 -24 -34.04 -10.03
1.03125 -24 -4.014 -12.04 -14.05 -32.03 -4.014 -12.04 -22.08 -12.04 -12.04 -36.05 -18.06 -6.021 -20.07 -32.03 -16.05
1.03906 -50.02 -18.06 -36.05 -38.05 -60.05 -14.05 -28.02 -50.02 -28.02 -22.08 -28.02 -46 -36.05 -4.014 -20.07 -26.01
1.04688 -72.01 -26.01 -52.02 -60.05 -82.05 -18.06 -28.02 -76.03 -44.07 -28.02 -4.014 -68 -60.05 22 -6.021 -32.03
1.05469 -74.02 -22.08 -50.02 -66.07 -82.05 -14.05 -12.04 -84.06 -48.01 -20.07 25.93 -70.01 -66.07 47.93 5.943 -26.01
1.0625 -50.02 -12.04 -26.01 -50.02 -54.03 -4.014 3.936 -70.01 -38.05 -6.021 45.93 -50.02 -44.07 61.98 17.98 -4.014
1.07031 -10.03 -4.014 1.93 -20.07 -14.05 5.943 9.957 -38.05 -16.05 11.96 45.93 -14.05 -8.027 55.96 31.96 23.93
1.07813 23.93 -4.014 19.99 3.936 22 5.943 0 -2.007 3.936 17.98 31.96 17.98 23.93 39.98 39.98 44
1.08594 41.99 -6.021 23.93 15.98 39.98 3.936 -12.04 17.98 17.98 15.98 15.98 33.96 35.97 17.98 33.96 41.99
1.09375 44 0 23.93 19.99 39.98 9.957 -10.03 25.93 23.93 11.96 7.95 31.96 29.95 1.93 19.99 23.93
1.10156 41.99 19.99 22 22 37.98 22 5.943 27.94 27.94 13.97 7.95 25.93 22 -4.014 -2.007 1.93
1.10938 39.98 44 25.93 31.96 44 35.97 25.93 29.95 37.98 23.93 5.943 22 22 -8.027 -16.05 -10.03
1.11719 35.97 49.94 23.93 39.98 45.93 37.98 29.95 33.96 41.99 23.93 -4.014 23.93 25.93 -14.05 -20.07 -12.04
1.125 17.98 37.98 11.96 39.98 33.96 27.94 13.97 31.96 37.98 13.97 -16.05 17.98 17.98 -22.08 -18.06 -12.04
1.13281 -14.05 13.97 -12.04 22 5.943 5.943 -4.014 15.98 22 -4.014 -18.06 1.93 -4.014 -22.08 -14.05 -20.07
1.14063 -48.01 3.936 -28.02 -2.007 -30.03 -8.027 -2.007 -10.03 0 -14.05 0 -18.06 -34.04 -6.021 -10.03 -30.03
1.14844 -62.06 9.957 -32.03 -16.05 -46 -8.027 15.98 -26.01 -12.04 -4.014 27.94 -26.01 -44.07 19.99 5.943 -28.02
1.15625 -50.02 19.99 -18.06 -16.05 -36.05 1.93 31.96 -22.08 -6.021 9.957 45.93 -14.05 -30.03 44 23.93 -8.027
1.16406 -16.05 19.99 0 -2.007 -6.021 7.95 25.93 -4.014 7.95 15.98 44 11.96 1.93 49.94 39.98 25.93
1.17188 13.97 0 11.96 9.957 19.99 3.936 0 19.99 17.98 5.943 22 35.97 29.95 39.98 39.98 51.95
1.17969 29.95 -18.06 15.98 9.957 27.94 -4.014 -18.06 29.95 19.99 -2.007 1.93 41.99 37.98 25.93 25.93 57.97
1.1875 25.93 -18.06 15.98 5.943 25.93 -6.021 -12.04 25.93 15.98 0 -6.021 33.96 33.96 13.97 9.957 45.93
1.19531 19.99 0 17.98 3.936 23.93 3.936 11.96 15.98 17.98 15.98 0 22 23.93 13.97 -4.014 25.93
1.20313 19.99 25.93 22 11.96 27.94 19.99 33.96 13.97 23.93 25.93 3.936 11.96 17.98 9.957 -14.05 9.957
1.21094 25.93 31.96 22 17.98 31.96 25.93 29.95 15.98 25.93 19.99 -4.014 5.943 13.97 -6.021 -20.07 -2.007
1.21875 23.93 13.97 7.95 15.98 19.99 11.96 1.93 13.97 13.97 -8.027 -24 0 1.93 -36.05 -38.05 -20.07
1.22656 9.957 -10.03 -12.04 1.93 -8.027 -8.027 -26.01 0 -12.04 -34.04 -38.05 -16.05 -22.08 -60.05 -56.04 -42.07
1.23438 -18.06 -22.08 -30.03 -20.07 -38.05 -20.07 -34.04 -20.07 -34.04 -46 -38.05 -34.04 -44.07 -62.06 -62.06 -58.04
1.24219 -38.05 -18.06 -38.05 -32.03 -52.02 -16.05 -20.07 -38.05 -36.05 -32.03 -24 -42.07 -50.02 -36.05 -44.07 -56.04
1.25 -38.05 -8.027 -36.05 -32.03 -42.07 0 -6.021 -44.07 -22.08 -12.04 -4.014 -36.05 -32.03 -2.007 -10.03 -32.03
1.25781 -20.07 -12.04 -26.01 -26.01 -20.07 7.95 -8.027 -32.03 -8.027 0 5.943 -16.05 -4.014 17.98 23.93 1.93
1.26563 3.936 -28.02 -14.05 -18.06 0 0 -20.07 -14.05 -4.014 -2.007 1.93 3.936 19.99 15.98 33.96 33.96
1.27344 19.99 -46 -4.014 -14.05 7.95 -10.03 -30.03 5.943 -8.027 -12.04 -4.014 17.98 25.93 5.943 29.95 47.93
1.28125 22 -36.05 7.95 -6.021 7.95 -14.05 -14.05 17.98 -10.03 -14.05 1.93 23.93 19.99 3.936 22 45.93
1.28906 17.98 -4.014 15.98 9.957 7.95 -4.014 15.98 23.93 0 -6.021 19.99 27.94 11.96 13.97 23.93 39.98
1.29688 15.98 27.94 23.93 23.93 11.96 9.957 37.98 27.94 11.96 3.936 33.96 29.95 7.95 17.98 33.96 31.96
1.30469 19.99 37.98 27.94 33.96 17.98 15.98 37.98 29.95 15.98 5.943 27.94 29.95 3.936 5.943 31.96 19.99
1.3125 23.93 23.93 22 33.96 15.98 5.943 17.98 29.95 7.95 -4.014 3.936 22 -2.007 -22.08 5.943 3.936
1.32031 17.98 1.93 13.97 23.93 7.95 -4.014 -6.021 23.93 -2.007 -20.07 -28.02 7.95 -12.04 -48.01 -36.05 -18.06
1.32813 3.936 -10.03 1.93 13.97 -8.027 -6.021 -16.05 11.96 -8.027 -24 -48.01 -8.027 -16.05 -56.04 -64.06 -36.05
1.33594 -18.06 -6.021 -12.04 5.943 -22.08 -2.007 -10.03 -4.014 -6.021 -16.05 -40.06 -22.08 -14.05 -38.05 -60.05 -42.07
1.34375 -38.05 3.936 -24 -6.021 -36.05 0 1.93 -20.07 -6.021 -10.03 -18.06 -28.02 -8.027 -8.027 -30.03 -30.03
1.35156 -44.07 0 -28.02 -18.06 -46 -8.027 1.93 -30.03 -14.05 -10.03 5.943 -26.01 0 15.98 5.943 -12.04
1.35938 -38.05 -20.07 -22.08 -30.03 -46 -20.07 -8.027 -30.03 -28.02 -20.07 13.97 -20.07 -2.007 22 19.99 3.936
