    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1 128.1
0.625 -3.001 -5.002 -19.01 -13.01 -5.002 -7.003 -18.01 -22.01 -16.01 -10 -14.01 -17.01 -22.01 -20.01 2.939 4.94
0.63 -5.002 -3.001 -17.01 -11.01 -9.004 -13.01 -18.01 -22.01 -14.01 -10 -8.004 -11.01 -18.01 -16.01 6.941 12.94
0.635 -5.002 0.938 -15.01 -9.004 -11.01 -13.01 -11.01 -15.01 -7.003 -11.01 -3.001 -3.001 -9.004 -9.004 5.94 17.95
0.64 -3.001 -2.001 -13.01 -5.002 -7.003 -9.004 1.938 -3.001 -2.001 -4.002 0.938 2.939 0.938 1.938 6.941 19.95
0.645 -3.001 0.938 -11.01 -3.001 -1 -3.001 6.941 3.939 7.941 1.938 8.942 8.942 7.941 7.941 6.941 21.95
0.65 -1 -1 -9.004 -1 0 -2.001 13.94 13.94 13.94 0 11.94 13.94 15.95 13.94 3.939 17.95
0.655 -3.001 -3.001 -9.004 0.938 0 0 13.94 17.95 17.95 0 11.94 12.94 15.95 15.95 3.939 16.95
0.66 -5.002 -5.002 -9.004 -2.001 -2.001 -2.001 7.941 15.95 13.94 -2.001 7.941 6.941 13.94 11.94 1.938 14.94
0.665 -7.003 -7.003 -11.01 0 -3.001 -3.001 0 9.942 9.942 -3.001 0 -2.001 7.941 7.941 -2.001 5.94
0.67 -11.01 -7.003 -11.01 1.938 -7.003 -9.004 -3.001 1.938 1.938 -7.003 -3.001 -5.002 1.938 1.938 -1 -1
0.675 -13.01 -5.002 -9.004 5.94 -11.01 -13.01 -9.004 -2.001 0.938 -11.01 -11.01 -11.01 -2.001 -2.001 -5.002 -5.002
0.68 -15.01 -3.001 -5.002 5.94 -13.01 -15.01 -13.01 -1 -3.001 -13.01 -17.01 -17.01 -1 -1 -9.004 -13.01
0.685 -15.01 -3.001 -1 1.938 -15.01 -17.01 -17.01 -5.002 -7.003 -15.01 -21.01 -21.01 -7.003 -5.002 -13.01 -21.01
0.69 -13.01 -3.001 -1 -1 -15.01 -17.01 -17.01 -9.004 -11.01 -13.01 -19.01 -21.01 -13.01 -11.01 -13.01 -27.01
