    T[sec]  F7  F3 Fz   F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1 163.1
0.833333 5.972 -5.017 6.928 0 30.98 18.95 -23.01 1.991 7.963 8.998 -14.01 -3.026 -19.03 5.972 -43.08 -29.06
0.84 5.972 12.98 10.99 27.95 35.99 1.991 -5.017 -1.035 23.97 2.946 -17.04 1.991 -17.04 -4.061 -33.05 -25
0.846667 3.981 1.991 14.97 14.97 6.928 2.946 -16.01 -2.07 -2.07 31.93 -22.06 -4.061 -28.03 8.998 -41.01 -24.05
0.853333 0.9555 8.998 8.998 11.94 1.991 -1.035 0.9555 0.9555 0 19.99 -3.026 5.972 -24.05 -2.07 -11.07 -19.03
0.86 -9.078 -8.043 -10.03 -12.02 -24.05 1.991 -5.017 -10.03 -17.04 5.972 -1.035 -9.078 -34 1.991 -1.035 -19.03
0.866667 0.9555 1.991 -6.052 -11.07 -27.07 18 19.99 1.991 -29.06 -2.07 33.92 11.94 -24.05 37.98 44.99 11.94
0.873333 0 -9.078 -4.061 -18.08 -26.04 26.99 8.998 0 -21.02 0 14.97 1.991 -20.07 43 36.95 26.99
0.88 19.99 0.9555 16.96 1.991 1.991 52 7.963 21.98 -9.078 6.928 27.95 15.93 -17.04 43 14.97 27.95
0.886667 9.954 11.94 1.991 5.972 -12.02 6.928 3.981 -14.01 25.96 -34 -8.043 1.991 -33.05 -27.07 2.946 0.9555
0.893333 2.946 -5.017 -9.078 -9.078 -35.04 18.95 -7.007 -21.02 -27.07 -17.04 10.99 -6.052 -44.03 -29.06 -1.035 -12.02
0.9 -2.07 -10.03 -20.07 -14.01 -41.01 16.96 0.9555 -34 -28.03 -25 2.946 -5.017 -29.06 -31.06 20.94 3.981
0.906667 5.972 -31.06 -6.052 -25 -10.03 46.98 -21.02 -12.02 -45.07 6.928 0.9555 -15.05 -25 -13.06 -11.07 0.9555
0.913333 -3.026 -1.035 -10.03 5.972 -12.02 10.99 -5.017 -27.07 5.972 -29.06 -40.05 -6.052 -20.07 -19.03 -13.06 0.9555
