    T[sec]  F7  F3 Fz   F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4 777.4
0.976563 109.7 203.8 177.6 131.7 79.71 1.898 131.7 181.8 131.7 5.694 -255.1 -83.13 -5.314 -107 -411.1 -143.1
0.984375 143.9 320 311.6 227.7 117.7 57.7 227.7 247.9 109.7 -37.2 -207.3 -37.2 -9.11 -131.3 -323 -109.3
0.992188 73.64 238 255.8 189.8 85.79 39.86 169.7 171.9 17.84 -29.23 -113.1 -31.13 -93.38 -125.3 -227.4 -145.4
1 -51.24 21.64 33.78 25.81 0 -59.21 -43.27 -25.05 -83.13 11.77 -69.08 -109.3 -175.4 -65.29 -155.2 -199.3
1.00781 -149.2 -157.1 -167 -127.2 -49.35 -167 -257.4 -211 -121.1 41.75 -67.19 -181.1 -151.1 5.694 -61.11 -177.3
1.01563 -171.2 -217.1 -243.3 -185.2 -53.14 -187.1 -311.3 -273.3 -99.07 17.84 -41.37 -149.2 -45.17 45.93 65.67 -73.26
1.02344 -143.1 -191.3 -215.2 -177.3 -63.01 -127.2 -211 -223.2 -85.03 -27.33 15.94 -45.17 39.86 35.68 181.8 35.68
1.03125 -101.3 -139.3 -157.1 -161.3 -107 -51.24 -73.26 -139.3 -95.27 -51.24 65.67 29.99 71.74 21.64 225.9 103.6
1.03906 -61.11 -73.26 -97.17 -129.1 -129.1 -3.037 9.869 -71.36 -77.05 -29.23 75.92 61.87 73.64 35.68 205.7 131.7
1.04688 -19.36 0 -27.33 -49.35 -71.36 11.77 45.93 -23.15 -7.212 0 49.72 69.84 79.71 51.62 149.9 134
1.05469 0 61.87 41.75 51.62 23.91 13.66 65.67 17.84 71.74 23.91 -7.212 43.65 75.92 41.75 27.71 99.83
1.0625 3.796 79.71 93.76 127.9 95.65 -2.277 105.9 69.84 123.7 47.83 -97.17 -29.23 53.9 15.94 -161.3 17.84
1.07031 13.66 85.79 127.9 153.7 117.7 -15.18 157.9 135.9 153.7 81.99 -183.3 -109.3 23.91 -5.314 -349.2 -79.33
1.07813 39.86 115.8 165.9 165.9 117.7 -33.02 181.8 197.8 179.9 91.86 -225.1 -131.3 -7.212 -43.27 -417.2 -161.3
1.08594 47.83 137.8 191.7 177.6 101.7 -61.11 139.7 209.9 169.7 47.83 -219 -105.1 -55.04 -97.17 -329.1 -189
1.09375 3.796 97.93 147.7 147.7 43.65 -101.3 37.96 127.9 81.99 -25.05 -177.3 -83.13 -105.1 -135.1 -151.1 -157.1
1.10156 -43.27 7.971 33.78 39.86 -45.17 -119.2 -57.32 -19.36 -57.32 -99.07 -109.3 -77.05 -125.3 -129.1 37.96 -67.19
1.10938 -43.27 -59.21 -81.23 -101.3 -115 -79.33 -111.2 -151.1 -173.1 -137 -39.1 -69.08 -101.3 -87.3 186 43.65
1.11719 -1.139 -79.33 -139.3 -195.1 -121.1 -11.01 -119.2 -199.3 -195.1 -123.4 1.898 -67.19 -59.21 -39.1 229.6 127.9
1.125 9.869 -81.23 -137 -197 -93.38 27.71 -95.27 -167 -143.1 -59.21 33.78 -61.11 -31.13 -2.277 161.7 131.7
1.13281 -1.139 -79.33 -107 -131.3 -69.08 49.72 -49.35 -101.3 -77.05 0 91.86 -2.277 -5.314 35.68 84.65 98.69
1.14063 5.694 -43.27 -53.14 -55.04 -51.24 85.79 9.869 -23.15 -17.08 11.77 165.9 137.8 51.62 59.97 112 97.93
1.14844 53.9 23.91 21.64 0 -19.36 123.7 77.81 51.62 53.9 -13.29 179.9 251.7 143.9 55.8 194 147.7
1.15625 75.92 79.71 89.96 33.78 11.77 105.9 115.8 95.65 125.6 -23.15 89.96 211.8 187.9 25.81 167.8 151.8
1.16406 29.99 61.87 95.65 29.99 21.64 25.81 115.8 67.94 123.7 5.694 -35.3 38.72 109.7 -18.22 -26.19 38.72
1.17188 -33.02 0 29.99 -3.037 7.971 -53.14 75.92 -17.08 21.64 43.65 -111.2 -121.1 -59.21 -83.13 -257.4 -143.1
1.17969 -57.32 -35.3 -23.15 -27.33 13.66 -87.3 19.74 -87.3 -85.03 47.83 -117.3 -169.3 -199.3 -143.1 -347.3 -271
1.1875 -35.3 -19.36 -1.139 3.796 49.72 -65.29 0 -59.21 -85.03 21.64 -85.03 -107 -213.3 -181.1 -266.1 -278.2
1.19531 0.7592 31.88 75.92 81.99 67.94 -21.26 49.72 37.96 3.796 -15.18 -18.22 -6.073 -145.4 -196.2 -106.3 -222.1
1.20313 21.64 71.74 123.7 101.7 19.74 13.66 117.7 105.9 59.97 -73.26 61.87 67.94 -101.3 -195.1 41.75 -159
1.21094 27.71 51.62 67.94 21.64 -61.11 23.91 112 69.84 9.869 -133.2 119.9 93.76 -93.38 -159 155.6 -77.05
1.21875 0.7592 -17.08 -41.37 -87.3 -101.3 3.796 23.91 -19.36 -61.11 -145.4 112.7 76.68 -56.18 -74.02 224.7 46.69
1.22656 -53.14 -79.33 -105.1 -127.2 -67.19 -21.26 -47.07 -79.33 -67.19 -87.3 64.91 56.94 37.96 28.85 250.9 184.9
1.23438 -83.13 -91.1 -97.17 -97.17 -11.01 -29.23 -37.2 -85.03 -23.15 -1.139 35.68 57.7 127.9 109.7 233.8 249.8
1.24219 -87.3 -81.23 -81.23 -73.26 0 -21.26 1.898 -95.27 -11.01 45.93 33.78 57.7 143.9 145.8 187.9 225.9
1.25 -87.3 -87.3 -81.23 -79.33 0 -19.36 1.898 -111.2 -22.02 62.63 16.7 36.82 126.8 154.9 120.7 168.9
1.25781 -95.27 -97.17 -67.19 -57.32 15.94 -39.1 -25.05 -79.33 7.971 75.92 -39.1 -1.139 129.8 146.9 32.64 124.9
1.26563 -91.1 -91.1 -21.26 1.898 51.62 -67.19 -37.2 0 85.79 95.65 -120.3 -54.28 137.8 114.6 -92.24 84.65
1.27344 -65.29 -61.11 13.66 49.72 45.93 -79.33 -5.314 67.94 107.8 85.79 -181.1 -127.2 95.65 57.7 -237.2 19.74
1.28125 -6.073 -4.175 49.72 57.7 2.657 -41.37 59.97 85.79 52.76 28.85 -184.1 -150.3 2.657 -2.277 -289.2 -27.33
1.28906 71.74 91.86 119.9 81.99 -17.08 49.72 153.7 105.9 15.94 -45.17 -119.2 -59.21 -65.29 -63.01 -176.1 -32.26
1.29688 151.8 194 201.9 127.9 1.898 142 224 137.8 47.83 -79.33 -12.15 82.75 -84.27 -106.3 14.8 -18.22
1.30469 157.9 199.7 194 123.7 13.66 135.9 187.9 115.8 73.64 -45.17 65.67 127.9 -95.27 -119.2 107.8 -75.16
1.3125 62.63 80.85 63.77 33.78 0.7592 27.71 39.86 6.832 6.832 2.657 94.89 33.78 -124.1 -105.1 51.62 -207.3
1.32031 -51.24 -67.19 -73.26 -63.01 -15.18 -57.32 -79.33 -97.17 -93.38 9.869 97.93 -57.32 -143.1 -83.13 -11.01 -307.1
1.32813 -76.3 -120.3 -103.2 -79.33 -14.04 -27.33 -63.01 -105.1 -112.4 -8.351 124.9 -14.04 -84.27 -42.13 41.75 -254.3
1.33594 -9.11 -51.24 -33.02 -23.15 0 59.97 45.93 -25.05 -19.36 -2.277 160.9 98.69 50.86 32.64 175 -60.35
1.34375 38.72 26.95 21.64 19.74 14.8 91.86 112 28.85 82.75 72.88 149.9 143.9 192.8 145.8 235 137.8
1.35156 5.694 33.78 13.66 9.869 21.64 17.84 61.87 11.77 103.6 149.9 57.7 61.87 241.8 229.6 160.9 246.7
1.35938 -58.08 -22.02 -23.15 -19.36 30.75 -63.01 -31.13 -34.16 56.94 150.7 -64.15 -63.01 178.8 217.9 9.869 239.9
1.36719 -76.3 -66.05 -43.27 -27.33 36.82 -85.03 -69.08 -52 1.898 76.68 -164.4 -147.3 68.7 112 -121.1 165.9
1.375 -32.26 -50.1 -14.04 -5.314 34.92 -53.14 -35.3 -30.37 -24.29 8.73 -201.2 -171.2 -9.11 -7.212 -210.3 74.78
1.38281 6.832 -6.073 21.64 11.77 18.98 -35.3 5.694 -3.037 -22.02 0.7592 -194.3 -158.3 -58.08 -74.02 -247.1 -5.314
1.39063 30.75 22.77 43.65 15.94 1.898 -43.27 23.91 4.935 -14.04 16.7 -170.1 -127.2 -102.1 -111.2 -241 -83.13
1.39844 76.68 74.78 80.85 35.68 1.898 -9.11 59.97 44.79 1.898 -12.15 -113.1 -36.06 -151.1 -172.3 -170.1 -136.3
1.40625 178.8 188.7 170.8 107.8 37.96 112 187.9 145 22.77 -92.24 0 145 -195.1 -264.2 -24.29 -162.1
1.41406 264.9 296.8 260.8 188.7 85.79 247.9 357.9 235 45.93 -140.1 147.7 332.9 -199.3 -308.2 137.8 -156
1.42188 240.7 268.7 231.9 169.7 80.85 263.8 391.7 192.8 30.75 -100.2 227.7 339.7 -150.3 -239.1 220.9 -137
1.42969 103.6 87.68 56.94 38.72 18.98 119.9 184.9 13.66 -10.25 -4.175 175.7 126.8 -59.21 -64.15 183.7 -85.03
1.4375 -24.29 -92.24 -118 -99.07 -37.2 -53.14 -117.3 -166.3 -45.17 58.83 57.7 -120.3 27.71 112.7 117.7 1.898
1.44531 -62.25 -150.3 -169.3 -138.2 -53.14 -113.1 -260 -209.1 -35.3 68.7 6.832 -174.2 120.7 227 129.8 123.7
1.45313 -34.16 -106.3 -119.2 -109.3 -38.34 -53.14 -175.4 -132.1 -1.139 66.81 59.97 -33.02 213.7 281.6 210.7 257
1.46094 -9.11 -64.15 -82.37 -95.27 -26.19 4.935 -23.15 -57.32 30.75 83.89 117.7 88.82 292.7 306.7 233.8 340.9
1.46875 -4.175 -44.03 -80.09 -94.14 -11.01 -2.277 13.66 -36.06 39.86 101 71.74 56.94 299.9 292.7 131.7 340.9
1.47656 15.94 -3.037 -50.1 -57.32 23.91 -23.15 -20.12 -42.13 37.96 84.65 -34.16 -52 214.8 217.9 -22.02 258.9
1.48438 48.97 43.65 9.869 11.77 65.67 -9.11 -31.13 -37.2 48.97 62.63 -103.2 -104 88.82 112 -140.1 140.8
1.49219 59.97 53.9 52.76 51.62 67.94 17.84 30.75 -14.04 69.84 58.83 -74.02 -76.3 1.898 17.84 -184.1 26.95
1.5 42.89 40.99 54.66 54.66 41.75 39.86 117.7 28.85 81.99 44.79 -21.26 -46.31 -65.29 -64.15 -177.3 -62.25
1.50781 55.8 82.75 90.72 73.64 40.99 50.86 194 113.9 80.85 -3.037 -15.18 -36.06 -138.2 -152.2 -127.2 -130.2
1.51563 102.9 172.7 166.6 129.8 64.91 65.67 235.7 176.9 50.86 -62.25 -35.3 -13.29 -207.3 -219 -44.03 -181.1
1.52344 108.9 198.9 194 142.7 65.67 53.9 208.8 127.9 -25.05 -84.27 -28.09 6.832 -262.3 -250.1 1.898 -245.2
1.53125 40.99 108.9 110.8 63.77 23.91 -7.212 95.65 -8.351 -125.3 -72.12 0 1.898 -299.1 -250.1 1.898 -336.3
1.53906 -13.29 5.694 20.88 -10.25 2.657 -47.07 -2.277 -79.33 -130.2 -60.35 37.96 10.63 -247.1 -200 7.971 -355.3
1.54688 34.92 22.77 49.72 27.71 66.81 35.68 23.91 28.85 20.88 -24.29 105.9 145.8 -6.073 -45.17 145 -177.3
1.55469 145 108.9 153 145 157.9 191.7 171.9 206.9 235.7 64.91 207.6 328.7 350 198.9 335.9 156.8
1.5625 160.9 108.9 156.8 165.9 164 217.9 231.9 222.8 314.7 180.7 261.9 322.6 555.7 394.8 352.6 396.7
1.57031 34.92 -16.32 10.63 37.96 73.64 55.8 91.86 38.72 210.7 227 183.7 64.91 427.8 404.6 142.7 374.6
1.57813 -88.06 -146.1 -131.3 -91.1 -10.25 -121.1 -109.3 -136.3 60.73 175 36.82 -185.2 166.6 265.7 -93.38 224
1.58594 -92.24 -150.3 -137 -91.1 -24.29 -147.3 -161.3 -145.4 -4.175 84.65 -38.34 -202.3 50.86 126.8 -151.1 159.8
1.59375 -18.22 -58.08 -40.24 -9.11 4.935 -69.08 -45.17 -44.03 -26.19 12.91 -47.07 -65.29 85.79 55.8 -90.34 178.8
1.60156 24.67 20.88 23.91 23.91 26.95 -31.13 67.94 8.73 -70.22 -34.16 -70.22 -7.212 64.91 0 -55.04 142
1.60938 34.92 64.91 41.75 3.796 24.67 -41.37 99.83 2.657 -102.1 -82.37 -104 -49.35 -48.21 -93.38 -77.05 5.694
1.61719 51.62 87.68 59.97 1.898 15.94 -13.29 107.8 3.796 -69.08 -103.2 -63.01 -47.07 -159 -195.1 -80.09 -142.3
1.625 80.85 104.8 91.86 37.96 10.63 47.83 142 40.99 -1.139 -80.09 45.93 15.94 -210.3 -239.1 -54.28 -273.3
1.63281 85.79 119.9 123.7 85.79 19.74 73.64 171.9 85.79 55.8 -45.17 98.69 46.69 -230 -214.1 -50.1 -366.3
1.64063 76.68 150.7 147.7 117.7 50.86 47.83 179.9 119.9 84.65 -22.02 64.91 32.64 -204.2 -142.3 -39.1 -364
1.64844 75.92 169.7 147.7 119.9 63.77 33.78 177.6 113.9 67.94 -11.01 47.83 55.8 -107 -49.35 25.81 -233.1
1.65625 72.88 131 91.86 71.74 40.99 53.9 167.8 44.79 -8.351 -8.351 110.8 123.7 -8.351 27.71 121.8 -51.24
1.66406 39.86 57.7 13.66 3.796 13.66 57.7 121.8 -29.23 -95.27 -2.277 151.8 151.8 35.68 87.68 161.7 77.81
1.67188 -1.139 13.66 -7.212 -7.212 50.86 13.66 49.72 -47.07 -61.11 45.93 90.72 102.9 101 158.7 114.6 158.7
