    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1
0.625 -17.02 2.883 11.94 0.9609 0.9609 0 11.94 -2.059 1.922 0 13.86 11.94 7.962 9.884 15.92 13.86
0.63 -20.04 12.9 20.87 5.903 -1.098 0.9609 15.92 -2.059 0.9609 0 18.94 3.981 3.981 10.98 4.942 17.98
0.635 -22.1 18.94 23.89 6.864 -1.098 -4.118 10.98 -5.079 0.9609 -4.118 19.9 0 0.9609 9.884 -2.059 14.96
0.64 -25.12 16.88 21.96 3.981 -9.06 -13.04 7.962 -9.06 -3.02 -15.1 11.94 -7.001 -9.06 5.903 -11.12 11.94
0.645 -25.12 12.9 13.86 -2.059 -10.02 -19.08 2.883 -3.02 -7.001 -17.02 5.903 -6.04 -8.099 5.903 -10.02 7.962
0.65 -24.02 2.883 0.9609 -2.059 -10.02 -15.1 -1.098 -4.118 -5.079 -15.1 5.903 0 -2.059 4.942 -4.118 7.962
0.655 -21 0.9609 -3.02 -7.001 -7.001 -9.06 -1.098 -5.079 -3.02 -9.06 7.962 1.922 1.922 7.962 -2.059 3.981
0.66 -12.08 -1.098 -4.118 -3.02 1.922 -1.098 0.9609 -7.001 -2.059 0 13.86 9.884 6.864 9.884 3.981 0.9609
0.665 -2.059 8.923 -1.098 1.922 2.883 10.98 0.9609 -7.001 0 0.9609 11.94 13.86 6.864 9.884 5.903 -4.118
0.67 0 12.9 7.962 -2.059 5.903 11.94 0 -9.06 0 0 5.903 7.962 -2.059 1.922 1.922 -17.02
0.675 4.942 16.88 14.96 -2.059 5.903 8.923 1.922 -6.04 0.9609 -1.098 -2.059 0.9609 -7.001 -1.098 -1.098 -24.02
0.68 6.864 16.88 11.94 -3.02 0 0.9609 0 -2.059 -5.079 -1.098 -1.098 -2.059 -15.1 -1.098 -7.001 -24.02
0.685 1.922 8.923 5.903 -11.12 -1.098 -5.079 0.9609 -5.079 -9.06 -2.059 0.9609 -5.079 -15.1 5.903 -11.12 -17.02
0.69 -1.098 2.883 -2.059 -16.06 -9.06 -11.12 -5.079 -4.118 -11.12 -2.059 1.922 -2.059 -13.04 10.98 -11.12 -7.001
0.695 -7.001 -1.098 -3.02 -20.04 -17.02 -15.1 -7.001 -8.099 -13.04 0.9609 7.962 -2.059 -11.12 8.923 -13.04 0.9609
0.7 -13.04 -7.001 -3.02 -19.08 -23.06 -17.02 -9.06 -15.1 -17.02 -7.001 9.884 -7.001 -17.02 -2.059 -17.02 0.9609
0.705 -17.02 -9.06 -1.098 -16.06 -25.12 -19.08 -9.06 -19.08 -23.06 -17.02 3.981 -13.04 -25.12 -11.12 -23.06 -3.02
0.71 -19.08 -9.06 0.9609 -10.02 -25.12 -19.08 -11.12 -19.08 -27.04 -25.12 0.9609 -23.06 -35 -21 -27.04 -9.06
0.715 -17.02 -7.001 0.9609 -7.001 -17.02 -17.02 -15.1 -15.1 -27.04 -25.12 -9.06 -29.1 -35 -21 -27.04 -11.12
0.72 -13.04 -3.02 -1.098 -3.02 -5.079 -11.12 -21 -7.001 -19.08 -15.1 -19.08 -29.1 -25.12 -13.04 -23.06 -11.12
0.725 -5.079 -1.098 -3.02 0.9609 3.981 0.9609 -27.04 0.9609 -5.079 -1.098 -25.12 -25.12 -9.06 -3.02 -21 -11.12
