    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2 349.2
0.625 11.93 -15 -9.036 -9.036 -19.1 -17.05 -17.05 -29.15 -25.06 -23.02 -15 -51.15 -25.06 -9.036 -27.11 -5.115
0.63 3.921 -17.05 -19.1 -17.05 -28.13 -20.12 -19.1 -30.01 -29.15 -29.15 -19.1 -43.13 -24.04 -9.036 -21.14 -2.046
0.635 -7.161 -25.06 -29.15 -26.09 -35.12 -18.07 -23.02 -30.01 -31.03 -37.17 -27.11 -38.02 -25.06 -3.069 -18.07 1.875
0.64 -21.14 -35.12 -35.12 -33.08 -39.04 -15 -31.03 -31.03 -33.08 -35.12 -31.03 -29.15 -21.14 0.8525 -11.08 1.875
0.645 -23.02 -33.08 -27.11 -30.01 -33.08 -9.036 -28.13 -29.15 -33.08 -31.03 -31.03 -18.07 -7.161 1.875 -1.023 8.866
0.65 -17.05 -25.06 -15 -18.07 -23.02 -5.115 -22.16 -26.09 -33.08 -21.14 -23.02 -7.161 0 1.875 5.967 10.91
0.655 -1.023 -13.13 -3.069 -5.115 -13.13 -3.069 -11.08 -19.1 -29.15 -15 -9.036 -2.046 0 -2.046 11.93 9.889
0.66 9.889 2.898 3.921 0 -6.138 -1.023 0 -8.013 -25.06 -9.036 0 5.967 0.8525 -2.046 18.92 5.967
0.665 17.9 4.944 5.967 5.967 -2.046 0 0.8525 0 -21.14 -3.069 3.921 5.967 -1.023 -2.046 20.97 1.875
0.67 19.95 6.99 5.967 3.921 -1.023 5.967 -2.046 0 -13.13 -2.046 -2.046 -2.046 -3.069 0 13.98 -2.046
0.675 15.86 2.898 1.875 1.875 1.875 7.843 -3.069 0.8525 -3.069 5.967 -7.161 -6.138 -8.013 3.921 -1.023 -7.161
0.68 9.889 2.898 1.875 0 0.8525 7.843 -9.036 1.875 -2.046 7.843 -15 -18.07 -13.13 7.843 -20.12 -21.14
0.685 7.843 -1.023 5.967 1.875 5.967 7.843 -9.036 -3.069 3.921 7.843 -13.13 -35.12 -23.02 5.967 -49.1 -37.17
0.69 9.889 0.8525 13.98 7.843 8.866 7.843 -3.069 -5.115 7.843 3.921 0.8525 -54.05 -35.12 0 -73.14 -51.15
0.695 13.98 8.866 17.9 11.93 9.889 5.967 0.8525 -5.115 5.967 -2.046 9.889 -68.03 -47.06 -5.115 -83.03 -57.12
0.7 15.86 12.96 13.98 11.93 7.843 3.921 -2.046 -7.161 1.875 -3.069 15.86 -79.11 -57.12 -15 -77.06 -53.02
0.705 13.98 12.96 3.921 5.967 3.921 0 -1.023 -15 -1.023 -11.08 7.843 -83.03 -63.08 -21.14 -63.08 -39.04
0.71 9.889 2.898 -3.069 -1.023 0.8525 -1.023 -11.08 -25.06 -11.08 -15 -5.115 -81.15 -63.08 -21.14 -43.13 -21.14
0.715 1.875 -5.115 -15 -13.13 -9.036 -7.161 -21.14 -33.08 -21.14 -19.1 -21.14 -71.1 -57.12 -15 -25.06 -7.161
0.72 0.8525 -17.05 -21.14 -23.02 -17.05 -13.13 -29.15 -39.04 -29.15 -19.1 -29.15 -55.07 -47.06 -7.161 -13.13 0.8525
