    T[sec]  F7  F3 Fz   F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1 243.1
0.833333 -30.03 -31.1 -30.03 -26.12 -18.04 -18.04 -36.09 -31.1 -32.05 -19.11 -1.068 -34.07 -38.11 3.917 -9.022 -9.022
0.84 -18.04 -15.08 -10.09 -13.06 -12.11 -17.09 -20.06 -7.004 -26.12 -18.04 -8.072 -18.04 -26.12 -4.036 -11.04 -14.01
0.846667 -2.018 0.9497 11.99 0.9497 -3.086 -2.018 -1.068 8.903 -12.11 -17.09 -11.04 -6.054 -17.09 -18.04 -17.09 -24.1
0.853333 10.92 27.9 36.92 27.9 14.96 0.9497 14.96 26 4.986 -10.09 -28.02 0 -8.072 -20.06 -29.08 -28.02
0.86 36.92 42.97 56.98 55.91 30.98 7.954 37.99 32.88 29.91 -1.068 -17.09 7.954 8.903 -5.105 -19.11 -6.054
0.866667 26.95 39.89 52.94 59.95 28.97 9.972 36.92 33.95 40.96 4.986 -20.06 6.885 8.903 -10.09 -15.08 -12.11
0.873333 41.9 40.96 52 49.98 31.93 14.96 41.9 40.96 40.96 13.89 -7.004 20.89 31.93 8.903 -9.022 0
0.88 24.93 29.91 40.96 33.95 32.88 13.89 34.9 43.92 42.97 26.95 0.9497 22.91 38.94 34.9 -1.068 12.94
0.886667 18.99 26 32.88 30.98 24.93 12.94 36.92 37.99 48.91 15.91 3.917 22.91 34.9 43.92 0.9497 26
0.893333 9.972 23.98 21.96 27.9 15.91 16.98 32.88 18.99 38.94 5.936 10.92 14.96 15.91 38.94 4.986 24.93
0.9 5.936 0.9497 0.9497 -2.018 7.954 -2.018 -5.105 0 -2.018 5.936 0 1.899 0 29.91 6.885 11.99
0.906667 31.93 11.99 7.954 9.972 13.89 9.972 5.936 2.968 -3.086 3.917 15.91 7.954 -3.086 21.96 18.99 9.972
0.913333 1.899 3.917 7.954 7.954 5.936 9.972 1.899 0 0 -1.068 11.99 -2.018 -7.004 13.89 6.885 -9.022
0.92 -2.018 7.954 3.917 3.917 3.917 9.972 0.9497 0 -3.086 -1.068 11.99 0.9497 -9.022 13.89 10.92 -3.086
0.926667 -11.04 -3.086 -11.04 -11.04 -11.04 0 -15.08 -16.03 -7.004 -13.06 0.9497 -13.06 -23.03 13.89 -1.068 -7.004
