    T[sec]  F7  F3 Fz   F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1 217.1
0.833333 23.96 25.97 16.96 2.968 12.93 49.93 19.93 8.905 -8.057 8.905 43.99 14.95 29.89 24.91 54.91 58.94
0.84 34.98 22.9 19.93 12.93 2.968 63.92 46.96 10.92 0 8.905 63.92 35.94 37.95 5.936 64.98 67.95
0.846667 32.97 32.97 20.99 17.92 1.908 71.98 45.9 12.93 22.9 0.9541 81.94 37.95 50.99 1.908 64.98 64.98
0.853333 7.951 18.98 22.9 13.99 -7.103 61.91 40.92 21.94 20.99 5.936 69.97 35.94 37.95 -6.043 52.9 46.96
0.86 0 8.905 24.91 17.92 0 45.9 39.97 37 3.922 -6.043 53.96 29.89 18.98 -24.06 30.95 18.98
0.866667 -11.02 4.982 16.96 13.99 -9.011 13.99 26.93 25.97 30.95 -27.03 42.93 3.922 -3.074 -44.1 2.968 -8.057
0.873333 -18.02 -6.043 0 -15.05 -28.09 -3.074 1.908 1.908 20.99 -52.05 46.96 -19.08 -36.04 -67.1 -9.011 -36.04
0.88 -34.03 -24.06 -31.06 -32.01 -46.01 -29.05 -20.04 -40.07 1.908 -64.03 27.99 -49.08 -53 -65.09 -27.03 -57.03
0.886667 -29.05 -39.01 -32.01 -42.09 -28.09 -21.1 -23 -34.03 -35.09 -30 35.94 -32.01 -39.01 -16.01 -13.04 -34.03
0.893333 -33.07 -36.04 -27.03 -36.04 -15.05 -31.06 -20.04 -26.08 -20.04 -15.05 13.99 -22.05 -14.1 10.92 -1.06 -9.011
0.9 -37.1 -28.09 -17.07 -47.07 -13.04 -45.05 -21.1 -15.05 -3.074 -3.074 -3.074 -21.1 -3.074 29.89 2.968 5.936
