    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1 263.1
0.625 -1.028 -1.028 -4.111 -3.084 -3.084 7.966 -2.056 -7.066 5.91 -3.084 -1.028 -11.05 -7.066 -17.09 -2.056 8.994
0.63 2.955 -2.056 -8.094 -1.028 -3.084 2.955 1.927 -6.039 5.91 -2.056 1.927 -11.05 0 -4.111 1.927 8.994
0.635 -5.011 -9.122 -11.05 0 -9.122 -2.056 0 -7.066 1.927 -2.056 1.927 -2.056 -1.028 3.983 6.938 5.91
0.64 -13.11 -10.02 -6.039 0 -7.066 -6.039 -1.028 -2.056 0 0 9.893 1.927 6.938 8.994 9.893 2.955
0.645 -15.03 -4.111 1.927 -2.056 -3.084 -7.066 1.927 0 1.927 0.8994 11.95 3.983 11.95 7.966 9.893 4.882
0.65 -7.066 1.927 3.983 3.983 1.927 -1.028 5.91 6.938 3.983 0.8994 4.882 -2.056 13.88 7.966 0.8994 -1.028
0.655 -5.011 5.91 1.927 3.983 -1.028 -5.011 1.927 1.927 5.91 -5.011 -9.122 -25.05 1.927 1.927 -21.07 -8.094
0.66 -9.122 6.938 -10.02 3.983 -11.05 -11.05 -5.011 -4.111 5.91 -15.03 -29.04 -45.1 -9.122 -3.084 -52.03 -29.04
0.665 -25.05 -1.028 -18.12 1.927 -21.07 -21.07 -19.02 -19.02 1.927 -25.05 -47.02 -57.05 -23.13 -11.05 -79.02 -54.09
0.67 -31.09 -14 -22.1 0 -25.05 -33.02 -29.04 -27.11 -2.056 -31.09 -57.05 -61.03 -37 -15.03 -93.02 -74
0.675 -23.13 -19.02 -27.11 -3.084 -23.13 -39.06 -31.09 -29.04 -7.066 -23.13 -59.1 -59.1 -49.08 -13.11 -93.02 -90.06
0.68 -9.122 -9.122 -23.13 -7.066 -13.11 -35.08 -23.13 -23.13 -11.05 -9.122 -49.08 -47.02 -51.01 -11.05 -79.02 -88.01
0.685 0.8994 5.91 -15.03 -3.084 -1.028 -25.05 -9.122 -13.11 -9.122 0.8994 -31.09 -31.09 -41.11 -5.011 -53.06 -72.08
0.69 -1.028 15.93 -9.122 -2.056 -2.056 -13.11 0.8994 -5.011 -1.028 0.8994 -17.09 -17.09 -25.05 0 -27.11 -43.04
0.695 0.8994 19.91 -7.066 0 -3.084 -7.066 0 -1.028 0 -7.066 -9.122 -11.05 -17.09 13.88 -11.05 -12.08
