    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2 500.2
0.625 -23.2 -32.24 -39.08 -35.17 7.816 1.954 21.98 11.97 -2.198 -100.1 -39.08 -23.2 49.83 115.8 26.87 195.9
0.63 -15.14 -24.18 -31.02 -32.24 19.79 14.9 28.82 13.92 -2.198 -83.05 -24.18 -14.17 45.92 110.9 40.79 192
0.635 -5.129 -13.19 -24.18 -39.08 38.84 28.82 34.93 11.97 -18.08 -50.07 -13.19 -16.12 30.78 87.93 59.84 161.9
0.64 2.931 0 -27.11 -47.14 57.89 33.95 33.95 1.954 -45.19 -7.084 -7.084 -21.01 13.92 53.98 72.79 109.9
0.645 12.95 1.954 -29.07 -47.14 76.94 39.81 35.91 0.977 -71.08 19.79 -4.152 -28.09 1.954 18.81 83.78 56.91
0.65 20.76 13.92 -30.04 -46.17 86.96 38.84 38.84 0 -83.05 32.98 -7.084 -34.2 -1.221 -6.106 90.86 13.92
0.655 26.87 22.96 -21.01 -37.13 81.83 37.86 47.87 7.816 -83.05 29.8 -7.084 -37.13 -1.221 -29.07 98.93 -13.19
0.66 26.87 28.82 -8.061 -26.14 76.94 49.83 64 25.89 -72.06 26.87 0 -30.04 8.793 -46.17 104.8 -25.16
0.665 24.91 29.8 1.954 -12.21 73.77 60.82 74.99 39.81 -57.16 32.98 2.931 -21.01 22.96 -62.04 114.8 -34.2
0.67 18.81 23.94 9.77 -7.084 79.87 71.81 81.83 51.78 -49.1 53.98 13.92 -9.038 32 -69.13 130.9 -41.04
0.675 10.99 20.76 7.816 -2.198 91.84 75.96 79.87 49.83 -41.04 80.85 20.76 -2.198 36.88 -55.2 140 -38.1
0.68 6.839 16.85 0.977 -9.038 99.9 69.86 73.77 39.81 -34.2 93.8 9.77 -8.061 32.98 -22.23 134.8 -30.04
0.685 0.977 5.862 -11.24 -17.1 93.8 55.94 53.98 27.85 -23.2 77.92 -5.129 -21.01 27.85 15.88 108.9 -9.038
0.69 2.931 1.954 -24.18 -27.11 73.77 36.88 42.99 15.88 -2.198 37.86 -32.24 -33.22 25.89 59.84 69.86 25.89
0.695 -1.221 -9.038 -29.07 -33.22 41.77 22.96 32.98 11.97 8.793 -6.106 -56.18 -43.23 27.85 95.99 32.98 71.81
0.7 -7.084 -23.2 -31.02 -33.22 9.77 7.816 29.8 11.97 13.92 -59.11 -73.03 -49.1 32 101.9 0.977 108
0.705 -17.1 -36.15 -22.23 -29.07 -5.129 2.931 34.93 19.79 12.95 -97.22 -77.19 -44.21 39.81 98.93 -22.23 130.9
0.71 -29.07 -47.14 -6.106 -17.1 -11.24 6.839 42.99 33.95 3.908 -113.1 -72.06 -32.24 47.87 90.86 -29.07 144.8
0.715 -29.07 -41.04 7.816 0.977 -5.129 21.98 59.84 55.94 1.954 -115 -59.11 -17.1 59.84 83.78 -23.2 151.9
0.72 -13.19 -22.23 30.78 17.83 5.862 49.83 85.98 85.98 11.97 -100.1 -38.1 2.931 81.83 82.8 -3.175 156.8
