    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1
0.625 -1.096 0.9966 -3.089 0 11.96 1.993 7.973 9.966 19.93 11.96 0 7.973 33.98 15.95 -29 55.91
0.63 0.9966 -5.083 0 -7.076 0 -1.096 12.96 9.966 3.986 0.9966 19.93 24.91 24.91 4.983 13.95 59.99
0.635 8.969 0.9966 -1.096 -15.05 -13.06 -14.05 7.973 0 -5.083 -13.06 30.99 33.98 10.96 -4.086 53.91 50.93
0.64 5.979 8.969 3.986 -19.03 -27.01 -31.09 3.986 -7.076 -29 -31.09 31.99 35.98 0.9966 -21.03 75.94 33.98
0.645 -2.093 10.96 5.979 -19.03 -37.07 -42.06 5.979 -11.06 -48.04 -49.03 35.98 33.98 -10.07 -31.09 90.99 18.94
0.65 -19.03 2.99 3.986 -11.06 -39.07 -44.05 4.983 -6.079 -60.09 -53.02 31.99 31.99 -16.04 -35.08 89.99 6.976
0.655 -33.09 -9.069 0 -5.083 -39.07 -41.06 5.979 0.9966 -57 -45.05 31.99 30 -15.05 -33.09 85.91 0
0.66 -37.07 -15.05 0.9966 -3.089 -37.07 -31.09 4.983 1.993 -42.06 -29 30.99 21.92 -9.069 -25.01 72.95 0.9966
0.665 -33.09 -17.04 -1.096 -5.083 -33.09 -25.01 -1.096 6.976 -20.03 -17.04 28.9 9.966 -9.069 -15.05 52.92 -9.069
0.67 -27.01 -13.06 -7.076 -13.06 -33.09 -21.03 -7.076 0.9966 -5.083 -9.069 21.92 -1.096 -11.06 -11.06 31.99 -25.01
0.675 -29 -7.076 -11.06 -23.02 -33.09 -25.01 -20.03 -11.06 0 -9.069 8.969 -21.03 -17.04 -11.06 13.95 -43.05
0.68 -29 -5.083 -13.06 -27.01 -33.09 -23.02 -35.08 -28 0 -9.069 -6.079 -37.07 -23.02 -13.06 1.993 -57
0.685 -29 -3.089 -13.06 -23.02 -27.01 -19.03 -45.05 -37.07 0.9966 -9.069 -23.02 -47.04 -27.01 -17.04 -9.069 -65.08
0.69 -21.03 0.9966 -11.06 -13.06 -19.03 -11.06 -49.03 -43.05 -3.089 -5.083 -33.09 -49.03 -29 -21.03 -16.04 -65.08
0.695 -11.06 2.99 -5.083 -3.089 -9.069 -1.096 -47.04 -37.07 -3.089 -1.096 -37.07 -43.05 -31.09 -21.03 -24.02 -63.08
0.7 -1.096 12.96 0.9966 0 0.9966 1.993 -37.07 -31.09 -1.096 0.9966 -33.09 -37.07 -31.09 -19.03 -37.07 -59.1
0.705 0 18.94 1.993 1.993 0 5.979 -27.01 -20.03 -2.093 0.9966 -29 -31.09 -27.01 -17.04 -54.01 -55.01
0.71 -2.093 18.94 3.986 -2.093 -2.093 1.993 -19.03 -10.07 0 -3.089 -29 -27.01 -23.02 -17.04 -75.04 -47.04
0.715 -3.089 10.96 3.986 -5.083 -5.083 -5.083 -17.04 -5.083 -1.096 -15.05 -33.09 -27.01 -23.02 -27.01 -91.09 -37.07
0.72 -13.06 0.9966 1.993 -15.05 -25.01 -23.02 -19.03 -8.072 -23.02 -35.08 -37.07 -33.09 -29 -43.05 -97.07 -27.01
0.725 -23.02 -5.083 0 -25.01 -47.04 -47.04 -23.02 -15.05 -59.1 -59.1 -39.07 -41.06 -45.05 -61.09 -89.09 -17.04
