    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2 374.2
0 -5.116 -55.18 -5.116 -21.01 -7.126 -41.11 -33.07 -67.05 15.9 -21.01 -13.15 -19 -7.126 -29.05 -2.01 -25.03
0.005 -3.106 -43.12 -2.01 -7.126 -2.01 -23.02 -9.135 -45.13 15.9 -17.17 -11.15 -2.01 -7.126 -13.15 1.827 -11.15
0.01 0.9135 -17.17 5.847 0 7.856 -1.096 9.866 -23.02 15.9 -15.16 -7.126 17.91 -5.116 -2.01 5.847 0.9135
0.015 0.9135 3.837 5.847 7.856 15.9 9.866 23.93 -7.126 15.9 -11.15 -7.126 29.96 -3.106 7.856 9.866 3.837
0.02 -1.096 19.91 0 3.837 10.96 17.91 21.92 -3.106 9.866 -9.135 -11.15 27.95 -1.096 9.866 7.856 5.847
0.025 -7.126 19.91 -11.15 -3.106 0 13.89 5.847 -9.135 0 -13.15 -21.01 15.9 -5.116 0 0 0
0.03 -19 7.856 -27.04 -17.17 -23.02 -2.01 -15.16 -19 -9.135 -21.01 -27.04 0 -9.135 -7.126 -9.135 -5.116
0.035 -29.05 -9.135 -35.08 -25.03 -42.02 -13.15 -36.18 -31.06 -21.01 -27.04 -29.05 -9.135 -13.15 -21.01 -19 -15.16
0.04 -31.06 -29.05 -35.08 -23.02 -50.06 -27.04 -42.02 -33.07 -19 -24.12 -25.03 -15.16 -9.135 -27.04 -19 -21.01
0.045 -27.04 -39.1 -25.03 -9.135 -41.11 -31.06 -31.06 -25.03 -3.106 -11.15 -17.17 -9.135 -1.096 -19 -7.126 -17.17
0.05 -21.01 -33.07 -15.16 0 -21.01 -23.02 -4.02 -2.01 17.91 6.943 -13.15 0.9135 5.847 -7.126 5.847 -7.126
0.055 -15.16 -13.15 -7.126 13.89 -7.126 -5.116 14.98 20.83 45.86 34.9 -13.15 7.856 11.88 9.866 25.94 9.866
0.06 -9.135 7.856 -1.096 17.91 1.827 13.89 33.98 49.88 61.94 61.94 -15.16 21.92 9.866 29.96 37.82 31.97
0.065 -1.096 29.96 0 19.91 12.97 37.82 46.96 74.91 64.86 80.94 -11.15 36.91 7.856 50.98 39.83 56.82
0.07 4.933 44.95 11.88 23.93 25.94 62.85 49.88 93 52.98 94.82 0.9135 48.97 3.837 68.88 31.97 74.91
0.075 18.82 53.9 29.96 35.99 39.83 79.84 45.86 104 31.97 97.93 15.9 57.92 5.847 81.85 19.91 83.86
0.08 34.9 60.84 50.98 50.98 56.82 93 41.84 104 8.953 91.9 33.98 64.86 7.856 88.98 5.847 84.96
