    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1 248.1
0 63 47.98 21.93 45.92 19.99 53.91 1.938 21.93 -11.02 -51.01 31.98 23.99 19.99 19.99 23.99 13.93
0.005 42.89 41.92 17.93 33.92 17.93 45.92 9.935 19.99 0 -45.07 23.99 11.99 17.93 13.93 21.93 13.93
0.01 10.9 27.99 5.936 15.99 11.99 29.92 13.93 15.99 15.99 -29.08 5.936 0 13.93 3.998 13.93 15.99
0.015 -15.02 11.99 -3.029 -2.06 1.938 7.996 13.93 9.935 25.93 -9.086 -9.086 -3.029 3.998 -1.09 1.938 15.99
0.02 -29.08 0.9692 -15.02 -9.086 -3.029 -7.027 9.935 3.998 29.92 1.938 -19.02 -11.02 -3.029 -11.02 -7.027 11.99
0.025 -29.08 -13.08 -21.08 -13.08 -11.02 -17.08 5.936 1.938 33.92 13.93 -19.02 -19.02 -15.02 -21.08 -15.02 7.996
0.03 -21.08 -23.02 -21.08 -13.08 -13.08 -15.02 5.936 1.938 35.98 23.99 -11.02 -23.02 -19.02 -27.02 -13.08 3.998
0.035 -13.08 -23.02 -13.08 -11.02 -11.02 -7.027 5.936 3.998 36.95 31.98 -1.09 -23.02 -15.02 -27.02 -1.09 5.936
0.04 -3.029 -15.02 -7.027 -9.086 -3.029 -1.09 5.936 3.998 34.89 37.92 1.938 -13.08 -7.027 -17.08 9.935 5.936
0.045 2.908 -3.029 -1.09 -5.088 0.9692 -1.09 0 0.9692 25.93 39.98 3.998 -1.09 -2.06 -5.088 21.93 5.936
0.05 8.965 0 -2.06 0.9692 -2.06 -3.029 -7.027 -7.027 14.9 35.98 4.967 3.998 3.998 1.938 19.99 0
0.055 2.908 0 3.998 1.938 0 -5.088 -16.11 -13.08 6.906 29.92 6.906 1.938 3.998 3.998 5.936 -3.029
0.06 -3.029 -5.088 9.935 5.936 3.998 -1.09 -23.02 -13.08 0 23.99 7.996 -3.029 1.938 -2.06 -7.027 -9.086
0.065 -13.08 -13.08 15.99 4.967 5.936 1.938 -22.05 -7.027 -2.06 21.93 8.965 -15.02 3.998 -7.027 -15.02 -7.027
0.07 -13.08 -13.08 15.99 0.9692 9.935 7.996 -12.12 -3.029 -2.06 21.93 2.908 -21.08 3.998 -13.08 -11.02 -3.029
0.075 -1.09 -5.088 11.99 -3.029 9.935 9.935 -3.029 -5.088 1.938 17.93 -2.06 -15.02 3.998 -15.02 3.998 0.9692
0.08 14.9 3.998 6.906 -6.058 9.935 1.938 4.967 -9.086 6.906 6.906 -1.09 -5.088 3.998 -9.086 24.96 -5.088
0.085 30.89 15.99 0.9692 0 7.996 -1.09 20.96 -5.088 15.99 1.938 3.998 1.938 3.998 0.9692 34.89 -11.02
0.09 38.89 19.99 3.998 5.936 11.99 -1.09 35.98 3.998 19.99 -3.029 9.935 11.99 7.996 5.936 21.93 -15.02
0.095 32.95 16.96 14.9 21.93 21.93 3.998 51.97 29.92 25.93 -2.06 16.96 11.99 17.93 11.99 2.908 -8.117
0.1 20.96 10.9 18.9 25.93 27.99 19.99 63 53.91 27.99 0.9692 14.9 9.935 25.93 11.99 -12.12 0
0.105 4.967 1.938 11.99 21.93 29.92 29.92 61.91 67.97 25.93 9.935 -2.06 5.936 25.93 7.996 -27.02 1.938
0.11 -7.027 1.938 1.938 10.9 21.93 28.96 51.97 57.91 29.92 12.96 -16.11 2.908 15.99 2.908 -28.11 4.967
0.115 -19.02 -6.058 -25.08 -3.029 6.906 14.9 27.99 36.95 33.92 14.9 -35.01 3.998 1.938 0.9692 -19.02 0.9692
0.12 -25.08 -6.058 -42.04 -13.08 -8.117 0 7.996 10.9 42.89 15.99 -48.1 5.936 -18.05 2.908 -12.12 0.9692
0.125 -21.08 1.938 -49.07 -13.08 -22.05 -6.058 -1.09 -4.119 51.97 20.96 -49.07 19.99 -28.11 14.9 1.938 4.967
0.13 -13.08 14.9 -42.04 -6.058 -27.02 -4.119 -9.086 -9.086 57.91 28.96 -46.04 34.89 -29.08 30.89 10.9 18.9
0.135 -1.09 37.92 -33.07 -2.06 -25.08 3.998 -13.08 -5.088 53.91 35.98 -47.01 51.97 -19.02 47.98 15.99 31.98
0.14 0.9692 54.88 -24.11 5.936 -19.02 19.99 -14.05 -2.06 43.98 42.89 -46.04 61.91 -13.08 57.91 6.906 42.89
0.145 -11.02 58.88 -24.11 9.935 -13.08 27.99 -15.02 3.998 25.93 50.88 -54.03 65.91 -13.08 61.91 -14.05 44.95
0.15 -35.01 43.98 -33.07 7.996 -9.086 29.92 -15.02 7.996 7.996 51.97 -59 63.97 -21.08 59.97 -49.07 41.92
0.155 -49.07 27.99 -42.04 12.96 -13.08 25.93 -12.12 11.99 1.938 52.94 -57.06 55.97 -27.02 53.91 -70.03 41.92
0.16 -53.06 15.99 -42.04 18.9 -17.08 23.99 -10.06 13.93 -6.058 46.89 -54.03 51.97 -33.07 53.91 -70.03 41.92
0.165 -41.07 15.99 -41.07 27.99 -21.08 25.93 -9.086 13.93 -7.027 29.92 -49.07 53.91 -31.02 55.97 -49.07 43.98
0.17 -27.02 23.99 -33.07 34.89 -21.08 31.98 -8.117 15.99 -11.02 9.935 -42.04 55.97 -25.08 59.97 -17.08 45.92
0.175 -19.02 33.92 -25.08 38.89 -17.08 35.98 -8.117 17.93 -15.02 -1.09 -38.04 59.97 -17.08 61.91 7.996 47.98
0.18 -19.02 37.92 -11.02 35.98 -5.088 37.92 -3.029 23.99 -19.02 -11.02 -31.02 65.91 -5.088 63.97 19.99 53.91
