    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
1.185 254 175.9 342 713.2 420.1 469 683.9 517.8 508.1 605.8 -195.4 654.6 -175.9 478.7 664.4 107.5 322.4 674.2 410.4 -58.62
1.19 -146.6 205.2 -156.3 400.6 449.4 556.9 429.9 674.2 -29.31 527.6 -498.3 537.4 488.5 -185.6 234.5 -234.5 48.85 674.2 312.7 -273.6
1.195 293.1 928.2 97.7 1212 869.6 1808 1231 1329 527.6 996.6 -537.4 -342 -254 644.8 556.9 449.4 713.2 1348 1153 -185.6
1.2 97.7 810.9 850 293.1 1104 459.2 977 967.3 908.6 947.7 -390.8 908.6 625.3 859.8 586.2 547.1 566.7 938 1016 -78.16
1.205 -19.54 293.1 -302.9 322.4 244.3 664.4 654.6 723 527.6 547.1 -68.39 254 351.7 527.6 234.5 547.1 283.3 517.8 742.6 68.39
1.21 -420.1 -68.39 244.3 117.2 498.3 127 508.1 478.7 537.4 654.6 -644.8 527.6 -175.9 996.6 -156.3 947.7 0 244.3 517.8 -19.54
1.215 -312.7 -459.2 107.5 58.62 185.6 -68.39 302.9 107.5 175.9 156.3 -410.4 635.1 0 224.7 87.93 420.1 97.7 68.39 429.9 166.1
1.22 -556.9 -840.3 -1133 -78.16 -449.4 410.4 -156.3 283.3 -87.93 58.62 -273.6 -683.9 -655.1 -605.8 -166.1 0 -420.1 -244.3 117.2 19.54
1.225 -683.9 -810.9 -146.6 -517.8 517.8 -566.7 263.8 -224.7 254 -127 -1290 -224.7 -1270 0 -195.4 166.1 -400.6 -410.4 39.08 244.3
1.23 -830.5 -987.3 -175.9 -127 -234.5 469 -361.5 29.31 -400.6 -146.6 -1124 -1436 -400.6 -175.9 -156.3 -175.9 -322.4 -244.3 -68.39 97.7
1.235 -1339 -1192 -1163 -791.4 -762.1 -801.2 -674.6 -429.9 -586.2 -283.3 -938 -263.8 -664.4 332.2 -508.1 58.62 -996.6 -820.7 -566.7 19.54
1.24 -1201 -918.4 -918.4 -898.9 -596 -723 -478.7 -556.9 -185.6 -322.4 -693.7 -469 19.54 576.5 -48.85 -273.6 -850 -830.5 -459.2 234.5
1.245 -1153 -801.2 -439.7 -498.3 -566.7 -234.5 -683.9 -273.6 -850 -127 -938 -469 -214.9 136.8 -361.5 -175.9 -625.3 -586.2 -459.2 156.3
1.25 -1114 -224.7 -1319 -810.9 -859.8 -537.4 -527.6 -302.9 -195.4 -185.6 -146.6 -9.77 -19.54 -322.4 39.08 -302.9 -869.6 -918.4 -488.5 234.5
1.255 -1377 -420.1 -1133 -234.5 -429.9 -205.2 -381 -136.8 -429.9 19.54 -596 -214.9 -655.1 -1025 -263.8 -332.2 -556.9 -469 -332.2 48.85
1.26 -996.6 -312.7 -625.3 -635.6 -381 -693.7 -293.1 -586.2 -78.16 -293.1 -459.2 -351.7 -195.4 -302.9 0 -254 -644.8 -879.8 -469 312.7
1.265 -1270 -420.1 -762.1 -302.9 -537.4 -205.2 -342 -175.9 -9.77 -48.85 -596 -791.4 -29.31 -488.5 214.9 -156.3 -781.6 -566.7 -478.7 -19.54
1.27 -987.3 -371.3 -273.6 -850 -381 -224.7 -39.08 -244.3 508.1 9.77 -556.9 -898.9 107.5 -156.3 371.3 -9.77 -655.1 -508.1 -205.2 127
1.275 -1231 -996.6 -683.9 -918.4 -97.7 -713.2 166.1 -459.2 732.8 29.31 -635.6 -859.8 48.85 -156.3 390.8 -9.77 -713.2 -527.6 -58.62 205.2
1.28 -1094 -390.8 928.2 -889.1 644.8 -537.4 547.1 -205.2 1006 29.31 -977.5 -390.8 -175.9 -410.4 488.5 97.7 -342 -312.7 156.3 332.2
1.285 -1172 -576.5 -1201 -810.9 -478.7 -674.6 78.16 -244.3 771.9 87.93 -185.6 -332.2 410.4 -655.1 361.5 19.54 -615.5 -615.5 48.85 322.4
1.29 -596 -29.31 478.7 -420.1 1143 -322.4 850 127 664.4 107.5 -947.7 136.8 -859.8 -117.2 107.5 195.4 136.8 -78.16 576.5 556.9
1.295 -576.5 449.4 -1270 -420.1 -674.6 332.2 195.4 185.6 156.3 68.39 195.4 -371.3 351.7 -58.62 -293.1 146.6 -205.2 -136.8 371.3 273.6
1.3 -693.7 29.31 -723 -683.9 -156.3 -205.2 29.31 175.9 -254 -78.16 -752.3 -214.9 -78.16 -185.6 -351.7 0 -459.2 -332.2 175.9 263.8
1.305 -859.8 -58.62 -703.5 -713.2 -342 -136.8 9.77 9.77 -39.08 -68.39 -214.9 -361.5 -19.54 312.7 -283.3 136.8 -322.4 -322.4 263.8 459.2
1.31 -908.6 -410.4 -644.8 -625.3 -371.3 -322.4 -166.1 -9.77 -185.6 -19.54 -566.7 -342 -655.1 48.85 -625.3 -48.85 -547.6 -371.3 48.85 214.9
1.315 -1124 -781.6 -351.7 -957.5 -371.3 -674.6 -517.8 -263.8 -332.2 0 -361.5 -185.6 449.4 -283.3 -195.4 -107.5 -556.9 -371.3 -78.16 156.3
1.32 -1192 -547.6 -302.9 -752.3 -283.3 -488.5 -302.9 -175.9 -136.8 19.54 -596 -293.1 -1377 -78.16 -635.6 -185.6 -615.5 -439.7 -146.6 117.2
1.325 -1133 -791.4 -244.3 -58.62 -97.7 78.16 -596 224.7 -596 322.4 -908.6 -361.5 -224.7 -332.2 -459.2 -19.54 -469 68.39 -254 -234.5
1.33 -1231 -400.6 -781.6 -429.9 -1055 -332.2 -1143 -136.8 -1036 234.5 -810.9 -312.7 -390.8 -48.85 -566.7 -29.31 -1260 -224.7 -1006 -771.9
1.335 -1104 -1045 -1192 -478.7 -801.2 -459.2 -1045 -214.9 -1085 244.3 -791.4 -527.6 -283.3 -205.2 -605.8 0 -1064 -107.5 -889.1 -655.1
1.34 -1582 -947.7 -1759 -556.9 -1416 -68.39 -1309 107.5 -938 469 -664.4 -156.3 156.3 -185.6 -390.8 -175.9 -1397 -68.39 -1045 -977.5
1.345 -1114 -293.1 -449.4 -273.6 -527.6 381 -615.5 185.6 -517.8 596 -1064 -244.3 -967.8 449.4 -771.9 175.9 -996.6 234.5 -801.2 -898.9
1.35 -1201 -517.8 -625.3 -214.9 -107.5 273.6 -9.77 234.5 195.4 703.5 -840.3 -351.7 -713.2 -78.16 332.2 -146.6 -723 254 -390.8 -586.2
1.355 -1280 9.77 -752.3 -117.2 -390.8 302.9 -254 234.5 351.7 762.1 -625.3 293.1 -840.3 556.9 -312.7 254 -859.8 273.6 -537.4 -820.7
1.36 -1016 78.16 -420.1 127 273.6 400.6 302.9 332.2 850 752.3 -625.3 -87.93 -175.9 -68.39 410.4 185.6 -390.8 459.2 -107.5 -517.8
1.365 -1064 478.7 -1045 -48.85 -655.1 48.85 -517.8 224.7 361.5 351.7 58.62 703.5 254 263.8 -58.62 283.3 -810.9 254 -586.2 -752.3
1.37 -664.4 586.2 693.7 576.5 9.77 693.7 29.31 576.5 889.1 556.9 -195.4 254 449.4 136.8 156.3 156.3 -48.85 869.6 -146.6 -771.9
1.375 -459.2 752.3 664.4 762.1 762.1 664.4 371.3 635.1 283.3 156.3 -254 654.6 -703.5 322.4 234.5 263.8 175.9 1006 97.7 -576.5
1.38 -537.4 508.1 -39.08 547.1 -342 234.5 -244.3 244.3 68.39 -97.7 127 830.5 605.8 332.2 175.9 254 0 596 -224.7 -508.1
1.385 -332.2 400.6 127 576.5 449.4 195.4 185.6 19.54 -166.1 -508.1 -469 420.1 -840.3 136.8 -195.4 29.31 205.2 420.1 -19.54 -156.3
1.39 -58.62 48.85 -273.6 302.9 -214.9 -9.77 -214.9 -166.1 -283.3 -713.2 439.7 400.6 732.8 449.4 -342 205.2 381 19.54 146.6 371.3
1.395 -48.85 175.9 -459.2 371.3 87.93 390.8 -58.62 39.08 -127 -517.8 136.8 -78.16 205.2 107.5 -429.9 -48.85 429.9 146.6 342 361.5
1.4 283.3 166.1 -166.1 332.2 156.3 566.7 107.5 234.5 -9.77 -351.7 723 -185.6 625.3 293.1 -263.8 19.54 625.3 9.77 556.9 762.1
1.405 97.7 322.4 214.9 9.77 869.6 -136.8 449.4 39.08 136.8 -97.7 127 459.2 -351.7 293.1 -185.6 0 596 68.39 556.9 644.8
1.41 -263.8 224.7 -234.5 -58.62 214.9 361.5 205.2 48.85 156.3 136.8 381 -498.3 39.08 -87.93 0 -68.39 244.3 -146.6 361.5 586.2
1.415 -185.6 68.39 439.7 -537.4 820.7 -713.2 273.6 -429.9 224.7 58.62 68.39 381 -655.1 -9.77 58.62 -205.2 127 -322.4 136.8 469
1.42 -429.9 -117.2 371.3 -664.4 -117.2 -693.7 -371.3 -655.1 -332.2 -127 0 -439.7 68.39 -547.6 -68.39 -742.6 -136.8 -674.6 -283.3 498.3
1.425 -400.6 -127 -556.9 -762.1 97.7 -1075 -361.5 -752.3 -195.4 -19.54 -195.4 -39.08 -674.6 -566.7 -136.8 -683.9 -283.3 -791.4 -312.7 498.3
1.43 -312.7 -48.85 -48.85 -498.3 -459.2 -400.6 -635.6 -527.6 -254 -205.2 488.5 -527.6 615.5 -1475 -68.39 -859.8 -390.8 -869.6 -439.7 478.7
1.435 -185.6 -224.7 -977.5 -429.9 -312.7 -664.4 -527.6 -703.5 -205.2 -117.2 87.93 -195.4 293.1 -683.9 -254 -459.2 -342 -596 -488.5 244.3
1.44 -205.2 19.54 -683.9 -791.4 -332.2 -723 -459.2 -762.1 97.7 -322.4 322.4 -166.1 742.6 -556.9 0 -146.6 -244.3 -762.1 -439.7 469
1.445 -469 -381 -1163 -644.8 -625.3 -429.9 -469 -655.1 371.3 -263.8 693.7 -351.7 517.8 -254 146.6 -19.54 -615.5 -674.6 -644.8 48.85
1.45 -469 -175.9 48.85 -351.7 195.4 -400.6 -175.9 -703.5 156.3 -459.2 -361.5 19.54 -459.2 48.85 -205.2 9.77 -156.3 -420.1 -410.4 234.5
1.455 -859.8 -195.4 -830.5 -625.3 -674.6 -429.9 -469 -655.1 205.2 -400.6 195.4 -439.7 -361.5 -283.3 -469 -283.3 -556.9 -615.5 -478.7 78.16
1.46 -273.6 -283.3 429.9 -107.5 78.16 -19.54 48.85 -283.3 146.6 -254 117.2 -146.6 -342 29.31 -97.7 107.5 166.1 -166.1 19.54 322.4
1.465 -820.7 -342 -1406 -674.6 -586.2 -439.7 -342 -439.7 -371.3 -918.4 166.1 -136.8 -1446 -224.7 -1006 -420.1 -547.6 -605.8 -351.7 214.9
1.47 -48.85 -97.7 -517.8 -420.1 -29.31 156.3 -146.6 -58.62 0 -537.4 332.2 -146.6 -390.8 175.9 -254 -29.31 -87.93 -156.3 48.85 234.5
1.475 19.54 -371.3 -390.8 -390.8 605.8 68.39 312.7 -107.5 19.54 -1055 175.9 127 -967.8 -371.3 -332.2 -263.8 68.39 -19.54 234.5 332.2
1.48 -87.93 29.31 -175.9 -342 -9.77 224.7 -156.3 39.08 -175.9 -850 273.6 390.8 205.2 469 -312.7 0 -87.93 -117.2 58.62 254
1.485 -39.08 -166.1 449.4 -146.6 322.4 302.9 -9.77 136.8 -195.4 -742.6 117.2 254 68.39 117.2 -136.8 -97.7 283.3 156.3 293.1 332.2
1.49 -136.8 -322.4 -97.7 0 547.1 469 371.3 342 156.3 -332.2 87.93 302.9 -175.9 244.3 283.3 166.1 273.6 87.93 566.7 459.2
1.495 39.08 -263.8 420.1 87.93 351.7 381 205.2 234.5 136.8 -117.2 283.3 224.7 332.2 537.4 -214.9 254 390.8 166.1 469 351.7
1.5 -410.4 -693.7 -537.4 -381 58.62 -9.77 -136.8 -146.6 -439.7 -254 -48.85 -205.2 29.31 -214.9 29.31 -9.77 -68.39 -351.7 39.08 498.3
1.505 -214.9 -175.9 -566.7 -254 -19.54 -127 -224.7 -58.62 -224.7 117.2 195.4 -136.8 527.6 0 97.7 508.1 -156.3 -293.1 -156.3 224.7
1.51 175.9 -97.7 947.7 -136.8 605.8 9.77 97.7 -39.08 -175.9 195.4 293.1 -273.6 400.6 166.1 322.4 322.4 302.9 -68.39 127 449.4
1.515 -664.4 -224.7 -1064 -342 -459.2 -166.1 -508.1 -185.6 -576.5 195.4 322.4 -527.6 400.6 -78.16 195.4 205.2 -508.1 -371.3 -488.5 -39.08
1.52 -127 -224.7 859.8 -58.62 928.2 19.54 556.9 224.7 342 556.9 -68.39 -214.9 -517.8 -302.9 214.9 -127 254 -9.77 312.7 429.9
1.525 -508.1 0 -820.7 -596 -732.8 -605.8 -683.9 -351.7 -146.6 214.9 302.9 -195.4 459.2 175.9 -136.8 -136.8 -547.6 -655.1 -547.6 19.54
1.53 -732.8 -224.7 -1182 -850 -742.6 -840.3 -517.8 -302.9 205.2 156.3 -78.16 -361.5 263.8 -566.7 -322.4 -410.4 -635.6 -938 -400.6 371.3
1.535 -205.2 693.7 -166.1 -449.4 -556.9 -644.8 -517.8 -214.9 459.2 263.8 -224.7 293.1 283.3 400.6 -156.3 166.1 -342 -400.6 -449.4 -107.5
1.54 29.31 801.2 664.4 -273.6 254 -371.3 -19.54 -175.9 527.6 156.3 -605.8 78.16 273.6 107.5 48.85 312.7 107.5 -214.9 -175.9 127
1.545 -293.1 801.2 -283.3 -68.39 -185.6 -107.5 -97.7 58.62 400.6 127 -644.8 19.54 -400.6 -263.8 -78.16 234.5 -224.7 -39.08 -293.1 -263.8
1.55 19.54 918.4 214.9 302.9 146.6 302.9 107.5 205.2 566.7 107.5 -185.6 -156.3 234.5 97.7 117.2 244.3 214.9 205.2 9.77 -146.6
1.555 263.8 439.7 -97.7 361.5 -195.4 29.31 -58.62 87.93 -136.8 39.08 -19.54 459.2 127 -185.6 -9.77 263.8 136.8 224.7 -39.08 -283.3
1.56 332.2 312.7 156.3 517.8 185.6 410.4 361.5 351.7 879.3 117.2 273.6 39.08 693.7 -263.8 263.8 68.39 439.7 449.4 390.8 -87.93
1.565 273.6 566.7 263.8 615.5 547.1 -39.08 547.1 0 214.9 -97.7 -879.8 439.7 -830.5 820.7 390.8 332.2 449.4 459.2 234.5 -127
1.57 664.4 1182 850 1036 605.8 439.7 439.7 293.1 195.4 -332.2 48.85 840.3 439.7 449.4 205.2 156.3 869.6 723 371.3 -127
1.575 635.1 1378 107.5 810.9 508.1 293.1 683.9 195.4 -19.54 -586.2 -381 517.8 -107.5 166.1 263.8 19.54 713.2 596 351.7 -146.6
1.58 908.6 1788 1172 820.7 146.6 175.9 19.54 -58.62 -615.5 -908.6 19.54 635.1 1172 400.6 332.2 185.6 908.6 449.4 136.8 9.77
1.585 996.6 1759 1339 879.3 19.54 459.2 48.85 244.3 -713.2 -576.5 156.3 596 1368 -68.39 58.62 117.2 928.2 566.7 166.1 -136.8
1.59 957.5 1456 322.4 879.3 -58.62 576.5 136.8 312.7 -537.4 -302.9 293.1 48.85 390.8 156.3 -87.93 342 683.9 469 283.3 -87.93
1.595 1456 1251 2042 889.1 1065 302.9 703.5 254 -205.2 -136.8 -322.4 810.9 342 -107.5 517.8 58.62 1309 605.8 762.1 322.4
1.6 742.6 547.1 -136.8 908.6 -136.8 801.2 -29.31 547.1 -615.5 97.7 361.5 -39.08 127 -488.5 -107.5 -234.5 381 332.2 185.6 -166.1
1.605 977 371.3 732.8 322.4 478.7 -390.8 312.7 -293.1 39.08 19.54 -146.6 -68.39 -78.16 -293.1 449.4 -214.9 635.1 -78.16 342 420.1
1.61 605.8 -400.6 -68.39 136.8 -127 -400.6 68.39 -263.8 -293.1 127 -371.3 -332.2 -117.2 -459.2 -29.31 -879.8 302.9 -381 127 351.7
1.615 664.4 566.7 205.2 283.3 97.7 -39.08 58.62 -224.7 -175.9 439.7 -195.4 -39.08 166.1 459.2 87.93 -19.54 371.3 68.39 68.39 -29.31
1.62 644.8 781.6 488.5 29.31 136.8 -527.6 283.3 -205.2 -78.16 449.4 -214.9 439.7 -322.4 654.6 -312.7 9.77 508.1 -58.62 322.4 302.9
1.625 850 986.8 195.4 683.9 48.85 527.6 263.8 224.7 361.5 556.9 195.4 361.5 1182 254 420.1 19.54 566.7 185.6 351.7 146.6
1.63 1270 1094 820.7 703.5 107.5 488.5 214.9 166.1 302.9 508.1 -214.9 136.8 263.8 0 68.39 449.4 556.9 293.1 263.8 -29.31
1.635 459.2 78.16 -342 -205.2 -224.7 -547.6 302.9 -78.16 635.1 214.9 87.93 439.7 644.8 -371.3 420.1 195.4 -146.6 -342 97.7 68.39
1.64 1319 283.3 1036 351.7 -146.6 117.2 293.1 -107.5 586.2 68.39 527.6 146.6 947.7 -566.7 771.9 166.1 273.6 -97.7 117.2 39.08
1.645 596 -332.2 -537.4 -449.4 -342 -576.5 185.6 -429.9 293.1 -214.9 0 -478.7 -175.9 -273.6 273.6 156.3 -361.5 -517.8 -97.7 107.5
1.65 732.8 -127 -78.16 -566.7 -615.5 -801.2 -107.5 -469 312.7 -273.6 625.3 -175.9 947.7 -361.5 293.1 68.39 -420.1 -547.6 -205.2 -29.31
1.655 586.2 -371.3 -596 -439.7 -429.9 -449.4 78.16 -332.2 332.2 -97.7 293.1 -87.93 -674.6 166.1 -205.2 175.9 -420.1 -332.2 -29.31 -48.85
1.66 381 -205.2 78.16 -107.5 87.93 -78.16 273.6 -224.7 371.3 -381 -68.39 -429.9 332.2 -117.2 195.4 58.62 -9.77 -107.5 107.5 68.39
1.665 635.1 254 244.3 771.9 185.6 1270 420.1 664.4 488.5 -58.62 420.1 -938 97.7 -439.7 39.08 68.39 273.6 693.7 371.3 -254
1.67 127 -302.9 -185.6 -371.3 -361.5 -713.2 -166.1 -674.6 -342 -1016 68.39 -107.5 439.7 58.62 342 0 -234.5 -273.6 -342 9.77
1.675 420.1 205.2 381 322.4 9.77 342 -78.16 68.39 -586.2 -820.7 556.9 -166.1 644.8 -136.8 136.8 -19.54 263.8 459.2 -29.31 -224.7
1.68 293.1 -1025 -78.16 -322.4 -596 -732.8 -556.9 -537.4 -1036 -1172 674.2 58.62 801.2 -117.2 -224.7 -117.2 -400.6 -312.7 -547.6 -78.16
1.685 224.7 -596 156.3 -302.9 -78.16 -498.3 -244.3 -439.7 -879.8 -908.6 293.1 -78.16 -175.9 -234.5 -410.4 -185.6 -19.54 -29.31 -224.7 29.31
1.69 -156.3 -898.9 810.9 -87.93 644.8 -166.1 410.4 -58.62 -175.9 -381 -234.5 -234.5 -723 195.4 -410.4 9.77 127 156.3 205.2 97.7
1.695 332.2 -576.5 -605.8 -205.2 -254 -39.08 -175.9 -78.16 -429.9 -97.7 263.8 -566.7 -390.8 -195.4 -127 -361.5 19.54 9.77 78.16 58.62
1.7 -293.1 -293.1 -244.3 -195.4 87.93 -39.08 9.77 -68.39 -371.3 29.31 -293.1 -302.9 -859.8 107.5 -400.6 -97.7 29.31 0 68.39 58.62
1.705 429.9 -635.6 78.16 -146.6 29.31 -293.1 -68.39 -205.2 -537.4 283.3 390.8 -342 -674.6 97.7 -244.3 -214.9 234.5 -195.4 68.39 293.1
1.71 361.5 -97.7 351.7 390.8 322.4 537.4 -166.1 312.7 -693.7 283.3 87.93 -429.9 -527.6 -185.6 -420.1 -9.77 273.6 224.7 29.31 -146.6
1.715 400.6 -293.1 234.5 97.7 576.5 0 488.5 -29.31 127 537.4 420.1 -107.5 244.3 224.7 136.8 127 469 -9.77 420.1 302.9
1.72 517.8 -556.9 693.7 -244.3 19.54 -78.16 -117.2 -156.3 -283.3 224.7 478.7 -1064 205.2 -332.2 -48.85 0 107.5 -107.5 -68.39 -9.77
1.725 439.7 -254 -136.8 -537.4 -302.9 -351.7 9.77 -205.2 107.5 302.9 596 -19.54 889.1 107.5 605.8 117.2 -39.08 -146.6 9.77 -29.31
1.73 771.9 -850 1016 -596 -175.9 -556.9 39.08 -410.4 469 214.9 713.2 -439.7 1221 -410.4 400.6 -185.6 68.39 -273.6 39.08 205.2
1.735 703.5 -410.4 -332.2 -175.9 9.77 -214.9 195.4 19.54 293.1 508.1 742.6 263.8 -478.7 -175.9 -78.16 9.77 -19.54 322.4 58.62 -332.2
1.74 644.8 107.5 1006 254 644.8 459.2 801.2 342 1104 556.9 674.2 -9.77 928.2 166.1 703.5 -48.85 586.2 674.2 439.7 -117.2
