    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1
0 48.95 27.89 25.97 0 -2.035 -7.062 -27.05 -9.096 -43.09 -55.06 31.96 0.9575 7.899 -2.035 -3.112 -15.08
0.005 42.97 23.94 23.94 0.9575 0.9575 -7.062 -27.05 -15.08 -23.1 -61.04 27.89 -5.027 5.984 -2.035 0.9575 -15.08
0.01 28.96 9.934 17.95 -5.027 0 -9.096 -15.08 -19.03 -2.035 -51.11 21.9 -11.01 9.934 -3.112 7.899 -11.01
0.015 8.977 -5.027 7.899 -13.05 3.95 -15.08 0.9575 -21.06 21.9 -31.12 13.88 -17.12 19.99 -13.05 21.9 -7.062
0.02 -3.112 -21.06 0 -21.06 9.934 -23.1 9.934 -25.01 33.99 -11.01 7.899 -21.06 31.96 -21.06 31.96 -7.062
0.025 -13.05 -31.12 -3.112 -25.01 9.934 -31.12 17.95 -29.08 35.91 0.9575 1.915 -23.1 35.91 -29.08 33.99 -11.01
0.03 -15.08 -31.12 -5.027 -23.1 7.899 -35.07 21.9 -29.08 27.89 0.9575 0.9575 -23.1 31.96 -29.08 23.94 -17.12
0.035 -11.01 -23.1 -5.027 -15.08 8.977 -31.12 21.9 -23.1 15.92 0.9575 -3.112 -17.12 21.9 -23.1 9.934 -17.12
0.04 -7.062 -13.05 -5.027 -3.112 8.977 -19.03 21.9 -5.027 7.899 1.915 -5.027 -9.096 9.934 -11.01 -2.035 -9.096
0.045 -3.112 -3.112 -3.112 3.95 13.88 -1.077 25.97 13.88 1.915 21.9 -5.027 -2.035 3.95 0.9575 -3.112 3.95
0.05 -5.027 -2.035 -1.077 9.934 17 9.934 27.89 38.9 1.915 48.95 -3.112 3.95 1.915 3.95 -1.077 21.9
0.055 -1.077 -2.035 -1.077 9.934 17 21.9 25.97 54.94 5.984 72.89 -1.077 3.95 -2.035 5.984 0.9575 35.91
0.06 -1.077 -2.035 -3.112 3.95 7.899 23.94 15.92 55.89 7.899 79.95 0.9575 -2.035 -1.077 3.95 -1.077 39.98
0.065 2.992 -2.035 -5.027 0.9575 1.915 17.95 2.992 50.99 5.984 76.96 -1.077 -3.112 -3.112 0 -7.062 34.95
0.07 2.992 -2.035 -7.062 -4.069 -11.01 9.934 -8.019 36.98 1.915 62.96 -3.112 -5.027 -11.01 -2.035 -13.05 26.93
0.075 0.9575 1.915 -11.01 -7.062 -25.01 3.95 -23.1 21.9 -1.077 45.96 -5.027 -1.077 -15.08 -2.035 -19.03 21.9
0.08 0.9575 5.984 -13.05 -6.104 -31.12 0.9575 -32.08 10.89 -9.096 33.99 -7.062 0 -14 0 -23.1 18.91
0.085 2.992 7.899 -15.08 -4.069 -30.04 1.915 -36.03 1.915 -13.05 7.899 -7.062 4.907 -10.05 1.915 -21.06 12.93
0.09 4.907 11.97 -9.096 -1.077 -27.05 -5.027 -37.1 -13.05 -11.01 -15.08 -3.112 5.984 -7.062 1.915 -19.03 0
0.095 12.93 13.88 -2.035 0.9575 -23.1 -10.05 -32.08 -26.09 -11.01 -46.08 -2.035 4.907 -2.035 -2.035 -17.12 -13.05
0.1 18.91 13.88 0.9575 9.934 -15.08 -14 -25.01 -36.03 -11.01 -75.04 3.95 2.992 1.915 -1.077 -15.08 -41.05
0.105 22.98 15.92 9.934 13.88 -9.096 -15.08 -19.03 -43.09 -15.08 -91.08 9.934 5.984 0 -5.027 -9.096 -59.01
0.11 22.98 15.92 17.95 23.94 -1.077 -15.08 -3.112 -42.01 -18.07 -92.04 10.89 9.934 6.942 -11.01 -2.035 -68.1
0.115 22.98 18.91 20.95 23.94 10.89 -10.05 3.95 -33.03 -13.05 -82.11 7.899 17 12.93 -10.05 2.992 -60.08
0.12 20.95 18.91 21.9 24.89 25.97 -1.077 15.92 -24.06 -3.112 -66.07 0 21.9 18.91 -6.104 12.93 -44.04
0.125 20.95 18.91 17 21.9 34.95 -1.077 23.94 -13.05 3.95 -50.03 -3.112 18.91 20.95 0 12.93 -20.11
0.13 14.96 15.92 7.899 15.92 38.9 1.915 27.89 -2.035 12.93 -28.01 -12.09 11.97 20.95 0 12.93 1.915
0.135 6.942 7.899 -2.035 7.899 33.99 3.95 27.89 1.915 19.99 0.9575 -19.03 1.915 13.88 7.899 5.984 15.92
0.14 2.992 0 -2.035 1.915 29.92 8.977 25.97 14.96 23.94 31.96 -21.06 1.915 10.89 7.899 1.915 27.89
0.145 -1.077 -1.077 -2.035 1.915 19.99 14.96 22.98 28.96 23.94 70.97 -15.08 -2.035 4.907 5.984 1.915 41.89
0.15 -1.077 -5.027 -2.035 0.9575 15.92 19.99 19.99 39.98 23.94 97.9 -9.096 -7.062 -2.035 3.95 3.95 51.94
0.155 8.977 -3.112 3.95 1.915 18.91 24.89 18.91 51.94 19.99 110 -3.112 -6.104 0.9575 1.915 0 60.92
0.16 10.89 -3.112 9.934 0 17.95 24.89 12.93 52.9 13.88 110 -3.112 -11.01 2.992 -2.035 -3.112 66.91
0.165 6.942 -7.062 5.984 -7.062 9.934 19.99 1.915 45.96 5.984 102 -7.062 -13.05 0 0.9575 -15.08 65.95
0.17 -5.027 -17.12 -1.077 -18.07 1.915 9.934 -4.069 36.98 0.9575 96.95 -15.08 -17.12 0.9575 -1.077 -23.1 64.99
0.175 -25.01 -25.01 -17.12 -31.12 -12.09 0 -19.03 26.93 -5.027 96.95 -23.1 -21.06 -7.062 -5.027 -25.01 60.92
0.18 -39.02 -31.12 -33.03 -35.07 -27.05 -3.112 -31.12 17.95 -7.062 91.92 -25.01 -21.06 -15.08 -9.096 -19.03 49.91
0.185 -41.05 -27.05 -39.02 -31.12 -30.04 -9.096 -33.03 12.93 -3.112 80.91 -19.03 -17.12 -17.12 -13.05 -5.027 39.98
0.19 -31.12 -17.12 -35.07 -21.06 -24.06 -15.08 -23.1 6.942 1.915 52.9 -11.01 -11.01 -11.01 -15.08 1.915 21.9
0.195 -13.05 -1.077 -21.06 -9.096 -11.01 -17.12 -3.112 0 15.92 15.92 0.9575 -3.112 -3.112 -17.12 7.899 1.915
0.2 0.9575 5.984 -5.027 0.9575 2.992 -19.03 17.95 -3.112 31.96 -15.08 5.984 0 1.915 -17.12 11.97 -11.01
0.205 12.93 11.97 5.984 3.95 22.98 -13.05 41.89 -9.096 45.96 -41.05 11.97 7.899 11.97 -15.08 13.88 -25.01
0.21 20.95 15.92 17.95 9.934 41.89 -3.112 57.93 -11.01 53.98 -55.06 17.95 15.92 19.99 -13.05 17.95 -35.07
0.215 22.98 17.95 21.9 15.92 53.98 5.984 63.91 -7.062 53.98 -61.04 19.99 19.99 25.97 -7.062 21.9 -41.05
0.22 24.89 21.9 21.9 19.99 59.96 15.92 62 0.9575 41.89 -61.04 19.99 23.94 31.96 0.9575 21.9 -41.05
0.225 24.89 27.89 19.99 21.9 59.96 21.9 53.98 5.984 21.9 -61.04 21.9 27.89 31.96 5.984 17.95 -37.1
0.23 26.93 35.91 19.99 25.97 53.98 23.94 43.93 13.88 1.915 -53.02 23.94 27.89 31.96 11.97 9.934 -27.05
0.235 28.96 41.89 23.94 31.96 45.96 23.94 37.94 15.92 -5.027 -37.1 25.97 27.89 27.89 11.97 3.95 -11.01
0.24 32.91 41.89 29.92 35.91 39.98 23.94 31.96 15.92 -5.027 -13.05 25.97 23.94 21.9 5.984 1.915 1.915
0.245 32.91 37.94 33.99 37.94 35.91 23.94 29.92 13.88 -2.035 7.899 21.9 17.95 15.92 0.9575 7.899 17.95
0.25 32.91 29.92 33.99 35.91 31.96 23.94 23.94 11.97 7.899 25.97 13.88 9.934 9.934 -7.062 15.92 29.92
0.255 28.96 17.95 29.92 25.97 25.97 19.99 13.88 7.899 7.899 29.92 5.984 3.95 1.915 -9.096 15.92 31.96
