    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
1.185 -156.3 -136.8 -107.5 0 -107.5 -48.85 0 48.85 420.1 693.7 146.6 -19.54 156.3 -107.5 156.3 322.4 -293.1 -244.3 -195.4 0
1.19 -410.4 -342 -488.5 -322.4 -381 -410.4 -224.7 -185.6 263.8 537.4 68.39 -87.93 -58.62 -214.9 48.85 244.3 -576.5 -508.1 -429.9 0
1.195 -312.7 -195.4 -273.6 166.1 -185.6 29.31 -107.5 -9.77 244.3 664.4 -117.2 -312.7 195.4 -244.3 107.5 195.4 -459.2 -342 -234.5 0
1.2 -322.4 -312.7 -146.6 -87.93 48.85 -322.4 -97.7 -156.3 127 459.2 -68.39 -312.7 -478.7 -293.1 9.77 -127 -469 -254 -214.9 0
1.205 -361.5 -58.62 -312.7 107.5 -302.9 -214.9 -214.9 -146.6 -19.54 322.4 48.85 -400.6 254 -273.6 0 -263.8 -400.6 -254 -263.8 0
1.21 -185.6 39.08 -185.6 39.08 -185.6 -254 -254 -214.9 -136.8 78.16 0 -429.9 -19.54 -302.9 -39.08 -371.3 -322.4 -127 -244.3 0
1.215 -381 97.7 -488.5 -9.77 -469 -332.2 -361.5 -332.2 -302.9 -97.7 29.31 -244.3 175.9 -351.7 -117.2 -273.6 -478.7 -283.3 -420.1 0
1.22 -322.4 68.39 -263.8 -39.08 -400.6 -283.3 -312.7 -400.6 -224.7 -166.1 -78.16 -361.5 58.62 -498.3 -234.5 -312.7 -351.7 -224.7 -361.5 0
1.225 -244.3 146.6 -469 97.7 -488.5 -156.3 -224.7 -293.1 -175.9 -185.6 127 -273.6 166.1 -361.5 -107.5 -205.2 -293.1 -136.8 -293.1 0
1.23 -127 58.62 -78.16 234.5 -273.6 -48.85 9.77 -97.7 -97.7 -136.8 -78.16 -166.1 185.6 -146.6 -97.7 -302.9 -48.85 39.08 -87.93 0
1.235 48.85 9.77 -97.7 312.7 -195.4 9.77 68.39 19.54 -107.5 -185.6 107.5 -175.9 185.6 -68.39 -97.7 -185.6 58.62 117.2 19.54 0
1.24 117.2 39.08 -127 381 -87.93 87.93 175.9 195.4 -127 -205.2 -107.5 -175.9 185.6 -87.93 -166.1 -175.9 87.93 175.9 127 0
1.245 293.1 146.6 156.3 527.6 97.7 205.2 273.6 390.8 -107.5 -234.5 312.7 -48.85 273.6 -9.77 -205.2 -136.8 214.9 449.4 273.6 0
1.25 293.1 254 107.5 508.1 166.1 234.5 390.8 449.4 -19.54 -224.7 87.93 0 254 127 -39.08 -58.62 156.3 478.7 332.2 0
1.255 175.9 254 97.7 498.3 -29.31 361.5 302.9 615.5 -78.16 -224.7 244.3 117.2 439.7 29.31 -127 -48.85 205.2 586.2 400.6 0
1.26 87.93 97.7 127 351.7 68.39 234.5 381 498.3 -48.85 -224.7 293.1 156.3 332.2 205.2 48.85 -9.77 68.39 508.1 439.7 0
1.265 29.31 -68.39 29.31 263.8 -214.9 195.4 136.8 381 -205.2 -342 205.2 146.6 302.9 185.6 58.62 39.08 0 273.6 293.1 0
1.27 19.54 -97.7 117.2 175.9 -293.1 127 -39.08 234.5 -302.9 -254 312.7 -48.85 -9.77 234.5 39.08 185.6 -19.54 214.9 205.2 0
1.275 185.6 -224.7 97.7 214.9 -234.5 78.16 -107.5 39.08 -449.4 -351.7 146.6 -117.2 156.3 97.7 107.5 107.5 39.08 146.6 29.31 0
1.28 332.2 -117.2 332.2 185.6 -205.2 29.31 -107.5 -78.16 -478.7 -127 146.6 -146.6 48.85 117.2 68.39 146.6 87.93 146.6 -48.85 0
1.285 205.2 -254 175.9 -9.77 -263.8 -87.93 -146.6 -214.9 -429.9 -97.7 39.08 -68.39 107.5 9.77 146.6 78.16 29.31 87.93 -156.3 0
1.29 205.2 -107.5 107.5 136.8 -224.7 -87.93 39.08 -224.7 -254 9.77 97.7 -78.16 195.4 9.77 127 117.2 205.2 244.3 -97.7 0
1.295 19.54 -234.5 48.85 39.08 -322.4 -263.8 9.77 -371.3 -78.16 -9.77 -127 -117.2 9.77 -19.54 39.08 78.16 58.62 0 -195.4 0
1.3 -48.85 -234.5 -97.7 -9.77 -420.1 -293.1 -68.39 -381 39.08 87.93 87.93 -146.6 -146.6 -39.08 -107.5 117.2 -87.93 -146.6 -283.3 0
1.305 -87.93 -48.85 117.2 136.8 -185.6 -117.2 107.5 -185.6 390.8 488.5 -136.8 -19.54 146.6 87.93 195.4 185.6 -136.8 -146.6 -214.9 0
1.31 -107.5 68.39 166.1 312.7 -146.6 -29.31 117.2 -117.2 449.4 703.5 -19.54 -117.2 -361.5 68.39 175.9 332.2 -68.39 -58.62 -156.3 0
1.315 -263.8 -58.62 48.85 87.93 -312.7 -166.1 78.16 -156.3 420.1 820.7 -283.3 -68.39 68.39 -107.5 263.8 39.08 -224.7 -214.9 -195.4 0
1.32 -39.08 68.39 322.4 244.3 127 58.62 410.4 78.16 625.3 1182 -78.16 -68.39 68.39 146.6 361.5 332.2 58.62 146.6 146.6 0
1.325 -214.9 -127 39.08 39.08 -205.2 -205.2 214.9 -9.77 283.3 928.2 -156.3 -117.2 117.2 -205.2 244.3 -87.93 -39.08 87.93 29.31 0
1.33 -166.1 -205.2 127 39.08 -87.93 -136.8 166.1 -19.54 68.39 908.6 -97.7 -58.62 39.08 -39.08 19.54 -48.85 -39.08 214.9 107.5 0
1.335 -293.1 -342 -254 -175.9 -576.5 -439.7 -302.9 -302.9 -420.1 566.7 -166.1 -205.2 78.16 -322.4 -136.8 -127 -400.6 -68.39 -127 0
1.34 -146.6 -224.7 -48.85 -97.7 -508.1 -361.5 -420.1 -381 -683.9 273.6 -205.2 -146.6 -136.8 -332.2 -400.6 -244.3 -400.6 -214.9 -205.2 0
1.345 -39.08 -136.8 127 -29.31 -420.1 -400.6 -459.2 -410.4 -693.7 175.9 -273.6 58.62 -371.3 -361.5 -410.4 -244.3 -429.9 -254 -166.1 0
1.35 39.08 146.6 -9.77 0 -410.4 -371.3 -469 -390.8 -732.8 19.54 39.08 39.08 -205.2 -234.5 -459.2 -283.3 -381 -195.4 -166.1 0
1.355 -39.08 166.1 117.2 136.8 -351.7 -302.9 -459.2 -400.6 -771.9 -156.3 -136.8 205.2 -156.3 -107.5 -410.4 -293.1 -381 -117.2 -87.93 0
