    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1
0 -25.11 -25.11 -15.11 -13.02 -25.11 -27.09 -17.09 -9.069 0.9301 0.9301 11.98 9.999 25.93 45.93 13.95 23.95
0.005 -9.069 -7.092 1.977 0 -9.069 -15.11 -1.046 -2.093 1.977 3.953 13.95 11.98 27.9 37.9 20 31.97
0.01 -1.046 0 9.999 7.906 0.9301 0.9301 3.953 5.93 3.953 -1.046 7.906 1.977 21.97 1.977 15.93 30
0.015 -3.023 0.9301 0 1.977 -1.046 -2.093 0 1.977 3.953 -1.046 5.93 5.93 21.97 0.9301 9.999 25.93
0.02 0.9301 -3.023 -1.046 0.9301 0.9301 -5.116 -3.023 0.9301 7.906 11.98 9.999 15.93 27.9 27.9 5.93 25.93
0.025 8.953 1.977 1.977 0 5.93 -1.046 0.9301 0 7.906 15.93 1.977 9.999 17.91 37.9 -2.093 15.93
0.03 8.953 11.98 9.999 1.977 11.98 3.953 3.953 3.953 -3.023 -1.046 -13.02 -13.02 -5.116 -1.046 -15.11 -3.023
0.035 -11.05 3.953 1.977 -1.046 -1.046 0.9301 -2.093 0.9301 -23.02 -25.11 -29.07 -33.02 -31.04 -49.06 -33.02 -29.07
0.04 -27.09 -11.05 -7.092 -11.05 -19.07 -23.02 -13.02 -15.11 -29.07 -21.04 -27.09 -29.07 -37.09 -47.09 -39.07 -37.09
0.045 -17.09 -13.02 -7.092 -9.069 -15.11 -33.02 -17.09 -19.07 -11.05 -1.046 -13.02 -13.02 -25.11 -7.092 -27.09 -27.09
0.05 5 -2.093 1.977 -2.093 0 -11.05 -3.023 -1.046 7.906 5.93 -1.046 -1.046 -17.09 7.906 -19.07 -13.02
0.055 18.95 13.95 13.95 7.906 11.98 9.999 15.93 17.91 20 5.93 3.953 1.977 -15.11 0.9301 -19.07 -11.05
0.06 20.93 21.97 21.97 11.98 11.98 21.97 31.97 30 20 13.95 15.93 15.93 -13.02 -15.11 -23.02 -17.09
0.065 25 30 30 13.95 20 23.95 40 31.97 15.93 23.95 25.93 23.95 -9.069 -15.11 -15.11 -17.09
0.07 32.9 35.93 30 11.98 33.95 33.95 43.95 30 9.999 20 25.93 20 -7.092 -17.09 -1.046 -11.05
0.075 25 27.9 11.98 -2.093 31.97 45.93 40 20 0 1.977 23.95 13.95 -1.046 -17.09 11.98 -2.093
0.08 0.9301 7.906 -7.092 -15.11 7.906 37.9 27.9 7.906 -1.046 -2.093 27.9 20 9.999 0.9301 21.97 15.93
0.085 -9.069 -5.116 -15.11 -25.11 -5.116 13.95 13.95 -2.093 -2.093 7.906 31.97 30 31.97 27.9 27.9 30
0.09 0.9301 -3.023 -7.092 -17.09 -2.093 1.977 7.906 -2.093 3.953 11.98 20 23.95 35.93 35.93 23.95 27.9
0.095 8.953 0.9301 -5.116 -7.092 11.98 3.953 7.906 0 1.977 -2.093 0 0 15.93 15.93 11.98 11.98
0.1 -1.046 -9.069 -11.05 -3.023 1.977 -2.093 -2.093 -1.046 -3.023 -11.05 -11.05 -9.069 0.9301 -2.093 0 0.9301
0.105 -17.09 -23.02 -15.11 -1.046 -19.07 -13.02 -11.05 -11.05 -3.023 -9.069 -13.02 -7.092 0.9301 5.93 -1.046 0.9301
0.11 -23.02 -23.02 -11.05 0 -29.07 -27.09 -19.07 -9.069 1.977 -7.092 -13.02 -3.023 5.93 21.97 -5.116 3.953
0.115 -9.069 -7.092 -5.116 1.977 -15.11 -19.07 -15.11 -5.116 1.977 -9.069 -17.09 -7.092 7.906 15.93 -1.046 7.906
0.12 -1.046 -2.093 -11.05 -3.023 -1.046 -7.092 -11.05 -7.092 -7.092 -5.116 -13.02 -7.092 5.93 0 -2.093 3.953
0.125 -1.046 -3.023 -15.11 -13.02 -1.046 -9.069 -13.02 -11.05 -19.07 7.906 -3.023 -5.116 1.977 -3.023 1.977 0
0.13 0.9301 -5.116 -5.116 -5.116 -1.046 -17.09 -19.07 -11.05 -11.05 23.95 -2.093 -3.023 0.9301 -1.046 0 -2.093
0.135 2.907 0 1.977 9.999 3.953 -15.11 -13.02 -1.046 0 23.95 -5.116 -15.11 -13.02 -11.05 -7.092 -7.092
0.14 12.91 15.93 5.93 13.95 15.93 -5.116 -5.116 0 0 5.93 -17.09 -25.11 -25.11 -21.04 -23.02 -23.02
0.145 16.98 20 7.906 3.953 17.91 -1.046 0.9301 -1.046 -13.02 -3.023 -21.04 -23.02 -33.02 -21.04 -33.02 -37.09
0.15 20.93 15.93 7.906 0 9.999 -7.092 -1.046 -11.05 -19.07 -3.023 -17.09 -15.11 -35.11 -15.11 -35.11 -41.04
0.155 20.93 13.95 13.95 9.999 7.906 -9.069 -1.046 -9.069 -3.023 -7.092 -9.069 -11.05 -33.02 -17.09 -33.02 -35.11
0.16 16.98 13.95 18.95 15.93 7.906 -3.023 3.953 -2.093 9.999 -15.11 0.9301 0.9301 -23.02 -17.09 -21.04 -25.11
0.165 10.93 11.98 17.91 7.906 5.93 -3.023 15.93 9.999 9.999 -17.09 1.977 7.906 -7.092 -5.116 -7.092 -13.02
0.17 10.93 13.95 15 -2.093 5.93 -15.11 15.93 13.95 0 -13.02 -2.093 9.999 -2.093 1.977 0.9301 -7.092
0.175 8.953 7.906 7.906 0.9301 3.953 -27.09 3.953 5.93 0.9301 -7.092 -5.116 0 -1.046 3.953 -1.046 -7.092
0.18 -5.116 -3.023 -1.046 0 -3.023 -29.07 -7.092 0.9301 -2.093 -7.092 -5.116 0.9301 -5.116 5.93 -2.093 -3.023
0.185 -25.11 -19.07 -5.116 -2.093 -19.07 -25.11 -11.05 -3.023 0 -3.023 0 13.95 5.93 21.97 15.93 7.906
0.19 -21.04 -15.11 -6.046 -1.046 -17.09 -21.04 -3.023 -2.093 0 -2.093 11.98 31.97 33.95 33.95 37.9 35.93
0.195 0.9301 0.9301 -8.022 -1.046 -2.093 -17.09 3.953 3.953 -5.116 1.977 11.98 27.9 50 20 41.97 51.97
0.2 12.91 -2.093 -21.04 -1.046 9.999 -15.11 -2.093 0.9301 -19.07 -2.093 0 7.906 40 -3.023 27.9 45.93
0.205 -3.023 -21.04 -38.02 -21.04 -3.023 -19.07 -17.09 -19.07 -31.04 -3.023 0.9301 -2.093 21.97 -7.092 15.93 25.93
0.21 -31.04 -45.11 -47.09 -45.11 -25.11 -27.09 -31.04 -35.11 -27.09 -5.116 3.953 1.977 17.91 9.999 13.95 17.91
0.215 -23.02 -39.07 -34.07 -47.09 -25.11 -23.02 -21.04 -25.11 -11.05 0 13.95 5.93 20 20 21.97 20
0.22 5 -9.069 -13.02 -23.02 0.9301 -5.116 -2.093 -3.023 1.977 7.906 13.95 1.977 17.91 11.98 21.97 21.97
0.225 16.98 5.93 2.907 -5.116 9.999 9.999 9.999 0 -2.093 5.93 3.953 -1.046 5.93 0 11.98 7.906
0.23 -3.023 -2.093 7.906 -7.092 -5.116 3.953 -2.093 -3.023 -9.069 -5.116 -9.069 -11.05 -9.069 0 -3.023 -13.02
0.235 -23.02 -7.092 10.93 -17.09 -23.02 -13.02 -13.02 -11.05 -11.05 -27.09 -31.04 -31.04 -29.07 -1.046 -25.11 -31.04
0.24 -13.02 0 13.95 -9.069 -15.11 -27.09 -15.11 -7.092 0.9301 -31.04 -41.04 -49.06 -39.07 -17.09 -43.02 -35.11
0.245 -1.046 15.93 20.93 7.906 0.9301 -23.02 -7.092 -2.093 3.953 -21.04 -37.09 -47.09 -37.09 -17.09 -47.09 -33.02
0.25 0.9301 11.98 21.97 15.93 -1.046 -13.02 -3.023 1.977 1.977 -7.092 -25.11 -27.09 -27.09 0 -39.07 -29.07
0.255 -13.02 0 18.95 5.93 -13.02 -9.069 0.9301 0 0.9301 -7.092 -19.07 -11.05 -19.07 7.906 -23.02 -27.09
0.26 -9.069 0 15.93 -3.023 -5.116 -5.116 3.953 5.93 0 -13.02 -23.02 -15.11 -21.04 -15.11 -11.05 -27.09
0.265 5 9.999 18.95 -1.046 9.999 -2.093 15.93 17.91 7.906 -11.05 -15.11 -15.11 -23.02 -45.11 -5.116 -23.02
0.27 15 9.999 18.95 -2.093 17.91 3.953 17.91 20 3.953 1.977 1.977 1.977 -13.02 -35.11 3.953 -15.11
0.275 5 -2.093 12.91 0.9301 9.999 7.906 7.906 13.95 0 11.98 23.95 30 1.977 -3.023 25.93 0.9301
0.28 0.9301 -1.046 10.93 -3.023 3.953 13.95 3.953 9.999 5.93 13.95 31.97 40 11.98 0 47.9 15.93
0.285 5 1.977 8.953 -5.116 7.906 23.95 5.93 9.999 13.95 7.906 23.95 27.9 13.95 -13.02 45.93 20
0.29 0.9301 3.953 0.9301 -2.093 7.906 21.97 3.953 5 9.999 0 9.999 15.93 5.93 -17.09 23.95 7.906
0.295 -13.02 -9.069 -10.12 -7.092 -5.116 3.953 -7.092 -7.092 -7.092 -7.092 -1.046 5.93 -2.093 -2.093 0.9301 -1.046
0.3 -25.11 -23.02 -18.02 -16.04 -17.09 -17.09 -21.04 -20.11 -15.11 -18.02 -17.09 -3.023 -7.092 7.906 -7.092 -7.092
0.305 -15.11 -19.07 -19.07 -21.04 -9.069 -19.07 -19.07 -19.07 -5.116 -15.11 -21.04 -17.09 -7.092 0.9301 0.9301 -2.093
0.31 5 -7.092 -16.04 -20.11 3.953 -5.116 -7.092 -8.022 -2.093 6.976 -8.022 -12.09 -2.093 -1.046 3.953 9.999
0.315 15 -3.023 -19.07 -19.07 7.906 1.977 -3.023 -7.092 -1.046 30 3.953 1.977 9.999 20 1.977 13.95
0.32 10.93 -5.116 -14.07 -14.07 5.93 5.93 -3.023 -6.046 -9.069 26.97 6.976 6.976 7.906 35.93 -5.116 7.906
0.325 6.976 -2.093 -5.116 -3.023 13.95 15.93 0 0.9301 -3.023 1.977 -1.046 -7.092 -1.046 11.98 -11.05 0
0.33 5 11.98 2.907 5 17.91 30 9.999 5 0 -4.069 -8.022 -18.02 -9.069 -3.023 -9.069 -2.093
0.335 -7.092 1.977 8.953 3.953 -2.093 23.95 5.93 0 -2.093 -2.093 -9.069 -5.116 -2.093 13.95 -11.05 0.9301
0.34 -25.11 -17.09 6.976 1.977 -27.09 0.9301 -7.092 -10.12 -3.023 -2.093 -20.11 0 3.953 43.95 -23.02 -1.046
0.345 -25.11 -27.09 2.907 0 -31.04 -21.04 -21.04 -19.07 -2.093 -43.02 -53.02 -31.04 -13.02 5.93 -45.11 -15.11
0.35 -7.092 -13.02 1.977 10.93 -15.11 -17.09 -19.07 -10.12 9.999 -78.02 -72.09 -64.06 -45.11 -71.04 -63.02 -31.04
0.355 -1.046 -2.093 -6.046 10.93 -7.092 -7.092 -13.02 1.977 7.906 -60.11 -48.02 -48.02 -47.09 -93.01 -59.06 -37.09
0.36 -11.05 -1.046 -2.093 0 -23.02 -9.069 -13.02 0 -3.023 -2.093 -1.046 11.98 -11.05 -23.02 -35.11 -23.02
0.365 -7.092 0 10.93 -8.022 -23.02 -11.05 -5.116 0 -7.092 35 28.95 50.93 7.906 38.95 -5.116 -7.092
0.37 16.98 11.98 26.97 0 5.93 7.906 11.98 2.907 3.953 33.95 21.97 27.9 -2.093 11.98 5.93 -5.116
0.375 38.95 28.95 27.9 5 40.93 47.9 25.93 12.91 16.98 20.93 8.953 1.977 -19.07 -44.07 3.953 -15.11
0.38 32.9 23.95 10.93 -2.093 33.95 59.99 20 7.906 3.953 21.97 15.93 1.977 -17.09 -39.07 1.977 -15.11
0.385 6.976 6.976 1.977 -10.12 6.976 31.97 1.977 -1.046 -10.12 22.9 20.93 25 1.977 16.98 10.93 1.977
0.39 0.9301 1.977 1.977 -15.11 0.9301 0 0.9301 -1.046 -17.09 5.93 5.93 15.93 13.95 37.9 13.95 11.98
0.395 5 6.976 0 -4.069 8.953 0.9301 0.9301 0 -6.046 -2.093 -8.022 -6.046 7.906 -1.046 8.953 16.98
0.4 5 7.906 -5.116 -3.023 15.93 5.93 -3.023 -3.023 0 13.95 0.9301 -7.092 11.98 -15.11 7.906 15.93
0.405 -1.046 0.9301 -5.116 -6.046 5 9.999 -7.092 -2.093 2.907 45 22.9 18.95 27.9 26.97 16.98 26.97
0.41 -3.023 1.977 5 -1.046 -2.093 7.906 -1.046 0 3.953 35.93 25.93 23.95 35.93 59.99 20 30
0.415 2.907 12.91 11.98 6.976 5 9.999 1.977 10.93 6.976 0 -1.046 -4.069 7.906 22.9 5 12.91
0.42 -5.116 7.906 2.907 5 0.9301 7.906 -2.093 2.907 -2.093 -22.09 -15.11 -27.09 -17.09 -27.09 -9.069 -15.11
0.425 -29.07 -4.069 -7.092 -8.022 -24.07 -5.116 -19.07 -12.09 -12.09 -4.069 -10.12 -16.04 -21.04 -22.09 -14.07 -28.02
0.43 -31.04 -12.09 -3.023 -20.11 -36.04 -25.11 -27.09 -24.07 -21.04 5 -4.069 -1.046 -5.116 15.93 -7.092 -13.02
0.435 -1.046 0.9301 1.977 -10.12 -10.12 -19.07 -9.069 -12.09 -16.04 -4.069 -16.04 -4.069 0 22.9 -2.093 6.976
0.44 22.9 20.93 -2.093 0 20.93 0.9301 5.93 0.9301 -16.04 -24.07 -30.11 -18.02 0.9301 -9.069 -13.02 10.93
