    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1
0 -33.04 15.89 15.89 25.95 31.89 -2.058 27.89 23.89 35.89 25.95 33.95 43.9 65.96 41.95 33.95 19.89
0.005 -17.03 17.95 7.888 27.89 45.95 19.89 53.96 45.95 59.9 47.9 29.95 51.9 57.96 33.95 59.9 25.95
0.01 -19.09 -5.03 1.943 18.98 37.95 31.89 57.96 56.93 42.98 35.89 18.98 32.92 27.89 27.89 52.93 18.98
0.015 -7.087 1.943 1.943 22.98 27.89 43.9 49.96 58.99 13.95 11.89 12.92 23.89 0 40.92 26.98 3.887
0.02 2.972 14.98 -1.029 23.89 21.95 50.98 40.92 51.9 6.973 5.944 7.888 30.98 7.888 40.92 13.95 -6.059
0.025 0.9145 0 8.916 10.97 17.95 37.95 26.98 38.98 -1.029 8.916 19.89 23.89 21.95 33.95 -1.029 -9.031
0.03 32.92 13.95 42.98 14.98 29.95 26.98 30.98 35.89 0 7.888 38.98 22.98 37.95 29.95 -14.06 -6.059
0.035 66.99 24.92 60.93 24.92 39.9 16.92 40.92 37.95 1.943 10.97 39.9 31.89 39.9 18.98 -6.059 0
0.04 64.93 1.943 57.96 19.89 29.95 6.973 25.95 21.95 -11.09 3.887 47.9 35.89 13.95 16.92 -9.031 0
0.045 70.99 1.943 63.9 25.95 27.89 15.89 25.95 21.95 -25.03 -1.029 45.95 35.89 0 27.89 -15.09 -1.029
0.05 86.99 25.95 66.99 36.92 31.89 28.92 36.92 28.92 -20 -1.029 48.93 30.98 -1.029 41.95 -4.001 -2.058
0.055 82.99 10.97 61.96 21.95 27.89 30.98 36.92 22.98 -14.06 10.97 67.9 26.98 -11.09 41.95 -3.086 -6.059
0.06 84.94 17.95 65.96 15.89 33.95 38.98 49.96 33.95 -15.09 10.97 60.93 11.89 -6.059 39.9 -18.06 -7.087
0.065 96.94 46.98 57.96 27.89 37.95 36.92 67.9 49.96 -3.086 7.888 41.95 15.89 -1.029 36.92 -15.09 0
0.07 76.93 46.98 29.95 25.95 23.89 30.98 60.93 48.93 18.98 26.98 27.89 32.92 -13.03 33.95 -7.087 2.972
0.075 44.93 39.9 5.944 23.89 19.89 41.95 57.96 52.93 37.95 34.98 2.972 19.89 -12 28.92 -1.029 0
0.08 28.92 52.93 0.9145 33.95 23.89 37.95 65.96 56.93 51.9 34.98 -2.058 3.887 -2.058 38.98 12.92 5.944
0.085 6.973 39.9 -7.087 25.95 17.95 34.98 51.9 43.9 52.93 36.92 15.89 0.9145 5.944 37.95 21.95 1.943
0.09 -5.03 24.92 -10.06 6.973 15.89 37.95 40.92 33.95 40.92 23.89 17.95 0.9145 25.95 20.92 7.888 -9.031
0.095 -13.03 22.98 -6.059 -2.058 19.89 31.89 45.95 32.92 29.95 6.973 9.945 -1.029 29.95 8.916 1.943 -15.09
0.1 -35.09 -2.058 -17.03 -19.09 5.944 22.98 31.89 24.92 18.98 3.887 0.9145 -5.03 1.943 -4.001 -4.001 -15.09
0.105 -59.1 -33.04 -31.09 -43.1 0.9145 12.92 26.98 16.92 6.973 0.9145 -13.03 -17.03 -4.001 -18.06 -22.06 -21.03
0.11 -61.04 -32.01 -33.04 -41.04 -1.029 0 27.89 18.98 -1.029 -2.058 -21.03 -29.04 1.943 -10.06 -24.01 -15.09
0.115 -51.1 -28.01 -25.03 -39.1 -7.087 1.943 13.95 17.95 -2.058 1.943 -15.09 -32.01 2.972 1.943 -22.06 -4.001
0.12 -41.04 -27.09 -16 -39.1 -8.002 3.887 3.887 13.95 -7.087 0 -7.087 -36.01 13.95 0.9145 -24.01 -7.087
0.125 -27.09 -31.09 -4.001 -37.04 1.943 4.915 2.972 6.973 -11.09 -7.087 1.943 -48.01 17.95 0 -24.01 -17.03
0.13 -11.09 -37.04 6.973 -41.04 8.916 0 0 9.945 -11.09 1.943 5.944 -58.07 21.95 -10.06 -14.06 -3.086
0.135 4.915 -24.01 17.95 -27.09 9.945 -1.029 7.888 17.95 -8.002 14.98 7.888 -36.01 36.92 -2.058 -8.002 18.98
0.14 22.98 0 15.89 -15.09 9.945 3.887 23.89 28.92 0.9145 22.98 7.888 -15.09 25.95 8.916 -2.058 37.95
0.145 38.98 7.888 9.945 -11.09 0 8.916 26.98 40.92 10.97 26.98 1.943 -13.03 4.915 20.92 -2.058 41.95
0.15 34.98 12.92 5.944 -1.029 0.9145 16.92 25.95 38.98 10.97 9.945 1.943 -15.09 -1.029 32.92 -16 33.95
0.155 22.98 2.972 -1.029 0.9145 3.887 17.95 23.89 26.98 -1.029 1.943 0.9145 -37.04 -27.09 24.92 -32.01 9.945
0.16 20.92 0 6.973 2.972 17.95 21.95 24.92 27.89 -10.06 1.943 5.944 -45.04 -15.09 4.915 -25.03 5.944
0.165 22.98 5.944 21.95 15.89 29.95 34.98 41.95 41.95 -2.058 20.92 17.95 -24.01 11.89 7.888 -11.09 27.89
