    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1 190.1
0 -1.021 15.96 -23.02 9.932 -49.01 -35.09 -55.04 -55.04 -55.04 -41.03 -31 -5.012 -33.04 -17.08 -21.07 -39.08
0.005 10.95 17.91 -7.054 7.982 -37.03 -31 -43.07 -41.03 -33.04 -11.05 -9.003 -9.003 -24.04 -25.06 0 -23.02
0.01 26.92 13.92 1.949 0.9282 -19.03 -19.03 -19.03 -21.07 -21.07 5.94 1.949 -25.06 -17.08 -31 7.982 -17.08
0.015 20.98 -2.042 -4.084 -21.07 -20.05 -25.06 -15.04 -23.02 -17.08 12.99 10.95 -41.03 -12.07 -41.03 16.99 -21.07
0.02 8.911 -6.033 -14.02 -31 -34.06 -33.04 -19.03 -29.05 -12.07 8.911 8.911 -33.04 -13.09 -43.07 26.92 -23.02
0.025 4.919 0.9282 -16.06 -27.01 -27.01 -29.05 -11.05 -25.06 -21.07 -5.012 1.949 -29.05 -12.07 -37.03 20.98 -31
0.03 8.911 4.919 -14.02 -21.07 -8.075 -27.01 -3.063 -21.07 -22.09 -10.02 6.961 -23.02 -15.04 -27.01 9.932 -31
0.035 6.961 7.982 -1.021 -7.054 0.9282 -19.03 -3.063 -15.04 -23.02 -5.012 7.982 -3.063 -21.07 -13.09 0.9282 -17.08
0.04 10.95 17.91 3.991 -2.042 0 -9.003 -7.054 -15.04 -37.03 -11.05 0.9282 0.9282 -37.03 -1.021 -23.02 -19.03
0.045 14.94 13.92 2.97 1.949 -1.021 -15.04 -21.07 -23.02 -43.07 -9.003 1.949 0.9282 -46.04 5.94 -32.02 -17.08
0.05 10.95 2.97 8.911 9.932 0 -11.05 -25.06 -19.03 -33.04 2.97 10.95 5.94 -46.04 17.91 -20.05 0.9282
0.055 0.9282 -4.084 17.91 9.932 4.919 -2.042 -16.06 -4.084 -34.06 2.97 2.97 -1.021 -39.08 19.96 -13.09 0
0.06 -3.063 -19.03 19.96 13.92 13.92 9.932 -7.054 5.94 -21.07 11.97 5.94 -2.042 -27.01 25.99 0.9282 11.97
0.065 -13.09 -24.04 26.92 23.95 22.93 33.97 -1.021 23.95 -19.03 12.99 -8.075 11.97 -26.08 33.97 10.95 19.96
0.07 -31 -32.02 9.932 17.91 14.94 44 -4.084 22.93 -36.01 -6.033 -40 -1.021 -34.06 23.95 1.949 -1.021
0.075 -39.08 -40 -5.012 1.949 1.949 20.98 -3.063 11.97 -32.02 -2.042 -32.02 -5.012 -30.07 24.97 4.919 -10.02
0.08 -37.03 -46.04 -14.02 -9.003 -7.054 2.97 -4.084 5.94 -25.06 -2.042 -31 1.949 -20.05 20.98 5.94 -7.054
0.085 -39.08 -55.04 -28.03 -33.04 -22.09 -12.07 -17.08 -5.012 -35.09 -19.03 -44.09 -9.003 -16.06 -4.084 -3.063 -30.07
0.09 -31 -46.04 -23.02 -30.07 -30.07 -42.05 -25.06 -18.01 -25.06 -22.09 -31 -5.012 -9.003 -12.07 -3.063 -34.06
0.095 -17.08 -27.01 -12.07 -11.05 -21.07 -32.02 -18.01 -15.04 -13.09 -18.01 -29.05 12.99 -19.03 -8.075 4.919 -30.07
0.1 -11.05 -14.02 -10.02 -2.042 -11.05 -13.09 -12.07 -8.075 -19.03 -14.02 -35.09 14.94 -34.06 -9.003 5.94 -41.03
0.105 -3.063 -1.021 -1.021 13.92 -12.07 0 -3.063 0.9282 -14.02 1.949 -28.03 27.94 -36.01 2.97 12.99 -26.08
0.11 6.961 22.93 -1.021 27.94 -10.02 17.91 -4.084 0.9282 -18.01 -3.063 -50.03 42.98 -45.02 19.96 6.961 -13.09
0.115 -1.021 26.92 -14.02 26.92 -22.09 28.96 -22.09 -11.05 -47.06 -30.07 -79.08 24.97 -61.07 4.919 -5.012 -27.01
0.12 -9.003 13.92 -26.08 9.932 -35.09 12.99 -35.09 -28.03 -61.07 -45.02 -79.08 9.932 -69.06 -8.075 -11.05 -38.06
0.125 -23.02 0 -42.05 -10.02 -44.09 1.949 -40 -39.08 -63.02 -44.09 -79.08 -8.075 -79.08 -22.09 -11.05 -41.03
0.13 -35.09 -20.05 -56.06 -37.03 -52.07 -17.08 -38.06 -48.08 -60.05 -33.04 -64.04 -28.03 -79.08 -43.07 -12.07 -37.03
0.135 -31 -20.05 -47.06 -51.05 -52.07 -40 -31 -43.07 -48.08 -18.01 -38.06 -37.03 -62 -46.04 -8.075 -24.04
0.14 -5.012 -8.075 -36.01 -59.03 -49.01 -59.03 -32.02 -42.05 -37.03 -14.02 -21.07 -36.01 -48.08 -39.08 -7.054 -15.04
0.145 6.961 -3.063 -22.09 -51.05 -51.05 -76.02 -34.06 -49.01 -27.01 -8.075 -2.042 -30.07 -37.03 -36.01 0 -6.033
0.15 20.98 1.949 -9.003 -36.01 -38.06 -84 -35.09 -48.08 -23.02 -2.042 27.94 -21.07 -21.07 -24.04 0 0
0.155 36.94 7.982 2.97 -13.09 -24.04 -68.04 -29.05 -37.03 -19.03 1.949 32.95 -5.012 -14.02 0 0 2.97
0.16 44.92 16.99 16.99 7.982 -15.04 -36.01 -26.08 -21.07 -19.03 -2.042 25.99 1.949 -14.02 10.95 -1.021 11.97
0.165 40.93 22.93 22 23.95 -2.042 -8.075 -19.03 -1.021 -24.04 1.949 12.99 0 -18.01 18.94 -6.033 8.911
0.17 30.91 16.99 25.99 19.96 2.97 3.991 -10.02 8.911 -28.03 -2.042 0 0 -16.06 17.91 -1.021 0.9282
0.175 2.97 -4.084 8.911 -2.042 1.949 9.932 -15.04 -1.021 -33.04 -16.06 -4.084 -13.09 -18.01 -3.063 2.97 -19.03
0.18 -13.09 -23.02 -5.012 -17.08 0.9282 0.9282 -23.02 -19.03 -39.08 -29.05 3.991 -21.07 -13.09 -21.07 5.94 -37.03
0.185 -11.05 -20.05 0.9282 -19.03 4.919 -13.09 -16.06 -30.07 -36.01 -28.03 12.99 -16.06 1.949 -13.09 17.91 -35.09
0.19 -9.003 -22.09 -2.042 -23.02 -1.021 -17.08 -25.06 -49.01 -45.02 -36.01 6.961 -9.003 2.97 -19.03 12.99 -35.09
0.195 -11.05 -21.07 -12.07 -23.02 -7.054 -33.04 -41.03 -59.03 -57.08 -33.04 1.949 -3.063 0 -23.02 2.97 -39.08
0.2 -3.063 -9.003 -9.003 -15.04 -13.09 -47.06 -45.02 -53.09 -53.09 -19.03 -5.012 1.949 0.9282 -11.05 -2.042 -29.05
0.205 -15.04 -17.08 -27.01 -25.06 -41.03 -49.01 -67.02 -67.02 -63.02 -25.06 -41.03 0 -19.03 -19.03 -15.04 -31
0.21 -33.04 -26.08 -52.07 -29.05 -66.09 -67.02 -87.06 -75.09 -64.04 -24.04 -66.09 -1.021 -51.05 -25.06 -23.02 -37.03
0.215 -29.05 -15.04 -50.03 -19.03 -67.02 -71.01 -65.07 -59.03 -41.03 -9.003 -79.08 0 -56.06 -13.09 -14.02 -23.02
0.22 -31 -14.02 -52.07 -21.07 -64.04 -55.04 -43.07 -43.07 -28.03 -6.033 -86.04 0 -65.07 -17.08 -6.033 -25.06
0.225 -29.05 -11.05 -52.07 -23.02 -58.01 -43.07 -33.04 -31 -19.03 -4.084 -68.04 3.991 -66.09 -19.03 1.949 -33.04
0.23 -15.04 3.991 -31 -5.012 -37.03 -25.06 -11.05 -13.09 -5.012 5.94 -45.02 13.92 -45.02 0.9282 3.991 -19.03
0.235 -5.012 13.92 -17.08 5.94 -23.02 -2.042 -9.003 -1.021 -13.09 5.94 -47.06 11.97 -32.02 3.991 0.9282 -11.05
0.24 -9.003 13.92 -15.04 19.96 -17.08 13.92 -19.03 -2.042 -21.07 5.94 -53.09 13.92 -39.08 5.94 -5.012 -5.012
0.245 -3.063 15.96 -9.003 25.99 -7.054 25.99 -11.05 7.982 -15.04 11.97 -53.09 15.96 -31 15.96 -7.054 1.949
0.25 -7.054 5.94 -21.07 7.982 -15.04 25.99 -7.054 5.94 -19.03 3.991 -53.09 -2.042 -27.01 9.932 -7.054 3.991
0.255 -23.02 -13.09 -43.07 -23.02 -39.08 -2.042 -27.01 -9.003 -23.02 -3.063 -43.07 -5.012 -33.04 0.9282 -9.003 -1.021
0.26 -21.07 -21.07 -47.06 -41.03 -51.05 -27.01 -39.08 -29.05 -21.07 -5.012 -33.04 -7.054 -25.06 -5.012 -7.054 -5.012
0.265 -1.021 -5.012 -27.01 -23.02 -43.07 -39.08 -31 -31 -19.03 -1.021 -21.07 -13.09 -15.04 -5.012 -2.042 -5.012
0.27 18.94 9.932 1.949 -2.042 -19.03 -29.05 -21.07 -23.02 -11.05 0.9282 1.949 -5.012 -5.012 -5.012 11.97 -5.012
0.275 53 34.99 39.91 27.94 13.92 -4.084 0 -5.012 -3.063 7.982 35.92 -1.021 9.932 -3.063 17.91 -1.021
0.28 78.99 51.98 65.99 47.99 37.96 9.932 7.982 5.94 -7.054 7.982 53.93 -13.09 23.95 -7.054 13.92 -2.042
0.285 75 41.95 55.97 35.92 33.97 11.97 -5.012 0 -17.08 -1.021 53.93 -11.05 15.96 -17.08 1.949 -5.012
0.29 56.99 31.93 37.96 27.94 19.96 5.94 -21.07 -1.021 -23.02 -7.054 37.96 -5.012 5.94 -21.07 -7.054 -11.05
0.295 40.93 27.94 27.94 29.98 13.92 5.94 -19.03 -2.042 -19.03 -9.003 15.96 -7.054 -2.042 -19.03 -7.054 -9.003
0.3 14.94 6.961 1.949 0 0.9282 -1.021 -20.05 -7.054 -11.05 -13.09 0.9282 -11.05 -8.075 -27.01 0 -15.04
0.305 -15.04 -15.04 -21.07 -27.01 -7.054 -13.09 -7.054 -5.012 -2.042 -2.042 -15.04 -13.09 -5.012 -29.05 15.96 -17.08
