    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
0.205 0.9619 -3.061 -15.04 -27.02 -11.02 -19.06 -25.01 -17.05 -7.083 -11.02 -31.04 -31.04 -27.02 -21.07 -37.08 -33.05
0.21 4.984 -2.011 -1.049 -11.02 -13.03 -17.05 -15.04 -5.072 1.924 -11.02 -19.06 -17.05 -11.02 -5.072 -31.04 -15.04
0.215 14.95 7.957 7.957 -2.011 0.9619 -5.072 -1.049 7.957 15.91 -1.049 -1.049 -2.011 5.946 9.969 -13.03 1.924
0.22 20.99 11.98 11.98 3.935 13.99 3.935 7.957 19.94 19.94 7.957 9.969 15.91 19.94 21.95 1.924 19.94
0.225 14.95 3.935 5.946 0 21.95 11.98 9.969 21.95 13.99 15.91 13.99 21.95 23.96 19.94 13.99 25.97
0.23 -1.049 -9.007 -7.083 -7.083 13.99 5.946 0 9.969 0 13.99 5.946 13.99 15.91 9.969 15.91 19.94
0.235 -23.09 -27.02 -27.02 -23.09 -3.061 -3.061 -11.02 -3.061 -9.007 0 -5.072 0 1.924 0.9619 9.969 7.957
0.24 -37.08 -39 -37.08 -31.04 -25.01 -21.07 -23.09 -17.05 -17.05 -11.02 -15.04 -5.072 -3.061 -7.083 1.924 -2.011
0.245 -37.08 -37.08 -37.08 -33.05 -37.08 -31.04 -29.03 -23.09 -21.07 -23.09 -17.05 -7.083 -9.007 -11.02 -2.011 -3.061
0.25 -23.09 -25.01 -29.03 -31.04 -33.05 -31.04 -27.02 -21.07 -23.09 -25.01 -11.02 -5.072 -11.02 -11.02 0.9619 -5.072
0.255 -11.02 -15.04 -23.09 -27.02 -19.06 -25.01 -21.07 -19.06 -25.01 -17.05 -3.061 -1.049 -11.02 -11.02 0 -7.083
0.26 -3.061 -9.007 -21.07 -27.02 -7.083 -15.04 -19.06 -19.06 -25.01 -7.083 -2.011 -1.049 -13.03 -13.03 1.924 -7.083
0.265 -5.072 -11.02 -23.09 -29.03 0.9619 -7.083 -17.05 -19.06 -25.01 -2.011 0 -1.049 -17.05 -13.03 3.935 -7.083
0.27 -9.007 -19.06 -29.03 -31.04 -2.011 -1.049 -19.06 -21.07 -21.07 3.935 0.9619 -5.072 -19.06 -11.02 3.935 -7.083
0.275 -11.02 -25.01 -31.04 -29.03 -2.011 -1.049 -19.06 -19.06 -17.05 1.924 -7.083 -13.03 -19.06 -7.083 -2.011 -13.03
0.28 -9.007 -29.03 -31.04 -25.01 0.9619 -7.083 -21.07 -17.05 -15.04 -1.049 -19.06 -23.09 -23.09 -9.007 -11.02 -23.09
0.285 -7.083 -29.03 -27.02 -17.05 -5.072 -19.06 -27.02 -17.05 -17.05 -17.05 -37.08 -37.08 -29.03 -15.04 -33.05 -37.08
0.29 -9.007 -27.02 -21.07 -11.02 -15.04 -31.04 -31.04 -19.06 -17.05 -31.04 -51.07 -47.05 -35.07 -23.09 -53.08 -49.06
0.295 -13.03 -21.07 -15.04 -3.061 -29.03 -41.01 -33.05 -19.06 -9.007 -37.08 -53.08 -45.03 -31.04 -21.07 -60.07 -45.03
0.3 -15.04 -13.03 -5.072 1.924 -37.08 -37.08 -23.09 -13.03 3.935 -31.04 -39 -27.02 -14.08 -7.083 -46.08 -23.09
0.305 -9.007 -1.049 1.924 15.91 -33.05 -23.09 -7.083 -2.011 25.97 -15.04 -13.03 -2.011 3.935 11.98 -17.05 5.946
0.31 -1.049 1.924 9.969 25.97 -21.07 0.9619 5.946 15.91 39.96 0 12.94 25.97 28.94 31.92 12.94 35.94
0.315 4.984 5.946 9.969 25.97 -3.061 15.91 15.91 23.96 37.95 9.969 28.94 39.96 36.99 33.93 30.96 47.92
0.32 10.93 1.924 0 13.99 3.935 25.97 13.99 21.95 17.93 7.957 25.97 31.92 25.97 17.93 25.97 33.93
0.325 8.919 -1.049 -9.007 -1.049 5.946 21.95 3.935 7.957 -3.061 0.9619 12.94 11.98 6.996 -5.072 4.984 7.957
0.33 4.984 -5.072 -17.05 -17.05 0 11.98 0.9619 -1.049 -21.07 -9.007 2.973 -2.011 -6.034 -27.02 -8.045 -11.02
0.335 2.973 -3.061 -13.03 -21.07 0.9619 3.935 -2.011 -3.061 -21.07 -5.072 1.924 0 -9.007 -27.02 -9.007 -15.04
0.34 2.973 1.924 0.9619 -11.02 0.9619 5.946 9.969 1.924 -5.072 3.935 16.96 16.96 2.973 -9.007 8.919 0.9619
0.345 4.984 11.98 9.969 0 0 13.99 21.95 15.91 7.957 23.96 28.94 33.93 20.99 9.969 36.99 17.93
0.35 0.9619 11.98 13.99 5.946 1.924 17.93 21.95 21.95 15.91 33.93 29.99 35.94 25.97 21.95 51.94 27.98
0.355 -3.061 -2.011 0 0 -2.011 9.969 7.957 11.98 5.946 25.97 12.94 20.99 16.96 11.98 42.94 17.93
0.36 -15.04 -17.05 -15.04 -11.02 -7.083 -3.061 -11.02 -5.072 -9.007 3.935 -8.045 -4.022 -4.022 -4.022 12.94 -3.061
0.365 -23.09 -37.08 -35.07 -27.02 -21.07 -27.02 -33.05 -31.04 -27.02 -15.04 -31.04 -31.04 -29.03 -25.01 -15.04 -31.04
0.37 -23.09 -43.02 -41.01 -31.04 -31.04 -43.02 -41.01 -43.02 -30.08 -31.04 -34.02 -40.05 -38.04 -30.08 -34.02 -44.07
0.375 -17.05 -37.08 -35.07 -23.09 -29.03 -41.01 -35.07 -41.01 -18.01 -31.04 -26.06 -32 -32 -20.02 -34.02 -38.04
0.38 -7.083 -23.09 -23.09 -9.007 -19.06 -27.02 -19.06 -25.01 -5.072 -21.07 -11.02 -17.05 -17.05 -3.061 -23.09 -21.07
0.385 -3.061 -11.02 -13.03 -2.011 -7.083 -9.007 -3.061 -11.02 0.9619 -11.02 -4.022 -6.034 -4.022 6.996 -14.08 -4.022
0.39 -5.072 -9.007 -11.02 -2.011 0.9619 -3.061 0.9619 -5.072 0.9619 -10.06 -10.06 -6.034 0 6.996 -16 1.924
0.395 -11.02 -13.03 -15.04 -1.049 0.9619 -7.083 -3.061 -7.083 -3.061 -17.05 -23.09 -17.05 -3.061 -2.011 -29.03 -5.072
0.4 -17.05 -21.07 -14.08 -3.061 -7.083 -21.07 -9.007 -11.02 -6.034 -22.04 -30.08 -24.05 -8.045 -4.022 -36.03 -8.045
0.405 -17.05 -23.09 -8.045 0.9619 -15.04 -29.03 -11.02 -11.02 -4.022 -20.02 -26.06 -22.04 -6.034 -2.011 -32 -6.034
0.41 -11.02 -17.05 0.9619 7.957 -17.05 -25.01 -7.083 -5.072 0 -9.007 -11.02 -7.083 0.9619 1.924 -17.05 -2.011
0.415 0.9619 -2.011 6.996 17.93 -11.02 -7.083 -2.011 1.924 10.93 4.984 4.984 6.996 8.919 12.94 0.9619 12.94
0.42 2.973 4.984 8.919 17.93 0.9619 7.957 8.919 9.969 10.93 16.96 16.96 20.99 14.95 14.95 18.98 20.99
0.425 4.984 7.957 1.924 7.957 5.946 17.93 13.99 11.98 3.935 19.94 19.94 23.96 13.99 5.946 23.96 19.94
0.43 2.973 4.984 0 -1.049 7.957 17.93 16.96 9.969 -2.011 14.95 14.95 18.98 6.996 -2.011 18.98 10.93
0.435 -1.049 1.924 -4.022 -9.007 1.924 5.946 12.94 3.935 -10.06 6.996 4.984 10.93 0.9619 -12.07 10.93 0.9619
0.44 0.9619 -5.072 -3.061 -9.007 -1.049 -1.049 5.946 1.924 -11.02 1.924 0 1.924 0.9619 -17.05 7.957 -1.049
0.445 -1.049 -6.034 -1.049 -1.049 0 -7.083 2.973 0 -6.034 4.984 2.973 2.973 -1.049 -10.06 10.93 0
0.45 2.973 -2.011 2.973 0.9619 2.973 -3.061 -1.049 0 0 6.996 6.996 6.996 -1.049 -2.011 16.96 -1.049
0.455 8.919 0 3.935 1.924 13.99 -2.011 0.9619 0.9619 -2.011 5.946 7.957 5.946 0 -2.011 15.91 3.935
0.46 10.93 6.996 1.924 -1.049 24.92 3.935 0 -4.022 0 2.973 6.996 0.9619 1.924 0.9619 8.919 4.984
0.465 6.996 8.919 -4.022 0 20.99 3.935 0 -8.045 -2.011 -1.049 0.9619 1.924 0 0.9619 0.9619 2.973
