    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1
0 10.97 9.942 15.95 45.96 0.938 57.97 -3.001 31.98 7.973 11.91 -47.09 29.92 -21.01 33.95 -15.01 -3.001
0.005 2.908 11.91 17.91 33.95 5.909 43.99 9.942 29.92 21.95 3.939 -35.08 21.95 -15.01 21.95 -13.04 -13.04
0.01 -1.032 13.98 23.92 23.92 25.98 19.98 27.95 23.92 23.92 -1.032 -15.01 9.942 0.938 7.973 -13.04 -21.01
0.015 2.908 13.98 29.92 11.91 43.99 0.938 37.99 11.91 13.98 -13.04 0 0 13.98 -2.064 -13.04 -25.04
0.02 8.911 5.909 25.98 0 51.96 -15.01 35.92 0.938 -2.064 -27.01 7.973 0.938 21.95 -5.065 -15.01 -33.02
0.025 12.94 0.938 15.95 -5.065 41.93 -15.01 21.95 -17.07 -7.035 -37.05 3.939 0.938 17.91 -5.065 -19.04 -39.02
0.03 6.941 -9.004 -2.064 -11.07 13.98 -7.035 -2.064 -29.08 -9.004 -41.08 -5.065 -2.064 0 -3.001 -29.08 -43.05
0.035 -3.001 -17.07 -15.01 -15.01 -19.04 0 -25.04 -33.02 -7.035 -35.08 -17.07 0 -17.07 -2.064 -41.08 -39.02
0.04 -19.04 -17.07 -31.05 -21.01 -51.02 7.973 -47.09 -27.01 -9.004 -23.07 -23.07 0.938 -37.05 1.97 -47.09 -27.01
0.045 -27.01 -15.01 -35.08 -27.01 -61.06 5.909 -61.06 -15.01 -15.01 -11.07 -21.01 -5.065 -43.05 3.939 -43.05 -9.004
0.05 -23.07 -11.07 -27.01 -31.05 -43.05 0 -57.03 -4.033 -19.04 0 -11.07 -9.004 -33.02 3.939 -27.01 1.97
0.055 -9.004 -7.035 -5.065 -29.08 -5.065 -3.001 -36.02 1.97 -17.07 0.938 0.938 -10.04 -11.07 -2.064 -5.065 7.973
0.06 6.941 -1.032 15.95 -21.01 35.92 -7.035 -7.035 -2.064 -5.065 7.973 7.973 -7.035 9.942 -1.032 5.909 9.942
0.065 20.92 0 37.99 -5.065 67.91 -1.032 18.95 4.971 5.909 20.92 13.98 0 29.92 -3.001 13.98 10.97
0.07 26.92 7.973 45.96 3.939 75.97 5.909 42.96 20.92 19.98 40.99 13.98 4.971 37.99 0.938 11.91 14.91
0.075 22.98 13.98 37.99 11.91 59.94 23.92 57.97 45.96 27.95 59.94 9.942 9.942 31.98 9.942 7.973 27.95
0.08 14.91 15.95 20.92 7.973 33.95 40.99 60.97 73.91 33.95 69.97 0 10.97 17.91 17.91 9.942 38.93
0.085 4.971 11.91 4.971 0.938 5.909 50.93 57.97 83.95 37.99 59.94 -5.065 7.973 1.97 21.95 13.98 40.99
0.09 0.938 3.939 -1.032 -11.07 -5.065 51.96 45.96 71.94 37.99 39.96 -9.004 0 -5.065 15.95 21.95 29.92
