    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
1.185 -664.4 -244.3 -263.8 -29.31 -205.2 351.7 -293.1 810.9 381 771.9 -146.6 -97.7 -29.31 390.8 400.6 840.3 -127 -136.8 -293.1 0
1.19 -742.6 -361.5 -293.1 -136.8 -58.62 615.5 48.85 1026 713.2 1006 -107.5 -166.1 58.62 469 488.5 1026 -166.1 -283.3 58.62 0
1.195 -615.5 -498.3 -107.5 -117.2 185.6 840.3 175.9 938 859.8 1016 78.16 -254 97.7 400.6 498.3 1221 -156.3 -293.1 107.5 0
1.2 -488.5 -283.3 29.31 175.9 244.3 1163 87.93 947.7 869.6 1036 136.8 -185.6 97.7 498.3 439.7 1397 78.16 -19.54 224.7 0
1.205 -224.7 -146.6 195.4 381 234.5 1319 -78.16 791.4 752.3 908.6 234.5 -87.93 127 527.6 439.7 1260 254 234.5 166.1 0
1.21 -195.4 97.7 58.62 537.4 -107.5 1251 -615.5 449.4 342 625.3 107.5 0 -48.85 508.1 146.6 1143 254 332.2 -58.62 0
1.215 -48.85 117.2 -19.54 683.9 -332.2 1114 -928.2 87.93 136.8 390.8 117.2 39.08 -185.6 400.6 -19.54 801.2 214.9 283.3 -195.4 0
1.22 -117.2 195.4 -166.1 596 -655.1 635.1 -1339 -420.1 -127 9.77 -29.31 -117.2 -332.2 263.8 -244.3 342 78.16 48.85 -410.4 0
1.225 -29.31 224.7 -195.4 429.9 -674.6 58.62 -1416 -889.1 -224.7 -254 -78.16 -263.8 -469 -78.16 -449.4 0 -78.16 -254 -576.5 0
1.23 -68.39 302.9 -205.2 263.8 -771.9 -342 -1466 -1143 -390.8 -478.7 -371.3 -459.2 -703.5 -254 -674.6 -322.4 -136.8 -537.4 -655.1 0
1.235 175.9 469 107.5 195.4 -478.7 -586.2 -1025 -1260 -244.3 -478.7 -254 -527.6 -625.3 -469 -596 -459.2 19.54 -517.8 -459.2 0
1.24 127 537.4 205.2 -9.77 -439.7 -693.7 -781.6 -1133 -146.6 -420.1 -351.7 -556.9 -742.6 -586.2 -703.5 -517.8 87.93 -459.2 -283.3 0
