    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
1.185 351.7 -205.2 273.6 0 97.7 -97.7 -78.16 -342 -87.93 -293.1 312.7 -117.2 -68.39 0 -58.62 -195.4 136.8 48.85 -19.54
1.19 342 -195.4 332.2 107.5 195.4 78.16 78.16 -87.93 87.93 -97.7 312.7 -39.08 -29.31 58.62 -19.54 -87.93 205.2 195.4 195.4
1.195 332.2 -156.3 371.3 234.5 342 263.8 244.3 166.1 283.3 117.2 312.7 39.08 19.54 136.8 39.08 29.31 273.6 322.4 410.4
1.2 293.1 -146.6 381 312.7 429.9 390.8 381 390.8 439.7 312.7 283.3 48.85 39.08 185.6 87.93 136.8 293.1 371.3 537.4
1.205 214.9 -166.1 312.7 342 469 429.9 439.7 527.6 547.1 469 205.2 29.31 48.85 195.4 146.6 195.4 254 371.3 605.8
1.21 166.1 -175.9 234.5 302.9 449.4 400.6 439.7 566.7 586.2 517.8 146.6 -19.54 68.39 175.9 195.4 195.4 195.4 322.4 596
1.215 117.2 -185.6 146.6 234.5 351.7 322.4 351.7 537.4 537.4 488.5 97.7 -68.39 48.85 136.8 195.4 175.9 127 234.5 527.6
1.22 117.2 -146.6 97.7 175.9 244.3 234.5 244.3 469 429.9 410.4 78.16 -58.62 29.31 117.2 136.8 156.3 107.5 166.1 400.6
1.225 166.1 -68.39 117.2 136.8 195.4 185.6 97.7 361.5 293.1 293.1 97.7 -19.54 0 107.5 29.31 117.2 117.2 117.2 283.3
1.23 224.7 19.54 185.6 136.8 175.9 146.6 -9.77 244.3 127 185.6 127 39.08 -9.77 97.7 -68.39 87.93 146.6 87.93 185.6
1.235 254 48.85 224.7 156.3 205.2 127 -97.7 156.3 29.31 78.16 166.1 78.16 19.54 87.93 -136.8 58.62 166.1 78.16 78.16
1.24 273.6 29.31 234.5 156.3 244.3 107.5 -136.8 68.39 -68.39 -29.31 175.9 68.39 58.62 68.39 -146.6 -9.77 146.6 29.31 0
1.245 244.3 0 166.1 146.6 234.5 68.39 -205.2 9.77 -175.9 -117.2 166.1 19.54 107.5 68.39 -127 -68.39 97.7 -39.08 -97.7
1.25 185.6 -9.77 87.93 146.6 175.9 19.54 -234.5 -29.31 -214.9 -234.5 107.5 -9.77 117.2 58.62 -107.5 -117.2 29.31 -107.5 -224.7
1.255 127 -48.85 -9.77 127 87.93 -48.85 -302.9 -107.5 -273.6 -351.7 48.85 -9.77 68.39 39.08 -136.8 -185.6 -29.31 -195.4 -351.7
1.26 68.39 -78.16 -87.93 87.93 -29.31 -117.2 -361.5 -175.9 -322.4 -449.4 -9.77 0 -39.08 9.77 -214.9 -263.8 -87.93 -283.3 -469
1.265 9.77 -127 -166.1 48.85 -127 -156.3 -381 -205.2 -302.9 -459.2 -48.85 29.31 -136.8 -9.77 -273.6 -283.3 -166.1 -332.2 -508.1
1.27 -48.85 -195.4 -263.8 9.77 -214.9 -175.9 -342 -166.1 -244.3 -381 -39.08 -9.77 -205.2 -29.31 -332.2 -293.1 -224.7 -351.7 -488.5
1.275 -117.2 -273.6 -332.2 -19.54 -283.3 -185.6 -263.8 -68.39 -136.8 -234.5 -9.77 -29.31 -224.7 -39.08 -263.8 -263.8 -263.8 -322.4 -400.6
1.28 -195.4 -351.7 -381 -39.08 -332.2 -175.9 -166.1 29.31 -9.77 -87.93 0 -68.39 -195.4 -39.08 -195.4 -214.9 -302.9 -312.7 -302.9
1.285 -302.9 -439.7 -400.6 -78.16 -342 -214.9 -97.7 97.7 48.85 -19.54 -19.54 -127 -175.9 -39.08 -156.3 -195.4 -332.2 -302.9 -244.3
1.29 -400.6 -508.1 -410.4 -136.8 -371.3 -254 -78.16 117.2 39.08 -9.77 -97.7 -156.3 -166.1 -48.85 -185.6 -195.4 -342 -322.4 -254
1.295 -469 -537.4 -410.4 -146.6 -390.8 -263.8 -127 107.5 0 -68.39 -195.4 -156.3 -185.6 -58.62 -244.3 -214.9 -322.4 -332.2 -293.1
1.3 -469 -537.4 -361.5 -97.7 -371.3 -234.5 -175.9 68.39 -87.93 -136.8 -244.3 -107.5 -185.6 -68.39 -322.4 -244.3 -283.3 -322.4 -302.9
1.305 -439.7 -488.5 -293.1 -39.08 -322.4 -156.3 -195.4 58.62 -156.3 -166.1 -273.6 -29.31 -175.9 -68.39 -332.2 -244.3 -185.6 -273.6 -273.6
1.31 -371.3 -420.1 -205.2 48.85 -244.3 -87.93 -195.4 58.62 -156.3 -166.1 -244.3 19.54 -117.2 -78.16 -293.1 -244.3 -97.7 -195.4 -205.2
1.315 -263.8 -371.3 -78.16 97.7 -146.6 -58.62 -127 48.85 -136.8 -156.3 -175.9 68.39 -39.08 -97.7 -175.9 -224.7 9.77 -117.2 -97.7
1.32 -205.2 -322.4 19.54 78.16 -68.39 -78.16 -87.93 29.31 -117.2 -136.8 -127 78.16 48.85 -107.5 -87.93 -195.4 58.62 -58.62 -19.54
1.325 -185.6 -293.1 78.16 39.08 9.77 -127 -48.85 -29.31 -107.5 -166.1 -97.7 39.08 107.5 -117.2 9.77 -166.1 78.16 -29.31 39.08
1.33 -185.6 -273.6 127 -19.54 48.85 -195.4 -29.31 -87.93 -127 -224.7 -58.62 0 175.9 -127 78.16 -146.6 87.93 -39.08 68.39
1.335 -214.9 -273.6 127 -78.16 58.62 -254 -58.62 -127 -185.6 -312.7 -39.08 -58.62 224.7 -136.8 117.2 -156.3 78.16 -58.62 58.62
1.34 -224.7 -263.8 156.3 -136.8 39.08 -283.3 -107.5 -185.6 -273.6 -400.6 -29.31 -87.93 263.8 -127 136.8 -156.3 68.39 -68.39 19.54
1.345 -185.6 -263.8 156.3 -166.1 9.77 -302.9 -185.6 -205.2 -332.2 -459.2 -9.77 -146.6 254 -136.8 117.2 -175.9 29.31 -107.5 -19.54
1.35 -166.1 -224.7 136.8 -185.6 -29.31 -312.7 -254 -205.2 -371.3 -488.5 -9.77 -166.1 224.7 -146.6 68.39 -166.1 -19.54 -127 -87.93
1.355 -127 -175.9 127 -175.9 -48.85 -302.9 -283.3 -146.6 -342 -400.6 -19.54 -146.6 195.4 -117.2 29.31 -117.2 -48.85 -127 -97.7
1.36 -127 -117.2 97.7 -166.1 -68.39 -293.1 -234.5 -68.39 -273.6 -273.6 -58.62 -117.2 166.1 -78.16 9.77 -58.62 -68.39 -127 -68.39
1.365 -185.6 -78.16 29.31 -156.3 -78.16 -273.6 -175.9 19.54 -156.3 -107.5 -97.7 -68.39 127 -39.08 9.77 19.54 -68.39 -127 9.77
1.37 -254 -58.62 -48.85 -156.3 -97.7 -263.8 -107.5 68.39 -48.85 39.08 -175.9 -29.31 87.93 -9.77 -9.77 78.16 -68.39 -136.8 78.16
1.375 -351.7 -68.39 -166.1 -166.1 -117.2 -283.3 -68.39 78.16 39.08 136.8 -273.6 -39.08 48.85 -9.77 -29.31 87.93 -87.93 -166.1 97.7
1.38 -420.1 -87.93 -254 -185.6 -156.3 -312.7 -87.93 39.08 58.62 175.9 -361.5 -68.39 -9.77 -39.08 -58.62 78.16 -117.2 -224.7 68.39
1.385 -420.1 -68.39 -283.3 -205.2 -185.6 -351.7 -156.3 -29.31 9.77 156.3 -390.8 -87.93 -58.62 -48.85 -58.62 48.85 -107.5 -273.6 -9.77
1.39 -332.2 -9.77 -234.5 -166.1 -175.9 -342 -244.3 -107.5 -68.39 78.16 -322.4 -68.39 -39.08 -39.08 -19.54 19.54 -48.85 -254 -117.2
1.395 -214.9 68.39 -146.6 -87.93 -136.8 -283.3 -312.7 -166.1 -146.6 0 -205.2 -19.54 9.77 0 9.77 19.54 48.85 -195.4 -205.2
1.4 -68.39 166.1 -9.77 19.54 -58.62 -175.9 -293.1 -156.3 -205.2 -78.16 -68.39 48.85 107.5 78.16 58.62 39.08 185.6 -87.93 -224.7
1.405 19.54 214.9 97.7 97.7 39.08 -48.85 -234.5 -107.5 -234.5 -117.2 29.31 107.5 175.9 156.3 97.7 68.39 283.3 29.31 -185.6
1.41 48.85 234.5 156.3 146.6 97.7 39.08 -156.3 -48.85 -244.3 -136.8 68.39 117.2 214.9 214.9 107.5 107.5 322.4 78.16 -127
1.415 19.54 224.7 166.1 136.8 107.5 78.16 -78.16 -9.77 -283.3 -156.3 48.85 146.6 205.2 224.7 97.7 97.7 302.9 87.93 -58.62
1.42 -19.54 214.9 117.2 97.7 97.7 68.39 -48.85 -29.31 -302.9 -185.6 9.77 146.6 175.9 195.4 78.16 87.93 234.5 39.08 -29.31
1.425 -97.7 175.9 48.85 39.08 39.08 39.08 -29.31 -48.85 -332.2 -185.6 -19.54 127 136.8 146.6 58.62 58.62 136.8 -19.54 -19.54
1.43 -146.6 127 -9.77 -19.54 -9.77 19.54 -29.31 -58.62 -322.4 -175.9 -19.54 107.5 107.5 78.16 39.08 29.31 68.39 -78.16 -29.31
1.435 -175.9 78.16 -39.08 -48.85 -39.08 19.54 -19.54 -58.62 -302.9 -166.1 9.77 78.16 58.62 39.08 -19.54 0 19.54 -117.2 -39.08
1.44 -205.2 58.62 -19.54 -78.16 -39.08 29.31 19.54 -29.31 -244.3 -146.6 39.08 58.62 29.31 19.54 -29.31 0 9.77 -107.5 -9.77
1.445 -185.6 29.31 -19.54 -68.39 -19.54 58.62 107.5 29.31 -136.8 -87.93 29.31 48.85 9.77 0 -39.08 9.77 29.31 -58.62 58.62
1.45 -214.9 29.31 -29.31 -58.62 9.77 107.5 195.4 136.8 0 -9.77 0 48.85 0 -19.54 -39.08 48.85 48.85 0 146.6
1.455 -244.3 9.77 -39.08 -29.31 39.08 166.1 312.7 254 146.6 107.5 -9.77 19.54 19.54 -19.54 0 127 58.62 58.62 254
1.46 -263.8 -29.31 -48.85 9.77 19.54 205.2 371.3 332.2 263.8 205.2 -19.54 -9.77 19.54 -39.08 29.31 175.9 48.85 78.16 283.3
1.465 -283.3 -48.85 -87.93 48.85 -48.85 214.9 351.7 342 302.9 254 -19.54 -39.08 -19.54 -58.62 19.54 224.7 39.08 29.31 263.8
1.47 -254 -68.39 -97.7 68.39 -127 195.4 244.3 302.9 254 244.3 0 -39.08 -78.16 -97.7 19.54 263.8 39.08 -39.08 166.1
1.475 -117.2 39.08 -78.16 107.5 -146.6 156.3 156.3 244.3 273.6 293.1 68.39 9.77 -58.62 -48.85 107.5 322.4 48.85 -58.62 87.93
1.48 -19.54 107.5 -117.2 9.77 -214.9 -29.31 0 48.85 205.2 224.7 29.31 -39.08 -48.85 -58.62 127 234.5 -68.39 -195.4 -107.5
1.485 78.16 175.9 -166.1 -78.16 -244.3 -185.6 -117.2 -136.8 136.8 136.8 39.08 -97.7 -9.77 -58.62 146.6 166.1 -175.9 -312.7 -244.3
1.49 214.9 293.1 -166.1 -146.6 -185.6 -263.8 -166.1 -263.8 97.7 78.16 68.39 -97.7 97.7 0 185.6 97.7 -234.5 -361.5 -351.7
