    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1
0 4.971 1.97 0 15.95 0 13.98 0 3.939 19.98 3.939 11.91 9.942 5.909 9.942 23.92 7.973
0.005 -1.032 0.938 -7.035 3.939 3.939 9.942 7.973 5.909 31.98 5.909 3.939 3.939 0 3.939 21.95 1.97
0.01 -9.004 -7.035 -17.07 -5.065 7.973 5.909 9.942 3.939 37.99 7.973 0.938 0 -1.032 0 21.95 0.938
0.015 -17.07 -15.01 -25.04 -19.04 9.942 -2.064 9.942 0 37.99 9.942 -7.035 0 -5.065 -2.064 25.98 -3.001
0.02 -23.07 -19.04 -27.01 -27.01 7.973 -7.035 7.973 0.938 39.96 13.98 -9.004 1.97 -5.065 -2.064 29.92 -1.032
0.025 -27.01 -19.04 -27.01 -29.08 3.939 -13.04 12.94 0.938 41.93 17.91 -5.065 3.939 -1.032 0.938 27.95 -2.064
0.03 -27.01 -17.07 -25.04 -25.04 0 -13.04 13.98 0.938 43.99 19.98 -1.032 1.97 0 -1.032 17.91 1.97
0.035 -25.04 -11.07 -27.01 -21.01 -2.064 -11.07 12.94 -2.064 40.99 15.95 0.938 -2.064 0 -1.032 3.939 3.939
0.04 -25.04 -9.004 -28.04 -19.04 -14.07 -7.035 0.938 0 26.92 7.973 -3.001 -1.032 -3.001 -1.032 -3.001 0
0.045 -27.01 -11.07 -31.05 -23.07 -29.08 -5.065 -11.07 0 3.939 0.938 -9.004 -3.001 -11.07 0.938 -7.035 0.938
0.05 -23.07 -13.04 -28.04 -25.04 -34.05 -5.065 -26.08 0 -16.04 -11.07 -13.04 -3.001 -15.01 -2.064 -5.065 -3.001
0.055 -19.04 -15.01 -20.07 -22.04 -38.08 -5.065 -29.08 -2.064 -40.05 -21.01 -9.004 -3.001 -9.004 0.938 0.938 -9.004
0.06 -15.01 -17.07 -13.04 -21.01 -33.02 -7.035 -25.04 -1.032 -57.03 -29.08 0.938 -5.065 0 -5.065 -2.064 -17.07
0.065 -1.032 -13.04 -2.064 -16.04 -17.07 -11.07 -13.04 -9.004 -63.03 -39.02 8.911 -9.004 11.91 -13.04 1.97 -24.01
0.07 0.938 -11.07 2.908 -10.04 -5.065 -15.01 -2.064 -19.04 -63.03 -45.02 16.98 -10.04 11.91 -19.04 0 -34.05
0.075 10.97 -7.035 9.942 -3.001 3.939 -15.01 3.939 -25.04 -55.06 -47.09 21.95 -7.035 0 -17.07 -1.032 -39.02
0.08 18.95 -2.064 19.98 0.938 12.94 -12.01 11.91 -20.07 -38.08 -37.05 20.92 0.938 -7.035 -6.003 0.938 -30.01
0.085 26.92 8.911 27.95 8.911 21.95 -2.064 20.92 -6.003 -17.07 -17.07 18.95 14.91 -9.004 2.908 4.971 -8.066
0.09 32.92 17.91 31.98 13.98 25.98 5.909 25.98 7.973 0.938 1.97 17.91 23.92 -2.064 13.98 5.909 9.942
0.095 32.92 24.95 33.95 13.98 35.92 18.95 32.92 28.98 13.98 22.98 17.91 26.92 18.95 22.98 11.91 31.98
0.1 30.95 20.92 24.95 8.911 36.96 24.95 34.99 37.99 26.92 30.95 11.91 21.95 28.98 22.98 14.91 36.96
0.105 18.95 9.942 13.98 -2.064 31.98 19.98 31.98 33.95 35.92 29.92 1.97 9.942 29.92 15.95 21.95 27.95
0.11 4.971 -1.032 0 -7.035 22.98 11.91 28.98 24.95 46.99 29.92 -3.001 1.97 21.95 10.97 28.98 16.98
0.115 0.938 -12.01 -7.035 -17.07 6.941 4.971 24.95 15.95 56 28.98 -8.066 -5.065 5.909 7.973 28.98 4.971
0.12 -9.004 -23.07 -15.01 -27.01 -6.003 0 17.91 11.91 62.94 33.95 -14.07 -10.04 -5.065 2.908 20.92 2.908
0.125 -15.01 -30.01 -21.01 -33.02 -20.07 -2.064 4.971 7.973 56 34.99 -12.01 -9.004 -15.01 -2.064 8.911 4.971
0.13 -17.07 -33.02 -27.01 -43.05 -26.08 -9.004 -6.003 4.971 42.96 35.92 -9.004 -7.035 -19.04 -4.033 -1.032 6.941
0.135 -19.04 -29.08 -31.05 -49.06 -27.01 -19.04 -21.01 0.938 19.98 27.95 -3.001 -5.065 -21.01 -9.004 0.938 3.939
0.14 -15.01 -22.04 -26.08 -48.02 -24.01 -28.04 -30.01 -5.065 6.941 16.98 0.938 -1.032 -16.04 -14.07 2.908 0
0.145 -13.04 -18.01 -21.01 -43.05 -19.04 -34.05 -32.08 -12.01 3.939 6.941 3.939 -2.064 -4.033 -14.07 9.942 -7.035
0.15 -13.04 -17.07 -17.07 -35.08 -15.01 -33.02 -23.07 -15.01 1.97 -1.032 7.973 -5.065 0 -13.04 9.942 -17.07
0.155 -13.04 -14.07 -15.01 -32.08 -9.004 -22.04 -12.01 -16.04 0 -13.04 14.91 -8.066 7.973 -12.01 4.971 -18.01
0.16 -15.01 -17.07 -11.07 -30.01 -4.033 -12.01 -7.035 -12.01 -16.04 -27.01 12.94 -10.04 9.942 -8.066 0 -16.04
0.165 -15.01 -15.01 -11.07 -31.05 0.938 -3.001 -7.035 -9.004 -47.09 -37.05 5.909 -9.004 7.973 -3.001 -9.004 -15.01
0.17 -7.035 -9.004 -4.033 -22.04 3.939 0 -10.04 -1.032 -77.01 -43.05 2.908 0 5.909 3.939 -12.01 -12.01
0.175 -1.032 1.97 -1.032 -6.003 13.98 9.942 -11.07 3.939 -91.08 -43.05 2.908 5.909 7.973 19.98 -6.003 -6.003
0.18 16.98 15.95 11.91 11.91 17.91 21.95 -3.001 17.91 -85.07 -39.02 11.91 19.98 17.91 33.95 -1.032 0.938
0.185 30.95 33.95 26.92 36.96 26.92 35.92 11.91 29.92 -52.06 -33.02 27.95 27.95 29.92 43.99 1.97 1.97
0.19 42.96 43.99 38.93 49.99 32.92 47.93 33.95 39.96 -14.07 -27.01 39.96 29.92 39.96 43.99 11.91 7.973
0.195 48.96 47.93 49.99 51.96 41.93 56 49.99 45.96 11.91 -21.01 43.99 25.98 45.96 39.96 17.91 9.942
0.2 48.96 43.99 50.93 45.96 46.99 56 59 47.93 30.95 -13.04 35.92 15.95 45.96 29.92 21.95 9.942
0.205 40.99 37.99 41.93 33.95 44.93 47.93 54.96 43.99 34.99 -1.032 21.95 1.97 35.92 23.92 21.95 9.942
0.21 24.95 25.98 23.92 19.98 27.95 33.95 39.96 39.96 29.92 9.942 7.973 -5.065 21.95 17.91 23.92 11.91
0.215 8.911 13.98 0 5.909 1.97 19.98 20.92 31.98 25.98 27.95 -2.064 -13.04 5.909 13.98 27.95 13.98
0.22 -1.032 3.939 -13.04 0.938 -19.04 9.942 0 21.95 25.98 39.96 -1.032 -19.04 -3.001 7.973 27.95 17.91
0.225 -11.07 -2.064 -23.07 -9.004 -37.05 1.97 -7.035 9.942 25.98 45.96 -3.001 -19.04 -11.07 0 19.98 19.98
0.23 -13.04 -3.001 -21.01 -15.01 -39.02 0.938 -13.04 -2.064 23.92 43.99 -3.001 -17.07 -13.04 -1.032 5.909 19.98
0.235 -9.004 -7.035 -15.01 -21.01 -27.01 -9.004 -15.01 -7.035 13.98 41.93 -1.032 -17.07 -11.07 -3.001 -7.035 19.98
0.24 -5.065 -7.035 -7.035 -23.07 -13.04 -17.07 -17.07 -17.07 1.97 37.99 -1.032 -15.01 -13.04 -3.001 -19.04 15.95
0.245 -3.001 -7.035 -3.001 -23.07 -7.035 -27.01 -23.07 -23.07 -7.035 35.92 -2.064 -13.04 -17.07 -1.032 -17.07 9.942
0.25 -3.001 -3.001 -1.032 -17.07 -15.01 -33.02 -31.05 -25.04 -19.04 31.98 0 -9.004 -23.07 0.938 -9.004 1.97
0.255 -1.032 0 -2.064 -11.07 -27.01 -31.05 -37.05 -25.04 -31.05 27.95 1.97 -5.065 -25.04 -2.064 -1.032 -1.032
0.26 -1.032 7.973 7.973 -3.001 -33.02 -23.07 -33.02 -19.04 -39.02 21.95 1.97 0.938 -21.01 0 -3.001 -3.001
0.265 4.971 17.91 21.95 1.97 -25.04 -9.004 -17.07 -7.035 -45.02 11.91 1.97 3.939 -9.004 5.909 -11.07 -1.032
0.27 12.94 25.98 33.95 7.973 -3.001 0 0 1.97 -45.02 3.939 1.97 13.98 1.97 15.95 -19.04 -2.064
0.275 18.95 29.92 39.96 9.942 15.95 9.942 17.91 13.98 -39.02 -2.064 5.909 21.95 15.95 25.98 -13.04 1.97
0.28 20.92 27.95 37.99 3.939 31.98 17.91 27.95 23.92 -29.08 0.938 11.91 29.92 27.95 31.98 0.938 1.97
0.285 18.95 23.92 29.92 0.938 35.92 17.91 29.92 27.95 -17.07 0 19.98 33.95 31.98 31.98 13.98 0
0.29 16.98 17.91 23.92 -5.065 27.95 15.95 25.98 27.95 -3.001 3.939 23.92 35.92 33.95 27.95 21.95 0
0.295 16.98 17.91 23.92 -5.065 24.95 13.98 25.98 27.95 1.97 1.97 23.92 33.95 31.98 21.95 17.91 0
0.3 18.95 19.98 23.92 -1.032 30.95 13.98 29.92 29.92 8.911 0.938 21.95 31.98 25.98 17.91 11.91 1.97
0.305 20.92 21.95 25.98 3.939 37.99 19.98 33.95 31.98 11.91 -7.035 15.95 27.95 17.91 19.98 7.973 1.97
0.31 20.92 19.98 21.95 7.973 42.96 25.98 32.92 32.92 16.98 -15.01 11.91 21.95 5.909 19.98 13.98 -1.032
0.315 14.91 13.98 11.91 0 34.99 26.92 24.95 26.92 20.92 -21.01 5.909 13.98 1.97 16.98 19.98 -15.01
0.32 4.971 0.938 0.938 -15.01 13.98 13.98 13.98 13.98 21.95 -27.01 0 0 -3.001 5.909 21.95 -29.08
0.325 -5.065 -17.07 -11.07 -34.05 0.938 0 6.941 -1.032 24.95 -25.04 -3.001 -5.065 1.97 -2.064 14.91 -35.08
0.33 -13.04 -25.04 -18.01 -50.09 -15.01 -20.07 2.908 -10.04 20.92 -17.07 -13.04 -11.07 4.971 -14.07 -1.032 -28.04
0.335 -15.01 -25.04 -19.04 -47.09 -13.04 -29.08 3.939 -15.01 11.91 -5.065 -17.07 -5.065 9.942 -13.04 -11.07 -15.01
0.34 -13.04 -15.01 -12.01 -32.08 -6.003 -22.04 1.97 -5.065 1.97 3.939 -21.01 0 10.97 -4.033 -22.04 -1.032
0.345 -7.035 -3.001 -8.066 -15.01 1.97 -7.035 -1.032 0 -6.003 19.98 -19.04 9.942 5.909 3.939 -28.04 12.94
0.35 -3.001 0 -5.065 -3.001 -1.032 -2.064 -13.04 5.909 -17.07 25.98 -13.04 15.95 -5.065 11.91 -29.08 17.91
0.355 2.908 -2.064 -5.065 0 -9.004 2.908 -20.07 5.909 -21.01 27.95 -3.001 15.95 -13.04 12.94 -28.04 15.95
0.36 2.908 1.97 -2.064 -2.064 -11.07 -1.032 -17.07 3.939 -21.01 22.98 4.971 14.91 -20.07 8.911 -23.07 9.942
0.365 6.941 1.97 1.97 5.909 -3.001 -3.001 -3.001 3.939 -23.07 16.98 14.91 18.95 -12.01 1.97 -8.066 8.911
0.37 10.97 2.908 10.97 13.98 3.939 1.97 5.909 3.939 -23.07 12.94 18.95 24.95 -2.064 4.971 -2.064 11.91
0.375 14.91 9.942 15.95 26.92 15.95 8.911 14.91 11.91 -29.08 9.942 17.91 29.92 5.909 14.91 10.97 15.95
0.38 16.98 15.95 19.98 27.95 17.91 21.95 11.91 17.91 -43.05 5.909 11.91 35.92 7.973 19.98 11.91 17.91
0.385 14.91 15.95 16.98 27.95 13.98 29.92 0 19.98 -56.09 0.938 5.909 31.98 7.973 23.92 8.911 12.94
0.39 12.94 9.942 14.91 16.98 2.908 24.95 -7.035 11.91 -61.06 -9.004 1.97 25.98 0.938 16.98 -1.032 2.908
0.395 10.97 1.97 11.91 9.942 -2.064 15.95 -15.01 -2.064 -53.09 -19.04 5.909 17.91 -2.064 5.909 -1.032 -5.065
0.4 10.97 0.938 14.91 8.911 1.97 6.941 -10.04 -2.064 -28.04 -25.04 11.91 17.91 4.971 0.938 0.938 -10.04
0.405 10.97 -1.032 19.98 10.97 11.91 4.971 1.97 0 1.97 -25.04 19.98 17.91 16.98 2.908 14.91 -13.04
0.41 14.91 -2.064 27.95 15.95 21.95 5.909 15.95 5.909 25.98 -17.07 25.98 25.98 29.92 7.973 29.92 -9.004
0.415 14.91 3.939 31.98 21.95 32.92 10.97 34.99 20.92 46.99 -11.07 23.92 29.92 40.99 16.98 39.96 -1.032
0.42 18.95 7.973 33.95 23.92 42.96 17.91 46.99 34.99 54.96 -3.001 23.92 29.92 37.99 21.95 39.96 1.97
0.425 18.95 7.973 29.92 25.98 39.96 23.92 47.93 43.99 49.99 -1.032 19.98 23.92 27.95 19.98 29.92 7.973
0.43 16.98 3.939 21.95 19.98 30.95 27.95 41.93 43.99 36.96 -2.064 19.98 13.98 11.91 11.91 15.95 9.942
0.435 12.94 -2.064 13.98 11.91 14.91 21.95 23.92 31.98 17.91 1.97 15.95 1.97 -2.064 0 0 7.973
0.44 8.911 -5.065 1.97 1.97 -1.032 3.939 1.97 11.91 -2.064 3.939 9.942 -3.001 -5.065 -9.004 -7.035 1.97
0.445 2.908 -13.04 -3.001 -7.035 -13.04 -15.01 -11.07 -7.035 -15.01 5.909 -2.064 -7.035 -9.004 -21.01 -17.07 -2.064
0.45 0.938 -17.07 -7.035 -23.07 -21.01 -39.02 -25.04 -25.04 -27.01 7.973 -9.004 -9.004 -9.004 -25.04 -25.04 -2.064
0.455 -5.065 -19.04 -11.07 -35.08 -21.01 -53.09 -25.04 -35.08 -31.05 9.942 -19.04 -9.004 -13.04 -25.04 -33.02 1.97
0.46 -9.004 -21.01 -11.07 -41.08 -23.07 -53.09 -23.07 -35.08 -27.01 11.91 -27.01 -11.07 -17.07 -23.07 -37.05 7.973
0.465 -11.07 -25.04 -11.07 -43.05 -29.08 -45.02 -19.04 -29.08 -21.01 11.91 -29.08 -17.07 -21.01 -19.04 -35.08 11.91
0.47 -15.01 -29.08 -15.01 -43.05 -35.08 -35.08 -21.01 -19.04 -19.04 11.91 -27.01 -25.04 -21.01 -17.07 -25.04 11.91
0.475 -15.01 -31.05 -19.04 -39.02 -39.02 -27.01 -29.08 -11.07 -21.01 11.91 -23.07 -29.08 -19.04 -17.07 -11.07 7.973
0.48 -15.01 -31.05 -21.01 -33.02 -35.08 -25.04 -35.08 -3.001 -25.04 9.942 -17.07 -31.05 -17.07 -15.01 0 3.939
0.485 -13.04 -23.07 -19.04 -25.04 -25.04 -25.04 -37.05 0.938 -29.08 3.939 -7.035 -27.01 -13.04 -13.04 9.942 -2.064
0.49 -9.004 -13.04 -13.04 -21.01 -15.01 -25.04 -31.05 -1.032 -29.08 -1.032 -1.032 -27.01 -11.07 -11.07 15.95 -3.001
0.495 -7.035 -7.035 -9.004 -19.04 -11.07 -25.04 -19.04 -5.065 -25.04 -13.04 0.938 -27.01 -9.004 -11.07 13.98 -11.07
0.5 -11.07 -5.065 -11.07 -19.04 -13.04 -27.01 -7.035 -11.07 -17.07 -23.07 -3.001 -31.05 -7.035 -13.04 5.909 -17.07
0.505 -21.01 -11.07 -17.07 -19.04 -15.01 -29.08 0.938 -15.01 -11.07 -25.04 -9.004 -33.02 -5.065 -13.04 0 -19.04
0.51 -29.08 -17.07 -27.01 -21.01 -17.07 -29.08 1.97 -13.04 -7.035 -17.07 -15.01 -29.08 -5.065 -9.004 -3.001 -13.04
0.515 -33.02 -19.04 -33.02 -17.07 -13.04 -25.04 3.939 -1.032 -5.065 0.938 -17.07 -19.04 -7.035 0.938 -7.035 -3.001
0.52 -29.08 -13.04 -33.02 -13.04 -11.07 -15.01 3.939 5.909 -1.032 11.91 -15.01 -7.035 -5.065 7.973 -9.004 3.939
0.525 -17.07 -5.065 -27.01 -5.065 -10.04 -5.065 2.908 13.98 -2.064 19.98 -13.04 -2.064 -3.001 17.91 -9.004 9.942
0.53 -7.035 0 -21.01 -2.064 -14.07 -2.064 -1.032 11.91 0 11.91 -11.07 1.97 -3.001 17.91 -9.004 5.909
0.535 -1.032 1.97 -15.01 1.97 -23.07 -2.064 -5.065 3.939 0 0.938 -9.004 0 -5.065 9.942 -11.07 0.938
0.54 -5.065 0 -16.04 3.939 -24.01 -1.032 -10.04 -3.001 0.938 -13.04 -11.07 0.938 -9.004 -2.064 -11.07 -9.004
0.545 -17.07 -3.001 -24.01 3.939 -22.04 -9.004 -14.07 -9.004 -7.035 -19.04 -14.07 0.938 -15.01 -4.033 -9.004 -13.04
0.55 -27.01 -9.004 -31.05 0 -15.01 -13.04 -15.01 -9.004 -11.07 -15.01 -21.01 0.938 -17.07 -7.035 -7.035 -13.04
