    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1 167.1
0 20.97 -7.016 9.953 -1.061 21.95 13.95 17.95 11.99 25.94 9.953 15.99 9.953 11.99 7.995 -2.04 -2.04
0.005 32.96 0.979 17.95 0 29.94 19.99 15.99 13.95 21.95 11.99 19.99 9.953 15.99 11.99 1.958 1.958
0.01 39 1.958 25.94 5.956 29.94 19.99 5.956 7.995 7.995 3.998 23.99 1.958 15.99 5.956 7.995 3.998
0.015 42.99 9.953 35.98 11.99 27.98 17.95 -2.04 1.958 0.979 0.979 27.98 -2.04 15.99 1.958 13.95 3.998
0.02 46.99 20.97 43.97 20.97 29.94 21.95 0.979 5.956 -5.058 -1.061 31.98 1.958 21.95 4.977 20.97 6.935
0.025 48.95 32.96 49.93 30.92 35.98 35 7.995 18.93 0.979 2.937 35.98 14.93 32.96 14.93 24.96 10.93
0.03 48.95 43.97 51.97 41.93 47.97 51.97 25.94 37.94 9.953 15.99 39.98 33.94 45.93 31.98 29.94 19.99
0.035 48.95 50.99 53.93 48.95 59.96 72.94 44.95 52.95 24.96 22.92 46.99 42.99 56.94 44.95 39 28.96
0.04 52.95 52.95 57.92 50.99 70 80.93 60.94 56.94 35 24.96 54.99 40.95 64.94 54.99 50.99 35
0.045 56.94 49.93 65.92 45.93 79.95 77.99 67.96 49.93 37.94 23.99 61.92 31.98 63.96 57.92 59.96 33.94
0.05 62.98 49.93 70 43.97 84.93 70.98 70.98 45.93 40.95 26.92 68.94 24.96 61.92 61.92 67.96 33.94
0.055 64.94 43.97 67.96 39.98 84.93 65.92 70.98 47.97 44.95 35.98 68.94 21.95 53.93 55.97 63.96 31.98
0.06 54.99 37.94 53.93 31.98 71.96 59.96 65.92 49.93 49.93 47.97 53.93 23.99 39.98 51.97 43.97 29.94
0.065 39 30.92 35.98 26.92 60.94 59.96 63.96 61.92 52.95 57.92 31.98 25.94 25.94 48.95 22.92 35
0.07 20.97 18.93 19.99 16.97 46.99 57.92 55.97 68.94 51.97 60.94 11.99 20.97 12.97 41.93 4.977 39
0.075 6.935 5.956 7.995 3.998 33.94 47.97 49.93 65.92 41.93 49.93 1.958 11.99 3.998 29.94 -2.04 37.94
0.08 6.935 0.979 9.953 0 31.98 35 44.95 53.93 31.98 37.94 6.935 5.956 0 18.93 0 33.94
0.085 12.97 5.956 21.95 1.958 33.94 23.99 41.93 40.95 22.92 19.99 19.99 4.977 4.977 7.995 10.93 22.92
0.09 20.97 11.99 35.98 3.998 35.98 21.95 37.94 25.94 17.95 7.995 31.98 7.995 13.95 3.998 17.95 11.99
0.095 26.92 22.92 45.93 15.99 36.96 25.94 42.99 20.97 15.99 6.935 35.98 12.97 22.92 4.977 23.99 7.995
0.1 24.96 28.96 48.95 24.96 31.98 29.94 40.95 20.97 16.97 6.935 31.98 16.97 26.92 11.99 19.99 7.995
