    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1 303.1
0 78.9 77.86 73.86 53.88 75.94 21.91 51.96 17.91 7.993 0 49.88 13.91 79.93 1.924 27.98 3.997
0.005 74.9 91.92 67.94 65.87 71.94 25.9 43.96 23.98 11.99 7.993 43.96 35.97 67.94 19.98 17.91 17.91
0.01 54.92 81.86 43.96 59.95 55.95 31.97 33.9 29.9 15.99 13.91 33.9 51.96 49.88 37.89 11.99 27.98
0.015 26.94 49.88 9.917 39.97 27.98 33.9 21.91 31.97 19.98 9.917 21.91 55.95 29.9 39.97 13.91 23.98
0.02 0.8881 13.91 -10.07 15.99 1.924 29.9 13.91 25.9 25.9 3.997 13.91 43.96 15.99 25.9 19.98 5.921
0.025 -3.108 -3.108 -14.06 3.997 -7.105 17.91 11.99 15.99 27.98 -2.072 13.91 23.98 11.99 5.921 25.9 -5.033
0.03 2.96 -3.108 0.8881 5.921 -1.036 7.993 13.91 9.917 29.9 0 17.91 9.917 17.91 -1.036 27.98 -7.105
0.035 18.95 6.957 24.87 19.98 14.95 6.957 22.94 15.99 27.98 9.917 22.94 3.997 28.86 1.924 25.9 3.997
0.04 30.94 18.95 46.92 34.93 38.93 16.87 30.94 28.86 19.98 21.91 22.94 7.993 34.93 17.91 23.98 27.98
0.045 24.87 13.91 45.89 31.97 51.96 31.97 39.97 43.96 17.91 29.9 13.91 17.91 33.9 39.97 23.98 49.88
0.05 0.8881 -2.072 25.9 16.87 49 40.85 46.92 50.92 19.98 29.9 -1.036 27.98 26.94 51.96 23.98 53.88
0.055 -21.02 -28.12 -3.108 0 28.86 38.93 45 45 23.98 23.98 -10.07 31.97 12.88 43.96 23.98 39.97
0.06 -43.07 -43.07 -27.09 -17.02 3.997 25.9 39.97 25.9 27.98 13.91 -15.1 27.98 -2.072 25.9 19.98 15.99
0.065 -41 -36.12 -32.12 -22.06 -7.105 7.993 29.9 2.96 25.9 1.924 -8.141 17.91 -5.033 1.924 14.95 -1.036
0.07 -23.09 -11.1 -16.13 -11.1 -13.03 -5.033 11.99 -11.1 13.91 -3.108 3.997 -2.072 -7.105 -11.1 10.95 -11.1
0.075 0.8881 7.993 3.997 1.924 -5.033 -19.09 0.8881 -27.09 0.8881 -9.029 15.99 -11.1 -7.105 -17.02 1.924 -9.029
0.08 26.94 31.97 26.94 17.91 0.8881 -20.13 -12.14 -29.01 -17.02 -15.1 25.9 -21.02 -4.145 -14.06 -1.036 -5.033
0.085 40.85 45 37.89 26.94 7.993 -20.13 -22.06 -26.05 -27.09 -13.03 24.87 -25.02 -5.033 -12.14 -2.072 -5.033
0.09 32.86 39.97 31.97 23.98 5.921 -17.02 -27.09 -23.09 -27.09 -11.1 11.99 -23.09 -9.029 -13.03 -9.029 -13.03
