    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 703.5 322.4 302.9 224.7 39.08 244.3 -459.2 214.9 -371.3 -127 263.8 -68.39 -58.62 -107.5 -586.2 -58.62 234.5 107.5 -107.5 0
0.63 654.6 273.6 332.2 175.9 -39.08 293.1 -791.4 293.1 -508.1 -78.16 107.5 39.08 -48.85 19.54 -703.5 39.08 195.4 87.93 -166.1 0
0.635 439.7 58.62 97.7 -29.31 -156.3 146.6 -908.6 283.3 -508.1 -9.77 -117.2 -156.3 -410.4 -58.62 -801.2 175.9 -48.85 -97.7 -244.3 0
0.64 136.8 -185.6 -185.6 -214.9 -342 -9.77 -938 381 -459.2 97.7 -244.3 -244.3 -488.5 -146.6 -713.2 293.1 -390.8 -254 -214.9 0
0.645 -263.8 -517.8 -566.7 -429.9 -361.5 -127 -693.7 371.3 -342 166.1 -371.3 -400.6 -488.5 -117.2 -498.3 322.4 -674.6 -371.3 -146.6 0
0.65 -234.5 -439.7 -439.7 -283.3 -39.08 19.54 -205.2 517.8 -87.93 332.2 -156.3 -342 -322.4 19.54 -185.6 410.4 -576.5 -127 107.5 0
0.655 -214.9 -420.1 -420.1 -351.7 146.6 -78.16 185.6 400.6 87.93 214.9 -185.6 -312.7 -156.3 -9.77 146.6 302.9 -527.6 -19.54 234.5 0
0.66 -175.9 -322.4 -224.7 -351.7 342 -87.93 537.4 283.3 214.9 146.6 -371.3 -185.6 -19.54 9.77 400.6 283.3 -429.9 78.16 293.1 0
0.665 -107.5 -283.3 68.39 -332.2 459.2 -127 693.7 97.7 244.3 9.77 -371.3 -234.5 146.6 -78.16 469 107.5 -381 87.93 254 0
0.67 -185.6 -214.9 -351.7 -410.4 244.3 -234.5 654.6 -136.8 429.9 -68.39 -429.9 -263.8 185.6 -136.8 566.7 19.54 -420.1 19.54 195.4 0
0.675 -78.16 -185.6 -117.2 -322.4 175.9 -293.1 478.7 -332.2 263.8 -146.6 -9.77 -195.4 127 -156.3 361.5 -127 -322.4 29.31 29.31 0
0.68 -117.2 58.62 -332.2 -146.6 -29.31 -234.5 224.7 -371.3 293.1 -185.6 351.7 -39.08 48.85 -29.31 234.5 -263.8 -195.4 -68.39 -117.2 0
0.685 -78.16 244.3 -283.3 78.16 -224.7 -146.6 -175.9 -508.1 -48.85 -234.5 429.9 -39.08 -78.16 -205.2 -156.3 -322.4 -68.39 -166.1 -302.9 0
0.69 -29.31 156.3 -87.93 156.3 -127 -68.39 -420.1 -478.7 -185.6 -214.9 107.5 -58.62 -39.08 -205.2 -273.6 -390.8 156.3 -97.7 -371.3 0
0.695 273.6 234.5 371.3 302.9 87.93 -9.77 -527.6 -449.4 -234.5 -224.7 283.3 -78.16 -127 -273.6 -283.3 -429.9 420.1 0 -342 0
0.7 58.62 48.85 117.2 107.5 -166.1 -127 -801.2 -527.6 -332.2 -175.9 29.31 -136.8 -175.9 -400.6 -322.4 -420.1 234.5 -214.9 -478.7 0
0.705 -39.08 -78.16 0 19.54 -351.7 -224.7 -947.7 -478.7 -381 -166.1 -156.3 -166.1 -459.2 -322.4 -420.1 -371.3 0 -400.6 -625.3 0
0.71 -205.2 -205.2 -469 -224.7 -674.6 -488.5 -1075 -527.6 -342 -136.8 -293.1 -244.3 -488.5 -390.8 -361.5 -351.7 -273.6 -674.6 -723 0
0.715 -342 -273.6 -644.8 -332.2 -898.9 -586.2 -1085 -469 -342 -127 -263.8 -351.7 -537.4 -342 -361.5 -273.6 -429.9 -801.2 -713.2 0
0.72 -390.8 -136.8 -732.8 -293.1 -869.6 -459.2 -908.6 -185.6 -293.1 0 -410.4 -302.9 -439.7 -136.8 -410.4 -87.93 -459.2 -713.2 -615.5 0
0.725 -410.4 -107.5 -655.1 -234.5 -703.5 -224.7 -664.4 0 -185.6 107.5 -410.4 9.77 -469 107.5 -342 29.31 -429.9 -459.2 -371.3 0
0.73 -302.9 -58.62 -459.2 -117.2 -283.3 78.16 -263.8 293.1 -39.08 263.8 -166.1 117.2 -195.4 185.6 -127 293.1 -185.6 -29.31 39.08 0
0.735 -234.5 -127 -302.9 0 39.08 371.3 29.31 400.6 29.31 254 -166.1 322.4 -78.16 381 -39.08 351.7 0 293.1 322.4 0
0.74 156.3 87.93 87.93 332.2 469 683.9 390.8 644.8 166.1 302.9 254 420.1 254 381 205.2 488.5 410.4 771.9 625.3 0
0.745 127 214.9 244.3 449.4 527.6 771.9 322.4 586.2 -29.31 166.1 244.3 332.2 283.3 283.3 97.7 371.3 439.7 771.9 566.7 0
0.75 488.5 527.6 713.2 752.3 869.6 996.6 556.9 723 185.6 283.3 322.4 478.7 742.6 439.7 293.1 449.4 869.6 1114 810.9 0
0.755 703.5 615.5 1094 820.7 1036 947.7 586.2 635.1 48.85 127 596 381 791.4 371.3 195.4 293.1 1085 1202 810.9 0
0.76 674.2 537.4 1085 732.8 1075 879.3 615.5 576.5 156.3 136.8 439.7 400.6 810.9 322.4 283.3 244.3 1036 1124 762.1 0
0.765 693.7 537.4 1319 654.6 1124 762.1 566.7 527.6 19.54 68.39 312.7 263.8 781.6 293.1 175.9 97.7 1026 977 615.5 0
0.77 605.8 508.1 615.5 488.5 742.6 605.8 449.4 469 -19.54 19.54 879.3 263.8 469 254 117.2 107.5 683.9 703.5 429.9 0
0.775 469 517.8 449.4 293.1 586.2 498.3 469 488.5 29.31 48.85 351.7 244.3 361.5 322.4 117.2 68.39 508.1 498.3 351.7 0
0.78 410.4 469 19.54 146.6 283.3 381 537.4 586.2 107.5 175.9 674.2 117.2 302.9 224.7 214.9 234.5 263.8 312.7 361.5 0
0.785 127 293.1 -156.3 48.85 254 263.8 713.2 605.8 322.4 234.5 283.3 -48.85 273.6 156.3 293.1 185.6 68.39 156.3 410.4 0
0.79 146.6 293.1 -78.16 97.7 312.7 332.2 928.2 771.9 420.1 410.4 58.62 19.54 469 175.9 439.7 351.7 127 312.7 596 0
0.795 -78.16 29.31 -29.31 39.08 342 263.8 918.4 596 429.9 273.6 -29.31 -273.6 214.9 97.7 469 205.2 117.2 342 605.8 0
0.8 -87.93 -48.85 -48.85 39.08 302.9 244.3 820.7 527.6 400.6 293.1 -117.2 117.2 254 234.5 400.6 254 68.39 332.2 596 0
0.805 -371.3 -175.9 -312.7 -9.77 78.16 205.2 605.8 332.2 185.6 156.3 -381 48.85 -87.93 234.5 244.3 146.6 -107.5 195.4 371.3 0
0.81 -429.9 -117.2 -429.9 -48.85 -166.1 117.2 322.4 136.8 58.62 97.7 -586.2 263.8 -254 254 127 117.2 -156.3 58.62 136.8 0
0.815 -371.3 -9.77 -498.3 -48.85 -322.4 -39.08 48.85 -185.6 -107.5 -68.39 -674.6 410.4 -332.2 254 -9.77 -19.54 -214.9 -68.39 -136.8 0
0.82 -127 97.7 -400.6 78.16 -381 -39.08 -283.3 -439.7 -283.3 -205.2 -508.1 371.3 -214.9 254 -244.3 -117.2 -107.5 -205.2 -410.4 0
0.825 87.93 263.8 -263.8 273.6 -517.8 19.54 -655.1 -644.8 -498.3 -332.2 -381 322.4 -381 371.3 -429.9 -244.3 -39.08 -302.9 -732.8 0
0.83 156.3 244.3 -156.3 302.9 -596 0 -947.7 -742.6 -635.6 -429.9 -254 332.2 -342 214.9 -586.2 -254 0 -361.5 -820.7 0
0.835 273.6 302.9 29.31 410.4 -498.3 156.3 -1045 -644.8 -664.4 -410.4 -400.6 273.6 -410.4 283.3 -605.8 -283.3 117.2 -205.2 -732.8 0
0.84 244.3 78.16 29.31 332.2 -420.1 87.93 -1006 -488.5 -508.1 -283.3 -185.6 342 -449.4 175.9 -488.5 -234.5 19.54 -185.6 -596 0
0.845 302.9 68.39 68.39 205.2 -214.9 127 -723 -224.7 -263.8 -78.16 -205.2 117.2 -293.1 68.39 -283.3 -166.1 -9.77 -58.62 -361.5 0
0.85 136.8 -39.08 29.31 117.2 -107.5 68.39 -449.4 0 -68.39 78.16 -517.8 39.08 -234.5 -58.62 -136.8 -136.8 -87.93 19.54 -107.5 0
0.855 214.9 -48.85 244.3 48.85 214.9 107.5 -39.08 293.1 234.5 293.1 -19.54 -39.08 -107.5 -48.85 58.62 -68.39 29.31 214.9 205.2 0
0.86 175.9 -48.85 -19.54 48.85 205.2 107.5 117.2 469 205.2 322.4 -342 -175.9 -19.54 -136.8 78.16 -107.5 -19.54 263.8 390.8 0
0.865 29.31 -78.16 78.16 283.3 361.5 420.1 254 781.6 166.1 420.1 -48.85 -283.3 -58.62 -68.39 19.54 68.39 146.6 488.5 615.5 0
0.87 175.9 -175.9 -29.31 234.5 342 449.4 371.3 889.1 224.7 459.2 97.7 19.54 39.08 87.93 87.93 48.85 117.2 537.4 752.3 0
0.875 312.7 -58.62 39.08 381 449.4 644.8 449.4 1036 166.1 469 185.6 136.8 185.6 214.9 39.08 214.9 224.7 713.2 889.1 0
0.88 371.3 -107.5 205.2 371.3 586.2 683.9 556.9 1075 302.9 556.9 -39.08 420.1 29.31 449.4 214.9 390.8 342 771.9 947.7 0
0.885 390.8 107.5 136.8 498.3 488.5 723 469 977 263.8 644.8 -205.2 488.5 78.16 517.8 185.6 556.9 371.3 674.2 830.5 0
0.89 654.6 537.4 381 771.9 635.1 869.6 586.2 1006 478.7 879.3 39.08 625.3 156.3 703.5 420.1 879.3 654.6 713.2 840.3 0
0.895 693.7 723 537.4 898.9 664.4 693.7 469 674.2 478.7 820.7 117.2 635.1 410.4 664.4 381 801.2 840.3 605.8 625.3 0
0.9 508.1 762.1 488.5 810.9 439.7 439.7 205.2 244.3 244.3 674.2 107.5 449.4 185.6 556.9 224.7 654.6 742.6 263.8 234.5 0
0.905 429.9 703.5 390.8 683.9 195.4 136.8 -48.85 -195.4 -68.39 342 175.9 283.3 244.3 351.7 97.7 390.8 498.3 -58.62 -263.8 0
0.91 185.6 390.8 224.7 332.2 19.54 -166.1 -205.2 -527.6 -263.8 58.62 29.31 97.7 39.08 224.7 -29.31 97.7 195.4 -234.5 -478.7 0
0.915 175.9 175.9 302.9 205.2 107.5 -195.4 -29.31 -459.2 -205.2 -29.31 19.54 -87.93 29.31 97.7 127 136.8 39.08 -185.6 -469 0
0.92 58.62 -29.31 -29.31 -58.62 -48.85 -293.1 107.5 -351.7 -68.39 -68.39 68.39 -48.85 58.62 107.5 185.6 58.62 -342 -312.7 -420.1 0
0.925 -195.4 -254 -283.3 -361.5 -175.9 -390.8 214.9 -312.7 68.39 -68.39 -244.3 -254 -29.31 -39.08 195.4 48.85 -683.9 -429.9 -351.7 0
0.93 -146.6 -390.8 -400.6 -566.7 -224.7 -469 400.6 -185.6 254 48.85 -107.5 -263.8 -48.85 -156.3 234.5 87.93 -781.6 -429.9 -244.3 0
0.935 -224.7 -429.9 -429.9 -644.8 -322.4 -537.4 332.2 -234.5 293.1 -78.16 -136.8 -361.5 -29.31 -234.5 234.5 -78.16 -752.3 -488.5 -185.6 0
0.94 -97.7 -244.3 -273.6 -371.3 -273.6 -322.4 214.9 -195.4 175.9 -19.54 -342 -400.6 -146.6 -214.9 175.9 -58.62 -556.9 -283.3 -156.3 0
0.945 -78.16 -127 -29.31 -195.4 -156.3 -273.6 58.62 -234.5 97.7 -78.16 107.5 -273.6 -9.77 -254 117.2 -185.6 -381 -195.4 -166.1 0
0.95 87.93 -58.62 302.9 39.08 39.08 -48.85 -29.31 -156.3 -19.54 -87.93 127 -146.6 107.5 -117.2 107.5 -146.6 -156.3 78.16 -29.31 0
0.955 234.5 -78.16 693.7 39.08 224.7 -9.77 -29.31 -175.9 -107.5 -205.2 -234.5 0 175.9 -136.8 68.39 -244.3 48.85 205.2 68.39 0
0.96 234.5 -166.1 293.1 -68.39 136.8 0 -78.16 -127 -224.7 -205.2 547.1 -68.39 381 -117.2 -58.62 -263.8 -58.62 166.1 68.39 0
0.965 332.2 -39.08 449.4 -87.93 127 19.54 -136.8 -117.2 -351.7 -224.7 107.5 -19.54 166.1 -156.3 -146.6 -342 -58.62 136.8 9.77 0
0.97 527.6 224.7 283.3 136.8 156.3 195.4 78.16 58.62 -175.9 -19.54 693.7 68.39 234.5 -19.54 -87.93 -146.6 175.9 234.5 156.3 0
0.975 556.9 351.7 146.6 195.4 48.85 156.3 -9.77 58.62 -273.6 -97.7 312.7 68.39 -166.1 -117.2 -254 -205.2 195.4 214.9 87.93 0
0.98 635.1 527.6 283.3 322.4 166.1 205.2 205.2 166.1 -78.16 39.08 78.16 156.3 -205.2 -78.16 -117.2 -127 361.5 302.9 254 0
0.985 293.1 459.2 117.2 205.2 9.77 58.62 117.2 117.2 -78.16 97.7 -224.7 0 -312.7 -146.6 -224.7 -127 117.2 78.16 97.7 0
0.99 29.31 156.3 19.54 -29.31 9.77 -58.62 195.4 117.2 117.2 205.2 -254 -68.39 -205.2 -185.6 -29.31 -68.39 -58.62 -19.54 97.7 0
0.995 -293.1 -205.2 -175.9 -449.4 -127 -332.2 117.2 48.85 175.9 175.9 -293.1 -234.5 -185.6 -293.1 9.77 -78.16 -371.3 -244.3 19.54 0
1 -273.6 -361.5 -166.1 -527.6 -117.2 -332.2 87.93 48.85 175.9 234.5 -361.5 -195.4 -97.7 -254 87.93 -48.85 -429.9 -283.3 0 0
1.005 -312.7 -390.8 -107.5 -488.5 -58.62 -351.7 -48.85 -48.85 -9.77 117.2 -469 -381 -48.85 -351.7 -58.62 -127 -361.5 -332.2 -97.7 0
1.01 -19.54 -136.8 -87.93 -166.1 29.31 -68.39 -39.08 127 -29.31 156.3 -166.1 -322.4 58.62 -205.2 68.39 -9.77 -87.93 -19.54 0 0
1.015 87.93 107.5 97.7 58.62 195.4 117.2 19.54 146.6 -87.93 19.54 -293.1 -68.39 263.8 48.85 58.62 -29.31 205.2 156.3 117.2 0
1.02 117.2 195.4 117.2 273.6 263.8 293.1 0 136.8 -166.1 -9.77 263.8 -87.93 224.7 29.31 78.16 -39.08 244.3 312.7 107.5 0
1.025 -78.16 273.6 0 224.7 263.8 351.7 19.54 146.6 -224.7 -39.08 68.39 117.2 332.2 205.2 48.85 -58.62 195.4 273.6 107.5 0
1.03 97.7 244.3 302.9 136.8 469 273.6 117.2 9.77 -117.2 -68.39 508.1 205.2 342 117.2 127 -58.62 156.3 302.9 78.16 0
1.035 214.9 234.5 332.2 39.08 488.5 136.8 175.9 -185.6 -68.39 -175.9 371.3 87.93 371.3 48.85 156.3 -166.1 107.5 254 97.7 0
1.04 302.9 254 361.5 -48.85 439.7 58.62 195.4 -214.9 48.85 -146.6 469 87.93 293.1 29.31 175.9 -156.3 29.31 234.5 58.62 0
1.045 244.3 205.2 322.4 -78.16 293.1 -78.16 146.6 -322.4 87.93 -136.8 234.5 -29.31 117.2 -29.31 214.9 -146.6 -29.31 87.93 9.77 0
1.05 254 234.5 224.7 -136.8 195.4 -107.5 136.8 -263.8 175.9 -68.39 205.2 48.85 136.8 -39.08 205.2 -87.93 -19.54 0 0 0
1.055 136.8 48.85 146.6 -224.7 68.39 -254 -39.08 -332.2 87.93 -127 136.8 19.54 146.6 -97.7 224.7 -127 -9.77 -78.16 -58.62 0
1.06 39.08 107.5 68.39 -175.9 -58.62 -283.3 -224.7 -312.7 78.16 -97.7 117.2 9.77 97.7 -68.39 107.5 -214.9 -97.7 -185.6 -156.3 0
1.065 -117.2 -97.7 -68.39 -342 -293.1 -498.3 -469 -390.8 -127 -146.6 -9.77 -156.3 9.77 -351.7 -39.08 -244.3 -234.5 -517.8 -361.5 0
1.07 -107.5 68.39 9.77 -351.7 -322.4 -449.4 -361.5 -293.1 -39.08 -48.85 -48.85 9.77 -127 -175.9 -78.16 -205.2 -205.2 -517.8 -312.7 0
1.075 -293.1 -156.3 -136.8 -469 -332.2 -478.7 -263.8 -205.2 -29.31 -39.08 -58.62 -156.3 -185.6 -195.4 -146.6 -117.2 -293.1 -469 -273.6 0
