    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 -332.2 156.3 -185.6 -166.1 -400.6 39.08 -175.9 29.31 -283.3 342 -390.8 87.93 -68.39 -58.62 -332.2 -58.62 -302.9 -78.16 -205.2 -166.1
0.63 -234.5 29.31 -195.4 -146.6 -371.3 -29.31 -146.6 -117.2 -293.1 205.2 -371.3 9.77 19.54 -68.39 -195.4 -166.1 -224.7 -156.3 -166.1 -48.85
0.635 -175.9 214.9 -97.7 -127 -273.6 -19.54 -78.16 -107.5 -205.2 234.5 -302.9 68.39 68.39 -39.08 -127 -175.9 -156.3 -68.39 -68.39 -87.93
0.64 -156.3 273.6 -97.7 -156.3 -342 -156.3 -205.2 -195.4 -302.9 146.6 -244.3 58.62 0 -136.8 -175.9 -254 -234.5 -107.5 -195.4 -117.2
0.645 -127 205.2 -107.5 -234.5 -371.3 -263.8 -351.7 -224.7 -400.6 39.08 -185.6 -78.16 -107.5 -166.1 -263.8 -244.3 -273.6 -205.2 -214.9 -107.5
0.65 -175.9 68.39 -39.08 -400.6 -361.5 -361.5 -381 -254 -371.3 -48.85 -127 -146.6 -48.85 -205.2 -244.3 -185.6 -332.2 -390.8 -175.9 136.8
0.655 -58.62 107.5 -107.5 -351.7 -322.4 -244.3 -381 -48.85 -293.1 87.93 -39.08 -19.54 -48.85 -19.54 -283.3 0 -322.4 -293.1 -87.93 48.85
0.66 -97.7 19.54 -19.54 -439.7 -263.8 -283.3 -332.2 -48.85 -293.1 0 -48.85 -78.16 -19.54 -39.08 -214.9 -68.39 -214.9 -293.1 -9.77 127
0.665 107.5 146.6 156.3 -234.5 -48.85 -19.54 -87.93 224.7 -68.39 293.1 97.7 78.16 146.6 136.8 -87.93 117.2 -9.77 -58.62 205.2 9.77
0.67 -19.54 273.6 224.7 -136.8 78.16 0 -48.85 205.2 -58.62 273.6 68.39 97.7 156.3 87.93 -78.16 -29.31 97.7 -39.08 273.6 78.16
