    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 683.9 576.5 859.8 371.3 664.4 371.3 429.9 449.4 205.2 244.3 273.6 654.6 654.6 175.9 947.7 596 1016 537.4 508.1 156.3
0.63 742.6 498.3 1016 361.5 898.9 527.6 674.2 556.9 508.1 58.62 547.1 478.7 771.9 146.6 986.8 478.7 1260 683.9 908.6 254
0.635 869.6 830.5 1153 342 1124 771.9 850 742.6 1094 224.7 566.7 947.7 898.9 312.7 986.8 439.7 1387 928.2 1202 166.1
0.64 967.3 644.8 1202 302.9 1143 625.3 908.6 527.6 1016 -136.8 625.3 429.9 859.8 -29.31 1045 166.1 1446 674.2 1280 371.3
0.645 1036 732.8 1387 654.6 1182 771.9 967.3 517.8 928.2 -68.39 977 801.2 1045 185.6 1026 156.3 1456 664.4 1251 322.4
0.65 859.8 527.6 928.2 693.7 664.4 449.4 576.5 195.4 488.5 -429.9 58.62 537.4 214.9 -29.31 791.4 -97.7 1085 214.9 723 234.5
0.655 713.2 117.2 556.9 498.3 205.2 205.2 146.6 -136.8 19.54 -752.3 9.77 -254 156.3 19.54 469 -166.1 674.2 -48.85 244.3 29.31
0.66 429.9 224.7 263.8 351.7 -107.5 0 -48.85 -322.4 -166.1 -859.8 -322.4 87.93 -302.9 -107.5 293.1 -273.6 302.9 -127 -78.16 -156.3
0.665 390.8 342 205.2 302.9 107.5 29.31 19.54 -273.6 -244.3 -850 -390.8 -244.3 -68.39 -68.39 332.2 -214.9 195.4 -9.77 -97.7 -293.1
0.67 283.3 68.39 -156.3 -19.54 -332.2 -9.77 -214.9 -332.2 -429.9 -655.1 -185.6 -146.6 -547.6 -205.2 -351.7 -293.1 -185.6 0 -410.4 -566.7
0.675 -146.6 762.1 -107.5 68.39 -371.3 48.85 -400.6 -185.6 -254 -429.9 0 576.5 439.7 -87.93 400.6 -361.5 -390.8 97.7 -615.5 -801.2
0.68 -254 342 -420.1 127 -635.6 -68.39 -439.7 -371.3 -58.62 -527.6 -244.3 254 -58.62 -312.7 -175.9 -517.8 -644.8 -127 -859.8 -781.6
0.685 -713.2 342 -928.2 -244.3 -1172 -361.5 -908.6 -547.6 -234.5 -615.5 -361.5 87.93 48.85 -400.6 -244.3 -625.3 -967.8 -342 -1319 -771.9
0.69 -703.5 205.2 -1075 29.31 -1114 -332.2 -781.6 -478.7 -29.31 -635.6 -400.6 136.8 -19.54 -332.2 -224.7 -488.5 -928.2 -410.4 -1163 -449.4
0.695 -898.9 -439.7 -1016 -488.5 -967.8 -615.5 -625.3 -644.8 -195.4 -762.1 -801.2 -263.8 -400.6 -400.6 -625.3 -381 -918.4 -478.7 -1016 -214.9
0.7 -898.9 -517.8 -644.8 -273.6 -263.8 -254 146.6 -68.39 -87.93 -136.8 -19.54 19.54 -29.31 -127 -78.16 0 -566.7 78.16 -322.4 58.62
0.705 -586.2 -713.2 -322.4 -332.2 68.39 -97.7 351.7 214.9 791.4 214.9 127 469 254 146.6 -48.85 195.4 -439.7 234.5 107.5 293.1
0.71 -469 -615.5 -342 -283.3 175.9 9.77 488.5 498.3 654.6 576.5 29.31 302.9 146.6 58.62 136.8 224.7 -556.9 361.5 136.8 195.4
0.715 -127 -478.7 -293.1 -263.8 136.8 48.85 342 478.7 918.4 224.7 214.9 302.9 273.6 97.7 68.39 -107.5 -576.5 166.1 195.4 175.9
0.72 -39.08 -674.6 -596 -517.8 -166.1 -263.8 -19.54 156.3 469 -39.08 -156.3 -332.2 -78.16 -342 -312.7 -508.1 -752.3 -263.8 -87.93 263.8
0.725 -400.6 -478.7 -517.8 -742.6 -254 -410.4 -263.8 -58.62 -146.6 -517.8 -390.8 -136.8 -605.8 -302.9 -469 -791.4 -732.8 -508.1 -117.2 371.3
0.73 -420.1 -762.1 -439.7 -908.6 -78.16 -752.3 -87.93 -390.8 -136.8 -723 -439.7 -742.6 -312.7 -508.1 -371.3 -957.5 -655.1 -703.5 -9.77 742.6
0.735 -762.1 -683.9 -361.5 -840.3 -97.7 -693.7 87.93 -156.3 166.1 -195.4 -605.8 -156.3 -713.2 -302.9 -713.2 -791.4 -517.8 -332.2 175.9 742.6
0.74 -429.9 -420.1 48.85 -381 185.6 -351.7 185.6 146.6 224.7 39.08 -224.7 127 283.3 29.31 48.85 -478.7 -107.5 -68.39 439.7 703.5
0.745 -400.6 -342 -39.08 -263.8 -39.08 -390.8 97.7 107.5 58.62 254 9.77 68.39 214.9 -107.5 -214.9 -439.7 -224.7 39.08 234.5 400.6
0.75 -234.5 -488.5 175.9 -302.9 29.31 -312.7 19.54 0 312.7 107.5 166.1 254 371.3 -97.7 127 -361.5 87.93 -29.31 390.8 566.7
0.755 -87.93 -439.7 19.54 -371.3 -224.7 -439.7 -273.6 -361.5 -214.9 -361.5 439.7 214.9 185.6 -263.8 175.9 -576.5 -87.93 -381 -19.54 332.2
0.76 -156.3 -1114 -224.7 -762.1 -449.4 -879.8 -381 -898.9 0 -635.6 78.16 -771.9 -175.9 -664.4 87.93 -840.3 -283.3 -693.7 -234.5 449.4
0.765 -9.77 -517.8 -185.6 -596 -439.7 -830.5 -459.2 -1104 -342 -938 136.8 -517.8 -459.2 -664.4 -175.9 -918.4 -283.3 -947.7 -459.2 322.4
0.77 244.3 -556.9 29.31 -293.1 -273.6 -723 -351.7 -1085 -332.2 -918.4 420.1 -410.4 39.08 -644.8 -39.08 -947.7 9.77 -850 -390.8 263.8
0.775 -293.1 185.6 -166.1 -39.08 -351.7 -400.6 -400.6 -938 -1085 -820.7 -146.6 48.85 -205.2 -381 -312.7 -713.2 -19.54 -615.5 -459.2 -156.3
0.78 39.08 185.6 29.31 117.2 -127 -195.4 -283.3 -693.7 -381 -801.2 175.9 117.2 48.85 -361.5 -400.6 -644.8 273.6 -361.5 -254 -195.4
0.785 -9.77 596 48.85 351.7 0 97.7 -9.77 -322.4 -254 -29.31 -244.3 605.8 -48.85 -87.93 -293.1 -371.3 390.8 -9.77 -48.85 -293.1
0.79 -48.85 508.1 -19.54 420.1 -58.62 263.8 -48.85 -97.7 -283.3 -29.31 -156.3 390.8 -351.7 -29.31 -469 -175.9 420.1 97.7 -58.62 -508.1
0.795 -58.62 488.5 -117.2 420.1 -185.6 283.3 -234.5 -19.54 -478.7 -48.85 -1163 244.3 -987.3 -68.39 -586.2 -263.8 224.7 185.6 -146.6 -703.5
0.8 -254 420.1 -58.62 439.7 -117.2 254 -224.7 48.85 -556.9 205.2 -664.4 97.7 -723 9.77 -586.2 -185.6 175.9 156.3 -175.9 -664.4
0.805 185.6 986.8 58.62 742.6 -146.6 420.1 -273.6 136.8 -732.8 -136.8 -889.1 664.4 -957.5 205.2 -908.6 -97.7 439.7 117.2 -29.31 -605.8
0.81 214.9 664.4 107.5 254 117.2 156.3 136.8 107.5 -97.7 127 78.16 -117.2 -234.5 68.39 -429.9 -127 351.7 87.93 58.62 -195.4
0.815 -9.77 830.5 127 244.3 -195.4 97.7 -39.08 166.1 -302.9 78.16 322.4 29.31 9.77 19.54 -400.6 -175.9 195.4 29.31 -9.77 -146.6
0.82 205.2 517.8 244.3 -136.8 39.08 68.39 234.5 254 -127 185.6 732.8 -166.1 185.6 136.8 -127 29.31 127 87.93 185.6 78.16
0.825 175.9 87.93 48.85 -273.6 -107.5 -48.85 136.8 254 -156.3 302.9 371.3 -420.1 156.3 117.2 185.6 39.08 -48.85 156.3 175.9 97.7
0.83 263.8 48.85 625.3 -234.5 400.6 117.2 537.4 429.9 302.9 615.5 791.4 48.85 556.9 390.8 273.6 205.2 273.6 410.4 605.8 283.3
0.835 488.5 -29.31 508.1 371.3 556.9 596 771.9 693.7 635.1 762.1 400.6 410.4 29.31 547.1 322.4 400.6 596 654.6 889.1 322.4
0.84 469 371.3 693.7 683.9 820.7 713.2 957.5 859.8 771.9 957.5 107.5 420.1 156.3 586.2 322.4 371.3 850 830.5 1143 332.2
0.845 488.5 -9.77 908.6 674.2 996.6 732.8 1075 889.1 742.6 898.9 156.3 527.6 302.9 537.4 527.6 381 1045 830.5 1319 556.9
0.85 635.1 273.6 596 449.4 889.1 517.8 1065 605.8 29.31 752.3 -97.7 351.7 127 400.6 322.4 205.2 898.9 586.2 1182 693.7
0.855 850 185.6 527.6 -78.16 683.9 136.8 723 312.7 361.5 586.2 214.9 254 263.8 312.7 136.8 58.62 732.8 263.8 859.8 703.5
0.86 869.6 166.1 488.5 -9.77 674.2 39.08 635.1 -97.7 -48.85 234.5 -175.9 390.8 -195.4 214.9 107.5 -107.5 527.6 -19.54 635.1 644.8
0.865 517.8 508.1 449.4 -136.8 664.4 -9.77 410.4 -185.6 48.85 87.93 224.7 566.7 9.77 175.9 -68.39 -107.5 332.2 -97.7 371.3 322.4
0.87 469 19.54 185.6 136.8 342 87.93 244.3 -244.3 -68.39 117.2 136.8 537.4 -351.7 166.1 -39.08 -9.77 117.2 -185.6 244.3 244.3
0.875 361.5 0 254 58.62 381 127 224.7 -302.9 -68.39 39.08 420.1 586.2 127 166.1 78.16 87.93 19.54 -68.39 97.7 9.77
0.88 -9.77 166.1 -107.5 0 224.7 97.7 224.7 -342 -410.4 -19.54 420.1 381 9.77 48.85 -205.2 29.31 -185.6 -78.16 -29.31 -156.3
0.885 58.62 -342 254 -166.1 488.5 19.54 459.2 -410.4 -136.8 -58.62 889.1 -78.16 596 -107.5 97.7 29.31 -107.5 -58.62 9.77 9.77
0.89 -78.16 -107.5 175.9 -107.5 351.7 48.85 224.7 -371.3 -156.3 -97.7 605.8 117.2 136.8 -78.16 -381 0 -39.08 -39.08 -58.62 -87.93
