    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  Pz 
7.495 -987.3 -1201 -1221 -1124 -273.6 -332.2 107.5 97.7 420.1 254 -361.5 -547.6 791.4 -469 127 -342 -1094 -723 127 127
7.5 -987.3 -1534 -1406 -1475 -527.6 -791.4 -127 -293.1 449.4 205.2 -693.7 -771.9 469 -683.9 97.7 -459.2 -1240 -1133 -68.39 -68.39
7.505 -977.5 -1553 -1416 -1553 -625.3 -957.5 -214.9 -469 508.1 322.4 -527.6 -957.5 312.7 -967.8 224.7 -625.3 -1163 -1240 -185.6 -185.6
7.51 -1114 -1681 -1563 -1456 -840.3 -1094 -439.7 -527.6 547.1 400.6 -674.6 -1124 48.85 -977.5 205.2 -605.8 -1475 -1192 -488.5 -488.5
7.515 -1182 -1807 -1798 -1602 -1231 -1329 -703.5 -713.2 478.7 381 -1240 -1416 -78.16 -1182 -107.5 -713.2 -1622 -1426 -683.9 -683.9
7.52 -1143 -1466 -1641 -1192 -1299 -1133 -752.3 -459.2 586.2 723 -889.1 -1201 78.16 -1016 -48.85 -459.2 -1582 -1104 -801.2 -801.2
7.525 -1055 -1358 -1446 -1094 -1416 -1221 -889.1 -527.6 498.3 615.5 -996.6 -938 -205.2 -801.2 -342 -478.7 -1358 -1025 -908.6 -908.6
7.53 -693.7 -1114 -957.5 -869.6 -1172 -1260 -732.8 -527.6 478.7 586.2 -469 -830.5 -166.1 -683.9 -273.6 -410.4 -938 -752.3 -820.7 -820.7
7.535 -332.2 -586.2 -664.4 -420.1 -967.8 -1085 -556.9 -459.2 400.6 586.2 -537.4 -185.6 -48.85 -263.8 -224.7 -351.7 -537.4 -429.9 -576.5 -576.5
7.54 -117.2 -195.4 -342 -78.16 -635.6 -987.3 -439.7 -469 107.5 459.2 -107.5 -537.4 -97.7 -469 -302.9 -429.9 -185.6 -48.85 -371.3 -371.3
7.545 469 527.6 136.8 527.6 -146.6 -556.9 -136.8 -146.6 -68.39 273.6 -224.7 117.2 371.3 58.62 -175.9 -254 361.5 537.4 68.39 68.39
7.55 752.3 908.6 283.3 918.4 48.85 -48.85 -19.54 263.8 -429.9 166.1 29.31 439.7 -87.93 293.1 -400.6 29.31 605.8 1202 371.3 371.3
7.555 1006 1124 771.9 1192 683.9 332.2 361.5 576.5 -615.5 -97.7 517.8 547.1 654.6 381 -263.8 48.85 1270 1651 889.1 889.1
7.56 1514 1407 1280 1739 1299 947.7 810.9 1172 -655.1 -48.85 752.3 1221 625.3 1163 -185.6 537.4 1876 2218 1534 1534
7.565 1632 1348 1681 1856 1856 1387 1231 1544 -713.2 -29.31 908.6 1202 1143 938 -78.16 527.6 2384 2540 2051 2051
7.57 2306 1612 2218 2296 2325 1895 1563 1856 -635.6 19.54 1495 1407 1671 1065 97.7 683.9 2804 2853 2403 2403
7.575 2785 1749 2589 2286 2658 1866 1954 1925 -342 214.9 1544 1466 1817 1299 283.3 703.5 2960 2823 2589 2589
7.58 2990 2110 2618 2403 2570 1944 1935 1905 -175.9 342 1954 1710 2090 1104 537.4 703.5 2902 2687 2413 2413
7.585 3039 2189 2277 2110 2140 1426 1798 1378 -78.16 -107.5 1426 1553 1534 1260 576.5 478.7 2491 2140 1935 1935
7.59 2286 2189 1866 1974 1827 1348 1641 1397 195.4 185.6 1524 1671 1163 1172 615.5 556.9 2100 2100 1583 1583
7.595 1778 1886 1417 1817 1426 1241 1475 1212 381 136.8 732.8 1778 898.9 1397 644.8 439.7 1612 1573 1270 1270
7.6 1544 1563 1016 1407 1036 1075 1319 1094 537.4 234.5 547.1 1378 302.9 1221 566.7 351.7 1358 1192 1094 1094
7.605 1202 1348 918.4 1290 908.6 1045 1231 1280 869.6 723 478.7 1231 693.7 1026 654.6 449.4 1192 1085 1124 1124
7.61 1192 918.4 918.4 967.3 791.4 918.4 1075 1241 967.3 1065 429.9 1016 889.1 869.6 752.3 410.4 1016 840.3 1104 1104
7.615 1153 762.1 498.3 566.7 273.6 508.1 732.8 1055 957.5 1299 302.9 635.1 820.7 674.2 586.2 361.5 625.3 400.6 830.5 830.5
7.62 527.6 283.3 166.1 214.9 -136.8 185.6 381 938 820.7 1387 263.8 293.1 498.3 459.2 361.5 283.3 224.7 39.08 566.7 566.7
7.625 -58.62 -166.1 -586.2 -263.8 -977.5 -205.2 -136.8 674.2 635.1 1710 -635.6 -195.4 -107.5 322.4 48.85 214.9 -390.8 -429.9 117.2 117.2
7.63 -498.3 -312.7 -977.5 -400.6 -1367 -488.5 -508.1 371.3 469 1749 -664.4 -371.3 -488.5 234.5 -175.9 205.2 -723 -644.8 -293.1 -293.1
7.635 -742.6 -439.7 -1201 -537.4 -1710 -703.5 -889.1 -29.31 254 1681 -957.5 -693.7 -625.3 185.6 -498.3 127 -987.3 -898.9 -723 -723
7.64 -1036 -556.9 -1416 -488.5 -1817 -713.2 -1064 -293.1 195.4 1720 -1416 -254 -1182 48.85 -439.7 214.9 -918.4 -967.8 -840.3 -840.3
7.645 -683.9 -556.9 -1064 -683.9 -1524 -1036 -1045 -830.5 166.1 1182 -869.6 -908.6 -283.3 -205.2 -214.9 -195.4 -801.2 -1329 -908.6 -908.6
7.65 -850 -752.3 -1339 -977.5 -1661 -1075 -1260 -977.5 -78.16 908.6 -1124 -938 -576.5 -342 -488.5 -224.7 -957.5 -1416 -977.5 -977.5
7.655 -547.6 -850 -762.1 -1025 -1016 -1006 -732.8 -859.8 293.1 703.5 -283.3 -1045 185.6 -136.8 -87.93 -205.2 -527.6 -1475 -371.3 -371.3
7.66 -644.8 -1085 -771.9 -1466 -898.9 -1172 -713.2 -967.8 244.3 381 -185.6 -1377 713.2 -361.5 -244.3 -342 -644.8 -1612 -244.3 -244.3
7.665 -625.3 -947.7 -869.6 -1240 -918.4 -791.4 -781.6 -693.7 9.77 351.7 -605.8 -1163 615.5 -127 -400.6 -87.93 -566.7 -1387 -224.7 -224.7
7.67 -801.2 -918.4 -850 -1133 -801.2 -576.5 -683.9 -556.9 -97.7 449.4 -429.9 -1153 429.9 -166.1 -420.1 48.85 -449.4 -1124 -166.1 -166.1
7.675 -801.2 -869.6 -928.2 -1006 -771.9 -410.4 -703.5 -508.1 -322.4 263.8 -879.8 -1064 -351.7 -107.5 -449.4 136.8 -429.9 -1025 -156.3 -156.3
7.68 -449.4 -586.2 -635.6 -752.3 -498.3 -214.9 -439.7 -371.3 -351.7 127 -429.9 -898.9 -283.3 -29.31 -244.3 195.4 -48.85 -820.7 97.7 97.7
7.685 -283.3 -312.7 -263.8 -429.9 -117.2 39.08 -214.9 -175.9 -400.6 234.5 -351.7 -527.6 -859.8 273.6 -361.5 224.7 146.6 -488.5 234.5 234.5
7.69 175.9 185.6 302.9 -48.85 351.7 390.8 127 -9.77 -410.4 -19.54 214.9 -136.8 273.6 429.9 -205.2 146.6 596 -107.5 429.9 429.9
7.695 478.7 556.9 547.1 205.2 576.5 596 273.6 97.7 -517.8 -156.3 537.4 127 537.4 703.5 -342 -9.77 801.2 166.1 410.4 410.4
7.7 644.8 908.6 850 537.4 869.6 928.2 498.3 234.5 -361.5 -175.9 439.7 537.4 635.1 1036 -263.8 87.93 1153 517.8 615.5 615.5
7.705 801.2 1231 1016 742.6 986.8 1075 576.5 283.3 -390.8 -400.6 683.9 615.5 830.5 1172 -390.8 107.5 1358 801.2 576.5 576.5
7.71 996.6 1143 1319 928.2 1309 1153 859.8 322.4 -87.93 -478.7 830.5 498.3 820.7 967.3 68.39 58.62 1661 1094 723 723
7.715 1270 1505 1358 1280 1270 1378 869.6 449.4 -39.08 -254 703.5 996.6 850 1036 48.85 166.1 1768 1182 586.2 586.2
7.72 1632 1397 1534 1329 1417 1329 1065 429.9 263.8 0 1143 459.2 1534 683.9 586.2 127 1935 1045 771.9 771.9
7.725 1837 1397 1602 1260 1309 1309 1045 596 517.8 537.4 947.7 1026 1407 947.7 576.5 254 1837 879.3 752.3 752.3
7.73 1856 1094 1505 1055 1319 1085 1212 693.7 947.7 859.8 1260 674.2 1612 859.8 537.4 361.5 1720 635.1 1055 1055
7.735 1397 693.7 1065 605.8 986.8 654.6 957.5 605.8 918.4 1075 488.5 420.1 654.6 957.5 420.1 302.9 1241 234.5 879.3 879.3
7.74 1368 517.8 801.2 224.7 791.4 312.7 986.8 429.9 1124 850 429.9 244.3 771.9 869.6 508.1 195.4 1075 -156.3 908.6 908.6
7.745 1016 615.5 429.9 78.16 332.2 205.2 605.8 361.5 986.8 898.9 195.4 234.5 234.5 781.6 420.1 283.3 742.6 -175.9 566.7 566.7
7.75 938 400.6 293.1 -195.4 214.9 19.54 556.9 214.9 957.5 840.3 244.3 87.93 566.7 732.8 566.7 293.1 478.7 -293.1 439.7 439.7
7.755 820.7 478.7 156.3 -332.2 -48.85 -107.5 205.2 19.54 732.8 830.5 156.3 9.77 605.8 429.9 342 273.6 107.5 -469 29.31 29.31
7.76 576.5 127 234.5 -498.3 -19.54 -263.8 107.5 -156.3 498.3 625.3 429.9 -166.1 654.6 332.2 351.7 205.2 -87.93 -605.8 -78.16 -78.16
7.765 322.4 -146.6 29.31 -830.5 -136.8 -596 -166.1 -517.8 244.3 293.1 87.93 -361.5 48.85 -48.85 136.8 -127 -332.2 -918.4 -332.2 -332.2
7.77 332.2 -322.4 -19.54 -1045 -127 -830.5 -342 -810.9 -48.85 -156.3 185.6 -351.7 185.6 -117.2 58.62 -283.3 -293.1 -1085 -469 -469
7.775 107.5 -566.7 146.6 -1045 166.1 -742.6 -97.7 -771.9 127 -322.4 390.8 -166.1 -166.1 -263.8 166.1 -293.1 -39.08 -1104 -166.1 -166.1
7.78 -185.6 -820.7 185.6 -1075 381 -655.1 39.08 -683.9 273.6 -195.4 263.8 39.08 -332.2 -224.7 283.3 -254 175.9 -1064 58.62 58.62
7.785 -254 -781.6 136.8 -1192 361.5 -781.6 -127 -898.9 -9.77 -723 302.9 39.08 -527.6 -283.3 127 -400.6 185.6 -1182 -78.16 -78.16
7.79 -302.9 -830.5 117.2 -1075 400.6 -605.8 -107.5 -859.8 -166.1 -732.8 195.4 29.31 -1270 -322.4 -9.77 -449.4 195.4 -1006 -136.8 -136.8
7.795 -224.7 -400.6 -9.77 -1036 342 -683.9 -293.1 -1114 -547.6 -1133 195.4 -214.9 -1582 -390.8 -322.4 -566.7 97.7 -996.6 -390.8 -390.8
7.8 -146.6 -244.3 175.9 -840.3 400.6 -449.4 -214.9 -1006 -644.8 -1299 166.1 -361.5 -1807 -410.4 -224.7 -566.7 175.9 -781.6 -342 -342
7.805 -283.3 -254 -146.6 -850 48.85 -263.8 -429.9 -996.6 -898.9 -1514 -19.54 -478.7 -1935 -488.5 -469 -566.7 -29.31 -703.5 -478.7 -478.7
7.81 -351.7 -117.2 58.62 -625.3 97.7 48.85 -420.1 -723 -918.4 -1524 254 -312.7 -1348 -322.4 -469 -498.3 -9.77 -302.9 -478.7 -478.7
7.815 -615.5 -351.7 -234.5 -781.6 -293.1 58.62 -556.9 -762.1 -1045 -1739 -185.6 -566.7 -1485 -302.9 -508.1 -693.7 -214.9 -459.2 -498.3 -498.3
7.82 -635.6 -254 -283.3 -576.5 -283.3 312.7 -439.7 -498.3 -1036 -1622 -48.85 -293.1 -1798 -87.93 -498.3 -517.8 -156.3 -312.7 -351.7 -351.7
7.825 -605.8 -39.08 -136.8 -244.3 -58.62 576.5 -146.6 -156.3 -801.2 -1524 605.8 9.77 -1426 244.3 -195.4 -478.7 78.16 9.77 -78.16 -78.16
7.83 -429.9 39.08 -283.3 -234.5 -156.3 478.7 29.31 -97.7 -605.8 -1250 -146.6 -508.1 -1778 9.77 -156.3 -556.9 -97.7 0 -87.93 -87.93
7.835 -156.3 508.1 78.16 175.9 273.6 732.8 527.6 283.3 -166.1 -1085 635.1 78.16 -1192 293.1 381 -342 244.3 459.2 322.4 322.4
7.84 29.31 381 78.16 -39.08 195.4 342 654.6 117.2 97.7 -987.3 185.6 -429.9 -1036 -48.85 527.6 -576.5 136.8 214.9 410.4 410.4
7.845 -9.77 547.1 -39.08 -9.77 127 254 576.5 234.5 205.2 -781.6 -78.16 -107.5 -781.6 117.2 635.1 -478.7 68.39 302.9 400.6 400.6
7.85 48.85 556.9 19.54 -185.6 48.85 -48.85 420.1 -19.54 214.9 -987.3 -58.62 -58.62 -869.6 -78.16 547.1 -635.6 68.39 146.6 293.1 293.1
7.855 -29.31 400.6 -39.08 -254 -48.85 -175.9 205.2 -48.85 185.6 -732.8 254 146.6 -605.8 -78.16 429.9 -547.6 29.31 9.77 136.8 136.8
7.86 87.93 478.7 29.31 -224.7 -78.16 -195.4 39.08 -107.5 117.2 -635.6 332.2 429.9 -429.9 0 332.2 -332.2 214.9 -136.8 117.2 117.2
7.865 -58.62 439.7 58.62 -234.5 -127 -195.4 -146.6 -146.6 9.77 -508.1 332.2 498.3 -644.8 -254 68.39 -302.9 254 -146.6 -19.54 -19.54
7.87 -302.9 185.6 -185.6 -166.1 -351.7 -48.85 -332.2 78.16 -29.31 -29.31 -29.31 214.9 -1075 -517.8 -127 -117.2 136.8 -58.62 19.54 19.54
7.875 -781.6 361.5 -517.8 0 -693.7 136.8 -820.7 293.1 -556.9 156.3 -644.8 195.4 -1387 -410.4 -547.6 -78.16 -175.9 68.39 -410.4 -410.4
7.88 -723 361.5 -586.2 156.3 -830.5 293.1 -938 537.4 -547.6 654.6 -683.9 -97.7 -2169 -537.4 -625.3 117.2 -214.9 166.1 -410.4 -410.4
7.885 -683.9 302.9 -801.2 -87.93 -1085 -29.31 -1416 175.9 -938 244.3 -703.5 -469 -2374 -400.6 -1085 -78.16 -527.6 -185.6 -947.7 -947.7
7.89 -351.7 508.1 -615.5 -224.7 -996.6 -263.8 -1446 -205.2 -938 48.85 -361.5 -371.3 -2413 -283.3 -1045 -9.77 -371.3 -400.6 -957.5 -957.5
7.895 -312.7 244.3 -556.9 -537.4 -918.4 -537.4 -1387 -596 -820.7 -449.4 -576.5 -478.7 -2129 -293.1 -1143 -19.54 -459.2 -752.3 -1036 -1036
7.9 -244.3 -78.16 -322.4 -693.7 -664.4 -566.7 -1172 -820.7 -586.2 -762.1 -166.1 -664.4 -1406 -537.4 -771.9 -9.77 -351.7 -977.5 -840.3 -840.3
7.905 -488.5 -576.5 -556.9 -1133 -752.3 -1075 -1124 -1240 -488.5 -1104 -342 -1045 -1006 -820.7 -576.5 -302.9 -615.5 -1280 -889.1 -889.1
7.91 -381 -674.6 -625.3 -1182 -644.8 -957.5 -1006 -1172 -381 -1240 -273.6 -1211 -1036 -938 -293.1 -293.1 -664.4 -1133 -801.2 -801.2
7.915 -420.1 -889.1 -478.7 -1260 -361.5 -1094 -664.4 -1260 -175.9 -1319 -9.77 -1339 -1064 -967.8 -195.4 -459.2 -517.8 -1270 -508.1 -508.1
7.92 -263.8 -762.1 -342 -1260 -127 -898.9 -390.8 -1064 9.77 -1124 29.31 -1309 -938 -840.3 -78.16 -381 -312.7 -1163 -234.5 -234.5
7.925 -449.4 -791.4 -78.16 -977.5 48.85 -498.3 -156.3 -625.3 107.5 -879.8 498.3 -850 -664.4 -517.8 97.7 -97.7 -58.62 -762.1 39.08 39.08
7.93 -302.9 -596 -39.08 -918.4 87.93 -478.7 -156.3 -547.6 87.93 -1016 -185.6 -1055 -850 -732.8 48.85 -146.6 -136.8 -625.3 -48.85 -48.85
7.935 -615.5 -987.3 -371.3 -1055 -185.6 -683.9 -283.3 -527.6 29.31 -1133 361.5 -1319 -840.3 -928.2 107.5 -195.4 -351.7 -683.9 -175.9 -175.9
7.94 -655.1 -635.6 -596 -859.8 -449.4 -664.4 -420.1 -527.6 29.31 -1319 -283.3 -1240 -1456 -801.2 29.31 -351.7 -576.5 -713.2 -312.7 -312.7
7.945 -996.6 -732.8 -947.7 -918.4 -810.9 -781.6 -537.4 -703.5 29.31 -1524 -302.9 -1290 -1456 -703.5 58.62 -498.3 -850 -791.4 -547.6 -547.6
7.95 -1085 -410.4 -977.5 -596 -947.7 -527.6 -596 -586.2 68.39 -1309 -342 -1045 -1094 -488.5 68.39 -400.6 -840.3 -469 -644.8 -644.8
7.955 -1055 -322.4 -928.2 -537.4 -1055 -537.4 -752.3 -664.4 -87.93 -1280 -175.9 -898.9 -967.8 -410.4 -107.5 -596 -918.4 -498.3 -879.8 -879.8
7.96 -1064 -234.5 -810.9 -469 -977.5 -547.6 -732.8 -723 68.39 -1221 -97.7 -1036 -732.8 -410.4 -19.54 -635.6 -742.6 -429.9 -840.3 -840.3
7.965 -1016 -302.9 -644.8 -537.4 -781.6 -605.8 -527.6 -703.5 342 -947.7 -263.8 -1143 -674.6 -674.6 97.7 -713.2 -625.3 -537.4 -693.7 -693.7
7.97 -781.6 -273.6 -429.9 -459.2 -547.6 -488.5 -185.6 -459.2 781.6 -449.4 29.31 -889.1 -566.7 -273.6 87.93 -517.8 -390.8 -400.6 -410.4 -410.4
7.975 -674.6 -547.6 -254 -576.5 -429.9 -527.6 39.08 -361.5 1065 -175.9 87.93 -879.8 -214.9 -527.6 449.4 -537.4 -312.7 -508.1 -175.9 -175.9
7.98 -635.6 -664.4 -185.6 -703.5 -322.4 -527.6 302.9 -78.16 1358 556.9 342 -957.5 -68.39 -312.7 547.1 -351.7 -322.4 -635.6 78.16 78.16
7.985 -1094 -957.5 -693.7 -1085 -820.7 -850 -78.16 -283.3 1075 576.5 -342 -1240 -429.9 -850 351.7 -527.6 -781.6 -928.2 -234.5 -234.5
7.99 -1309 -1133 -820.7 -1172 -908.6 -810.9 -166.1 -156.3 996.6 1104 -293.1 -1240 -488.5 -810.9 263.8 -429.9 -977.5 -967.8 -293.1 -293.1
7.995 -1534 -1211 -1367 -1582 -1456 -1339 -635.6 -625.3 576.5 879.3 -1114 -1798 -1104 -908.6 -283.3 -605.8 -1426 -1446 -762.1 -762.1
8 -1387 -1045 -1339 -1367 -1524 -1064 -850 -576.5 332.2 898.9 -762.1 -1358 -1045 -801.2 -400.6 -351.7 -1280 -1367 -830.5 -830.5
8.005 -1153 -1016 -1358 -1377 -1739 -1163 -1124 -791.4 -29.31 713.2 -938 -1329 -1201 -625.3 -635.6 -244.3 -1221 -1416 -1055 -1055
8.01 -801.2 -869.6 -1055 -1260 -1485 -1064 -1143 -820.7 -166.1 537.4 -420.1 -1064 -732.8 -605.8 -625.3 -166.1 -908.6 -1172 -1045 -1045
8.015 -644.8 -1064 -908.6 -1309 -1406 -1075 -1182 -928.2 -371.3 332.2 -429.9 -1221 -683.9 -801.2 -723 -214.9 -791.4 -1124 -1055 -1055
8.02 -390.8 -850 -547.6 -1055 -1114 -791.4 -1064 -732.8 -615.5 254 -185.6 -1143 -449.4 -683.9 -801.2 -175.9 -596 -791.4 -987.3 -987.3
8.025 -498.3 -713.2 -664.4 -957.5 -1250 -644.8 -1240 -664.4 -957.5 68.39 -771.9 -996.6 -1114 -605.8 -1211 -224.7 -752.3 -625.3 -1055 -1055
8.03 -439.7 -683.9 -410.4 -869.6 -918.4 -625.3 -957.5 -605.8 -947.7 -166.1 -205.2 -967.8 -576.5 -615.5 -938 -263.8 -655.1 -449.4 -918.4 -918.4
8.035 -429.9 -429.9 -459.2 -674.6 -1016 -478.7 -938 -498.3 -1104 -351.7 -508.1 -664.4 -625.3 -390.8 -1124 -283.3 -752.3 -439.7 -918.4 -918.4
8.04 -175.9 -478.7 9.77 -625.3 -556.9 -508.1 -439.7 -498.3 -664.4 -478.7 -156.3 -576.5 -166.1 -381 -635.6 -234.5 -410.4 -508.1 -459.2 -459.2
8.045 -68.39 -214.9 0 -381 -596 -322.4 -381 -371.3 -655.1 -596 -19.54 -527.6 -136.8 -234.5 -185.6 -156.3 -400.6 -420.1 -566.7 -566.7
8.05 175.9 58.62 254 -87.93 -420.1 -156.3 -117.2 -254 -478.7 -527.6 -9.77 -214.9 -283.3 0 -39.08 48.85 -234.5 -146.6 -371.3 -371.3
8.055 547.1 205.2 674.2 342 -48.85 117.2 234.5 58.62 -273.6 -342 537.4 -195.4 156.3 39.08 283.3 244.3 146.6 263.8 -78.16 -78.16
8.06 713.2 566.7 635.1 429.9 -136.8 175.9 263.8 107.5 -175.9 -332.2 127 -214.9 97.7 87.93 390.8 254 263.8 322.4 58.62 58.62
8.065 478.7 361.5 830.5 527.6 195.4 381 508.1 400.6 97.7 -39.08 214.9 -78.16 576.5 302.9 517.8 410.4 410.4 576.5 400.6 400.6
8.07 508.1 527.6 820.7 693.7 107.5 596 488.5 586.2 87.93 195.4 117.2 283.3 771.9 566.7 381 674.2 312.7 693.7 400.6 400.6
8.075 283.3 322.4 488.5 381 -87.93 234.5 322.4 410.4 224.7 332.2 -156.3 -146.6 586.2 459.2 293.1 459.2 -117.2 381 302.9 302.9
8.08 381 195.4 449.4 361.5 39.08 254 371.3 527.6 508.1 498.3 87.93 -78.16 244.3 498.3 254 517.8 -273.6 234.5 459.2 459.2
8.085 381 19.54 371.3 127 117.2 -78.16 566.7 390.8 879.3 693.7 244.3 -420.1 1016 107.5 547.1 420.1 -400.6 19.54 625.3 625.3
8.09 68.39 -117.2 -39.08 -58.62 -68.39 -351.7 420.1 381 869.6 644.8 48.85 -605.8 498.3 136.8 166.1 342 -674.6 -68.39 469 469
8.095 -156.3 -302.9 -58.62 -29.31 -87.93 -263.8 488.5 615.5 947.7 1045 29.31 -283.3 605.8 19.54 312.7 586.2 -810.9 -78.16 498.3 498.3
8.1 -439.7 -244.3 -273.6 -166.1 -429.9 -400.6 97.7 381 478.7 556.9 -195.4 -498.3 322.4 -87.93 -117.2 410.4 -967.8 -254 48.85 48.85
8.105 -302.9 -136.8 -234.5 -185.6 -556.9 -439.7 -185.6 214.9 224.7 420.1 -517.8 -351.7 -39.08 -254 -302.9 312.7 -850 -390.8 -166.1 -166.1
8.11 -195.4 29.31 -48.85 -29.31 -429.9 -293.1 -205.2 214.9 117.2 263.8 -429.9 -156.3 -293.1 -19.54 -263.8 400.6 -644.8 -185.6 -283.3 -283.3
8.115 -195.4 -214.9 -29.31 -175.9 -166.1 -390.8 -39.08 107.5 254 136.8 -429.9 -205.2 0 -185.6 -166.1 342 -302.9 -195.4 -107.5 -107.5
8.12 -224.7 -283.3 234.5 0 185.6 -312.7 195.4 263.8 351.7 87.93 -381 -254 136.8 -244.3 48.85 361.5 -29.31 -58.62 107.5 107.5
8.125 -127 -302.9 390.8 166.1 498.3 -205.2 302.9 342 410.4 214.9 87.93 -146.6 625.3 -273.6 175.9 400.6 205.2 136.8 293.1 293.1
8.13 -127 -58.62 420.1 371.3 381 -127 -68.39 283.3 -97.7 -97.7 -68.39 -9.77 469 -78.16 -117.2 273.6 39.08 263.8 0 0
8.135 19.54 175.9 361.5 742.6 302.9 78.16 -322.4 322.4 -400.6 -127 19.54 156.3 693.7 -107.5 -361.5 214.9 9.77 478.7 -117.2 -117.2
8.14 146.6 371.3 498.3 1006 302.9 371.3 -361.5 312.7 -586.2 -283.3 19.54 420.1 683.9 214.9 -576.5 312.7 68.39 596 -156.3 -156.3
8.145 19.54 410.4 332.2 1163 175.9 556.9 -508.1 351.7 -703.5 -342 -48.85 332.2 771.9 205.2 -655.1 429.9 -9.77 713.2 -302.9 -302.9
8.15 -87.93 488.5 420.1 1339 244.3 752.3 -429.9 254 -771.9 -938 390.8 537.4 1075 361.5 -723 312.7 87.93 889.1 -381 -381
8.155 48.85 635.1 527.6 1358 283.3 889.1 -332.2 146.6 -537.4 -1240 19.54 586.2 879.3 312.7 -556.9 351.7 263.8 869.6 -381 -381
8.16 469 840.3 918.4 1426 654.6 928.2 9.77 39.08 -351.7 -1632 752.3 283.3 1065 498.3 -205.2 312.7 644.8 908.6 -234.5 -234.5
8.165 586.2 556.9 928.2 1182 693.7 850 185.6 -127 -185.6 -1954 302.9 166.1 810.9 234.5 68.39 107.5 752.3 771.9 -136.8 -136.8
8.17 977 801.2 1270 1309 1192 1026 674.2 175.9 224.7 -1690 1260 58.62 1055 586.2 527.6 302.9 1065 986.8 234.5 234.5
8.175 879.3 234.5 967.3 898.9 1153 762.1 879.3 156.3 517.8 -1612 58.62 -107.5 498.3 449.4 654.6 224.7 1006 674.2 459.2 459.2
8.18 820.7 205.2 908.6 850 1358 801.2 1153 449.4 674.2 -1280 703.5 -68.39 1407 361.5 771.9 302.9 986.8 664.4 723 723
8.185 644.8 -58.62 625.3 752.3 1329 820.7 1329 771.9 1075 -586.2 9.77 -224.7 1475 420.1 908.6 537.4 869.6 664.4 1006 1006
8.19 644.8 -166.1 625.3 635.1 1436 732.8 1514 986.8 1280 19.54 459.2 -342 1925 146.6 1065 762.1 820.7 752.3 1221 1221
8.195 302.9 -185.6 263.8 508.1 1114 635.1 1378 1094 1270 302.9 156.3 -371.3 2228 322.4 879.3 879.3 508.1 635.1 1143 1143
8.2 302.9 -410.4 351.7 302.9 1124 498.3 1417 1133 1358 449.4 654.6 -498.3 2129 107.5 938 957.5 381 488.5 1192 1192
8.205 -58.62 -498.3 -195.4 -29.31 410.4 156.3 742.6 801.2 742.6 -9.77 -117.2 -390.8 1651 185.6 556.9 762.1 -263.8 19.54 586.2 586.2
8.21 -517.8 -918.4 -742.6 -351.7 -117.2 -175.9 283.3 527.6 302.9 -68.39 -273.6 -664.4 1114 -205.2 224.7 527.6 -898.9 -254 58.62 58.62
8.215 -596 -1114 -859.8 -576.5 -342 -478.7 9.77 234.5 185.6 -156.3 -390.8 -635.6 869.6 -214.9 273.6 342 -1143 -655.1 -156.3 -156.3
8.22 -693.7 -1172 -898.9 -576.5 -381 -596 -127 87.93 87.93 146.6 -312.7 -703.5 732.8 -390.8 263.8 302.9 -1182 -810.9 -312.7 -312.7
8.225 -644.8 -1201 -850 -625.3 -400.6 -723 -214.9 -234.5 97.7 312.7 -605.8 -810.9 39.08 -508.1 195.4 166.1 -1036 -850 -263.8 -263.8
8.23 -146.6 -879.8 -224.7 -302.9 136.8 -459.2 78.16 -48.85 332.2 713.2 371.3 -136.8 830.5 -234.5 322.4 390.8 -488.5 -478.7 97.7 97.7
8.235 -48.85 -576.5 -381 -195.4 -39.08 -420.1 -195.4 -156.3 19.54 635.1 -586.2 -625.3 400.6 -371.3 9.77 302.9 -488.5 -381 -9.77 -9.77
8.24 429.9 -254 97.7 58.62 371.3 -156.3 19.54 19.54 -78.16 723 283.3 39.08 1143 19.54 78.16 342 -48.85 -136.8 312.7 312.7
8.245 586.2 39.08 136.8 342 283.3 166.1 -97.7 224.7 -429.9 596 68.39 -58.62 1514 214.9 -97.7 361.5 107.5 146.6 224.7 224.7
8.25 742.6 459.2 185.6 674.2 254 283.3 -224.7 293.1 -859.8 400.6 234.5 322.4 1260 293.1 -175.9 166.1 214.9 488.5 117.2 117.2
8.255 889.1 928.2 547.1 1065 517.8 566.7 -127 420.1 -996.6 185.6 420.1 664.4 1309 439.7 -351.7 136.8 527.6 859.8 68.39 68.39
8.26 1055 1104 713.2 1466 664.4 859.8 87.93 469 -1075 -29.31 898.9 1085 1514 517.8 -596 19.54 859.8 1075 166.1 166.1
8.265 1085 1641 762.1 1768 703.5 1114 97.7 459.2 -1075 -322.4 390.8 1368 1270 723 -263.8 -48.85 986.8 1368 97.7 97.7
8.27 889.1 1466 830.5 1817 957.5 1436 508.1 693.7 -683.9 -371.3 693.7 1583 1641 1094 -97.7 78.16 1036 1681 371.3 371.3
8.275 1075 1651 1045 1954 1202 1720 918.4 889.1 -214.9 -322.4 635.1 1651 1514 1163 605.8 117.2 1241 1768 683.9 683.9
8.28 1036 1563 771.9 1593 1006 1505 830.5 781.6 -136.8 -205.2 332.2 1426 429.9 1006 625.3 78.16 918.4 1495 635.1 635.1
