    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz 
0.79 -9.77 -293.1 185.6 68.39 -29.31 39.08 -205.2 78.16 -78.16 0 -234.5 -156.3 879.3 -322.4 48.85 381 -156.3 205.2 68.39
0.795 459.2 -136.8 429.9 19.54 263.8 58.62 166.1 68.39 273.6 -19.54 429.9 58.62 1143 -175.9 527.6 351.7 205.2 117.2 566.7
0.8 410.4 -19.54 449.4 -9.77 312.7 97.7 214.9 166.1 293.1 68.39 498.3 127 1280 -107.5 185.6 263.8 214.9 146.6 752.3
0.805 576.5 48.85 527.6 195.4 566.7 263.8 478.7 400.6 625.3 420.1 664.4 87.93 1221 -58.62 332.2 371.3 390.8 175.9 1114
0.81 957.5 107.5 810.9 342 1026 508.1 820.7 517.8 859.8 654.6 1133 195.4 1280 68.39 517.8 429.9 791.4 205.2 1387
0.815 830.5 117.2 898.9 469 1172 586.2 957.5 625.3 986.8 918.4 1055 -48.85 1485 -166.1 840.3 361.5 889.1 283.3 1446
0.82 1231 78.16 1114 732.8 1436 762.1 1036 605.8 928.2 908.6 1397 -214.9 996.6 9.77 674.2 342 1124 390.8 1446
0.825 1124 166.1 1094 742.6 1446 664.4 1055 547.1 869.6 850 820.7 -39.08 1329 -107.5 732.8 224.7 1055 420.1 1251
0.83 1280 146.6 977 683.9 1319 644.8 977 488.5 713.2 762.1 967.3 -175.9 1085 39.08 615.5 117.2 1124 478.7 1182
0.835 1036 342 1026 810.9 1192 625.3 947.7 566.7 625.3 859.8 732.8 87.93 1553 322.4 586.2 312.7 977 732.8 1006
0.84 771.9 166.1 801.2 713.2 791.4 459.2 683.9 537.4 527.6 830.5 664.4 97.7 1563 185.6 703.5 195.4 850 664.4 879.3
0.845 732.8 322.4 1065 801.2 967.3 576.5 918.4 547.1 771.9 859.8 1065 254 1563 302.9 1573 283.3 1006 752.3 908.6
0.85 390.8 234.5 703.5 762.1 508.1 537.4 469 537.4 664.4 1016 801.2 449.4 1319 185.6 810.9 390.8 644.8 683.9 674.2
0.855 771.9 68.39 781.6 400.6 605.8 244.3 566.7 127 781.6 420.1 889.1 107.5 986.8 -439.7 1202 39.08 742.6 322.4 693.7
0.86 332.2 0 244.3 381 234.5 400.6 224.7 214.9 449.4 683.9 615.5 596 742.6 244.3 322.4 332.2 371.3 429.9 429.9
0.865 312.7 -283.3 312.7 166.1 342 166.1 371.3 -19.54 410.4 508.1 635.1 156.3 1075 -224.7 371.3 117.2 322.4 87.93 478.7
0.87 78.16 -224.7 -19.54 381 195.4 381 214.9 97.7 107.5 517.8 752.3 488.5 898.9 234.5 371.3 283.3 117.2 156.3 361.5
0.875 97.7 -68.39 -68.39 488.5 254 517.8 293.1 302.9 146.6 791.4 820.7 508.1 1153 429.9 214.9 537.4 9.77 224.7 439.7
0.88 -87.93 -127 -302.9 498.3 136.8 566.7 185.6 439.7 107.5 967.3 508.1 400.6 1006 459.2 312.7 742.6 -205.2 293.1 449.4
0.885 87.93 -48.85 -78.16 410.4 302.9 478.7 234.5 381 224.7 879.3 674.2 488.5 703.5 469 293.1 742.6 -127 107.5 576.5
0.89 117.2 -175.9 -117.2 508.1 263.8 576.5 263.8 410.4 322.4 967.3 234.5 586.2 840.3 547.1 185.6 762.1 -87.93 117.2 654.6
0.895 39.08 -508.1 175.9 312.7 371.3 195.4 342 175.9 498.3 879.3 625.3 459.2 254 517.8 381 459.2 -9.77 -127 732.8
0.9 205.2 -771.9 78.16 273.6 175.9 97.7 224.7 -19.54 390.8 556.9 381 351.7 136.8 508.1 205.2 224.7 -117.2 -78.16 644.8
0.905 156.3 -674.6 136.8 273.6 68.39 97.7 322.4 107.5 586.2 810.9 390.8 156.3 166.1 322.4 644.8 234.5 -146.6 -87.93 635.1
