    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 -967.8 -752.3 -947.7 -810.9 -498.3 -1250 -655.1 -1553 -127 -332.2 -771.9 -1124 -459.2 -752.3 156.3 -234.5 -1025 -1299 -1006 -87.93
0.63 -1240 -801.2 -1377 -889.1 -918.4 -801.2 -957.5 -1231 -205.2 214.9 -1045 -1553 -439.7 -732.8 -78.16 48.85 -1426 -1563 -1085 -127
0.635 -1182 -850 -1436 -1055 -1133 -1240 -957.5 -977.5 29.31 654.6 -1094 -947.7 -459.2 -527.6 -78.16 293.1 -1524 -1612 -908.6 -87.93
0.64 -1436 -1153 -1895 -1329 -1553 -1153 -1045 -791.4 -39.08 859.8 -850 -1397 -478.7 -508.1 -136.8 361.5 -1681 -1739 -771.9 97.7
0.645 -1143 -1524 -1632 -1348 -1553 -1319 -1182 -635.6 -332.2 810.9 -1231 -1250 -508.1 -381 -390.8 342 -1466 -1524 -703.5 136.8
0.65 -1143 -1553 -1299 -1426 -1240 -1221 -1036 -439.7 -459.2 752.3 -928.2 -1192 -263.8 -381 -429.9 283.3 -1192 -1416 -420.1 381
0.655 -957.5 -1602 -1143 -1260 -977.5 -967.8 -879.8 -273.6 -674.6 547.1 -850 -1182 -429.9 -332.2 -615.5 166.1 -889.1 -1163 -283.3 449.4
0.66 -801.2 -1182 -674.6 -967.8 -527.6 -556.9 -556.9 -87.93 -576.5 439.7 -791.4 -928.2 -254 -214.9 -381 156.3 -381 -869.6 117.2 605.8
0.665 -576.5 -898.9 -527.6 -889.1 -488.5 -420.1 -459.2 -87.93 -644.8 175.9 -312.7 -791.4 -97.7 -117.2 -576.5 -9.77 -214.9 -771.9 166.1 517.8
0.67 -703.5 -830.5 -302.9 -547.6 -58.62 39.08 87.93 127 -244.3 175.9 -293.1 -469 -136.8 -9.77 -283.3 -117.2 117.2 -498.3 566.7 703.5
0.675 29.31 -234.5 -146.6 -254 -234.5 156.3 -48.85 -107.5 -449.4 -293.1 -29.31 -117.2 -136.8 -9.77 -547.6 -459.2 166.1 -459.2 332.2 537.4
0.68 156.3 -78.16 117.2 175.9 185.6 644.8 351.7 146.6 -146.6 -283.3 517.8 -29.31 -29.31 48.85 -371.3 -508.1 420.1 68.39 664.4 439.7
0.685 273.6 244.3 -48.85 566.7 136.8 947.7 459.2 224.7 -234.5 -508.1 351.7 9.77 -273.6 -9.77 -449.4 -683.9 439.7 439.7 537.4 9.77
0.69 889.1 791.4 703.5 869.6 918.4 1231 1143 361.5 244.3 -605.8 977 214.9 97.7 0 87.93 -713.2 908.6 810.9 840.3 97.7
0.695 713.2 957.5 918.4 1212 1182 1436 1368 566.7 214.9 -596 371.3 214.9 127 -58.62 -68.39 -635.6 1006 1407 859.8 -312.7
0.7 781.6 556.9 1045 918.4 1505 1182 1759 381 517.8 -820.7 615.5 -87.93 400.6 -156.3 361.5 -742.6 977 1280 928.2 -156.3
0.705 654.6 469 762.1 605.8 1026 781.6 1143 156.3 136.8 -859.8 517.8 -224.7 762.1 -244.3 117.2 -566.7 576.5 1124 410.4 -537.4
0.71 674.2 410.4 723 293.1 957.5 351.7 1026 -9.77 244.3 -791.4 478.7 -420.1 693.7 -390.8 302.9 -439.7 381 556.9 371.3 -224.7
0.715 117.2 -371.3 -9.77 -469 166.1 -195.4 498.3 -127 185.6 -566.7 293.1 -918.4 351.7 -429.9 97.7 -185.6 -244.3 -127 107.5 -166.1
0.72 -205.2 -762.1 -342 -898.9 -273.6 -586.2 78.16 -156.3 78.16 -175.9 -87.93 -1221 0 -469 -29.31 68.39 -742.6 -625.3 -244.3 -156.3
0.725 -850 -1290 -859.8 -1456 -840.3 -1055 -351.7 -224.7 97.7 87.93 -449.4 -1632 -420.1 -508.1 -97.7 224.7 -1250 -1250 -517.8 -29.31
0.73 -1143 -1749 -1153 -1632 -1172 -1201 -674.6 -107.5 156.3 517.8 -771.9 -1759 -605.8 -361.5 -87.93 566.7 -1661 -1593 -791.4 -58.62
0.735 -1593 -1925 -1397 -1827 -1456 -1436 -977.5 -175.9 175.9 732.8 -1094 -1866 -576.5 -361.5 29.31 674.2 -1817 -1787 -947.7 -9.77
0.74 -1720 -1895 -1807 -1787 -1915 -1416 -1299 -127 29.31 977 -1085 -1729 -752.3 -332.2 -39.08 830.5 -2032 -1866 -1114 -117.2
0.745 -1651 -1983 -1485 -1632 -1787 -1309 -1319 -9.77 -117.2 1036 -1299 -1681 -615.5 -332.2 -68.39 820.7 -1807 -1593 -1036 -205.2
0.75 -1671 -1729 -1416 -1436 -1612 -762.1 -1211 166.1 -273.6 1075 -938 -1466 -351.7 -312.7 -87.93 781.6 -1524 -1377 -840.3 -107.5
0.755 -957.5 -1563 -830.5 -947.7 -1036 -781.6 -723 302.9 -234.5 938 -644.8 -1163 -1075 -205.2 -283.3 635.1 -977.5 -840.3 -488.5 -39.08
0.76 -752.3 -1016 -762.1 -596 -820.7 -449.4 -683.9 410.4 -547.6 742.6 -166.1 -703.5 254 -107.5 -146.6 478.7 -723 -469 -381 -117.2
0.765 -312.7 -947.7 -244.3 -29.31 -58.62 -234.5 -146.6 547.1 -537.4 605.8 -312.7 -332.2 -195.4 78.16 -273.6 420.1 -195.4 185.6 39.08 -117.2
0.77 -117.2 -488.5 127 517.8 390.8 205.2 302.9 732.8 -576.5 459.2 332.2 19.54 224.7 175.9 -156.3 283.3 117.2 615.5 293.1 -146.6
0.775 -39.08 -322.4 205.2 996.6 439.7 596 205.2 752.3 -810.9 205.2 234.5 224.7 635.1 19.54 -302.9 58.62 332.2 957.5 351.7 -244.3
0.78 146.6 -39.08 498.3 1397 830.5 947.7 576.5 967.3 -742.6 156.3 547.1 459.2 469 117.2 -420.1 19.54 596 1348 566.7 -361.5
0.785 -48.85 420.1 361.5 1514 654.6 1055 517.8 898.9 -801.2 -214.9 517.8 498.3 693.7 39.08 -342 -185.6 723 1514 469 -400.6
0.79 9.77 381 508.1 1563 810.9 1085 488.5 938 -781.6 -371.3 361.5 654.6 752.3 146.6 -469 -205.2 742.6 1495 381 -527.6
0.795 146.6 547.1 615.5 1417 869.6 986.8 508.1 771.9 -615.5 -596 283.3 644.8 693.7 107.5 -293.1 -400.6 791.4 1495 283.3 -498.3
0.8 -87.93 615.5 703.5 1524 1036 928.2 674.2 791.4 -283.3 -566.7 312.7 713.2 1026 107.5 -9.77 -293.1 742.6 1524 273.6 -566.7
0.805 68.39 429.9 312.7 1348 508.1 742.6 322.4 566.7 -263.8 -635.6 332.2 752.3 644.8 -9.77 9.77 -547.6 420.1 1290 0 -683.9
0.81 29.31 508.1 488.5 1407 566.7 771.9 312.7 527.6 78.16 -517.8 127 664.4 683.9 -107.5 185.6 -478.7 469 1036 97.7 -478.7
0.815 -175.9 390.8 39.08 1309 -29.31 654.6 -39.08 576.5 136.8 -254 312.7 859.8 410.4 0 302.9 -244.3 97.7 683.9 -117.2 -625.3
0.82 -175.9 146.6 -19.54 1065 -322.4 576.5 -332.2 566.7 146.6 -117.2 -146.6 713.2 185.6 -29.31 117.2 -175.9 -48.85 293.1 -234.5 -527.6
0.825 -576.5 -9.77 -429.9 830.5 -723 390.8 -586.2 713.2 254 254 -263.8 566.7 -136.8 19.54 156.3 185.6 -488.5 9.77 -400.6 -752.3
0.83 -469 -508.1 -166.1 527.6 -635.6 244.3 -371.3 713.2 713.2 478.7 -537.4 234.5 -351.7 -48.85 214.9 410.4 -527.6 -459.2 -205.2 -254
0.835 -791.4 -625.3 -859.8 175.9 -1094 -117.2 -762.1 683.9 586.2 664.4 -752.3 381 -655.1 -58.62 -127 576.5 -1036 -703.5 -400.6 -429.9
0.84 -957.5 -967.8 -810.9 -29.31 -830.5 -195.4 -224.7 810.9 1143 996.6 -771.9 127 -469 19.54 263.8 830.5 -1045 -840.3 58.62 -68.39
0.845 -1270 -1446 -1299 -429.9 -850 -156.3 -244.3 732.8 1006 1075 -1192 39.08 -342 -19.54 9.77 908.6 -1446 -859.8 29.31 -166.1
0.85 -947.7 -1426 -859.8 -400.6 -166.1 -859.8 449.4 635.1 1378 1163 -830.5 381 254 224.7 478.7 918.4 -1016 -869.6 576.5 302.9
0.855 -928.2 -1573 -987.3 -146.6 -68.39 -322.4 644.8 723 1270 1202 -410.4 263.8 429.9 195.4 410.4 938 -889.1 -547.6 693.7 224.7
0.86 -107.5 -1006 -254 166.1 566.7 -517.8 1075 615.5 1348 967.3 166.1 771.9 1290 312.7 889.1 771.9 -136.8 -175.9 1114 576.5
0.865 635.1 -244.3 615.5 801.2 1163 107.5 1553 898.9 1270 850 1280 1153 1505 439.7 977 762.1 703.5 644.8 1563 527.6
0.87 1309 439.7 1251 1466 1739 859.8 2003 1153 1124 576.5 1544 1466 1729 527.6 1006 683.9 1514 1221 2003 762.1
0.875 1602 918.4 1768 2169 2169 1749 2267 1602 879.3 400.6 1681 1749 1632 742.6 830.5 781.6 2325 2090 2384 723
0.88 2062 1163 2286 2706 2725 2267 2560 1876 752.3 224.7 1915 2012 1593 840.3 791.4 791.4 2823 2589 2658 723
0.885 1739 713.2 2189 2716 2521 2306 2433 1788 508.1 -97.7 1729 1837 1475 742.6 674.2 625.3 2872 2531 2550 713.2
0.89 1915 693.7 2120 2452 2394 1964 2149 1514 459.2 -429.9 1944 1593 1387 566.7 635.1 322.4 2677 2051 2208 879.3
0.895 1671 254 2100 1651 2032 1231 1837 1026 498.3 -655.1 1661 1280 1446 312.7 918.4 19.54 2237 1368 1778 1026
0.9 1524 175.9 1475 1016 1133 635.1 986.8 508.1 263.8 -938 1368 1006 1055 127 566.7 -166.1 1456 644.8 869.6 791.4
0.905 1163 48.85 1085 293.1 596 0 635.1 48.85 498.3 -967.8 1045 625.3 1075 -78.16 742.6 -332.2 996.6 107.5 420.1 810.9
0.91 732.8 -420.1 703.5 -214.9 195.4 -459.2 312.7 -332.2 596 -957.5 615.5 449.4 224.7 -195.4 683.9 -332.2 449.4 -312.7 -39.08 674.2
0.915 381 -566.7 498.3 -556.9 19.54 -830.5 -9.77 -664.4 556.9 -869.6 156.3 87.93 762.1 -361.5 635.1 -400.6 117.2 -498.3 -332.2 469
0.92 -175.9 -879.8 29.31 -644.8 -351.7 -987.3 -29.31 -781.6 850 -615.5 117.2 29.31 273.6 -527.6 781.6 -390.8 -273.6 -801.2 -469 390.8
0.925 -214.9 -1025 273.6 -635.6 58.62 -889.1 283.3 -732.8 1163 -234.5 19.54 0 586.2 -390.8 1016 -224.7 -273.6 -683.9 -293.1 244.3
0.93 -517.8 -1016 -234.5 -908.6 -390.8 -1192 -68.39 -850 1085 -136.8 146.6 97.7 664.4 -429.9 898.9 -224.7 -664.4 -1075 -537.4 254
0.935 -439.7 -1094 -214.9 -879.8 -371.3 -1192 -39.08 -850 1133 -19.54 78.16 107.5 420.1 -371.3 859.8 -195.4 -771.9 -1182 -586.2 224.7
0.94 -469 -781.6 -547.6 -830.5 -781.6 -1358 -312.7 -869.6 938 39.08 136.8 254 566.7 -381 869.6 -214.9 -967.8 -1309 -781.6 107.5
0.945 -390.8 -556.9 -527.6 -625.3 -801.2 -1211 -390.8 -781.6 703.5 9.77 -19.54 371.3 566.7 -420.1 654.6 -244.3 -908.6 -1025 -810.9 -19.54
0.95 -449.4 -400.6 -254 -332.2 -586.2 -810.9 -185.6 -498.3 635.1 107.5 127 488.5 449.4 -351.7 654.6 -234.5 -752.3 -683.9 -596 -87.93
0.955 -410.4 -381 -332.2 -342 -527.6 -332.2 -9.77 -273.6 400.6 87.93 97.7 420.1 195.4 -478.7 410.4 -254 -703.5 -322.4 -302.9 -127
0.96 -351.7 -859.8 244.3 -351.7 19.54 -400.6 420.1 -166.1 488.5 127 58.62 566.7 68.39 -214.9 302.9 -224.7 -390.8 136.8 254 -9.77
0.965 -107.5 -1025 478.7 -469 175.9 39.08 478.7 -19.54 87.93 -97.7 478.7 576.5 -214.9 -342 -68.39 -312.7 -205.2 381 576.5 68.39
0.97 332.2 -869.6 957.5 -342 683.9 -244.3 840.3 -58.62 -48.85 -244.3 537.4 693.7 -87.93 -293.1 -302.9 -351.7 205.2 517.8 947.7 371.3
0.975 644.8 -556.9 1378 -146.6 879.3 -273.6 810.9 -39.08 -400.6 -488.5 820.7 1045 -58.62 -205.2 -683.9 -293.1 439.7 596 1065 469
0.98 810.9 -312.7 1368 -48.85 977 -244.3 840.3 -29.31 -576.5 -752.3 1163 967.3 9.77 -185.6 -547.6 -254 596 459.2 1124 693.7
0.985 889.1 -29.31 1749 302.9 1417 185.6 977 293.1 -635.6 -655.1 713.2 1075 244.3 78.16 -869.6 68.39 713.2 674.2 1231 566.7
0.99 517.8 -429.9 1202 39.08 898.9 195.4 742.6 302.9 -674.6 -713.2 850 820.7 -635.6 146.6 -732.8 166.1 547.1 342 1075 683.9
0.995 644.8 -293.1 1202 185.6 644.8 498.3 527.6 410.4 -664.4 -498.3 918.4 596 644.8 224.7 -429.9 361.5 439.7 263.8 781.6 527.6
1 723 -283.3 1065 68.39 410.4 547.1 537.4 351.7 -234.5 -263.8 977 556.9 224.7 293.1 -19.54 478.7 449.4 156.3 566.7 596
1.005 254 -547.6 459.2 -185.6 -322.4 146.6 -48.85 -39.08 -254 -107.5 615.5 224.7 654.6 185.6 263.8 361.5 -48.85 -146.6 -214.9 273.6
1.01 537.4 -166.1 752.3 -68.39 -68.39 -78.16 -48.85 -312.7 185.6 29.31 478.7 146.6 752.3 68.39 498.3 293.1 -9.77 -449.4 -508.1 478.7
1.015 -224.7 -517.8 -136.8 -596 -693.7 -820.7 -429.9 -820.7 175.9 -107.5 205.2 -439.7 -195.4 -244.3 263.8 -9.77 -586.2 -987.3 -1085 342
1.02 -615.5 -1075 -78.16 -693.7 -361.5 -889.1 -351.7 -713.2 576.5 127 -127 -791.4 205.2 -244.3 556.9 87.93 -683.9 -830.5 -1124 185.6
1.025 -390.8 -459.2 -322.4 -615.5 -703.5 -1153 -420.1 -957.5 508.1 -68.39 -29.31 -596 9.77 -361.5 254 -273.6 -713.2 -977.5 -1319 107.5
