    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 117.2 254 283.3 850 -293.1 19.54 9.77 195.4 68.39 263.8 -107.5 381 -97.7 185.6 -312.7 97.7 508.1 371.3 166.1 -58.62
0.63 332.2 87.93 556.9 801.2 -78.16 9.77 156.3 97.7 156.3 146.6 185.6 390.8 283.3 214.9 -78.16 87.93 859.8 342 332.2 244.3
0.635 400.6 244.3 556.9 859.8 -117.2 117.2 9.77 156.3 -9.77 224.7 146.6 459.2 185.6 195.4 -254 136.8 625.3 459.2 68.39 -107.5
0.64 97.7 -322.4 410.4 576.5 -244.3 19.54 -185.6 -9.77 -244.3 9.77 0 195.4 97.7 58.62 -332.2 -78.16 547.1 361.5 -68.39 -48.85
0.645 -214.9 -429.9 312.7 254 -342 -107.5 -254 -185.6 -302.9 -107.5 -87.93 9.77 48.85 -39.08 -361.5 -175.9 254 224.7 -244.3 -58.62
0.65 -420.1 -390.8 166.1 254 -517.8 -156.3 -459.2 -244.3 -517.8 -175.9 -351.7 78.16 -175.9 -48.85 -439.7 -205.2 58.62 146.6 -449.4 -214.9
0.655 -810.9 -263.8 166.1 166.1 -527.6 -234.5 -556.9 -410.4 -566.7 -214.9 -273.6 205.2 -97.7 9.77 -332.2 -156.3 97.7 48.85 -508.1 -107.5
0.66 -381 -19.54 136.8 214.9 -508.1 -302.9 -596 -556.9 -644.8 -371.3 -224.7 381 -117.2 0 -244.3 -224.7 175.9 68.39 -615.5 -97.7
0.665 58.62 410.4 381 459.2 -332.2 -156.3 -469 -449.4 -527.6 -214.9 9.77 703.5 87.93 205.2 -19.54 -175.9 478.7 332.2 -488.5 -185.6
0.67 351.7 39.08 263.8 166.1 -244.3 -361.5 -371.3 -596 -361.5 -361.5 -9.77 429.9 97.7 -19.54 58.62 -439.7 410.4 39.08 -400.6 48.85
0.675 449.4 -117.2 166.1 19.54 -166.1 -293.1 -254 -381 -283.3 -195.4 19.54 342 29.31 -107.5 48.85 -342 146.6 97.7 -332.2 -87.93
0.68 -175.9 -390.8 -205.2 -146.6 -273.6 -107.5 -195.4 58.62 -195.4 293.1 -244.3 205.2 -156.3 48.85 19.54 -39.08 -175.9 127 -214.9 -312.7
0.685 -400.6 -898.9 -254 -556.9 -175.9 -224.7 136.8 156.3 127 332.2 -293.1 -78.16 -322.4 -107.5 78.16 127 -381 -136.8 48.85 -78.16
0.69 -762.1 -830.5 -459.2 -635.6 -332.2 -78.16 78.16 429.9 97.7 625.3 -566.7 -58.62 -488.5 29.31 -39.08 400.6 -596 -234.5 127 -97.7
0.695 -429.9 -723 -195.4 -635.6 -97.7 -78.16 371.3 576.5 429.9 732.8 -390.8 -19.54 -371.3 97.7 166.1 537.4 -410.4 -234.5 390.8 136.8
0.7 -771.9 -625.3 -195.4 -605.8 0 -185.6 420.1 488.5 508.1 537.4 -322.4 39.08 -224.7 58.62 205.2 429.9 -312.7 -273.6 429.9 185.6
0.705 -234.5 -586.2 -351.7 -517.8 -58.62 -185.6 293.1 488.5 439.7 596 -361.5 -19.54 -263.8 68.39 87.93 478.7 -381 -195.4 302.9 0
0.71 -469 -351.7 -283.3 -429.9 58.62 -185.6 342 400.6 429.9 371.3 -302.9 19.54 -146.6 -9.77 156.3 205.2 -312.7 -214.9 302.9 48.85
0.715 -127 -127 -205.2 -175.9 146.6 -107.5 361.5 390.8 488.5 381 -273.6 87.93 -117.2 58.62 166.1 293.1 -166.1 -68.39 283.3 -9.77
0.72 -127 -283.3 -205.2 -234.5 87.93 -136.8 263.8 185.6 263.8 156.3 -322.4 -29.31 -166.1 -29.31 156.3 97.7 -293.1 -87.93 87.93 -58.62
0.725 127 78.16 107.5 -58.62 244.3 -136.8 234.5 9.77 244.3 58.62 -107.5 68.39 -68.39 -29.31 244.3 9.77 -87.93 19.54 -29.31 -48.85
0.73 -107.5 -224.7 68.39 -195.4 48.85 -351.7 -39.08 -371.3 -127 -351.7 -224.7 39.08 -205.2 -136.8 117.2 -185.6 -283.3 -205.2 -361.5 -29.31
0.735 -19.54 -205.2 136.8 -166.1 68.39 -547.6 -97.7 -664.4 -195.4 -635.6 -127 19.54 -175.9 -205.2 127 -410.4 -224.7 -302.9 -498.3 117.2
0.74 -68.39 -234.5 -29.31 -214.9 -127 -752.3 -302.9 -869.6 -400.6 -820.7 -117.2 -19.54 -156.3 -322.4 9.77 -547.6 -244.3 -400.6 -674.6 48.85
0.745 19.54 -195.4 9.77 -87.93 -87.93 -674.6 -234.5 -752.3 -302.9 -644.8 29.31 -107.5 -29.31 -302.9 78.16 -498.3 -293.1 -322.4 -605.8 -48.85
0.75 68.39 87.93 -156.3 78.16 -254 -498.3 -420.1 -566.7 -488.5 -410.4 48.85 -205.2 -29.31 -342 -87.93 -478.7 -342 -185.6 -625.3 -283.3
0.755 -9.77 205.2 -58.62 263.8 -234.5 -214.9 -410.4 -322.4 -469 -361.5 127 -175.9 87.93 -254 -87.93 -312.7 -361.5 -68.39 -576.5 -410.4
0.76 166.1 312.7 0 371.3 -214.9 -39.08 -449.4 -185.6 -576.5 -127 68.39 -214.9 -146.6 -263.8 -205.2 -214.9 -205.2 29.31 -488.5 -410.4
0.765 175.9 146.6 166.1 420.1 -39.08 29.31 -342 -19.54 -498.3 -127 9.77 -254 -39.08 -127 -234.5 48.85 -68.39 19.54 -371.3 -263.8
0.77 312.7 68.39 273.6 244.3 48.85 0 -312.7 29.31 -449.4 -58.62 -9.77 -351.7 -136.8 -146.6 -263.8 263.8 78.16 -39.08 -214.9 -19.54
0.775 -146.6 214.9 342 244.3 214.9 185.6 -29.31 361.5 -117.2 332.2 -78.16 -175.9 -68.39 117.2 -185.6 508.1 205.2 78.16 78.16 58.62
0.78 508.1 459.2 322.4 146.6 263.8 205.2 205.2 517.8 -9.77 410.4 -48.85 -87.93 29.31 224.7 -185.6 644.8 166.1 107.5 224.7 68.39
0.785 381 537.4 244.3 107.5 293.1 342 517.8 771.9 381 771.9 -58.62 -9.77 127 351.7 -58.62 918.4 117.2 214.9 508.1 9.77
0.79 781.6 556.9 156.3 107.5 293.1 332.2 742.6 850 556.9 752.3 -136.8 58.62 107.5 361.5 29.31 996.6 136.8 78.16 703.5 166.1
0.795 1094 420.1 195.4 39.08 420.1 263.8 1006 859.8 840.3 742.6 0 -9.77 293.1 312.7 283.3 1036 166.1 68.39 898.9 283.3
0.8 732.8 234.5 136.8 -87.93 469 214.9 1133 879.3 1026 810.9 -19.54 -97.7 302.9 283.3 469 1055 156.3 78.16 1036 342
0.805 625.3 410.4 146.6 -19.54 517.8 283.3 1192 977 1182 898.9 78.16 -78.16 400.6 332.2 605.8 1026 214.9 254 1104 195.4
0.81 400.6 420.1 -97.7 -146.6 371.3 254 1036 918.4 1006 781.6 -58.62 -68.39 342 312.7 556.9 791.4 29.31 322.4 898.9 9.77
0.815 322.4 390.8 -156.3 -254 312.7 254 996.6 781.6 1075 810.9 -48.85 -234.5 342 205.2 547.1 723 -146.6 263.8 810.9 -39.08
0.82 508.1 351.7 -127 -381 351.7 58.62 957.5 478.7 1036 596 156.3 -224.7 469 117.2 664.4 478.7 -48.85 78.16 713.2 97.7
0.825 449.4 205.2 -234.5 -322.4 117.2 -19.54 596 263.8 771.9 498.3 39.08 -263.8 302.9 9.77 381 263.8 -254 0 400.6 -48.85
0.83 459.2 371.3 -117.2 -342 39.08 -283.3 322.4 -205.2 478.7 68.39 127 -410.4 214.9 -195.4 175.9 -68.39 -97.7 -234.5 117.2 87.93
0.835 332.2 205.2 -48.85 -322.4 -127 -429.9 -68.39 -478.7 97.7 -214.9 97.7 -361.5 9.77 -214.9 -68.39 -263.8 -185.6 -312.7 -156.3 58.62
