    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1
0.625 7.973 14.91 9.942 15.95 21.95 7.973 -27.01 3.939 3.939 7.973 1.97 0.938 0 0.938 23.92 17.91
0.63 0 10.97 6.941 9.942 17.91 0 -13.04 3.939 4.971 8.911 2.908 -1.032 0.938 0 26.92 25.98
0.635 -5.065 4.971 1.97 1.97 9.942 -12.01 -3.001 0 1.97 -2.064 1.97 -2.064 1.97 1.97 28.98 20.92
0.64 -23.07 -9.004 -5.065 -21.01 0.938 -31.05 0 -23.07 -13.04 -11.07 -1.032 -17.07 -9.004 -9.004 25.98 11.91
0.645 -32.08 -19.04 -11.07 -39.02 -14.07 -42.02 0.938 -44.08 -32.08 -22.04 -1.032 -34.05 -24.01 -20.07 20.92 6.941
0.65 -40.05 -25.04 -16.04 -45.02 -24.01 -46.05 -9.004 -54.03 -50.09 -34.05 2.908 -44.08 -39.02 -30.01 18.95 0.938
0.655 -39.02 -25.04 -15.01 -39.02 -21.01 -47.09 -17.07 -47.09 -61.06 -39.02 -2.064 -41.08 -45.02 -35.08 17.91 5.909
0.66 -30.01 -13.04 -6.003 -18.01 -6.003 -45.02 -17.07 -23.07 -59.09 -36.02 -11.07 -27.01 -43.05 -34.05 23.92 10.97
0.665 -20.07 -1.032 1.97 0 2.908 -41.08 -11.07 0.938 -49.06 -32.08 -29.08 -5.065 -35.08 -26.08 27.95 11.91
0.67 -15.01 0.938 0.938 0 17.91 -33.02 -1.032 3.939 -41.08 -27.01 -35.08 0.938 -29.08 -23.07 29.92 5.909
0.675 -9.004 -5.065 0 0 21.95 -25.04 0 2.908 -33.02 -18.01 -25.04 -2.064 -25.04 -19.04 23.92 -3.001
0.68 -5.065 -13.04 -3.001 -12.01 21.95 -13.04 -1.032 -2.064 -27.01 -9.004 -5.065 -12.01 -27.01 -21.01 13.98 -19.04
0.685 0.938 -19.04 -7.035 -23.07 23.92 0.938 -13.04 -15.01 -19.04 -2.064 9.942 -23.07 -27.01 -23.07 3.939 -33.02
0.69 3.939 -17.07 -9.004 -21.01 27.95 7.973 -25.04 -16.04 -11.07 9.942 17.91 -20.07 -23.07 -23.07 0.938 -39.02
0.695 17.91 -9.004 -11.07 -11.07 37.99 15.95 -27.01 -16.04 0.938 17.91 7.973 -14.07 -13.04 -21.01 -1.032 -39.02
0.7 31.98 0.938 -11.07 -2.064 45.96 17.91 -21.01 -13.04 3.939 19.98 -3.001 -9.004 -5.065 -17.07 -2.064 -35.08
0.705 37.99 2.908 -13.04 5.909 49.99 15.95 -11.07 -9.004 9.942 15.95 -13.04 -7.035 -2.064 -15.01 0 -27.01
0.71 35.92 -1.032 -17.07 5.909 43.99 7.973 -7.035 -9.004 9.942 9.942 -13.04 -11.07 -2.064 -9.004 0 -17.07
0.715 21.95 -7.035 -23.07 0.938 31.98 1.97 -9.004 -7.035 5.909 3.939 -7.035 -17.07 0.938 -5.065 -1.032 -7.035
0.72 5.909 -19.04 -29.08 -11.07 19.98 0.938 -17.07 -9.004 1.97 1.97 -3.001 -23.07 -3.001 0.938 -9.004 -2.064
0.725 -1.032 -27.01 -35.08 -21.01 11.91 0.938 -25.04 -13.04 -2.064 3.939 -9.004 -29.08 -9.004 -2.064 -15.01 5.909
0.73 -9.004 -27.01 -35.08 -25.04 7.973 0.938 -29.08 -21.01 -3.001 5.909 -21.01 -33.02 -15.01 -2.064 -17.07 9.942
0.735 -7.035 -21.01 -27.01 -21.01 5.909 -2.064 -27.01 -29.08 -9.004 7.973 -33.02 -33.02 -19.04 -2.064 -11.07 9.942
0.74 -1.032 -11.07 -15.01 -11.07 5.909 -2.064 -21.01 -31.05 -13.04 11.91 -33.02 -29.08 -21.01 0 -1.032 9.942
0.745 -2.064 -3.001 0.938 -1.032 7.973 0.938 -17.07 -25.04 -15.01 11.91 -23.07 -19.04 -19.04 3.939 5.909 9.942
0.75 0 0.938 5.909 -2.064 15.95 -3.001 -15.01 -13.04 -11.07 9.942 -7.035 -9.004 -15.01 7.973 15.95 13.98
0.755 0.938 -1.032 5.909 -2.064 23.92 -7.035 -13.04 -3.001 -7.035 5.909 0.938 -3.001 -9.004 11.91 15.95 19.98
0.76 -5.065 -9.004 -2.064 -7.035 29.92 -11.07 -15.01 -1.032 -1.032 1.97 -1.032 -5.065 -9.004 11.91 9.942 25.98
0.765 -9.004 -17.07 -9.004 -19.04 27.95 -15.01 -19.04 -7.035 0.938 -2.064 -17.07 -17.07 -11.07 5.909 0 25.98
0.77 -9.004 -21.01 -17.07 -29.08 17.91 -17.07 -23.07 -16.04 -1.032 0.938 -37.05 -26.08 -15.01 0 -9.004 21.95
0.775 -7.035 -19.04 -21.01 -37.05 3.939 -19.04 -29.08 -26.08 -3.001 0.938 -53.09 -34.05 -21.01 -3.001 -21.01 11.91
