    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1
0.833333 -1.012 -44.03 -12 3.977 10.99 0.9399 -8.025 -28.05 -2.024 32.97 12.94 -10.05 -2.024 28.99 26.97
0.84 0.9399 -27.04 4.989 20.97 3.977 -1.012 2.964 -7.013 9.978 1.952 0 0 -9.038 -3.037 2.964
0.846667 6.941 -7.013 23.93 30.94 0 7.953 18.94 8.965 10.99 -29.06 -18 0.9399 -26.03 -51.04 -22.05
0.853333 17.93 11.93 35.93 31.96 -1.012 14.97 21.98 23.93 3.977 -59.07 -29.06 0.9399 -46.06 -89 -48.01
0.86 16.99 22.99 38.97 28.99 -12 15.98 20.97 19.96 1.952 -82.06 -38.03 -7.013 -62.03 -107 -70.06
0.866667 19.96 23.93 41.93 29.93 -17.06 18.94 27.98 17.93 0.9399 -85.03 -35.07 -9.038 -68.04 -101 -72.01
0.873333 26.97 27.98 45.98 38.97 -7.013 31.96 47 20.97 6.941 -69.05 -18 0.9399 -52.06 -69.05 -58.06
0.88 40.99 39.98 56.97 50.97 7.953 50.97 65 35.93 25.96 -35.07 6.941 24.94 -25.02 -23.06 -24
0.886667 39.98 40.99 59 49.96 20.97 65.94 68.98 53 33.98 -2.024 36.95 40.99 -1.012 8.965 2.964
0.893333 25.96 25.96 40.99 37.96 23.93 59 42.95 54.95 26.97 19.96 47.94 36.95 4.989 34.99 22.99
0.9 5.929 -1.012 10.99 9.978 17.93 30.94 0 28.99 10.99 37.96 41.93 18.94 6.941 42.95 28.99
0.906667 -5.061 -29.06 -15.04 -6.001 13.95 0 -24 -3.037 0.9399 53.94 28.99 0.9399 7.953 50.97 31.96
0.913333 0 -41.07 -32.03 -13.01 21.98 -4.049 -35.07 -29.06 -7.013 69.99 28.99 -7.013 15.98 60.95 41.93
0.92 0 -39.04 -35.07 -13.01 31.96 -3.037 -29.06 -37.02 -5.061 83.94 33.98 -1.012 19.96 72.95 51.98
0.926667 0.9399 -38.03 -30 -5.061 34.99 0 -20.03 -28.05 -3.037 86.98 37.96 1.952 19.96 72.95 47.94
0.933333 -2.024 -42.01 -24 0 26.97 -7.013 -24 -16.05 0 76.93 23.93 3.977 12.94 56.97 33.98
0.94 -9.038 -47.07 -17.06 1.952 11.93 -19.02 -30 -14.03 -1.012 53.94 6.941 0 4.989 32.97 15.98
0.946667 -12 -50.03 -14.03 8.965 -1.012 -29.06 -29.06 -14.03 4.989 32.97 -2.024 -2.024 0.9399 12.94 3.977
0.953333 -8.025 -40.05 -4.049 16.99 -2.024 -27.04 -20.03 -8.025 12.94 14.97 -7.013 -2.024 0.9399 -1.012 -1.012
0.96 -1.012 -22.05 4.989 30.94 0 -13.01 -2.024 -2.024 18.94 0.9399 -5.061 1.952 0 -5.061 -9.038
0.966667 9.978 0 27.98 41.93 1.952 3.977 20.97 1.952 17.93 -7.013 0.9399 5.929 -17.06 -15.04 -19.02
0.973333 33.98 37.96 63.99 59 17.93 35.93 59.94 21.98 19.96 -11.06 7.953 13.95 -33.04 -19.02 -23.06
0.98 61.96 73.96 93.99 69.99 35.93 67.96 89.94 47.94 25.96 -11.06 23.93 25.96 -43.02 -23.06 -23.06
0.986667 75.99 89.94 106 71.94 43.96 89.94 106 73.96 31.96 -9.038 33.98 35.93 -45.04 -21.04 -17.06
0.993333 69.99 77.94 91.97 65.94 37.96 89.94 95.94 88.93 37.96 -6.001 37.96 39.98 -35.07 -13.01 -5.061
1 47.94 43.96 65.94 57.99 27.98 71.94 68.98 76.93 41.93 -5.061 37.96 37.96 -19.02 0.9399 7.953
1.00667 27.98 13.95 41.93 51.98 18.94 49.96 47 59.94 41.93 -1.012 37.96 33.98 0.9399 16.99 29.93
1.01333 15.98 0 27.98 43.96 18.94 33.98 28.99 41.93 43.96 8.965 39.98 33.98 22.99 32.97 55.96
1.02 7.953 -5.061 15.98 33.98 18.94 23.93 11.93 30.94 43.96 16.99 39.98 35.93 44.97 42.95 77.94
1.02667 2.964 -17.06 0 26.97 16.99 15.98 1.952 16.99 44.97 18.94 35.93 37.96 61.96 44.97 91.97
1.03333 -1.012 -33.04 -15.04 19.96 10.99 3.977 -12 5.929 43.96 20.97 27.98 35.93 68.98 34.99 95.94
1.04 -4.049 -40.05 -27.04 16.99 6.941 -5.061 -17.06 -5.061 40.99 24.94 16.99 28.99 65 24.94 83.94
1.04667 -9.038 -39.04 -23.06 5.929 1.952 -13.01 -21.04 -15.04 21.98 19.96 0 7.953 39.98 4.989 57.99
1.05333 -11.06 -34.05 -13.01 -3.037 0.9399 -15.04 -23.06 -22.05 0.9399 6.941 -14.03 -16.05 5.929 -11.06 17.93
1.06 -18 -39.04 -11.06 -16.05 -13.01 -25.02 -37.02 -37.02 -24 -14.03 -38.03 -49.02 -21.04 -39.04 -19.02
1.06667 -24 -46.06 -17.06 -17.06 -30 -35.07 -46.06 -50.03 -35.07 -35.07 -57.05 -66.01 -43.02 -69.05 -53.07
1.07333 -25.02 -46.06 -17.06 -7.013 -34.05 -35.07 -47.07 -50.03 -23.06 -38.03 -62.03 -68.04 -55.02 -81.05 -67.02
1.08 -12 -23.06 -5.061 8.965 -22.05 -19.02 -27.04 -36.01 -4.049 -27.04 -43.02 -48.01 -54.01 -69.05 -55.02
1.08667 1.952 -2.024 14.97 26.97 -3.037 1.952 5.929 -11.06 8.965 -17.06 -15.04 -18 -43.02 -43.02 -28.05
1.09333 17.93 9.978 31.96 40.99 8.965 25.96 27.98 15.98 24.94 -12 3.977 5.929 -29.06 -19.02 -5.061
1.1 24.94 11.93 35.93 44.97 13.95 30.94 33.98 32.97 33.98 -13.01 16.99 19.96 -17.06 -11.06 3.977
1.10667 21.98 4.989 30.94 42.95 14.97 24.94 18.94 37.96 35.93 -13.01 13.95 15.98 -14.03 -11.06 8.965
1.11333 16.99 -2.024 19.96 30.94 13.95 14.97 3.977 28.99 23.93 1.952 12.94 11.93 -15.04 -3.037 11.93
1.12 11.93 0.9399 5.929 12.94 20.97 9.978 -3.037 11.93 10.99 16.99 15.98 3.977 -15.04 8.965 23.93
1.12667 9.978 -2.024 -1.012 -1.012 19.96 9.978 5.929 0.9399 -1.012 25.96 23.93 0.9399 -7.013 26.97 36.95
1.13333 12.94 1.952 0.9399 -1.012 20.97 11.93 19.96 1.952 4.989 29.93 25.96 6.941 2.964 38.97 47.94
1.14 15.98 4.989 5.929 11.93 18.94 17.93 29.93 2.964 15.98 26.97 24.94 16.99 23.93 42.95 59.94
1.14667 16.99 2.964 7.953 23.93 14.97 23.93 30.94 16.99 29.93 31.96 23.93 24.94 37.96 47 69.99
1.15333 10.99 -7.013 1.952 26.97 15.98 21.98 17.93 31.96 36.95 38.97 20.97 27.98 43.96 44.97 69.99
1.16 1.952 -26.03 -11.06 17.93 9.978 9.978 1.952 24.94 35.93 40.99 16.99 24.94 39.98 44.97 57.99
1.16667 -13.01 -39.04 -25.02 5.929 0.9399 -1.012 -5.061 9.978 27.98 31.96 5.929 9.978 25.96 32.97 37.96
1.17333 -24 -42.01 -31.02 8.965 -8.025 -11.06 -11.06 -2.024 20.97 14.97 0 0 10.99 10.99 15.98
1.18 -33.04 -41.07 -29.06 7.953 -22.05 -19.02 -26.03 -9.038 7.953 0 -19.02 -17.06 -4.049 -13.01 -3.037
1.18667 -36.01 -45.04 -35.07 0.9399 -30 -31.02 -36.01 -18 0 -20.03 -35.07 -31.02 -19.02 -41.07 -25.02
1.19333 -35.07 -55.02 -45.04 -7.013 -26.03 -37.02 -41.07 -28.05 -11.06 -18 -37.02 -41.07 -28.05 -53.07 -35.07
1.2 -21.04 -59.07 -51.04 -11.06 -8.025 -31.02 -34.05 -39.04 -7.013 -1.012 -23.06 -37.02 -24 -41.07 -25.02
1.20667 -1.012 -49.02 -43.02 -7.013 10.99 -11.06 -10.05 -35.07 0 30.94 1.952 -15.04 -10.05 -5.061 1.952
1.21333 7.953 -27.04 -23.06 0 23.93 1.952 0.9399 -18 9.978 47.94 25.96 3.977 1.952 24.94 37.96
1.22 9.978 -1.012 0.9399 9.978 17.93 11.93 13.95 1.952 11.93 38.97 29.93 21.98 15.98 36.95 57.99
1.22667 7.953 17.93 19.96 19.96 3.977 13.95 23.93 9.978 15.98 9.978 19.96 29.93 19.96 24.94 59.94
1.23333 7.953 33.98 35.93 29.93 -3.037 15.98 31.96 23.93 19.96 -11.06 5.929 27.98 19.96 6.941 49.96
1.24 9.978 35.93 39.98 35.93 -11.06 17.93 29.93 27.98 21.98 -25.02 -5.061 21.98 11.93 -5.061 31.96
1.24667 0 21.98 29.93 27.98 -19.02 11.93 13.95 20.97 15.98 -31.02 -23.06 5.929 -2.024 -21.04 9.978
1.25333 -11.06 -2.024 16.99 15.98 -31.02 -5.061 -14.03 6.941 3.977 -39.04 -45.04 -17.06 -17.06 -43.02 -11.06
1.26 -27.04 -18 2.964 5.929 -39.04 -29.06 -42.01 -14.03 -7.013 -49.02 -63.05 -43.02 -35.07 -65.07 -37.02
1.26667 -29.06 -28.05 -4.049 0 -39.04 -43.02 -46.06 -33.04 -17.06 -59.07 -69.05 -59.07 -53.07 -81.05 -57.05
1.27333 -18 -28.05 -14.03 1.952 -33.04 -36.01 -36.01 -36.01 -21.04 -55.02 -61.02 -57.05 -60.01 -79.02 -64.06
1.28 -5.061 -22.05 -22.05 -3.037 -19.02 -21.04 -24 -32.03 -19.02 -33.04 -41.07 -43.02 -57.05 -61.02 -61.02
1.28667 1.952 -21.04 -29.06 -6.001 -7.013 -8.025 -19.02 -25.02 -16.05 -7.013 -21.04 -29.06 -42.01 -39.04 -41.07
1.29333 -1.012 -27.04 -37.02 -7.013 0.9399 -11.06 -27.04 -19.02 -13.01 5.929 -9.038 -19.02 -21.04 -17.06 -19.02
1.3 -7.013 -32.03 -42.01 -5.061 -1.012 -19.02 -38.03 -21.04 -4.049 6.941 -12 -14.03 -1.012 -9.038 -5.061
1.30667 -12 -36.01 -45.04 -10.05 0 -22.05 -33.04 -29.06 -1.012 3.977 -13.01 -11.06 2.964 -13.01 0.9399
1.31333 -2.024 -35.07 -40.05 -15.04 12.94 -12 -20.03 -29.06 1.952 14.97 -4.049 -2.024 10.99 -9.038 4.989
1.32 11.93 -21.04 -26.03 -13.01 30.94 4.989 1.952 -21.04 -1.012 36.95 10.99 0.9399 18.94 4.989 20.97
1.32667 24.94 -6.001 -9.038 -8.025 38.97 22.99 9.978 -13.01 2.964 47 24.94 10.99 22.99 28.99 33.98
1.33333 19.96 -2.024 -6.001 -2.024 25.96 24.94 2.964 -6.001 0.9399 29.93 15.98 7.953 17.93 32.97 39.98
1.34 1.952 -1.012 -8.025 1.952 2.964 13.95 -8.025 -13.01 1.952 2.964 1.952 -1.012 3.977 16.99 22.99
1.34667 -10.05 -13.01 -14.03 0.9399 -13.01 1.952 -9.038 -20.03 1.952 -18 -15.04 -2.024 -12 0.9399 1.952
1.35333 -13.01 -20.03 -7.013 8.965 -18 -2.024 -1.012 -9.038 -1.012 -35.07 -16.05 0.9399 -26.03 -11.06 -14.03
1.36 0 -9.038 6.941 20.97 -9.038 0.9399 15.98 2.964 8.965 -46.06 -5.061 10.99 -34.05 -17.06 -16.05
1.36667 9.978 1.952 22.99 32.97 0 19.96 30.94 25.96 15.98 -54.01 -1.012 24.94 -29.06 -23.06 -14.03
1.37333 23.93 11.93 22.99 30.94 9.978 32.97 32.97 38.97 14.97 -41.07 7.953 27.98 -21.04 -23.06 -9.038
1.38 34.99 12.94 9.978 18.94 30.94 42.95 25.96 31.96 6.941 -8.025 26.97 28.99 -2.024 -13.01 0.9399
1.38667 35.93 5.929 -10.05 -2.024 47 47 17.93 21.98 0 18.94 47 24.94 8.965 2.964 10.99
1.39333 28.99 -1.012 -28.05 -15.04 47 40.99 8.965 7.953 -10.05 24.94 54.95 22.99 20.97 20.97 26.97
1.4 10.99 -10.05 -35.07 -22.05 31.96 24.94 1.952 -3.037 -13.01 15.98 45.98 19.96 26.97 32.97 40.99
1.40667 1.952 -20.03 -34.05 -27.04 18.94 3.977 -2.024 -15.04 -12 14.97 28.99 16.99 29.93 38.97 55.96
1.41333 -3.037 -21.04 -23.06 -27.04 11.93 -3.037 -1.012 -21.04 -13.01 21.98 15.98 11.93 31.96 48.95 63.99
1.42 1.952 -9.038 -9.038 -22.05 9.978 -4.049 -2.024 -21.04 -18 21.98 5.929 5.929 26.97 53 65.94
1.42667 0.9399 0 -2.024 -25.02 -2.024 -3.037 0.9399 -18 -31.02 0.9399 -3.037 0.9399 13.95 38.97 49.96
1.43333 -8.025 -2.024 -2.024 -22.05 -15.04 -8.025 -2.024 -14.03 -37.02 -35.07 -23.06 -11.06 0 14.97 28.99
1.44 -23.06 -12 -10.05 -21.04 -31.02 -21.04 -14.03 -17.06 -35.07 -59.07 -39.04 -19.02 -13.01 2.964 7.953
1.44667 -25.02 -18 -14.03 -15.04 -33.04 -29.06 -16.05 -22.05 -25.02 -61.02 -39.04 -19.02 -13.01 -7.013 3.977
1.45333 -15.04 -9.038 -8.025 -7.013 -21.04 -21.04 -2.024 -18 -17.06 -57.05 -29.06 -9.038 -9.038 -7.013 1.952
1.46 0.9399 9.978 0 0.9399 -9.038 0.9399 17.93 -8.025 -11.06 -69.05 -13.01 -2.024 -9.038 -17.06 -2.024
1.46667 9.978 31.96 17.93 9.978 -3.037 21.98 49.96 7.953 -5.061 -89 -3.037 9.978 -13.01 -31.02 -9.038
1.47333 13.95 37.96 35.93 25.96 -3.037 35.93 61.96 29.93 0 -97.03 -2.024 17.93 -21.04 -41.07 -21.04
1.48 7.953 25.96 41.93 35.93 -1.012 35.93 57.99 43.96 5.929 -81.05 3.977 15.98 -27.04 -39.04 -29.06
1.48667 0 7.953 31.96 29.93 0.9399 25.96 43.96 39.98 -2.024 -47.07 11.93 9.978 -29.06 -21.04 -31.02
1.49333 -3.037 -5.061 7.953 3.977 3.977 9.978 16.99 17.93 -15.04 -13.01 15.98 0.9399 -27.04 -1.012 -29.06
1.5 -8.025 -14.03 -14.03 -24 10.99 -1.012 -4.049 -10.05 -34.05 6.941 13.95 -17.06 -20.03 20.97 -23.06
1.50667 -10.05 -24 -36.01 -44.03 8.965 -13.01 -20.03 -42.01 -48.01 16.99 7.953 -33.04 -14.03 34.99 -17.06
1.51333 -8.025 -28.05 -42.01 -46.06 6.941 -19.02 -27.04 -54.01 -50.03 18.94 3.977 -37.02 -4.049 38.97 -7.013
1.52 1.952 -26.03 -39.04 -33.04 5.929 -12 -18 -49.02 -44.03 19.96 6.941 -27.04 0.9399 47 1.952
1.52667 2.964 -12 -28.05 -24 2.964 -3.037 -2.024 -36.01 -36.01 10.99 5.929 -15.04 0 44.97 1.952
1.53333 0 -1.012 -16.05 -18 0 0 0 -18 -34.05 0.9399 1.952 -8.025 -2.024 36.95 3.977
1.54 -15.04 0.9399 -5.061 -11.06 -15.04 -7.013 -1.012 -11.06 -31.02 -23.06 -15.04 -11.06 -5.061 20.97 0.9399
1.54667 -27.04 -3.037 1.952 -2.024 -24 -10.05 2.964 -4.049 -23.06 -37.02 -15.04 -8.025 1.952 8.965 0.9399
1.55333 -17.06 -7.013 13.95 3.977 -19.02 -2.024 20.97 3.977 -11.06 -33.04 0 2.964 3.977 12.94 6.941
1.56 0.9399 -2.024 17.93 12.94 0 11.93 39.98 20.97 -1.012 -15.04 21.98 25.96 6.941 28.99 20.97
1.56667 11.93 6.941 17.93 14.97 9.978 27.98 50.97 33.98 2.964 -8.025 35.93 37.96 1.952 34.99 20.97
1.57333 14.97 19.96 14.97 10.99 9.978 27.98 44.97 35.93 1.952 -18 30.94 31.96 -8.025 24.94 3.977
1.58 9.978 27.98 17.93 4.989 2.964 17.93 29.93 23.93 -6.001 -35.07 15.98 15.98 -14.03 0.9399 -3.037
1.58667 7.953 28.99 19.96 0 -1.012 10.99 20.97 6.941 -7.013 -44.03 2.964 5.929 -11.06 -15.04 -8.025
1.59333 5.929 18.94 13.95 -1.012 0.9399 7.953 17.93 3.977 0 -40.05 0 8.965 -4.049 -21.04 -3.037
1.6 0.9399 1.952 2.964 0.9399 0 4.989 8.965 4.989 5.929 -34.05 0 14.97 0 -19.02 0.9399
1.60667 -7.013 -6.001 -3.037 6.941 -8.025 1.952 0 7.953 12.94 -40.05 -13.01 16.99 1.952 -17.06 -1.012
1.61333 -21.04 -10.05 -9.038 11.93 -24 -12 -8.025 6.941 13.95 -54.01 -30 11.93 0 -23.06 -8.025
1.62 -25.02 -7.013 -7.013 6.941 -34.05 -27.04 -17.06 0 4.989 -57.05 -37.02 7.953 6.941 -25.02 -5.061
1.62667 -18 -7.013 -6.001 1.952 -25.02 -27.04 -12 -5.061 1.952 -46.06 -34.05 1.952 6.941 -19.02 -3.037
1.63333 -3.037 -6.001 -5.061 -4.049 -1.012 -11.06 -2.024 -1.012 -4.049 -18 -15.04 1.952 2.964 0.9399 0
1.64 1.952 -8.025 -5.061 -6.001 14.97 0 -2.024 -1.012 -4.049 0 3.977 1.952 2.964 14.97 0
1.64667 1.952 -5.061 -5.061 -5.061 15.98 8.965 -1.012 1.952 -5.061 4.989 16.99 0.9399 1.952 16.99 -6.001
1.65333 3.977 1.952 -7.013 -6.001 14.97 8.965 -3.037 4.989 -5.061 -1.012 23.93 0.9399 6.941 10.99 -7.013
1.66 9.978 7.953 -11.06 -15.04 13.95 9.978 -1.012 -2.024 -9.038 1.952 21.98 -2.024 9.978 4.989 -3.037
1.66667 18.94 19.96 -10.05 -22.05 20.97 14.97 6.941 0 -8.025 13.95 24.94 -1.012 10.99 8.965 3.977
1.67333 20.97 26.97 -4.049 -22.05 20.97 21.98 14.97 -1.012 -6.001 16.99 27.98 1.952 16.99 14.97 13.95
1.68 13.95 20.97 1.952 -13.01 13.95 16.99 4.989 0 -2.024 1.952 18.94 0 15.98 10.99 12.94
1.68667 0.9399 14.97 4.989 -6.001 0.9399 3.977 -5.061 0 -2.024 -18 -2.024 -5.061 4.989 -11.06 0.9399
1.69333 0.9399 20.97 6.941 -1.012 0 0.9399 -10.05 0 0 -36.01 -15.04 -15.04 -10.05 -39.04 -33.04
1.7 8.965 34.99 8.965 8.965 1.952 0 -2.024 -1.012 1.952 -38.03 -23.06 -19.02 -28.05 -55.02 -67.02
1.70667 21.98 45.98 15.98 11.93 -2.024 9.978 16.99 7.953 0.9399 -45.04 -19.02 -15.04 -45.04 -61.02 -89
1.71333 25.96 43.96 25.96 13.95 -2.024 19.96 31.96 23.93 -1.012 -53.07 -13.01 -5.061 -51.04 -57.05 -91.03
1.72 19.96 33.98 29.93 7.953 -1.012 19.96 27.98 29.93 -7.013 -59.07 -13.01 -3.037 -49.02 -49.02 -81.05
1.72667 7.953 23.93 19.96 -1.012 -7.013 15.98 17.93 25.96 -17.06 -51.04 -13.01 -9.038 -43.02 -39.04 -65.07
1.73333 0.9399 15.98 1.952 -17.06 -9.038 5.929 1.952 12.94 -27.04 -27.04 -9.038 -17.06 -29.06 -23.06 -43.02
1.74 -1.012 3.977 -13.01 -31.02 -5.061 0.9399 -10.05 -4.049 -29.06 -1.012 -2.024 -15.04 -11.06 -1.012 -15.04
1.74667 0.9399 -7.013 -29.06 -33.04 2.964 -5.061 -16.05 -17.06 -19.02 18.94 13.95 -1.012 6.941 16.99 5.929
1.75333 0 -17.06 -39.04 -29.06 12.94 -9.038 -22.05 -21.04 -3.037 32.97 21.98 7.953 22.99 32.97 23.93
1.76 -2.024 -21.04 -43.02 -26.03 14.97 -11.06 -29.06 -19.02 0 44.97 21.98 9.978 34.99 40.99 29.93
1.76667 -2.024 -19.02 -45.04 -30 8.965 -15.04 -36.01 -20.03 -1.012 47.94 16.99 4.989 36.95 38.97 32.97
1.77333 -5.061 -13.01 -47.07 -31.02 4.989 -21.04 -38.03 -29.06 -1.012 44.97 11.93 -2.024 34.99 36.95 37.96
1.78 0 -7.013 -40.05 -15.04 4.989 -19.02 -29.06 -35.07 0.9399 44.97 14.97 2.964 31.96 40.99 44.97
1.78667 9.978 0 -21.04 0.9399 5.929 -3.037 -3.037 -23.06 11.93 37.96 21.98 11.93 23.93 40.99 41.93
1.79333 19.96 20.97 4.989 16.99 11.93 9.978 23.93 0 21.98 22.99 19.96 21.98 8.965 28.99 25.96
1.8 22.99 41.93 34.99 28.99 7.953 23.93 47.94 27.98 18.94 -1.012 12.94 18.94 -7.013 0.9399 0
1.80667 18.94 56.97 51.98 29.93 -1.012 29.93 60.95 40.99 12.94 -32.03 0.9399 9.978 -28.05 -27.04 -31.02
1.81333 12.94 54.95 55.96 35.93 -10.05 29.93 51.98 45.98 10.99 -52.06 -6.001 3.977 -39.04 -51.04 -51.04
1.82 5.929 42.95 47.94 38.97 -22.05 23.93 34.99 44.97 17.93 -52.06 -11.06 4.989 -37.02 -53.07 -50.03
1.82667 1.952 27.98 41.93 39.98 -20.03 13.95 23.93 41.93 22.99 -38.03 -6.001 12.94 -22.05 -41.07 -34.05
1.83333 1.952 18.94 23.93 33.98 -5.061 9.978 18.94 39.98 25.96 -7.013 7.953 26.97 -1.012 -13.01 -2.024
1.84 4.989 14.97 5.929 17.93 14.97 12.94 16.99 32.97 27.98 25.96 35.93 37.96 17.93 16.99 30.94
1.84667 13.95 8.965 -7.013 0.9399 33.98 20.97 18.94 25.96 20.97 56.97 56.97 45.98 25.96 44.97 63.99
1.85333 20.97 -1.012 -15.04 -7.013 40.99 24.94 7.953 14.97 15.98 77.94 63.99 35.93 23.93 60.95 66.95
1.86 14.97 -8.025 -19.02 -11.06 35.93 11.93 -4.049 1.952 3.977 75.99 43.96 18.94 17.93 56.97 53
1.86667 1.952 -21.04 -25.02 -15.04 18.94 -3.037 -25.02 -15.04 1.952 62.97 20.97 -2.024 12.94 36.95 28.99
1.87333 -3.037 -22.05 -35.07 -20.03 4.989 -25.02 -42.01 -26.03 -3.037 48.95 0 -20.03 11.93 14.97 10.99
1.88 -14.03 -22.05 -39.04 -17.06 0 -37.02 -61.02 -35.07 -4.049 34.99 -10.05 -31.02 3.977 0.9399 -2.024
1.88667 -20.03 -22.05 -33.04 -17.06 -14.03 -41.07 -62.03 -36.01 -4.049 16.99 -24 -33.04 1.952 -11.06 -9.038
1.89333 -24 -19.02 -18 -8.025 -21.04 -43.02 -55.02 -31.02 -2.024 -2.024 -36.01 -30 -3.037 -25.02 -18
1.9 -23.06 -6.001 -1.012 4.989 -25.02 -31.02 -29.06 -25.02 0 -14.03 -39.04 -17.06 -6.001 -35.07 -21.04
1.90667 -11.06 13.95 19.96 17.93 -25.02 -7.013 3.977 -7.013 9.978 -29.06 -23.06 -3.037 -9.038 -41.07 -21.04
1.91333 1.952 37.96 40.99 31.96 -18 17.93 31.96 13.95 16.99 -44.03 -6.001 4.989 -23.06 -45.04 -26.03
1.92 1.952 45.98 47.94 34.99 -18 27.98 32.97 29.93 13.95 -62.03 -5.061 3.977 -42.01 -61.02 -43.02
1.92667 -1.012 33.98 43.96 32.97 -20.03 15.98 20.97 32.97 8.965 -69.05 -14.03 -1.012 -58.06 -75.05 -66.01
1.93333 -11.06 17.93 29.93 24.94 -22.05 -1.012 0.9399 24.94 -2.024 -60.01 -27.04 -7.013 -64.06 -81.05 -77
1.94 -19.02 1.952 11.93 12.94 -22.05 -17.06 -18 5.929 -5.061 -36.01 -29.06 -17.06 -58.06 -67.02 -67.02
1.94667 -19.02 -3.037 0.9399 -1.012 -18 -25.02 -28.05 -5.061 -9.038 -10.05 -25.02 -23.06 -42.01 -47.07 -47.07
1.95333 -19.02 -11.06 -15.04 -15.04 -17.06 -27.04 -38.03 -18 -11.06 5.929 -23.06 -27.04 -21.04 -25.02 -23.06
1.96 -21.04 -21.04 -27.04 -21.04 -15.04 -31.02 -43.02 -30 -5.061 21.98 -19.02 -21.04 -2.024 -5.061 0.9399
1.96667 -23.06 -29.06 -35.07 -21.04 -9.038 -35.07 -41.07 -37.02 -2.024 35.93 -9.038 -7.013 19.96 12.94 15.98
1.97333 -19.02 -33.04 -39.04 -19.02 0.9399 -33.04 -39.04 -35.07 3.977 45.98 -2.024 -2.024 27.98 28.99 29.93
1.98 -5.061 -31.02 -39.04 -21.04 7.953 -27.04 -35.07 -35.07 0 47.94 3.977 -2.024 23.93 34.99 29.93
1.98667 5.929 -17.06 -35.07 -21.04 15.98 -17.06 -27.04 -36.01 0.9399 41.93 1.952 -7.013 15.98 26.97 17.93
1.99333 15.98 -2.024 -22.05 -15.04 17.93 -5.061 -21.04 -32.03 -1.012 29.93 0.9399 -13.01 7.953 14.97 3.977
2 17.93 15.98 -2.024 -1.012 13.95 0 -13.01 -26.03 -2.024 13.95 -1.012 -15.04 5.929 2.964 -1.012
2.00667 9.978 20.97 10.99 5.929 0 3.977 -5.061 -15.04 3.977 -9.038 -5.061 -11.06 0.9399 -11.06 -15.04
2.01333 0 10.99 18.94 14.97 -17.06 0.9399 -4.049 -3.037 7.953 -45.04 -21.04 -7.013 -15.04 -41.07 -30
2.02 -11.06 1.952 16.99 19.96 -33.04 -1.012 -5.061 1.952 13.95 -77 -33.04 -3.037 -29.06 -71.07 -49.02
2.02667 -12 5.929 13.95 24.94 -33.04 0 2.964 2.964 21.98 -83 -31.02 0.9399 -37.02 -89 -56.03
2.03333 -3.037 17.93 23.93 31.96 -19.02 5.929 19.96 9.978 27.98 -63.05 -11.06 17.93 -33.04 -83 -49.02
2.04 13.95 34.99 43.96 37.96 1.952 26.97 44.97 23.93 35.93 -18 15.98 36.95 -23.06 -47.07 -25.02
2.04667 24.94 40.99 53.94 42.95 23.93 44.97 65 39.98 39.98 23.93 43.96 49.96 -13.01 -1.012 0.9399
2.05333 27.98 35.93 48.95 36.95 37.96 55.96 63.99 49.96 34.99 60.95 59.94 48.95 -3.037 36.95 23.93
2.06 27.98 24.94 30.94 18.94 41.93 45.98 39.98 42.95 24.94 76.93 57.99 34.99 -2.024 60.95 31.96
2.06667 18.94 11.93 1.952 1.952 33.98 23.93 9.978 23.93 6.941 76.93 43.96 10.99 -1.012 62.97 22.99
2.07333 8.965 5.929 -9.038 -14.03 22.99 2.964 -11.06 1.952 -1.012 63.99 19.96 -2.024 2.964 48.95 10.99
2.08 0.9399 2.964 -12 -15.04 9.978 -6.001 -26.03 -13.01 0.9399 47 -2.024 -5.061 8.965 30.94 4.989
2.08667 -3.037 -1.012 -10.05 -12 0.9399 -14.03 -31.02 -20.03 4.989 25.96 -16.05 -1.012 16.99 10.99 6.941
2.09333 -9.038 -15.04 -16.05 -11.06 -5.061 -23.06 -47.07 -19.02 8.965 9.978 -32.03 -5.061 20.97 0.9399 5.929
2.1 -19.02 -25.02 -30 -12 -16.05 -36.01 -59.07 -22.05 2.964 -5.061 -46.06 -11.06 14.97 -15.04 0
2.10667 -26.03 -32.03 -40.05 -11.06 -29.06 -42.01 -62.03 -29.06 2.964 -22.05 -51.04 -15.04 10.99 -37.02 -14.03
2.11333 -26.03 -25.02 -31.02 0 -32.03 -34.05 -49.02 -28.05 12.94 -33.04 -47.07 -8.025 8.965 -51.04 -22.05
2.12 -16.05 -5.061 -3.037 15.98 -29.06 -23.06 -23.06 -15.04 22.99 -38.03 -39.04 0.9399 4.989 -55.02 -26.03
2.12667 -7.013 8.965 16.99 22.99 -25.02 -3.037 1.952 0 20.97 -46.06 -31.02 4.989 -7.013 -63.05 -37.02
2.13333 0.9399 23.93 28.99 22.99 -19.02 1.952 3.977 9.978 6.941 -54.01 -31.02 -2.024 -35.07 -73.02 -57.05
2.14 2.964 30.94 29.93 12.94 -15.04 6.941 2.964 11.93 -5.061 -59.07 -35.07 -19.02 -59.07 -81.05 -70.06
