    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1 203.1
0.625 -11.01 -17.06 7.934 7.934 -7.041 12 17.95 36 13.98 -17.06 3.967 25.98 37.98 25.98 21.92 31.93
0.63 -27.07 -41.06 0 0.9917 -19.04 -5.058 -1.091 17.95 3.967 -23.01 -13.09 7.934 24 19.93 13.98 27.97
0.635 -45.02 -63.07 -3.074 -7.041 -33.02 -29.06 -29.06 -2.083 -1.091 -27.07 -29.06 -3.074 7.934 12 5.95 21.92
0.64 -59.01 -75.07 -15.07 -13.09 -41.06 -47.01 -51.07 -15.07 -7.041 -25.09 -43.04 -17.06 -3.074 3.967 -2.083 13.98
0.645 -61.09 -77.05 -31.04 -19.04 -41.06 -55.04 -63.07 -29.06 -11.01 -23.01 -51.07 -31.04 -17.06 -2.083 -7.041 1.983
0.65 -59.01 -73.09 -45.02 -25.09 -39.07 -59.01 -65.06 -37.09 -13.09 -23.01 -63.07 -41.06 -29.06 -1.091 -21.02 -5.058
0.655 -49.09 -67.04 -53.06 -25.09 -35.01 -59.01 -61.09 -39.07 -15.07 -23.01 -65.06 -47.01 -35.01 -3.074 -31.04 -13.09
0.66 -39.07 -57.02 -47.01 -23.01 -33.02 -55.04 -53.06 -37.09 -15.07 -23.01 -59.01 -45.02 -37.09 -7.041 -37.09 -19.04
0.665 -25.09 -45.02 -29.06 -17.06 -27.07 -41.06 -43.04 -31.04 -17.06 -19.04 -41.06 -33.02 -37.09 -11.01 -37.09 -21.02
0.67 -15.07 -33.02 -11.01 -13.09 -17.06 -19.04 -29.06 -23.01 -19.04 -13.09 -19.04 -17.06 -37.09 -19.04 -27.07 -27.07
0.675 -7.041 -25.09 -1.091 -17.06 -5.058 -2.083 -17.06 -21.02 -21.02 -5.058 -3.074 -7.041 -39.07 -31.04 -19.04 -41.06
0.68 -3.074 -25.09 -3.074 -21.02 0 12 -7.041 -21.02 -25.09 -5.058 -2.083 -5.058 -43.04 -43.04 -17.06 -61.09
0.685 -3.074 -29.06 -15.07 -21.02 3.967 7.934 -3.074 -25.09 -27.07 -9.024 -3.074 -13.09 -49.09 -53.06 -19.04 -81.02
