    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
0.195 12.67 9.124 3.551 4.899 7.281 10.88 6.787 8.719 5.804 4.854 5.847 5.589 4.643 2.427 5.483 -1.169
0.2 11.69 7.91 4 6.337 4.764 7.865 6.247 7.551 8.555 2.697 2.751 3.525 5.331 3.596 4.135 0
0.205 8.18 3.955 4.629 6.697 2.292 4.225 5.348 6.337 8.899 2.157 1.548 1.634 4.901 2.876 4.135 0.5393
0.21 3.865 0.5393 5.483 6.067 0.1798 0.9888 4.36 6.157 6.663 1.978 1.204 -0.6019 2.665 0.2697 3.056 -0.9888
0.215 0.1798 -1.528 6.022 4.674 -1.079 -0.764 3.371 5.528 2.923 1.258 0.6019 -3.181 -0.5159 -2.787 0.2697 -4.315
0.22 -1.708 -2.472 5.438 2.517 -1.124 -0.5843 2.067 3.506 -0.3869 0 -0.3439 -4.901 -3.095 -4.494 -2.697 -6.831
0.225 -1.438 -1.663 3.326 -0.5393 -0.3146 0.6292 -0.2247 0.4494 -2.106 -1.079 -1.29 -4.299 -3.267 -3.865 -3.416 -6.742
0.23 -0.4494 0.08989 -0.3146 -4.315 0.3146 1.169 -4.09 -3.326 -2.192 -1.618 -1.892 -1.548 -1.204 -1.258 -1.618 -3.865
0.235 -0.809 -0.1798 -4.809 -7.865 -0.3146 -0.4944 -9.213 -8.045 -1.419 -1.978 -2.751 1.376 1.548 1.438 0.1798 -0.6292
0.24 -2.966 -3.416 -8.584 -9.753 -2.652 -4.36 -14.56 -12.04 -0.8598 -3.236 -4.299 2.321 2.407 2.247 -0.3596 0.1798
0.245 -5.483 -6.652 -10.11 -9.258 -5.753 -8.674 -18.43 -13.12 -1.247 -5.393 -6.534 0.6019 0 0.2697 -4.045 -2.157
0.25 -6.562 -7.461 -9.169 -7.056 -7.73 -10.74 -19.33 -11.55 -2.622 -7.101 -7.91 -2.493 -4.729 -3.326 -8.36 -6.022
0.255 -5.663 -7.056 -6.876 -4.764 -7.281 -9.258 -16.76 -9.888 -4.471 -6.831 -7.136 -4.815 -9.2 -6.562 -10.34 -8.18
0.26 -3.775 -7.371 -4.809 -3.91 -4.764 -5.213 -12 -9.169 -6.105 -4.225 -4.127 -5.073 -11.18 -7.82 -8.989 -7.191
0.265 -2.067 -7.91 -4.045 -5.079 -1.843 -1.528 -7.461 -8.315 -7.136 -0.6292 -0.5159 -3.697 -10.32 -7.011 -5.843 -4.135
0.27 -1.708 -8.135 -4.764 -7.416 -0.1348 -0.3596 -5.393 -6.921 -7.222 1.978 1.892 -2.407 -7.566 -4.854 -3.236 -1.258
0.275 -3.146 -8.899 -6.472 -9.348 0.1798 -1.663 -6.202 -6.157 -6.277 3.056 2.579 -2.149 -4.557 -2.157 -1.978 0
0.28 -5.124 -9.978 -7.64 -9.393 0.04494 -3.416 -8.225 -5.933 -4.084 2.876 2.407 -2.407 -2.064 0.3596 -1.079 -0.1798
0.285 -5.573 -8.764 -6.787 -7.146 0.4045 -3.506 -8.764 -4.584 -1.204 2.517 2.321 -1.978 -0.4299 2.157 0.6292 -0.809
0.29 -3.596 -4.404 -3.506 -3.461 1.528 -1.303 -6.022 -1.573 1.419 2.517 2.923 -0.172 0.9458 3.236 2.966 -0.7191
0.295 -0.3596 0.3146 0.8539 0.04494 2.787 2.022 -0.2697 1.348 2.622 2.517 3.525 1.806 2.149 3.506 4.135 -0.2697
0.3 2.607 2.876 4.36 2.157 3.371 4.674 5.978 3.191 1.806 2.157 3.267 2.407 2.579 2.966 2.876 -0.7191
0.305 4.494 4 5.573 2.337 2.921 5.348 9.528 4 -0.6448 1.258 2.149 0.6878 1.29 1.438 -0.1798 -2.876
0.31 5.213 4.899 4.135 1.124 1.933 4.404 8.674 3.371 -3.439 0.6292 0.9458 -2.837 -1.548 -0.7191 -2.966 -6.112
0.315 4.584 4.719 1.124 -0.1348 1.258 2.876 4.629 0.764 -4.643 0.9888 0.6019 -6.448 -4.557 -2.607 -3.596 -8.629
0.32 3.236 3.146 -1.258 -0.1798 1.258 1.573 0.4494 -1.978 -3.181 2.157 0.9458 -8.512 -5.933 -3.236 -2.427 -8.809
0.325 2.337 2.382 -1.169 1.393 1.573 0.5393 -1.079 -1.888 0.3869 3.056 0.8598 -8.34 -4.729 -2.427 -1.169 -6.562
0.33 2.247 3.955 1.618 4.135 1.753 -0.3146 0.8539 1.483 4.342 2.427 -0.3439 -6.62 -1.204 -0.4494 -1.798 -2.966
0.335 2.607 6.202 5.663 7.101 1.618 -0.8539 4.989 5.663 6.964 0.5393 -2.665 -4.213 2.923 2.157 -4.135 0.3596
0.34 2.966 7.461 9.034 9.393 1.213 -0.5843 8.944 8.494 7.695 -1.798 -4.557 -1.72 6.019 4.045 -6.112 2.337
0.345 3.236 8.315 10.38 10.47 0.6742 0.4944 10.83 10.02 7.007 -3.416 -4.729 1.118 7.05 4.404 -5.393 3.236
0.35 3.236 8.854 9.438 10.07 0.2697 2.112 10.52 10.02 5.89 -3.416 -2.579 4.643 7.05 3.775 -1.438 4.584
0.355 2.157 7.101 6.517 8.135 0.2247 3.416 8.989 7.73 5.245 -1.708 1.032 8.684 7.996 3.506 4.225 8
0.36 0 2.382 2.787 5.303 0.4944 3.551 7.326 3.685 5.202 0.6292 4.385 12.12 10.58 4.584 9.079 13.39
0.365 -2.607 -2.517 -0.1798 2.562 0.5843 2.202 5.573 0.2247 5.331 2.517 5.847 13.67 13.33 6.472 10.88 18.43
0.37 -4.944 -5.124 -1.753 0.8989 0.1798 -0.2697 3.236 -1.483 5.159 3.056 4.901 12.21 13.58 7.73 9.079 19.87
0.375 -6.921 -6.067 -1.933 1.124 -0.7191 -2.966 0.4944 -2.157 4.686 2.247 2.407 8.082 9.974 6.831 5.124 16.18
0.38 -8.18 -6.427 -1.079 2.966 -1.843 -4.764 -1.528 -1.708 4.084 0.5393 -0.2579 2.837 3.353 3.685 1.438 8.36
0.385 -7.64 -4.854 0.4045 5.124 -2.652 -4.944 -1.573 0.4944 3.568 -1.169 -2.235 -1.29 -3.009 -0.1798 -0.3596 0
0.39 -5.213 -0.9888 1.978 6.202 -2.742 -3.506 0.809 3.236 3.095 -2.337 -2.923 -2.923 -6.019 -2.337 -0.08989 -5.213
0.395 -1.888 2.517 2.607 5.438 -2.202 -1.213 4.404 3.73 2.579 -2.697 -2.665 -2.235 -4.557 -1.258 0.9888 -5.843
0.4 0.4494 3.281 1.618 3.101 -1.663 0.3146 6.562 1.169 1.806 -2.787 -2.493 -1.032 -0.6878 1.708 1.169 -3.326
0.405 0.6292 1.978 -0.9888 -0.2247 -2.112 -0.1348 5.034 -2.427 0.5159 -3.416 -3.009 -1.032 1.892 3.865 -0.08989 -0.9888
0.41 -1.348 -0.08989 -4.674 -3.685 -3.596 -2.966 0 -5.438 -1.376 -4.494 -3.955 -2.579 1.634 3.416 -1.798 -0.5393
0.415 -4.854 -3.056 -8.045 -6.337 -4.989 -6.562 -5.438 -7.506 -3.396 -5.124 -4.471 -4.643 -0.4299 1.079 -1.978 -1.079
0.42 -7.73 -6.067 -9.124 -7.011 -5.034 -8.584 -7.461 -7.506 -4.428 -4.225 -3.439 -5.503 -1.978 -0.8989 0.3596 -0.5393
0.425 -7.73 -6.022 -6.472 -4.989 -3.371 -7.64 -4.045 -3.955 -3.74 -1.798 -1.204 -4.299 -1.462 -1.169 3.955 1.708
0.43 -4.674 -1.753 -0.9888 -0.764 -0.809 -4.18 3.281 2.247 -1.29 0.8989 1.118 -1.978 0.08598 0.1798 5.843 4.225
