    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
0.21 2.787 6.112 11.28 4.809 7.101 8.764 10.07 10.47 2.794 3.056 6.706 2.321 -4.404 -2.966 -0.7191
0.215 2.157 5.079 12.81 5.843 8.36 9.528 13.21 13.03 3.525 3.416 7.394 5.159 -4.764 -3.416 0.6292
0.22 2.337 4.449 14.79 6.876 8.539 8.899 17.44 15.6 4.858 3.146 6.448 7.824 -5.213 -5.034 2.067
0.225 2.157 3.146 16.58 7.82 6.921 6.247 20.81 16.9 6.405 1.888 3.267 9.114 -5.843 -8.27 2.966
0.23 1.348 1.213 17.17 8.27 4.36 2.921 21.08 16.13 7.179 0.08989 -0.6019 8.598 -6.472 -11.6 3.236
0.235 0.6292 -0.1798 16.04 8.225 2.022 0.5393 17.84 13.8 6.835 -1.348 -3.783 7.222 -6.652 -12.76 3.326
0.24 0.809 -0.3596 13.48 7.73 0.4045 -0.4494 12.45 11.01 5.546 -1.978 -5.245 5.933 -5.843 -10.7 3.326
0.245 1.708 0 9.528 6.562 -0.809 -1.169 6.427 8.09 3.697 -1.618 -5.589 4.815 -4.404 -6.112 2.787
0.25 2.247 -0.809 4.225 4.225 -2.292 -2.787 0.7191 4.449 1.505 -0.8989 -5.589 3.697 -3.056 -0.809 1.888
0.255 0.9888 -3.64 -1.483 1.034 -4.09 -5.438 -4.045 0.4494 -0.3439 0.08989 -5.589 2.923 -1.618 3.596 1.708
0.26 -2.427 -7.64 -6.247 -2.067 -5.618 -8 -7.685 -3.146 -1.849 1.348 -4.987 2.837 0.08989 7.011 3.146
0.265 -6.472 -10.79 -9.213 -4.674 -5.888 -8.944 -10.7 -6.202 -3.568 2.787 -3.267 2.493 1.618 9.438 4.854
0.27 -8.809 -11.28 -10.79 -7.281 -4.584 -7.91 -13.84 -9.303 -6.405 3.955 -0.9458 0.8598 1.888 10.7 4.944
