    T[sec] F7  F3  F4  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 23.01 23.01 23.01 23.01 23.01 23.01 23.01 22.01 23.01 22.01 22.01 22.01 23.01 23.01 23.01
0 -4.315 0.4494 0.6742 1.978 3.865 2.112 2.337 0.9888 1.258 4.041 0 1.376 1.438 -0.4494 0.7191
0.005 -4.764 0.04494 -1.348 0.809 2.966 1.843 0.3596 -1.161 -2.607 3.525 -1.118 -0.3439 0.6292 -3.056 -1.798
0.01 -3.056 0.6292 -1.933 0.04494 2.157 2.382 -0.809 -2.751 -4.315 3.181 -1.806 -2.064 -0.3596 -4.404 -3.596
0.015 -1.079 1.438 -0.4944 -0.5843 1.079 3.281 -1.124 -2.708 -4 2.235 -3.009 -3.009 -1.169 -4.944 -3.775
0.02 -0.1798 1.034 0.8989 -1.753 -0.5843 3.596 -1.618 -1.677 -2.831 0.4299 -4.729 -2.837 -1.258 -5.124 -2.517
0.025 -1.169 -0.9438 0.6292 -3.326 -2.652 3.056 -1.348 -0.4729 -1.663 -1.032 -5.847 -1.634 -0.6292 -4.764 -0.4494
0.03 -4.225 -3.461 -1.213 -4.225 -3.82 2.112 0.3596 0.2149 -1.034 -1.29 -5.761 -0.08598 0.1798 -3.955 1.169
0.035 -7.82 -5.213 -3.551 -4.225 -3.64 0.5393 1.573 -0.172 -1.258 -0.6878 -5.331 0.2579 0.08989 -3.146 1.258
0.04 -8.989 -5.708 -4.944 -3.596 -2.876 -0.8539 0.3596 -1.247 -1.978 -0.4299 -5.073 -0.3439 -0.7191 -2.517 0.5393
0.045 -6.742 -4.764 -3.865 -2.562 -1.798 -1.169 -0.5843 -1.333 -1.843 0.08598 -4.127 -0.08598 -0.3596 -1.079 1.169
0.05 -3.056 -2.742 -0.5393 -1.393 -0.5843 0.5393 1.303 0.6448 -0.2697 1.462 -1.634 1.892 1.798 1.438 3.596
0.055 -0.6292 -0.8539 2.067 -0.8539 -0.04494 2.472 4.629 3.181 1.303 3.095 1.892 4.729 4.225 4.225 5.933
0.06 0 -0.3146 1.618 -1.753 -0.4944 2.562 5.978 4.557 0.9888 3.955 4.815 6.191 4.854 5.573 6.022
0.065 0 -0.4944 -0.5843 -3.011 -1.213 1.169 5.303 4.428 -0.9438 3.955 6.277 6.105 3.955 5.124 4.225
0.07 -0.1798 0.1798 -1.393 -2.876 -1.079 0.04494 4.674 3.869 -3.011 3.525 5.933 4.987 2.697 2.966 1.798
0.075 -0.08989 1.933 -0.1348 -1.034 0.2247 -0.5843 3.281 3.267 -3.775 2.579 3.955 3.095 1.708 -0.809 -0.5393
0.08 0.8989 3.146 0.7191 0.8989 1.393 -1.348 -0.04494 2.235 -2.921 1.204 1.032 0.7738 0.8989 -5.393 -2.517
0.085 2.157 2.427 -0.4045 1.618 1.573 -2.697 -3.64 1.161 -1.169 0 -1.462 -1.548 0.1798 -9.169 -3.775
0.09 2.157 0.2247 -2.876 0.8539 0.764 -4.36 -4.989 0 0.4045 -0.6878 -2.837 -3.611 -0.8989 -10.79 -4.584
0.095 0.5393 -2.202 -5.258 -1.034 -0.5843 -6.607 -5.348 -1.29 0.4045 -1.72 -3.955 -6.105 -3.326 -10.61 -5.663
0.1 -0.7191 -3.91 -6.292 -3.101 -2.562 -9.258 -6.607 -2.88 -0.9438 -3.955 -5.589 -8.684 -6.472 -9.528 -6.831
0.105 -0.4494 -4.27 -5.213 -4.225 -4.899 -10.74 -7.461 -3.654 -2.247 -6.62 -6.792 -9.716 -8 -7.73 -6.562
0.11 0.08989 -3.685 -2.427 -4.045 -7.056 -10.7 -5.888 -2.923 -1.933 -8.168 -6.792 -8.856 -7.101 -5.573 -4.854
0.115 -0.6292 -3.551 -0.4494 -3.64 -9.348 -9.843 -3.685 -1.548 -1.169 -8.684 -5.847 -7.652 -5.393 -3.865 -3.596
0.12 -2.697 -4.899 -1.169 -4.629 -11.42 -9.933 -3.461 -1.376 -1.618 -8.598 -5.073 -7.91 -5.124 -3.056 -4.315
0.125 -5.034 -6.652 -3.596 -6.337 -12.27 -10.7 -5.079 -2.794 -3.461 -7.738 -4.815 -9.544 -6.112 -2.607 -6.472
0.13 -6.831 -6.787 -5.213 -6.966 -11.19 -11.1 -6.697 -5.288 -5.438 -6.448 -5.159 -11.61 -7.371 -2.247 -8.719
0.135 -7.101 -5.079 -5.798 -5.798 -8.629 -11.42 -9.258 -8.426 -6.562 -5.675 -6.362 -13.15 -8.09 -2.427 -10.16
0.14 -4.944 -3.101 -6.517 -3.685 -6.157 -11.73 -13.08 -11.01 -6.022 -5.761 -7.91 -13.33 -7.281 -2.876 -10.07
0.145 -0.809 -1.978 -6.876 -1.213 -4.09 -10.38 -14.79 -10.92 -3.865 -5.503 -8.082 -10.92 -4.404 -2.607 -7.73
0.15 2.697 -1.169 -4.809 1.303 -1.393 -5.303 -10.43 -6.62 -0.4494 -3.353 -5.847 -5.847 0.08989 -0.6292 -3.596
0.155 4.135 0 0.1798 3.685 2.157 2.921 -1.483 0.2579 2.607 0.08598 -2.407 0.172 4.315 2.067 0.3596
0.16 4.135 1.528 6.202 5.079 5.753 11.42 6.921 6.749 4.27 3.181 0.3439 5.331 6.831 4.045 3.056
0.165 3.865 2.517 10.97 5.258 7.551 16.94 12.09 10.53 4.449 4.901 1.548 8.77 8.18 4.674 4.674
0.17 3.326 2.427 13.17 4.404 6.876 17.57 13.26 11.01 3.865 4.815 1.032 10.4 8.719 3.865 5.933
0.175 1.978 0.8989 12.13 2.921 3.685 13.17 9.843 8.684 2.427 2.493 -0.9458 9.716 8.27 1.438 6.022
0.18 0.3596 -1.124 8.854 0.809 -0.4494 6.157 3.371 5.159 0.04494 -1.548 -3.869 7.05 6.472 -2.427 4.674
0.185 -1.348 -1.798 6.247 -0.6292 -3.596 0.764 -1.393 2.966 -2.382 -5.503 -6.277 3.869 4.494 -6.921 2.517
0.19 -3.685 0.3146 6.427 -0.809 -4.629 -0.6292 -0.9888 2.708 -3.82 -8.254 -7.308 1.032 3.056 -11.06 -0.1798
0.195 -5.843 4.135 7.685 -0.4045 -4.989 -0.1348 1.708 2.665 -4.36 -9.974 -7.738 -1.806 1.438 -14.38 -3.596
0.2 -5.753 6.652 6.831 -0.9888 -6.382 -1.213 1.708 1.032 -4.944 -10.92 -8.168 -5.417 -1.079 -16.09 -7.461
