    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01
0 3.605 4.441 6.903 3.957 3.825 6.595 6.331 1.495 2.55 5.54 4.573 2.022 0.4397 0.4397 1.935 -1.231
0.005 3.254 2.858 9.277 5.32 4.748 8.09 7.562 0.7914 2.902 7.826 5.012 1.319 0.8793 1.495 1.847 -0.08793
0.01 0.8793 -0.4397 9.453 5.452 3.341 6.463 7.211 0.08793 2.154 7.65 2.902 -0.7035 1.583 2.99 0.9673 1.759
0.015 -2.99 -4.089 6.067 3.517 -0.04397 1.803 3.913 -0.9673 -0.08793 4.66 -2.022 -3.693 1.319 3.781 -1.055 2.902
0.02 -5.452 -5.672 0.9673 0.3517 -3.298 -3.166 -0.9233 -1.979 -2.242 0.2638 -7.298 -6.155 0.1759 3.254 -4.045 2.55
0.025 -4.66 -4.704 -1.935 -1.935 -4.88 -6.375 -5.012 -2.55 -2.682 -3.429 -10.82 -8.354 -1.583 1.407 -7.474 0
0.03 -2.286 -2.726 -2.198 -2.418 -5.276 -8.31 -8.266 -3.561 -2.11 -5.276 -12.57 -11.08 -4.221 -0.9673 -9.585 -4.573
0.035 -0.7035 -1.539 -2.066 -2.11 -5.32 -10.16 -11.43 -5.408 -2.11 -5.1 -13.01 -13.19 -6.771 -2.814 -9.233 -7.914
0.04 -0.3517 -1.759 -2.462 -2.242 -5.276 -11.74 -13.37 -6.595 -2.066 -3.517 -11.87 -12.84 -7.035 -2.814 -6.859 -6.859
0.045 -0.7914 -3.561 -2.154 -2.946 -5.276 -12.53 -12.44 -5.716 -0.9233 -1.935 -9.409 -10.29 -4.573 -0.7914 -4.485 -2.462
0.05 -1.759 -6.243 -1.451 -3.957 -5.144 -12.27 -9.629 -3.517 0.3957 -1.231 -6.771 -7.035 -1.231 1.583 -3.341 1.143
0.055 -2.55 -7.958 -1.979 -5.232 -3.649 -9.98 -6.683 -1.671 1.011 -0.7914 -4.133 -3.254 1.055 3.254 -2.99 2.286
0.06 -1.671 -7.298 -3.298 -5.892 0 -5.056 -3.825 -0.4836 1.539 -0.08793 -0.7914 0.8793 2.11 3.254 -3.078 1.231
0.065 0.2638 -5.584 -3.605 -4.704 3.781 0.1759 -1.187 -0.3078 2.198 0.1759 1.935 2.814 1.407 1.143 -3.693 -2.022
0.07 0.6155 -5.1 -3.034 -2.11 4.88 2.506 -0.3517 -2.022 1.671 -0.7914 1.847 0.7035 -2.022 -2.99 -4.573 -7.386
0.075 -1.055 -6.111 -2.858 -0.08793 2.858 1.495 -2.198 -5.32 -0.4836 -2.814 -0.4397 -3.341 -7.123 -7.474 -5.1 -11.87
0.08 -2.55 -7.167 -2.55 0.3517 -0.1759 -0.3957 -4.441 -7.914 -2.462 -4.573 -2.462 -5.979 -10.46 -9.585 -5.1 -12.31
0.085 -2.374 -7.606 -1.143 -0.08793 -2.682 -1.759 -5.144 -8.31 -2.902 -5.452 -2.638 -6.771 -10.46 -8.617 -4.748 -9.409
0.09 -1.495 -7.518 -0.08793 -0.9673 -4.133 -2.506 -4.88 -7.474 -2.99 -5.452 -2.022 -6.859 -8.705 -6.067 -3.429 -7.035
0.095 -0.6155 -6.595 -1.187 -2.154 -3.781 -2.242 -4.836 -6.771 -3.517 -4.309 -0.9673 -6.067 -7.035 -4.133 -1.231 -6.771
0.1 0.6155 -4.617 -3.034 -2.814 -1.979 -0.6595 -4.353 -5.892 -3.298 -2.99 0.08793 -4.748 -5.716 -3.957 0 -7.914
0.105 1.671 -2.858 -3.078 -2.022 -0.7474 0.4836 -2.946 -4.133 -1.495 -3.078 -0.2638 -4.485 -4.836 -4.836 -1.407 -9.321
0.11 1.319 -2.418 -1.319 -0.1319 -1.671 0 -1.759 -2.022 0.6595 -4.836 -2.726 -5.716 -4.309 -4.924 -4.309 -10.02
0.115 0.3517 -2.374 0.3957 1.143 -3.341 -0.9233 -1.275 0.08793 2.33 -6.243 -5.1 -5.54 -3.166 -2.726 -5.892 -7.65
0.12 0.8793 -1.011 1.715 1.319 -3.517 -0.4836 -0.4397 2.638 3.869 -5.716 -4.924 -2.286 -0.1759 1.583 -5.188 -1.583
0.125 2.286 0.7914 2.99 1.099 -2.374 0.4397 1.187 5.012 4.924 -3.957 -2.726 1.407 3.254 5.452 -3.341 4.221
0.13 2.374 1.187 3.781 1.011 -1.055 0.6155 2.55 5.76 4.309 -2.022 -0.5276 3.166 4.485 6.155 -1.319 5.276
