    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 23.01 23.01 23.01 23.01 23.01 23.01 23.01 23.01 22.01 23.01 22.01 22.01 22.01 23.01 23.01 23.01
0 4.225 7.775 7.82 6.292 4.899 8.36 12.63 8.989 4.557 2.607 5.847 7.824 8.254 1.258 1.888 5.034
0.005 6.562 10.7 9.079 6.697 7.461 12.27 16.22 11.28 6.921 4.315 8.684 9.372 10.06 1.258 1.348 4.315
0.01 8.899 12.49 7.326 4.27 9.663 15.01 15.24 9.708 6.663 6.652 11.01 9.716 9.372 1.438 2.067 2.427
0.015 10.7 12.27 1.753 -0.8539 10.74 15.19 7.775 3.146 2.45 8.989 11.69 8.512 4.471 0.809 3.955 -1.348
0.02 11.15 10.74 -4.404 -5.079 10.43 13.17 -2.022 -4.36 -2.966 10.25 10.92 7.05 -1.806 -0.7191 5.573 -5.933
0.025 10.34 9.348 -6.652 -4.27 8.854 10.38 -7.371 -6.921 -5.116 9.528 9.286 6.62 -5.073 -2.427 5.213 -9.618
0.03 7.82 7.775 -4.225 1.124 5.843 7.101 -6.382 -3.371 -2.235 6.112 6.62 5.761 -4.385 -3.416 1.258 -13.3
0.035 4.135 4.809 -0.3146 6.562 1.438 2.652 -2.742 1.978 2.751 0.8989 2.579 2.064 -2.665 -3.506 -5.573 -18.25
0.04 0.809 1.528 2.202 7.865 -2.652 -1.573 0.6292 5.034 5.288 -3.955 -1.72 -3.009 -1.806 -3.326 -11.87 -22.56
0.045 -0.1798 0.3146 2.652 4.449 -4.404 -3.056 3.011 4.09 2.579 -5.933 -3.955 -6.019 -2.665 -4.135 -13.84 -23.91
0.05 0.8989 1.348 0.9888 -1.393 -3.236 -1.303 3.685 -0.1348 -3.912 -4.404 -3.353 -5.761 -5.761 -6.921 -11.15 -22.2
0.055 2.427 2.652 -1.348 -5.978 -0.8539 1.348 2.697 -4.719 -9.071 -1.258 -1.462 -3.869 -10.06 -10.61 -6.382 -18.34
