    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 92.04 92.04 92.04 92.04 92.04 92.04 92.04 92.04 91.04 92.04 91.04 91.04 91.04 92.04 92.04 92.04
0 -9.978 -15.51 -10.7 -10.11 -0.4944 -6.787 -20.18 -18.56 -9.425 -3.326 -17.16 -28.72 -25.78 -7.82 -9.888 -12.85
0.005 -23.37 -29.12 -15.42 -15.64 -20.45 -35.37 -34.07 -32.31 -18.14 -22.2 -49.35 -52.01 -48.19 -20.58 -21.57 -24.99
0.01 -32.81 -36.63 -15.78 -15.91 -39.06 -60.99 -39.37 -38.07 -23.25 -38.74 -76.29 -66.86 -62.33 -29.03 -30.74 -33.89
0.015 -34.16 -32.4 -10.16 -9.213 -50.02 -73.71 -30.88 -30.65 -21.83 -48.27 -86.6 -63.84 -59.21 -28.31 -33.08 -34.97
0.02 -29.57 -21.66 -3.371 -0.8539 -49.57 -69.84 -15.87 -16.4 -16.85 -47.55 -78.6 -46.94 -43.74 -21.39 -29.48 -29.21
0.025 -24.54 -15.51 -2.157 1.124 -41.48 -56.9 -8.315 -8.719 -14.89 -40.18 -63.13 -30.14 -30.94 -16.45 -24.72 -22.56
0.03 -21.12 -15.28 -6.112 -3.865 -34.02 -46.25 -11.01 -11.06 -16.63 -33.8 -50.32 -19.65 -25.43 -16.18 -19.51 -17.08
0.035 -16.45 -13.21 -8.764 -9.124 -30.47 -41.26 -14.97 -15.37 -16.63 -30.65 -39.65 -9.247 -19.29 -16 -10.7 -9.708
0.04 -9.079 -6.022 -6.472 -9.079 -26.97 -36.81 -13.71 -15.01 -12.27 -25.35 -26.32 4.534 -8.18 -11.78 1.888 1.258
0.045 -0.4494 2.652 -0.4944 -3.236 -19.91 -28.4 -7.416 -8.674 -4.757 -15.1 -10.76 18.05 5.424 -3.506 14.2 14.2
0.05 7.82 11.28 8.449 7.011 -10.56 -15.73 3.91 4.809 5.068 -3.775 4.712 29.79 20.98 8.18 22.92 26.34
0.055 14.47 19.73 19.15 18.83 -1.124 -0.1798 18.97 23.96 16.58 5.483 19.38 40.63 38.59 21.39 27.24 36.13
0.06 17.8 23.82 25.98 25.35 7.91 15.96 29.44 38.83 25.34 13.39 31.39 46.59 51.3 30.38 26.79 40.54
0.065 17.35 19.64 23.24 21.3 15.28 28.58 27.01 38.88 26.23 19.78 37.7 43.3 52.01 30.56 22.11 37.57
0.07 14.83 11.1 12.18 9.124 18.7 34.43 14.38 25.53 20.14 21.66 37.79 34.41 44.1 24.36 16.45 29.75
0.075 11.78 4.809 -0.9438 -3.73 18.34 34.61 0.6292 8.404 12.27 18.25 34.32 26.14 35.3 17.53 11.87 20.94
0.08 8.809 1.438 -11.42 -12.36 16.9 32.67 -9.348 -5.213 5.246 12.85 27.47 18.14 25.7 11.24 6.202 11.42
0.085 6.831 -0.9888 -16.4 -15.55 15.96 30.65 -14.2 -13.03 -0.3112 7.73 16.54 6.757 11.74 3.506 -2.697 -0.2697
0.09 7.281 -0.8989 -13.84 -13.26 16 29.8 -11.87 -13.66 -3.868 3.056 5.157 -5.512 -4.446 -5.303 -11.87 -12.76
0.095 9.438 2.742 -5.708 -7.685 18.34 31.91 -2.742 -9.348 -5.957 1.169 1.156 -13.07 -18.32 -13.84 -15.91 -22.38
0.1 10.61 5.573 0.764 -3.461 23.37 37.12 6.876 -6.787 -10.05 5.753 7.557 -14.67 -29.34 -21.93 -12.94 -27.33
0.105 8.27 2.876 0.3146 -3.64 27.37 40.45 11.19 -9.843 -17.29 14.29 19.2 -12.36 -37.88 -28.94 -5.124 -27.78
0.11 0.5393 -4.674 -5.438 -6.472 24.4 34.79 9.978 -15.28 -23.92 18.34 27.56 -8.358 -41.7 -32.09 3.146 -25.17
0.115 -12.22 -13.44 -11.01 -8.944 12.54 17.39 4.719 -19.01 -25.83 13.12 26.85 -5.512 -40.45 -30.38 7.73 -22.11
0.12 -26.43 -21.21 -13.84 -10.83 -3.955 -7.371 -4.899 -21.71 -23.16 2.427 16.09 -7.202 -38.5 -26.25 6.292 -20.67
0.125 -35.06 -26.16 -14.61 -12.99 -18.43 -30.56 -17.48 -24.94 -18.4 -7.101 0.4446 -12.8 -37.08 -21.3 0.9888 -19.78
0.13 -34.88 -26.25 -13.98 -14.61 -26.02 -44.09 -27.24 -26.74 -12.71 -12.4 -11.74 -16.18 -31.47 -13.39 -3.056 -15.19
0.135 -28.31 -21.48 -12.09 -13.84 -25.21 -44.04 -27.96 -23.24 -5.913 -12.04 -14.76 -12.36 -17.43 -1.348 -2.427 -4.764
