    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1 238.1
0.625 3.953 16.98 3.953 1.977 0 -2.093 0.9301 43.95 27.9 5.93 -2.093 25.93 33.95 13.95 -5.116 -1.046
0.63 30 40.93 16.98 15.93 15 5.93 -2.093 35 27.9 0 -14.07 5.93 3.953 1.977 -42.09 -35.11
0.635 38.95 56.97 27.9 27.9 25 11.98 0 21.97 20.93 -3.023 -32.09 -16.04 -23.02 -17.09 -79.06 -67.09
0.64 35.93 62.9 35.93 30 25.93 7.906 1.977 1.977 9.999 -13.02 -45.11 -43.02 -55.11 -33.02 -105.1 -89.06
0.645 30 56.97 38.95 32.9 20.93 0 0 -21.04 1.977 -20.11 -47.09 -64.06 -87.08 -48.02 -112.1 -111
0.65 20 48.95 32.9 26.97 6.976 -11.05 0.9301 -49.06 -23.02 -32.09 -43.02 -78.02 -113 -67.09 -105.1 -122.1
0.655 9.999 35 21.97 15.93 -5.116 -23.02 -9.069 -75.11 -51.04 -47.09 -37.09 -85.11 -137.1 -77.09 -85.11 -129.1
0.66 6.976 18.95 5 2.907 -19.07 -29.07 -17.09 -86.04 -70.11 -54.06 -28.02 -77.09 -138 -79.06 -61.04 -117.1
0.665 2.907 6.976 -4.069 -2.093 -21.04 -29.07 -25.11 -82.09 -78.02 -52.09 -18.02 -61.04 -125.1 -72.09 -38.02 -93.01
0.67 -3.023 0.9301 -15.11 -13.02 -15.11 -19.07 -27.09 -63.02 -69.06 -37.09 -9.069 -41.04 -91.04 -55.11 -17.09 -55.11
0.675 -14.07 -3.023 -14.07 -15.11 -1.046 -5.116 -19.07 -38.02 -44.07 -15.11 -1.046 -12.09 -43.02 -28.02 5 -18.02
0.68 -18.02 -3.023 -7.092 -7.092 9.999 1.977 -3.023 -8.022 -12.09 1.977 12.91 5 -6.046 -6.046 26.97 6.976
0.685 -13.02 -1.046 0.9301 -2.093 20 13.95 7.906 7.906 9.999 9.999 23.95 23.95 20 1.977 47.9 25.93
0.69 -2.093 0.9301 -2.093 3.953 21.97 15.93 13.95 22.9 27.9 7.906 30 36.97 36.97 10.93 66.97 35
0.695 9.999 -1.046 -3.023 0.9301 15.93 5.93 7.906 30 31.97 0 27.9 42.9 45 10.93 74.99 45
0.7 9.999 -1.046 -13.02 -11.05 5.93 -7.092 0.9301 33.95 27.9 -3.023 21.97 45.93 47.9 9.999 75.92 50
0.705 -1.046 -1.046 -21.04 -25.11 0 -25.11 -9.069 40 23.95 -1.046 17.91 51.97 56.97 11.98 75.92 57.9
0.71 -25.11 0.9301 -23.02 -31.04 1.977 -37.09 -7.092 47.9 25.93 0 17.91 59.99 67.9 17.91 71.97 65.92
0.715 -35.11 -5.116 -19.07 -25.11 5.93 -37.09 0.9301 57.9 33.95 5.93 21.97 63.95 79.99 27.9 65.92 73.95
0.72 -27.09 -11.05 -13.02 -13.02 9.999 -27.09 5.93 59.99 41.97 9.999 25.93 61.97 89.99 33.95 51.97 77.9
0.725 -3.023 -13.02 -9.069 -3.023 9.999 -13.02 3.953 51.97 45.93 9.999 20 45.93 89.99 40 25.93 73.95
0.73 17.91 -5.116 -5.116 -2.093 5.93 -2.093 -5.116 33.95 43.95 9.999 0 20 75.92 40 -5.116 53.95
0.735 31.97 6.976 -1.046 -2.093 1.977 11.98 -23.02 7.906 33.95 13.95 -19.07 -7.092 45.93 33.95 -45.11 21.97
0.74 33.95 28.95 1.977 1.977 3.953 17.91 -31.04 -11.05 21.97 20 -41.04 -35.11 5.93 21.97 -75.11 -15.11
0.745 33.95 45 13.95 9.999 7.906 15.93 -23.02 -27.09 5.93 17.91 -49.06 -53.02 -33.02 1.977 -87.08 -57.09
0.75 40 54.99 27.9 23.95 9.999 5.93 -3.023 -33.02 -3.023 9.999 -41.04 -55.11 -71.04 -21.04 -79.06 -89.06
0.755 51.97 52.9 35.93 33.95 9.999 -3.023 11.98 -31.04 -21.04 -3.023 -25.11 -47.09 -99.06 -51.04 -57.09 -105.1
0.76 59.99 46.97 37.9 37.9 3.953 -15.11 21.97 -27.09 -35.11 -19.07 -7.092 -37.09 -109.1 -79.06 -31.04 -101
0.765 55.92 38.95 30 33.95 1.977 -17.09 17.91 -23.02 -47.09 -29.07 0 -25.11 -103 -93.01 -7.092 -85.11
0.77 41.97 30.93 21.97 23.95 1.977 -9.069 9.999 -19.07 -49.06 -27.09 3.953 -15.11 -83.02 -93.01 8.953 -58.02
0.775 23.95 25 17.91 17.91 9.999 1.977 3.953 -12.09 -39.07 -15.11 7.906 -5.116 -54.06 -76.04 26.97 -28.02
0.78 15.93 20.93 17.91 15.93 17.91 11.98 5.93 -3.023 -21.04 -3.023 13.95 1.977 -27.09 -51.04 43.95 -1.046
0.785 21.97 18.95 17.91 16.98 25 11.98 13.95 5 -1.046 0.9301 18.95 15 0 -22.09 58.95 15
0.79 35 20.93 16.98 15 26.97 5.93 21.97 16.98 9.999 5 20.93 25 12.91 1.977 62.9 22.9
0.795 43.95 20.93 9.999 7.906 25.93 1.977 27.9 20 20 3.953 17.91 27.9 20 13.95 53.95 20
0.8 45 18.95 0.9301 0.9301 26.97 5.93 25.93 22.9 25.93 10.93 12.91 26.97 30.93 28.95 35.93 20
