    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2 373.2
0.625 123.9 126.8 93.84 87.83 117.9 95.85 93.84 101.9 107.9 99.86 97.85 107.9 115.9 91.84 117.9 51.93
0.63 139.9 142.9 103.9 101.9 132.8 96.94 94.94 105 117 103 93.84 105 117.9 92.93 87.83 5.831
0.635 148 150.9 105 107 135.9 83.82 83.82 95.85 109.9 91.84 82.91 89.83 103.9 82 48.83 -25.15
0.64 137.9 146.9 97.85 99.86 121.9 59.95 61.95 73.98 91.84 67.97 55.94 63.96 75.98 61.95 3.827 -57.03
0.645 123.9 138.9 85.82 85.82 96.94 32.98 36.99 46.83 62.87 36.99 26.97 36.99 41 34.99 -35.17 -76.17
0.65 96.94 119 65.96 65.96 61.95 5.831 7.835 16.95 26.97 5.831 -1.093 5.831 1.822 7.835 -68.15 -85.1
0.655 73.98 100.9 45.92 43.91 27.88 -7.106 -9.111 -3.098 -3.098 -11.12 -19.13 -13.12 -27.15 -11.12 -89.1 -79.08
0.66 57.95 84.91 30.98 28.97 11.84 -9.111 -15.12 -16.04 -22.05 -19.13 -27.15 -23.14 -43 -19.13 -95.12 -56.12
0.665 53.94 76.9 24.96 24.96 4.92 -4.009 -14.03 -16.04 -30.07 -16.04 -21.14 -24.05 -40.09 -16.04 -90.02 -22.05
0.67 49.93 74.89 27.88 29.88 11.84 0 -3.098 -9.111 -21.14 -7.106 -9.111 -11.12 -23.14 -7.106 -79.08 15.85
0.675 54.85 76.9 38.99 38.99 26.97 12.94 6.924 -2.004 -4.009 4.92 2.915 -1.093 1.822 6.924 -61.04 57.95
0.68 54.85 76.9 42.82 46.83 34.99 18.95 18.95 9.84 7.835 16.95 14.94 8.929 16.95 18.95 -41.18 87.83
0.685 55.94 74.89 39.91 43.91 33.89 25.87 19.86 13.85 17.86 27.88 17.86 11.84 25.87 27.88 -21.14 105.9
0.69 58.86 64.87 29.88 31.89 24.96 32.98 16.95 11.84 17.86 36.99 14.94 8.929 26.97 36.99 2.915 119
0.695 60.86 52.84 9.84 11.84 11.84 35.9 5.831 5.831 13.85 39.91 6.924 1.822 22.96 41 36.99 124.8
0.7 61.95 38.99 -5.102 -3.098 1.822 37.9 0 -2.004 7.835 39.91 0 -2.004 17.86 41.91 69.97 123.9
0.705 65.96 30.98 -15.12 -13.12 -2.004 37.9 0.9111 -1.093 7.835 35.9 0 -2.004 17.86 39.91 94.94 119
0.71 69.97 32.98 -11.12 -11.12 5.831 31.89 1.822 -2.004 11.84 31.89 5.831 3.827 21.87 35.9 107 103
0.715 75.98 41 1.822 1.822 21.87 27.88 13.85 7.835 19.86 27.88 17.86 15.85 29.88 31.89 105.9 71.98
0.72 85.82 58.86 27.88 27.88 43.91 29.88 29.88 23.87 31.89 27.88 31.89 29.88 39.91 31.89 93.84 35.9
0.725 99.86 78.9 53.94 53.94 67.97 37.9 41.91 41.91 43.91 35.9 41.91 41.91 49.93 35.9 73.98 0
0.73 111.9 96.94 69.97 71.98 87.83 47.92 45.92 51.93 57.95 43.91 43.91 45.92 59.95 41.91 39.91 -25.15
0.735 119.9 103 71.98 77.99 97.85 51.93 37.9 47.92 63.96 49.93 31.89 37.9 61.95 45.92 -3.098 -51.02
0.74 115.9 96.94 55.94 67.97 89.83 45.92 15.85 29.88 57.95 45.92 7.835 15.85 49.93 39.91 -63.05 -77.08
0.745 99.86 78.9 33.89 47.92 67.97 27.88 -7.106 1.822 37.9 29.88 -17.13 -11.12 21.87 23.87 -123.2 -105.1
0.75 73.98 54.85 9.84 25.87 35.9 1.822 -33.16 -23.14 7.835 7.835 -41.18 -41.18 -7.106 0 -165.1 -133
0.755 43.91 30.98 0.9111 7.835 3.827 -19.13 -45.01 -41.18 -21.14 -13.12 -55.03 -61.04 -39.18 -21.14 -179.1 -153.1
0.76 19.86 10.93 -5.102 -2.004 -15.12 -35.17 -45.01 -47.01 -45.01 -33.16 -51.02 -65.05 -61.04 -39.18 -163.1 -159.1
0.765 1.822 -1.093 -3.098 -1.093 -29.15 -43 -35.17 -41.18 -57.03 -45.01 -41.18 -55.03 -69.06 -49.02 -129 -143
0.77 -5.102 -11.12 0.9111 -3.098 -39.18 -45.01 -23.14 -33.16 -57.03 -49.02 -27.15 -41.18 -67.06 -51.02 -93.11 -113.2
0.775 -11.12 -17.13 0 -1.093 -45.01 -43 -13.12 -24.05 -54.12 -47.01 -17.13 -29.15 -65.05 -49.02 -61.04 -75.07
0.78 -9.111 -17.13 1.822 -1.093 -49.02 -39.18 -5.102 -21.14 -53.03 -41.18 -9.111 -19.13 -61.04 -43 -33.16 -37.17
0.785 0 -7.106 3.827 -1.093 -42.09 -27.15 -1.093 -12.03 -46.1 -28.06 -1.093 -5.102 -50.11 -28.06 0.9111 -1.093
0.79 8.929 0.9111 3.827 -1.093 -28.06 -8.018 8.929 0 -34.07 -8.018 14.94 7.835 -32.07 -10.02 38.99 26.97
0.795 23.87 2.915 1.822 0 -9.111 5.831 19.86 13.85 -11.12 5.831 33.89 27.88 -5.102 5.831 85.82 57.95
0.8 34.99 6.924 2.915 0.9111 8.929 24.96 30.98 36.99 14.94 24.96 50.84 48.83 22.96 24.96 128.8 84.91
0.805 38.99 4.92 8.929 4.92 22.96 34.99 38.99 51.93 38.99 36.99 62.87 60.86 48.83 36.99 156.9 107
0.81 37.9 4.92 15.85 11.84 23.87 35.9 45.92 57.95 53.94 39.91 67.97 65.96 61.95 37.9 162 115.9
0.815 36.99 16.95 32.98 22.96 31.89 36.99 53.94 57.95 59.95 41.91 71.98 68.88 67.97 37.9 150.9 107
0.82 41.91 42.82 50.84 43.91 39.91 34.99 55.94 56.85 59.95 39.91 69.97 68.88 63.96 37.9 128.8 82.91
0.825 49.93 66.87 63.96 57.95 51.93 37.9 51.93 53.94 57.95 43.91 61.95 65.96 63.96 39.91 101.9 49.93
0.83 62.87 88.92 73.98 68.88 68.88 43.91 46.83 53.94 57.95 46.83 52.84 61.95 60.86 42.82 69.97 15.85
0.835 74.89 96.94 71.98 72.89 82 48.83 39.91 48.83 56.85 49.93 43.91 47.92 57.95 44.83 41 -8.018
0.84 75.98 96.94 67.97 71.98 82 51.93 29.88 37.9 53.94 49.93 29.88 31.89 49.93 39.91 7.835 -27.15
0.845 72.89 86.92 64.87 68.88 76.9 49.93 23.87 27.88 51.93 47.92 16.95 16.95 41 38.99 -15.12 -33.16
0.85 59.95 72.89 56.85 63.96 64.87 45.92 15.85 14.94 45.92 45.92 6.924 1.822 27.88 34.99 -41.18 -39.18
0.855 44.83 58.86 46.83 52.84 47.92 36.99 4.92 5.831 37.9 39.91 -1.093 -2.004 17.86 27.88 -69.06 -43
0.86 23.87 42.82 34.99 37.9 28.97 17.86 -1.093 0 23.87 21.87 -10.02 -7.106 1.822 10.93 -91.11 -53.03
0.865 2.915 24.96 19.86 22.96 6.924 0.9111 -15.12 -11.12 5.831 -2.004 -22.05 -14.03 -10.02 -6.013 -111.2 -69.06
0.87 -11.12 10.93 9.84 11.84 -11.12 -23.14 -25.15 -21.14 -13.12 -21.14 -29.15 -23.14 -29.15 -29.15 -131 -87.1
0.875 -20.04 2.915 5.831 8.929 -21.14 -40.09 -23.14 -28.06 -34.07 -39.18 -29.15 -31.16 -47.01 -48.11 -142.1 -100
0.88 -22.05 4.92 11.84 12.94 -26.06 -47.01 -20.04 -31.16 -45.01 -50.11 -28.06 -31.16 -60.13 -54.12 -147 -111.2
0.885 -13.12 12.94 15.85 15.85 -21.14 -41.18 -13.12 -31.16 -51.02 -49.02 -21.14 -31.16 -65.05 -51.02 -135 -113.2
0.89 3.827 22.96 20.96 17.86 -7.106 -24.05 -1.093 -18.04 -41.18 -37.17 -5.102 -18.04 -55.03 -35.17 -100 -104
0.895 20.96 26.97 16.95 14.94 1.822 -6.013 5.831 -1.093 -25.15 -17.13 7.835 1.822 -31.16 -15.12 -46.1 -80.18
0.9 35.9 22.96 9.84 9.84 13.85 11.84 19.86 15.85 -5.102 -2.004 27.88 21.87 -1.093 0 15.85 -39.18
0.905 41 12.94 0.9111 6.924 22.96 28.97 38.99 39.91 14.94 18.95 48.83 48.83 26.97 24.96 84.91 8.929
0.91 34.99 0.9111 -2.004 4.92 22.96 41 48.83 50.84 36.99 36.99 60.86 70.88 56.85 38.99 138.9 64.87
0.915 19.86 -7.106 -5.102 0 19.86 39.91 49.93 53.94 51.93 41.91 59.95 75.98 71.98 43.91 164 107.9
0.92 8.929 -9.111 -5.102 1.822 14.94 32.98 36.99 46.83 58.86 41 48.83 65.96 72.89 41 162.9 128.8
0.925 4.92 -5.102 -7.106 -4.009 10.93 21.87 12.94 26.97 48.83 30.98 26.97 41.91 58.86 30.98 141.9 129.9
0.93 11.84 0.9111 -11.12 -9.111 9.84 11.84 -7.106 5.831 31.89 19.86 1.822 13.85 39.91 19.86 107.9 113.9
0.935 21.87 4.92 -19.13 -15.12 11.84 5.831 -27.15 -8.018 14.94 11.84 -13.12 -9.111 21.87 11.84 73.98 91.84
0.94 25.87 6.924 -27.15 -21.14 11.84 3.827 -39.18 -23.14 0 7.835 -27.15 -27.15 7.835 5.831 39.91 63.96
0.945 19.86 2.915 -31.16 -25.15 5.831 1.822 -43 -31.16 -5.102 5.831 -37.17 -39.18 -2.004 1.822 9.84 33.89
0.95 9.84 0.9111 -25.15 -23.14 -2.004 1.822 -41.18 -35.17 -9.111 3.827 -39.18 -43 -5.102 0.9111 -15.12 -2.004
0.955 3.827 2.915 -15.12 -17.13 -5.102 1.822 -35.17 -35.17 -11.12 3.827 -39.18 -41.18 -11.12 -1.093 -41.18 -37.17
0.96 5.831 8.929 -3.098 -7.106 -3.098 5.831 -29.15 -31.16 -9.111 5.831 -35.17 -37.17 -15.12 -1.093 -65.05 -73.07
0.965 17.86 16.95 -2.004 -1.093 -2.004 9.84 -25.15 -27.15 -7.106 9.84 -31.16 -33.16 -17.13 -2.004 -93.11 -101.1
0.97 29.88 22.96 0.9111 -1.093 5.831 9.84 -25.15 -25.15 -5.102 11.84 -27.15 -31.16 -17.13 3.827 -121.2 -115.2
0.975 31.89 18.95 -3.098 -3.098 9.84 7.835 -23.14 -23.14 -3.098 9.84 -25.15 -29.15 -17.13 5.831 -147 -115.2
0.98 21.87 10.93 -5.102 -5.102 9.84 0 -19.13 -23.14 -7.106 1.822 -21.14 -27.15 -19.13 1.822 -161.1 -103.1
