    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1 212.1
0.625 23.92 26.93 29.93 5.903 3.936 27.96 -1.036 -43.08 -11.08 31.9 -7.043 -107.1 -57.06 -11.08 -107.1 -17.09
0.63 44.95 36.97 24.96 5.903 24.96 41.94 -5.075 -41.01 -1.036 46.92 -8.078 -113.1 -46.09 0.9321 -105 -18.02
0.635 55.93 38.94 13.98 7.975 42.98 40.91 -1.036 -31.07 17.92 45.98 -11.08 -106.1 -38.01 5.903 -102 -32
0.64 55.93 38.94 5.903 5.903 53.96 31.9 0.9321 -21.02 23.92 35.94 -9.01 -91.03 -31.07 15.95 -95.07 -51.06
0.645 47.95 32.93 5.903 7.975 52.92 17.92 0 -7.043 24.96 26.93 -1.036 -67.01 -27.03 22.99 -78.09 -62.04
0.65 32.93 20.92 10.98 12.95 47.95 5.903 -5.075 2.9 20.92 20.92 0 -31.07 -23.1 19.99 -44.02 -55.1
0.655 21.96 18.95 19.99 19.99 33.97 -1.036 -13.05 19.99 11.91 19.99 -3.003 1.968 -19.06 7.975 -1.036 -29.1
0.66 14.91 20.92 30.97 30.97 29 -6.007 -20.09 33.97 9.942 20.92 -4.039 42.98 -11.08 -1.036 37.91 0
0.665 10.98 22.99 36.97 43.91 26 -8.078 -24.03 44.95 8.907 18.95 -2.071 76.95 -2.071 -12.01 67.94 26
0.67 7.975 22.99 33.97 47.95 31.9 -7.043 -27.03 45.98 11.91 15.95 7.975 93.93 11.91 -13.05 77.99 35.94
0.675 8.907 18.95 30.97 51.99 37.91 -2.071 -22.06 43.91 15.95 14.91 32.93 101 29.93 0 71.98 26
0.68 9.942 12.95 26 44.95 36.97 0 -14.09 41.94 21.96 9.942 58 94.97 47.95 12.95 61.93 3.936
0.685 13.98 4.971 23.92 33.97 29.93 -3.003 -9.01 33.97 26 11.91 73.95 85.96 58 23.92 53.96 -9.01
0.69 15.95 2.9 21.96 29 20.92 -7.043 -3.003 29 29 17.92 69.91 71.98 58 24.96 51.99 -19.06
0.695 17.92 4.971 15.95 22.99 10.98 -15.02 -13.05 24.96 24.96 21.96 45.98 53.96 47.95 14.91 45.98 -17.09
0.7 13.98 4.971 3.936 15.95 3.936 -19.06 -35.01 9.942 17.92 21.96 11.91 31.9 27.96 5.903 33.97 -9.01
0.705 9.942 4.971 -3.003 13.98 0.9321 -21.02 -56.03 0 8.907 11.91 -15.02 5.903 3.936 0 15.95 -1.036
0.71 7.975 6.939 -9.01 11.91 0 -17.09 -62.04 -14.09 0.9321 0 -33.04 -9.01 -11.08 3.936 0 -1.036
0.715 11.91 8.907 -5.075 9.942 0 -19.06 -49.09 -23.1 -1.036 -3.003 -37.08 -23.1 -21.02 9.942 -7.043 -7.043
0.72 13.98 10.98 0 10.98 0 -25.06 -24.03 -19.06 -3.003 -3.003 -25.06 -29.1 -25.06 11.91 -19.06 -15.02
0.725 13.98 10.98 9.942 6.939 -2.071 -37.08 -3.003 -13.05 -3.003 0.9321 -5.075 -33.04 -29.1 5.903 -31.07 -23.1
0.73 3.936 2.9 11.91 1.968 -3.003 -49.09 0.9321 -7.043 -3.003 -2.071 9.942 -39.04 -35.01 0 -47.02 -25.06
0.735 -5.075 -5.075 3.936 0.9321 -13.05 -53.03 -13.05 -7.043 -7.043 0.9321 19.99 -45.05 -47.02 -1.036 -59.03 -19.06
0.74 -17.09 -15.02 -1.036 -3.003 -23.1 -49.09 -35.01 -9.01 -13.05 -9.01 17.92 -47.02 -55.1 -3.003 -61 -9.01
0.745 -21.02 -21.02 -11.08 -1.036 -33.04 -37.08 -53.03 -7.043 -17.09 -15.02 5.903 -37.08 -53.03 -3.003 -53.03 -1.036
0.75 -15.02 -21.02 -13.05 -2.071 -37.08 -25.06 -55.1 -1.036 -17.09 -17.09 -5.075 -19.06 -43.08 -3.003 -35.01 -2.071
0.755 -9.01 -15.02 -13.05 6.939 -35.01 -19.06 -47.02 1.968 -13.05 -9.01 -13.05 0.9321 -23.1 -3.003 -15.02 -1.036
0.76 -7.043 -11.08 -11.08 10.98 -31.07 -19.06 -29.1 7.975 -9.01 0.9321 -9.01 7.975 -3.003 -2.071 0.9321 -3.003
0.765 -17.09 -11.08 -15.02 7.975 -29.1 -27.03 -11.08 3.936 -3.003 0 1.968 11.91 7.975 7.975 11.91 -2.071
0.77 -31.07 -19.06 -21.02 0.9321 -27.03 -35.01 -1.036 1.968 0.9321 -2.071 17.92 15.95 19.99 23.92 26 20.92
