    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1 192.1
0.625 -7.035 2.908 29.92 11.91 9.942 5.909 9.942 19.98 27.95 7.973 -11.07 -13.04 25.98 33.95 -37.05 9.942
0.63 -6.003 6.941 24.95 17.91 4.971 9.942 11.91 18.95 30.95 10.97 -9.004 -8.066 25.98 42.96 -32.08 20.92
0.635 -8.066 2.908 10.97 9.942 -5.065 11.91 7.973 10.97 21.95 8.911 -12.01 -6.003 21.95 44.93 -19.04 24.95
0.64 -11.07 -3.001 -3.001 -11.07 -25.04 5.909 -2.064 -3.001 1.97 5.909 -13.04 -7.035 17.91 35.92 -5.065 19.98
0.645 -17.07 -19.04 -16.04 -36.02 -45.02 6.941 -6.003 -22.04 -14.07 2.908 -9.004 -11.07 13.98 26.92 5.909 15.95
0.65 -25.04 -33.02 -23.07 -54.03 -53.09 4.971 -12.01 -38.08 -28.04 -2.064 -5.065 -21.01 7.973 16.98 13.98 0.938
0.655 -31.05 -39.02 -25.04 -59.09 -49.06 3.939 -21.01 -53.09 -33.02 -3.001 -3.001 -39.02 0.938 9.942 11.91 -9.004
0.66 -31.05 -35.08 -29.08 -54.03 -37.05 0.938 -24.01 -61.06 -32.08 -7.035 -6.003 -57.03 -13.04 5.909 4.971 -22.04
0.665 -21.01 -21.01 -35.08 -46.05 -25.04 -1.032 -32.08 -67.06 -28.04 -13.04 -18.01 -71 -29.08 0.938 0 -30.01
0.67 -7.035 -5.065 -39.02 -41.08 -17.07 0 -39.02 -73.07 -33.02 -17.07 -27.01 -75.04 -41.08 -11.07 -5.065 -35.08
0.675 0 2.908 -35.08 -39.02 -9.004 3.939 -39.02 -71 -36.02 -13.04 -28.04 -65 -45.02 -25.04 -2.064 -34.05
0.68 5.909 6.941 -23.07 -31.05 0.938 9.942 -31.05 -55.06 -37.05 -7.035 -16.04 -41.08 -39.02 -37.05 6.941 -32.08
0.685 3.939 2.908 -9.004 -19.04 3.939 13.98 -17.07 -29.08 -25.04 0.938 -2.064 -9.004 -31.05 -43.05 21.95 -29.08
0.69 -3.001 -5.065 -2.064 -5.065 9.942 13.98 -1.032 0.938 -9.004 -2.064 19.98 21.95 -23.07 -39.02 36.96 -21.01
0.695 -15.01 -17.07 3.939 0 5.909 7.973 7.973 21.95 -2.064 0.938 33.95 51.96 -17.07 -29.08 43.99 -9.004
0.7 -23.07 -21.01 7.973 -2.064 -1.032 -2.064 15.95 37.99 1.97 -5.065 33.95 69.97 -9.004 -13.04 43.99 0
0.705 -25.04 -11.07 11.91 -3.001 -17.07 -7.035 17.91 35.92 -1.032 -9.004 21.95 69.97 0.938 0 31.98 11.91
0.71 -21.01 2.908 11.91 -11.07 -25.04 -11.07 15.95 23.92 -13.04 -9.004 1.97 51.96 3.939 15.95 11.91 21.95
0.715 -11.07 22.98 9.942 -13.04 -19.04 -5.065 9.942 3.939 -23.07 -3.001 -13.04 21.95 9.942 31.98 -5.065 25.98
0.72 0.938 34.99 1.97 -7.035 -3.001 5.909 0 -17.07 -21.01 1.97 -27.01 -9.004 9.942 41.93 -25.04 23.92
0.725 7.973 30.95 -3.001 0.938 11.91 23.92 -9.004 -41.08 -13.04 11.91 -33.02 -43.05 1.97 41.93 -37.05 17.91
0.73 17.91 20.92 -9.004 -2.064 21.95 35.92 -21.01 -61.06 -3.001 17.91 -35.08 -69.03 -5.065 29.92 -43.05 7.973
0.735 23.92 10.97 -5.065 0.938 17.91 35.92 -25.04 -73.07 0.938 17.91 -31.05 -81.04 -19.04 13.98 -43.05 0.938
0.74 25.98 8.911 1.97 -1.032 5.909 23.92 -17.07 -71 -1.032 9.942 -21.01 -77.01 -29.08 0 -41.08 -9.004
0.745 23.92 16.98 19.98 -2.064 0.938 5.909 -1.032 -51.02 -7.035 -2.064 -9.004 -57.03 -33.02 -5.065 -35.08 -17.07
0.75 15.95 28.98 31.98 11.91 0.938 -5.065 13.98 -17.07 -5.065 -11.07 0 -27.01 -31.05 -7.035 -23.07 -17.07
0.755 7.973 36.96 35.92 31.98 5.909 -13.04 29.92 17.91 -2.064 -23.07 13.98 0 -23.07 -9.004 -7.035 -13.04
0.76 1.97 32.92 33.95 49.99 13.98 -13.04 35.92 51.96 9.942 -27.01 23.92 25.98 -11.07 -13.04 5.909 -1.032
0.765 1.97 24.95 29.92 56 9.942 -7.035 31.98 69.97 15.95 -25.04 31.98 41.93 0 -17.07 21.95 7.973
0.77 5.909 16.98 25.98 43.99 -3.001 -5.065 25.98 67.91 11.91 -17.07 33.95 47.93 11.91 -21.01 31.98 17.91
0.775 9.942 18.95 21.95 19.98 -29.08 -7.035 19.98 47.93 0.938 -9.004 33.95 49.99 17.91 -21.01 37.99 23.92
0.78 9.942 24.95 15.95 -3.001 -49.06 -17.07 15.95 17.91 -17.07 -9.004 27.95 47.93 17.91 -17.07 35.92 17.91
0.785 0 30.95 7.973 -25.04 -57.03 -27.01 13.98 -1.032 -31.05 -17.07 20.92 39.96 5.909 -15.01 31.98 1.97
0.79 -7.035 30.95 3.939 -29.08 -51.02 -33.02 11.91 -17.07 -39.02 -31.05 14.91 27.95 -7.035 -17.07 25.98 -11.07
0.795 -17.07 24.95 1.97 -23.07 -41.08 -31.05 11.91 -21.01 -41.08 -43.05 7.973 9.942 -27.01 -23.07 17.91 -25.04
0.8 -19.04 16.98 3.939 -7.035 -33.02 -21.01 15.95 -19.04 -43.05 -47.09 6.941 0.938 -43.05 -27.01 12.94 -30.01
0.805 -9.004 14.91 3.939 -1.032 -31.05 -5.065 18.95 -19.04 -48.02 -41.08 2.908 -15.01 -50.09 -27.01 6.941 -30.01
0.81 0 20.92 1.97 -1.032 -29.08 3.939 15.95 -25.04 -57.03 -23.07 -5.065 -27.01 -51.02 -21.01 0.938 -29.08
