    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2 317.2
0.625 2.942 25.86 -17.03 -28.03 70.93 67.98 66.9 47.85 -29.11 56.99 -14.09 -12.08 59.93 49.87 28.96 13.94
0.63 4.956 21.99 -18.12 -27.1 67.98 81.92 79.91 54.98 -23.07 52.96 2.942 5.885 76.97 56.99 39.95 36.86
0.635 2.942 15.95 -15.02 -21.06 63.96 87.96 85.95 61.94 -13.01 49.87 15.95 17.96 87.96 59.93 48.94 59.93
0.64 4.956 13.94 -7.124 -12.08 67.98 91.99 88.89 67.98 -4.026 55.9 24.93 24.93 95.86 59.93 52.96 79.91
0.645 4.956 14.87 -1.084 -4.026 72.94 90.9 84.86 67.98 -4.026 56.99 28.96 23.85 91.99 60.86 50.95 87.96
0.65 8.982 7.898 -1.084 -7.124 76.97 83.93 75.88 59.93 -6.04 61.94 23.85 15.95 81.92 57.92 54.98 87.96
0.655 4.956 2.942 -6.04 -13.01 77.89 72.94 70 51.88 -18.12 61.94 15.95 5.885 70 58.85 59.93 85.95
0.66 2.942 0.9292 -12.08 -23.07 70.93 63.96 60.86 46.92 -27.1 55.9 8.982 0 58.85 54.98 49.87 85.95
0.665 0.9292 0.9292 -15.02 -27.1 64.89 57.92 55.9 45.99 -32.06 49.87 0.9292 -3.097 53.89 55.9 40.88 85.95
0.67 -5.11 0.9292 -15.02 -27.1 57.92 49.87 47.85 46.92 -27.1 45.99 -12.08 -15.02 52.96 59.93 35 81.92
0.675 -17.03 -3.097 -17.03 -23.07 49.87 41.97 43.98 46.92 -21.06 40.88 -23.07 -27.1 48.94 62.87 33.91 77.89
0.68 -29.11 -10.07 -19.05 -16.11 38.87 29.89 38.87 41.97 -19.05 37.94 -38.1 -37.01 44.91 64.89 24.93 64.89
0.685 -37.01 -19.05 -25.09 -15.02 31.9 19.98 33.91 38.87 -17.03 36.86 -43.05 -47.08 38.87 62.87 15.95 51.88
0.69 -47.08 -29.11 -35.15 -17.03 25.86 5.885 25.86 28.96 -17.03 35.93 -52.03 -55.13 32.99 57.92 12.85 35.93
0.695 -53.12 -35.15 -43.05 -19.05 22.92 0 17.96 19.98 -20.13 29.89 -57.14 -57.14 23.85 49.87 14.87 21.99
0.7 -51.1 -33.14 -42.12 -19.05 20.91 0 14.87 18.89 -21.06 25.86 -60.09 -59 22.92 42.9 9.911 13.94
0.705 -45.06 -26.02 -38.1 -21.06 23.85 6.969 19.98 21.99 -22.15 23.85 -59 -51.1 25.86 36.86 5.885 5.885
0.71 -43.05 -21.06 -37.01 -23.07 28.96 15.95 21.99 21.99 -20.13 19.98 -51.1 -45.06 27.87 35.93 8.982 3.872
0.715 -37.01 -18.12 -37.01 -24 28.96 28.96 26.95 27.87 -20.13 18.89 -40.11 -29.11 37.94 38.87 14.87 7.898
0.72 -25.09 -17.03 -41.04 -26.02 31.9 39.95 38.87 29.89 -20.13 21.99 -22.15 -14.09 53.89 39.95 20.91 21.99
0.725 -17.03 -11.15 -43.05 -25.09 33.91 57.92 49.87 39.95 -15.02 21.99 -1.084 1.858 70 47.85 24.93 43.98
0.73 -3.097 1.858 -34.07 -17.03 51.88 79.91 63.96 50.95 -5.11 26.95 14.87 23.85 94.93 56.99 39.95 72.94
0.735 4.956 17.96 -21.06 -8.053 66.9 97.87 76.97 63.96 -2.013 30.97 36.86 44.91 110 63.96 54.98 99.89
0.74 16.88 41.97 -5.11 -2.013 81.92 117.8 91.99 77.89 5.885 31.9 49.87 57.92 117.8 65.97 55.9 117.8
0.745 28.96 62.87 7.898 11 94.93 130.9 106.9 90.9 17.96 30.97 59.93 66.9 123.9 75.88 54.98 129
0.75 30.97 75.88 21.99 23.85 97.87 134 112 97.87 23.85 23.85 60.86 65.97 127.9 82.85 50.95 131.9
0.755 28.96 73.87 21.99 27.87 87.96 123.9 107.9 99.89 31.9 17.96 51.88 59.93 121.9 89.97 47.85 125.9
0.76 24.93 70.93 20.91 30.97 77.89 116.9 103 101.9 36.86 11 39.95 52.96 120.9 96.94 44.91 123
0.765 24.93 65.97 15.95 31.9 72.94 105.9 94.93 98.96 37.94 6.969 29.89 39.95 116 98.96 41.97 114
0.77 22.92 57.92 9.911 29.89 71.86 97.87 87.96 89.97 33.91 3.872 17.96 25.86 105.9 97.87 41.97 97.87
0.775 22.92 51.88 8.982 27.87 71.86 91.99 80.99 78.98 28.96 5.885 4.956 9.911 86.88 91.99 44.91 74.95
0.78 18.89 48.94 11 26.95 71.86 84.86 72.94 68.91 19.98 2.942 -2.013 -6.04 64.89 78.98 37.94 46.92
0.785 16.88 45.99 13.94 25.86 67.98 77.89 63.96 57.92 11.92 1.858 -15.02 -27.1 41.97 70 23.85 23.85
0.79 14.87 46.92 22.92 28.96 64.89 72.94 53.89 49.87 8.982 -1.084 -26.02 -42.12 26.95 64.89 16.88 8.982
0.795 8.982 44.91 26.95 28.96 60.86 62.87 45.99 43.98 8.982 1.858 -41.04 -54.05 19.98 62.87 11 0
0.8 4.956 39.95 27.87 27.87 51.88 53.89 41.97 47.85 7.898 -5.11 -51.1 -59 19.98 63.96 0 0
0.805 -1.084 29.89 21.99 25.86 43.98 43.98 41.97 49.87 9.911 -11.15 -57.14 -57.14 25.86 65.97 -1.084 1.858
0.81 -7.124 16.88 9.911 21.99 35.93 33.91 38.87 46.92 11 -19.05 -60.09 -55.13 31.9 67.98 0 5.885
0.815 -13.01 -1.084 0 13.94 27.87 26.95 30.97 35 8.982 -27.1 -60.09 -50.02 35 70.93 1.858 9.911
0.82 -21.06 -9.137 -19.05 3.872 21.99 17.96 19.98 19.98 -2.013 -31.13 -55.13 -43.05 33.91 63.96 3.872 15.95
0.825 -17.03 -14.09 -26.02 1.858 28.96 16.88 11.92 9.911 0.9292 -31.13 -44.14 -34.07 35 58.85 5.885 27.87
0.83 -17.03 -13.01 -30.04 1.858 38.87 18.89 -1.084 2.942 0.9292 -24 -37.01 -28.03 35 54.98 15.95 42.9
0.835 -19.05 -15.02 -25.09 1.858 43.98 17.96 0.9292 5.885 -2.013 -21.06 -35.15 -27.1 31.9 51.88 24.93 53.89
0.84 -21.06 -11.15 -9.137 16.88 44.91 23.85 1.858 17.96 4.956 -20.13 -31.13 -25.09 35.93 55.9 25.86 68.91
0.845 -29.11 -8.053 -2.013 30.97 44.91 23.85 8.982 28.96 15.95 -20.13 -30.04 -31.13 37.94 63.96 20.91 78.98
0.85 -33.14 -11.15 9.911 37.94 39.95 25.86 15.95 35.93 21.99 -23.07 -35.15 -33.14 41.97 71.86 20.91 85.95
0.855 -31.13 -13.01 12.85 41.97 37.94 24.93 20.91 37.94 22.92 -22.15 -41.04 -34.07 44.91 78.98 17.96 86.88
0.86 -27.1 -12.08 11.92 33.91 35.93 23.85 19.98 39.95 19.98 -23.07 -44.14 -31.13 43.98 78.98 16.88 81.92
0.865 -23.07 -7.124 5.885 29.89 37.94 25.86 19.98 39.95 15.95 -27.1 -45.06 -29.11 43.98 79.91 14.87 73.87
0.87 -17.03 1.858 4.956 32.99 40.88 32.99 22.92 48.94 21.99 -29.11 -44.14 -22.15 46.92 85.95 19.98 65.97
0.875 -23.07 5.885 9.911 41.97 37.94 41.97 26.95 56.99 29.89 -34.07 -39.02 -17.03 53.89 92.92 26.95 58.85
0.88 -23.07 17.96 21.99 51.88 35.93 51.88 37.94 67.98 35.93 -39.02 -31.13 -11.15 59.93 95.86 28.96 55.9
0.885 -21.06 26.95 31.9 60.86 38.87 61.94 47.85 77.89 42.9 -38.1 -28.03 -9.137 63.96 98.96 23.85 55.9
0.89 -19.05 27.87 35.93 57.92 43.98 57.92 45.99 77.89 43.98 -39.02 -31.13 -11.15 61.94 96.94 20.91 48.94
0.895 -23.07 15.95 27.87 45.99 37.94 45.99 35 64.89 33.91 -37.01 -45.06 -17.03 49.87 87.96 19.98 37.94
0.9 -25.09 0 12.85 30.97 30.97 30.97 21.99 51.88 21.99 -41.04 -51.1 -22.15 35.93 78.98 8.982 26.95
0.905 -33.14 -8.053 1.858 21.99 20.91 15.95 13.94 39.95 14.87 -43.05 -57.14 -25.09 27.87 72.94 0 16.88
0.91 -45.06 -21.06 -11.15 17.96 13.94 7.898 16.88 30.97 11.92 -43.05 -53.12 -23.07 25.86 70 1.858 11.92
0.915 -47.08 -24 -14.09 17.96 14.87 9.911 24.93 31.9 11.92 -42.12 -41.04 -16.11 29.89 65.97 8.982 15.95
0.92 -47.08 -20.13 -12.08 18.89 20.91 19.98 39.95 37.94 13.94 -37.01 -35.15 -8.053 32.99 55.9 13.94 23.85
0.925 -37.01 -12.08 -6.04 17.96 31.9 24.93 45.99 44.91 11.92 -36.08 -25.09 -3.097 38.87 51.88 17.96 39.95
0.93 -31.13 -8.053 -2.013 8.982 36.86 29.89 43.98 47.85 7.898 -31.13 -27.1 0 42.9 45.99 25.86 53.89
0.935 -25.09 -10.07 -2.013 1.858 35 25.86 36.86 47.85 -2.013 -34.07 -31.13 -2.013 47.85 51.88 28.96 70
0.94 -29.11 -15.02 -7.124 -2.013 29.89 29.89 32.99 46.92 0.9292 -37.01 -33.14 -7.124 51.88 59.93 29.89 85.95
0.945 -25.09 -20.13 -15.02 1.858 32.99 39.95 29.89 49.87 -1.084 -35.15 -29.11 -3.097 61.94 72.94 23.85 106.9
0.95 -21.06 -27.1 -28.03 0.9292 40.88 48.94 31.9 47.85 3.872 -25.09 -19.05 -2.013 70 82.85 24.93 125
0.955 -17.03 -29.11 -41.04 -2.013 51.88 53.89 35 40.88 3.872 -17.03 -15.02 -5.11 70 83.93 29.89 127.9
0.96 -5.11 -27.1 -47.08 -3.097 59.93 59.93 37.94 37.94 -2.013 -9.137 -9.137 -5.11 67.98 80.99 24.93 120.9
0.965 0.9292 -28.03 -47.08 -6.04 64.89 61.94 35.93 33.91 0 -4.026 -10.07 -9.137 59.93 70.93 19.98 101.9
0.97 -1.084 -29.11 -47.08 -11.15 61.94 59.93 27.87 25.86 -7.124 -7.124 -17.03 -17.03 45.99 63.96 18.89 70
0.975 -7.124 -39.02 -49.09 -15.02 57.92 49.87 18.89 18.89 -13.01 -12.08 -23.07 -25.09 37.94 58.85 18.89 40.88
0.98 -15.02 -52.03 -54.05 -22.15 44.91 36.86 6.969 8.982 -21.06 -23.07 -30.04 -34.07 30.97 51.88 13.94 15.95
0.985 -23.07 -67.05 -67.05 -33.14 33.91 23.85 -1.084 0.9292 -33.14 -31.13 -41.04 -47.08 19.98 49.87 4.956 3.872
0.99 -27.1 -80.06 -77.12 -43.05 25.86 13.94 -13.01 -9.137 -37.01 -33.14 -50.02 -53.12 13.94 46.92 2.942 0
0.995 -31.13 -89.04 -84.09 -47.08 17.96 6.969 -18.12 -21.06 -40.11 -40.11 -59 -62.1 4.956 44.91 3.872 1.858
1 -33.14 -85.02 -79.13 -47.08 13.94 5.885 -15.02 -17.03 -41.04 -47.08 -63.03 -65.04 0 37.94 -1.084 -2.013
1.005 -29.11 -70.15 -63.03 -40.11 16.88 15.95 0 -6.04 -35.15 -48.01 -56.06 -61.02 3.872 35.93 1.858 -1.084
1.01 -23.07 -57.14 -41.04 -32.06 22.92 29.89 9.911 3.872 -30.04 -46.15 -49.09 -49.09 13.94 37.94 1.858 0.9292
1.015 -21.06 -45.06 -25.09 -27.1 29.89 33.91 19.98 13.94 -31.13 -47.08 -41.04 -39.02 19.98 33.91 4.956 -1.084
1.02 -15.02 -31.13 -10.07 -22.15 35 38.87 30.97 24.93 -27.1 -42.12 -31.13 -24 28.96 32.99 3.872 -2.013
1.025 -7.124 -20.13 -2.013 -18.12 40.88 42.9 37.94 35.93 -25.09 -37.01 -22.15 -12.08 38.87 35 3.872 -3.097
1.03 -5.11 -9.137 0.9292 -15.02 45.99 49.87 41.97 41.97 -21.06 -27.1 -15.02 -5.11 45.99 35.93 9.911 -2.013
1.035 -1.084 0 -1.084 -9.137 49.87 56.99 42.9 46.92 -12.08 -21.06 -8.053 0 52.96 42.9 21.99 13.94
1.04 -1.084 -1.084 1.858 -3.097 49.87 61.94 48.94 54.98 -8.053 -13.01 -2.013 -2.013 59.93 49.87 26.95 31.9
1.045 -1.084 -2.013 5.885 -2.013 51.88 67.98 51.88 61.94 -1.084 -7.124 -2.013 3.872 67.98 63.96 29.89 51.88
1.05 -7.124 -3.097 5.885 0 51.88 70 55.9 63.96 0 -3.097 3.872 9.911 75.88 77.89 35.93 63.96
1.055 -13.01 -10.07 3.872 0 50.95 68.91 57.92 65.97 2.942 -2.013 5.885 13.94 80.99 86.88 40.88 70.93
1.06 -17.03 -14.09 1.858 1.858 48.94 68.91 60.86 64.89 0.9292 -6.04 8.982 18.89 80.99 86.88 38.87 68.91
1.065 -19.05 -15.02 -7.124 -7.124 45.99 67.98 59.93 61.94 -1.084 -11.15 9.911 17.96 73.87 77.89 27.87 59.93
1.07 -17.03 -20.13 -22.15 -16.11 43.98 64.89 52.96 52.96 -9.137 -10.07 4.956 11 62.87 70 29.89 52.96
1.075 -15.02 -26.02 -38.1 -32.06 38.87 59.93 38.87 35 -24 -13.01 1.858 -1.084 47.85 55.9 28.96 41.97
1.08 -15.02 -37.01 -53.12 -43.05 31.9 47.85 25.86 19.98 -39.02 -17.03 -7.124 -9.137 31.9 43.98 25.86 23.85
1.085 -17.03 -45.06 -57.14 -49.09 33.91 40.88 17.96 9.911 -43.05 -16.11 -14.09 -21.06 19.98 42.9 21.99 11
1.09 -19.05 -50.02 -59 -46.15 36.86 30.97 9.911 0 -45.06 -18.12 -23.07 -30.04 12.85 43.98 19.98 0
1.095 -25.09 -53.12 -55.13 -43.05 37.94 17.96 -2.013 -2.013 -41.04 -25.09 -37.01 -43.05 3.872 43.98 19.98 -15.02
1.1 -23.07 -45.06 -50.02 -39.02 40.88 3.872 0 -1.084 -37.01 -31.13 -50.02 -56.06 0.9292 41.97 11.92 -32.06
1.105 -23.07 -39.02 -43.05 -43.05 41.97 -1.084 -8.053 1.858 -40.11 -32.06 -64.11 -67.05 -4.026 32.99 -1.084 -41.04
1.11 -15.02 -29.11 -47.08 -47.08 39.95 -13.01 -13.01 0.9292 -43.05 -31.13 -71.08 -73.09 -9.137 27.87 -3.097 -47.08
1.115 -7.124 -17.03 -42.12 -47.08 40.88 -12.08 -9.137 -1.084 -43.05 -30.04 -69.07 -65.04 0 25.86 1.858 -35.15
1.12 0.9292 -6.04 -35.15 -42.12 41.97 0 -1.084 7.898 -43.05 -26.02 -50.02 -50.02 11 31.9 1.858 -12.08
1.125 -1.084 1.858 -23.07 -29.11 47.85 11.92 17.96 17.96 -31.13 -23.07 -31.13 -27.1 31.9 43.98 4.956 17.96
1.13 2.942 11.92 -13.01 -7.124 58.85 27.87 30.97 33.91 -17.03 -23.07 -10.07 -7.124 53.89 59.93 15.95 50.95
1.135 0.9292 15.95 -3.097 0 66.9 38.87 38.87 43.98 -3.097 -20.13 1.858 1.858 63.96 70 33.91 66.9
1.14 0.9292 15.95 -1.084 3.872 64.89 43.98 43.98 51.88 0.9292 -21.06 0 1.858 67.98 68.91 36.86 71.86
1.145 4.956 23.85 0.9292 2.942 63.96 53.89 52.96 55.9 1.858 -13.01 2.942 2.942 68.91 68.91 36.86 68.91
1.15 8.982 24.93 2.942 -1.084 57.92 62.87 59.93 56.99 1.858 -12.08 5.885 6.969 68.91 71.86 39.95 67.98
1.155 8.982 27.87 1.858 -5.11 48.94 71.86 65.97 55.9 -2.013 -15.02 7.898 9.911 65.97 70.93 44.91 63.96
1.16 6.969 30.97 0.9292 -4.026 43.98 74.95 73.87 55.9 -7.124 -20.13 13.94 11.92 63.96 70 43.98 60.86
1.165 6.969 31.9 1.858 -1.084 42.9 73.87 70 54.98 -9.137 -24 11.92 13.94 59.93 62.87 37.94 48.94
1.17 0.9292 25.86 0.9292 0 43.98 60.86 64.89 51.88 -10.07 -30.04 2.942 7.898 49.87 56.99 31.9 31.9
1.175 -1.084 15.95 0 -5.11 44.91 49.87 55.9 50.95 -13.01 -34.07 -5.11 1.858 41.97 48.94 23.85 6.969
1.18 -7.124 6.969 0.9292 -10.07 41.97 38.87 53.89 49.87 -13.01 -36.08 -15.02 -1.084 33.91 43.98 13.94 -6.04
1.185 -9.137 1.858 3.872 -13.01 40.88 37.94 53.89 53.89 -12.08 -39.02 -21.06 0.9292 35.93 44.91 2.942 -13.01
1.19 -9.137 0.9292 4.956 -12.08 43.98 44.91 53.89 56.99 -8.053 -40.11 -21.06 2.942 46.92 53.89 3.872 -9.137
1.195 -7.124 3.872 2.942 -10.07 45.99 49.87 52.96 55.9 -3.097 -41.04 -14.09 12.85 56.99 56.99 6.969 -6.04
1.2 -9.137 1.858 0 -7.124 42.9 51.88 49.87 55.9 -4.026 -45.06 -7.124 19.98 65.97 54.98 6.969 -7.124
