    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
36.2 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1 140.1
0 -2.052 -7.044 -5.061 -5.061 3.967 -3.009 1.983 -2.052 5.95 1.983 -3.009 0 11.97 9.985 7.934 16.96
0.005 11.97 0.9575 0.9575 3.967 11.97 0 3.967 3.967 13.95 7.934 -5.061 3.967 13.95 15.94 11.97 18.94
0.01 27.97 5.95 1.983 13.95 17.99 5.95 7.934 9.985 15.94 9.985 -5.061 3.967 11.97 17.99 13.95 16.96
0.015 37.96 11.97 5.95 19.97 19.97 7.934 9.985 11.97 11.97 7.934 -5.061 1.983 7.934 15.94 7.934 10.94
0.02 39.94 13.95 7.934 13.95 17.99 5.95 13.95 9.985 5.95 7.934 -5.061 -2.052 0 15.94 0 0.9575
0.025 39.94 11.97 7.934 5.95 13.95 7.934 17.99 5.95 5.95 11.97 -5.061 -1.026 -2.052 17.99 -3.009 -3.009
0.03 41.99 7.934 7.934 1.983 13.95 11.97 21.95 5.95 13.95 19.97 -3.009 0.9575 -2.052 23.94 -9.028 -9.028
0.035 50 7.934 9.985 3.967 17.99 19.97 23.94 7.934 25.99 31.94 -3.009 0 1.983 31.94 -10.05 -9.028
0.04 59.98 7.934 15.94 13.95 25.99 25.99 27.97 11.97 37.96 39.94 -3.009 9.985 5.95 35.97 -6.019 -7.044
0.045 67.98 7.934 19.97 23.94 33.99 29.96 29.96 17.99 43.98 39.94 0.9575 17.99 7.934 35.97 -3.009 -1.026
0.05 70.99 7.934 23.94 29.96 35.97 29.96 33.99 19.97 37.96 33.99 3.967 29.96 7.934 31.94 1.983 2.941
0.055 66.96 4.993 23.94 25.99 31.94 25.99 37.96 19.97 27.97 27.97 15.94 39.94 7.934 31.94 0.9575 8.959
0.06 58 1.983 21.95 19.97 23.94 21.95 35.97 17.99 19.97 21.95 23.94 51.98 9.985 33.99 9.985 16.96
0.065 52.94 0.9575 14.98 15.94 19.97 18.94 31.94 17.99 15.94 18.94 25.99 60.94 13.95 37.96 19.97 24.96
0.07 48.97 -1.026 8.959 9.985 15.94 16.96 21.95 13.95 13.95 21 17.99 62.99 17.99 36.93 23.94 29
0.075 41.99 -1.026 -2.052 5.95 11.97 11.97 11.97 11.97 13.95 19.97 1.983 58 17.99 29.96 19.97 30.98
0.08 35.97 -2.052 -2.052 5.95 6.976 8.959 1.983 9.985 13.95 18.94 -5.061 52.94 16.96 22.98 10.94 30.98
0.085 25.99 -4.035 -4.035 3.967 4.993 4.993 -2.052 7.934 13.95 18.94 -11.01 48.97 18.94 18.94 -2.052 30.98
0.09 15.94 -7.044 -5.061 5.95 1.983 1.983 -2.052 7.934 13.95 19.97 -9.028 50 19.97 19.97 -5.061 32.97
0.095 14.98 -3.009 0.9575 5.95 2.941 5.95 5.95 11.97 17.99 23.94 0.9575 54.99 26.95 26.95 -9.028 36.93
0.1 17.99 -1.026 4.993 9.985 8.959 8.959 11.97 18.94 24.96 26.95 1.983 58 32.97 29.96 -5.061 36.93
0.105 19.97 1.983 5.95 11.97 9.985 9.985 15.94 21.95 27.97 25.99 0 53.96 33.99 23.94 -3.009 34.95
0.11 25.99 5.95 4.993 9.985 14.98 14.98 12.99 24.96 30.98 24.96 -2.052 45.96 26.95 14.98 -3.009 29
0.115 27.97 2.941 -1.026 8.959 16.96 16.96 5.95 17.99 25.99 22.98 -13.06 33.99 16.96 4.993 -4.035 16.96
0.12 26.95 1.983 -4.035 4.993 16.96 21 0.9575 12.99 18.94 21 -19.01 23.94 4.993 -2.052 -5.061 4.993
0.125 23.94 -1.026 -10.05 0.9575 16.96 21 -3.009 3.967 7.934 18.94 -19.01 15.94 -1.026 -1.026 -6.019 0.9575
0.13 17.99 -3.009 -12.04 -2.052 12.99 16.96 -4.035 0.9575 4.993 16.96 -14.02 11.97 1.983 4.993 -9.028 -1.026
0.135 11.97 -13.06 -13.06 -1.026 9.985 11.97 -5.061 0.9575 0 13.95 -11.01 5.95 -2.052 9.985 -9.028 -5.061
0.14 3.967 -18.06 -14.02 -7.044 6.976 6.976 -5.061 -1.026 2.941 12.99 -9.028 7.934 2.941 13.95 -11.01 -1.026
0.145 -2.052 -21.06 -15.05 -9.028 2.941 1.983 -7.044 0.9575 3.967 7.934 -9.028 4.993 6.976 8.959 -13.06 -1.026
0.15 -7.044 -19.01 -17.03 -13.06 -1.026 -1.026 -11.01 -3.009 1.983 1.983 -13.06 1.983 3.967 0 -13.06 -5.061
0.155 -7.044 -12.04 -14.02 -13.06 -8.002 -4.035 -15.05 -7.044 0.9575 -2.052 -13.06 0.9575 0.9575 -2.052 -13.06 -5.061
0.16 -1.026 -2.052 -8.002 -13.06 -8.002 -4.035 -15.05 -11.01 -7.044 -8.002 -11.01 0.9575 -1.026 -8.002 -8.002 -3.009
0.165 3.967 1.983 0.9575 -9.028 -7.044 0.9575 -7.044 -9.028 -9.028 -15.05 -3.009 1.983 0.9575 -9.028 -3.009 -1.026
0.17 16.96 10.94 8.959 0.9575 0.9575 4.993 0.9575 0.9575 -9.028 -14.02 3.967 8.959 0.9575 -8.002 0.9575 0.9575
0.175 26.95 16.96 16.96 9.985 9.985 12.99 7.934 11.97 -1.026 -14.02 15.94 21 -2.052 -9.028 1.983 4.993
0.18 25.99 19.97 19.97 21.95 19.97 13.95 15.94 27.97 0 -13.06 21.95 31.94 0 -9.028 9.985 8.959
0.185 21 22.98 19.97 29.96 21.95 9.985 17.99 39.94 1.983 -15.05 25.99 41.99 -2.052 -13.06 14.98 10.94
0.19 12.99 21.95 19.97 29.96 15.94 1.983 17.99 37.96 0.9575 -15.05 23.94 43.98 0.9575 -13.06 12.99 10.94
0.195 5.95 19.97 19.97 21.95 5.95 -2.052 13.95 29.96 -5.061 -13.06 19.97 39.94 0.9575 -7.044 7.934 12.99
0.2 3.967 15.94 17.99 13.95 0 -2.052 13.95 19.97 -5.061 -7.044 15.94 31.94 3.967 0 2.941 16.96
0.205 5.95 11.97 15.94 5.95 0 3.967 9.985 11.97 -2.052 0.9575 11.97 21.95 11.97 11.97 1.983 16.96
0.21 9.985 7.934 9.985 0 5.95 11.97 3.967 9.985 7.934 1.983 5.95 9.985 17.99 19.97 -5.061 18.94
0.215 11.97 3.967 1.983 -2.052 11.97 17.99 0.9575 7.934 15.94 3.967 0 1.983 17.99 19.97 -11.01 14.98
0.22 11.97 5.95 0 -2.052 15.94 17.99 -1.026 7.934 13.95 3.967 1.983 0 15.94 17.99 -13.06 10.94
0.225 7.934 9.985 3.967 1.983 17.99 13.95 0 7.934 9.985 3.967 9.985 3.967 13.95 15.94 -9.028 10.94
0.23 1.983 9.985 11.97 3.967 13.95 7.934 9.985 11.97 5.95 5.95 23.94 11.97 17.99 17.99 -7.044 14.98
0.235 -1.026 5.95 13.95 5.95 7.934 0 17.99 15.94 3.967 5.95 31.94 15.94 21.95 19.97 -3.009 18.94
0.24 -9.028 -1.026 3.967 -2.052 0 -1.026 13.95 17.99 1.983 5.95 27.97 13.95 17.99 17.99 -3.009 18.94
0.245 -17.03 -17.03 -11.01 -11.01 -7.044 -1.026 0 11.97 0.9575 1.983 13.95 3.967 7.934 7.934 -7.044 10.94
0.25 -19.01 -29.07 -33.03 -27.02 -17.03 -2.052 -13.06 0.9575 -7.044 0.9575 0.9575 -5.061 -3.009 0.9575 -10.05 0.9575
0.255 -17.03 -31.05 -43.02 -37 -21.06 5.95 -25.03 -17.03 -17.03 -1.026 -11.01 -15.05 -15.05 -7.044 -8.002 -7.044
0.26 -9.028 -25.03 -39.05 -37 -19.01 11.97 -25.03 -27.02 -21.06 0.9575 -9.028 -15.05 -15.05 -3.009 -1.026 -3.009
0.265 -1.026 -11.01 -23.05 -27.02 -13.06 13.95 -17.03 -25.03 -19.01 -2.052 0.9575 -7.044 -7.044 3.967 8.959 6.976
0.27 0.9575 -1.026 -9.028 -11.01 -11.01 7.934 -9.028 -15.05 -13.06 -2.052 3.967 0.9575 0.9575 11.97 16.96 21
0.275 0.9575 0.9575 -5.061 0.9575 -9.028 0 -9.028 -3.009 -9.028 -1.026 3.967 -2.052 -2.052 9.985 13.95 24.96
0.28 -1.026 -3.009 -15.05 -2.052 -9.028 -1.026 -17.03 0.9575 -9.028 -9.028 -1.026 -5.061 -5.061 0.9575 3.967 14.98
0.285 -3.009 -9.028 -27.02 -1.026 -5.061 -5.061 -27.02 -3.009 -11.01 -15.05 -11.01 -15.05 -21.06 -19.01 -4.035 0.9575
0.29 -1.026 -13.06 -37 -5.061 0.9575 -1.026 -31.05 -11.01 -11.01 -15.05 -17.03 -25.03 -33.03 -33.03 -15.05 -17.03
0.295 -2.052 -13.06 -37 -9.028 3.967 0 -28.04 -17.03 -9.028 -9.028 -15.05 -27.02 -35.02 -33.03 -21.06 -19.01
0.3 -2.052 -13.06 -29.07 -9.028 7.934 5.95 -22.02 -19.01 -3.009 -2.052 -11.01 -21.06 -27.02 -21.06 -20.04 -11.01
0.305 -2.052 -13.06 -21.06 -9.028 9.985 9.985 -19.01 -15.05 0 7.934 -7.044 -15.05 -11.01 -1.026 -13.06 -3.009
0.31 0 -11.01 -19.01 -9.028 7.934 11.97 -18.06 -9.028 7.934 13.95 -9.028 -9.028 0 9.985 -5.061 6.976
0.315 5.95 -5.061 -14.02 -3.009 11.97 17.99 -18.06 -3.009 15.94 17.99 -11.01 -5.061 11.97 21.95 -1.026 12.99
0.32 15.94 0.9575 -13.06 0 17.99 21.95 -19.01 0 25.99 19.97 -13.06 -1.026 19.97 25.99 5.95 14.98
0.325 25.99 6.976 -8.002 13.95 27.97 27.97 -15.05 9.985 33.99 21.95 -13.06 -2.052 23.94 25.99 12.99 12.99
0.33 29 10.94 -6.019 23.94 35.97 29.96 -15.05 13.95 35.97 21.95 -15.05 0.9575 21.95 23.94 12.99 6.976
0.335 19.97 3.967 -5.061 23.94 31.94 27.97 -15.05 11.97 31.94 19.97 -15.05 -5.061 15.94 17.99 7.934 -1.026
0.34 0.9575 0 -10.05 10.94 17.99 17.99 -16 1.983 21.95 15.94 -15.05 -15.05 5.95 9.985 2.941 -5.061
0.345 -16 -16 -17.03 -8.002 0 7.934 -23.05 -9.028 5.95 5.95 -15.05 -25.03 -2.052 2.941 -1.026 -17.03
0.35 -33.03 -29.07 -27.02 -33.03 -19.01 0 -27.02 -27.02 -9.028 0.9575 -9.028 -33.03 -17.03 -1.026 -11.01 -23.05
0.355 -35.02 -28.04 -25.03 -43.02 -31.05 -3.009 -26.06 -39.05 -20.04 -6.019 -3.009 -31.05 -24.01 -4.035 -19.01 -19.01
0.36 -29.07 -17.03 -23.05 -42.06 -31.05 -4.035 -19.01 -38.03 -24.01 -12.04 -2.052 -24.01 -25.03 -7.044 -17.03 -13.06
0.365 -10.05 -4.035 -14.02 -23.05 -21.06 -2.052 -11.01 -28.04 -18.06 -10.05 0 -16 -18.06 -4.035 -14.02 -5.061
0.37 -2.052 1.983 -5.061 -2.052 -3.009 1.983 -7.044 -12.04 -4.035 -4.035 -2.052 -10.05 -15.05 -5.061 -7.044 0.9575
0.375 5.95 6.976 -3.009 5.95 5.95 3.967 -8.002 0.9575 0.9575 0 -3.009 -9.028 -12.04 -8.002 -7.044 -1.026
0.38 1.983 0 -13.06 3.967 9.985 7.934 -17.03 0.9575 1.983 -2.052 -15.05 -17.03 -15.05 -15.05 -9.028 -3.009
0.385 -2.052 -4.035 -21.06 -2.052 5.95 7.934 -31.05 -5.061 -2.052 -1.026 -23.05 -25.03 -18.06 -20.04 -17.03 -9.028
0.39 -10.05 -12.04 -32.01 -14.02 0.9575 1.983 -38.03 -17.03 -5.061 -7.044 -25.03 -31.05 -21.06 -29.07 -26.06 -11.01
0.395 -13.06 -15.05 -31.05 -21.06 -9.028 0.9575 -39.05 -25.03 -11.01 -13.06 -23.05 -31.05 -19.01 -31.05 -27.02 -13.06
0.4 -12.04 -10.05 -20.04 -17.03 -11.01 -3.009 -27.02 -27.02 -11.01 -15.05 -11.01 -21.06 -13.06 -27.02 -16 -9.028
0.405 -5.061 -2.052 -8.002 -7.044 -7.044 -5.061 -7.044 -19.01 -7.044 -11.01 -2.052 -7.044 -3.009 -19.01 1.983 -1.026
0.41 -3.009 0.9575 0.9575 -1.026 -1.026 -3.009 -2.052 -11.01 -5.061 -3.009 5.95 0.9575 -2.052 -11.01 9.985 0.9575
0.415 -3.009 -1.026 1.983 -1.026 0.9575 0.9575 2.941 -7.044 -3.009 0 5.95 0 -2.052 -3.009 14.98 2.941
0.42 -9.028 -7.044 -9.028 -9.028 -2.052 0 -2.052 -9.028 -3.009 3.967 0 -3.009 -2.052 0.9575 5.95 2.941
0.425 -17.03 -13.06 -17.03 -21.06 0.9575 0 -15.05 -19.01 -1.026 5.95 -3.009 -13.06 -1.026 -2.052 -3.009 -3.009
0.43 -21.06 -15.05 -23.05 -25.03 -1.026 0 -20.04 -21.06 -1.026 3.967 -7.044 -23.05 -5.061 0.9575 -16 -5.061
0.435 -19.01 -7.044 -17.03 -23.05 0.9575 0 -16 -19.01 -1.026 0 -3.009 -23.05 -9.028 -1.026 -19.01 -9.028
0.44 -11.01 -2.052 -5.061 -15.05 0 0 -7.044 -9.028 -3.009 -3.009 1.983 -17.03 -11.01 -7.044 -13.06 -13.06
0.445 -5.061 7.934 1.983 -3.009 1.983 0.9575 -2.052 0 -9.028 -11.01 9.985 -11.01 -15.05 -15.05 0 -13.06
0.45 -3.009 9.985 7.934 0 0 -5.061 1.983 7.934 -15.05 -19.01 9.985 -7.044 -17.03 -21.06 3.967 -15.05
0.455 -9.028 3.967 3.967 0 0.9575 -11.01 -2.052 9.985 -23.05 -27.02 3.967 -9.028 -17.03 -25.03 5.95 -17.03
0.46 -15.05 0.9575 -2.052 -1.026 -5.061 -15.05 -5.061 3.967 -25.03 -31.05 0 -13.06 -13.06 -21.06 2.941 -15.05
0.465 -19.01 -5.061 -1.026 -5.061 -9.028 -13.06 -9.028 -2.052 -21.06 -27.02 -2.052 -13.06 -7.044 -13.06 -1.026 -9.028
