    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1 257.1
0 -23.1 -27.12 -15.07 -13.06 -21.09 -21.09 -2.009 -13.06 -33.02 -31.01 -5.022 -7.031 -43.06 -37.04 -13.06 -55.12
0.005 -9.04 -19.08 -5.022 -2.009 -5.022 -11.05 9.918 3.892 -17.07 -17.07 -2.009 5.901 -29 -35.03 -7.031 -55.12
0.01 0.8788 -11.05 -1.004 7.91 1.883 -1.004 9.918 19.96 -3.013 -5.022 1.883 15.94 -9.04 -27.12 -7.031 -45.07
0.015 1.883 -7.031 0.8788 9.918 7.91 1.883 3.892 29.88 5.901 0 0 19.96 7.91 -15.07 -11.05 -29
0.02 3.892 -5.022 -2.009 5.901 9.918 9.918 -2.009 29.88 17.95 11.93 0.8788 13.94 28 -2.009 -23.1 -15.07
0.025 7.91 -1.004 3.892 3.892 13.94 19.96 0.8788 25.99 29.88 25.99 0.8788 5.901 41.93 11.93 -39.05 -5.022
0.03 13.94 2.888 11.93 5.901 17.95 28 3.892 21.97 39.92 35.91 0 -1.004 43.94 21.97 -53.11 -3.013
0.035 19.96 10.92 21.97 13.94 23.98 35.91 15.94 19.96 45.95 43.94 5.901 -5.022 39.92 23.98 -57.13 -7.031
0.04 23.98 16.95 28 21.97 28 37.92 23.98 21.97 49.97 47.96 15.94 -1.004 37.92 21.97 -43.06 -9.04
0.045 23.98 18.96 29.88 23.98 28 35.91 29.88 28 47.96 45.95 23.98 11.93 39.92 23.98 -11.05 -2.009
0.05 19.96 12.93 26.99 17.95 23.98 30.89 29.88 31.89 43.94 39.92 31.89 35.91 51.98 28 23.98 25.99
0.055 11.93 6.905 20.97 5.901 11.93 20.97 25.99 31.89 37.92 29.88 37.92 56 65.91 31.89 59.89 59.89
0.06 0 -1.004 5.901 -5.022 -2.009 3.892 17.95 23.98 28 17.95 31.89 63.9 67.92 31.89 77.97 83.99
0.065 -10.04 -15.07 -6.026 -24.11 -16.07 -10.04 0.8788 3.892 13.94 -1.004 18.96 44.95 51.98 21.97 69.93 85.88
0.07 -32.02 -35.03 -32.02 -44.07 -40.05 -34.02 -20.09 -23.1 -5.022 -22.1 -2.009 10.92 17.95 1.883 43.94 63.9
0.075 -61.02 -59.01 -57.13 -67.04 -69.05 -61.02 -51.1 -57.13 -35.03 -49.09 -33.02 -25.11 -17.07 -13.06 13.94 29.88
0.08 -84.12 -79.1 -72.07 -84.12 -88.01 -82.11 -76.08 -87.01 -69.05 -72.07 -54.11 -58 -51.1 -31.01 -7.031 1.883
0.085 -94.04 -87.01 -75.08 -94.04 -96.05 -89.01 -88.01 -101.1 -95.04 -86 -66.04 -70.06 -71.06 -43.06 -19.08 -22.1
0.09 -89.01 -81.11 -65.03 -91.02 -91.02 -85.12 -85.12 -97.05 -105.1 -89.01 -63.03 -71.06 -75.08 -47.08 -21.09 -33.02
0.095 -69.05 -57.13 -44.07 -73.07 -71.06 -70.06 -69.05 -85.12 -100.1 -75.08 -49.09 -57.13 -68.05 -45.07 -21.09 -38.04
0.1 -48.09 -35.03 -24.11 -55.12 -51.1 -48.09 -53.11 -63.03 -80.1 -59.01 -37.04 -43.06 -56.12 -36.03 -21.09 -38.04
