    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1
0 13.99 22.91 13.99 7.899 -2.031 -17.04 23.92 29.9 0.9028 -17.04 51.91 79.9 25.96 -5.078 83.96 53.94
0.005 9.931 26.97 23.92 5.981 -3.047 -19.07 31.94 23.92 -1.016 -17.04 39.95 77.98 25.96 -3.047 79.9 53.94
0.01 11.96 32.95 33.97 9.931 -2.031 -9.028 37.92 23.92 1.918 -7.109 36 75.95 29.9 3.95 73.92 51.91
0.015 17.94 36.9 37.92 13.99 9.931 1.918 37.92 25.96 15.91 7.899 36 65.9 36 19.97 57.89 43.9
0.02 23.92 36.9 33.97 15.91 25.96 17.94 27.99 21.89 29.9 25.96 33.97 45.93 37.92 33.97 31.94 25.96
0.025 27.99 32.95 23.92 11.96 36 27.99 9.931 11.96 33.97 39.95 19.97 15.91 31.94 39.95 0.9028 1.918
0.03 27.99 22.91 9.931 5.981 36 31.94 -5.078 1.918 33.97 45.93 -2.031 -9.028 19.97 39.95 -33.06 -19.07
0.035 25.96 12.98 0 0 29.9 29.9 -17.04 -3.047 27.99 39.95 -21.1 -31.03 7.899 36 -57.1 -39.05
0.04 19.97 6.997 -3.047 -2.031 23.92 25.96 -21.1 -5.078 23.92 29.9 -37.01 -38.03 -1.016 27.99 -64.1 -46.04
0.045 15.91 4.965 -7.109 0.9028 17.94 21.89 -17.04 -3.047 17.94 17.94 -41.08 -37.01 -3.047 21.89 -61.05 -43.11
0.05 11.96 4.965 -8.012 -1.016 15.91 13.99 -10.04 0 11.96 10.95 -33.06 -30.02 -4.063 20.99 -48.07 -32.05
0.055 9.931 4.965 -8.012 -1.016 16.93 6.997 -6.094 0 5.981 6.997 -18.06 -24.04 -6.094 20.99 -38.03 -22.01
0.06 5.981 0.9028 -7.109 0.9028 11.96 -2.031 -3.047 -1.016 0.9028 1.918 -3.047 -21.1 -9.028 21.89 -29 -15.01
0.065 -1.016 0.9028 -4.063 -2.031 2.934 -2.031 0 -4.063 -5.078 -1.016 6.997 -20.09 -12.07 22.91 -20.09 -10.04
0.07 -6.094 -9.028 -2.031 -8.012 -4.063 -6.094 1.918 -6.094 -9.028 -2.031 16.93 -20.09 -16.02 16.93 -10.04 -3.047
0.075 -19.07 -19.07 -1.016 -17.04 -17.04 -9.028 0 -11.06 -15.01 -9.028 15.91 -15.01 -19.07 7.899 -2.031 0.9028
0.08 -24.04 -17.04 0.9028 -19.07 -24.04 -10.04 3.95 -12.07 -15.01 -11.06 14.9 0.9028 -13.09 4.965 19.97 9.931
0.085 -30.02 -13.09 -1.016 -25.05 -27.08 -16.02 9.931 -13.09 -17.04 -9.028 10.95 11.96 0 3.95 39.95 24.94
0.09 -31.03 -7.109 -1.016 -23.02 -27.08 -23.02 9.931 -13.09 -19.07 -3.047 11.96 27.99 9.931 7.899 53.94 39.95
0.095 -29 -1.016 1.918 -20.09 -23.02 -25.05 6.997 -14.11 -16.02 -1.016 17.94 41.98 23.92 12.98 63.98 49.99
0.1 -29 0.9028 1.918 -15.01 -18.06 -24.04 0.9028 -14.11 -14.11 3.95 28.89 46.94 28.89 12.98 62.97 46.94
0.105 -23.02 -5.078 0.9028 -9.028 -13.09 -21.1 -1.016 -15.01 -9.028 3.95 33.97 41.98 27.99 7.899 55.97 41.98
0.11 -12.07 -5.078 -2.031 -2.031 -7.109 -13.09 0 -8.012 0.9028 11.96 36 41.98 29.9 6.997 50.89 39.95
0.115 -3.047 -3.047 7.899 3.95 -1.016 -3.047 4.965 1.918 7.899 17.94 26.97 44.91 37.92 7.899 48.98 43
0.12 0 0.9028 21.89 15.91 11.96 0 23.92 24.94 23.92 29.9 17.94 50.89 52.93 16.93 48.98 40.96
0.125 5.981 12.98 31.94 25.96 22.91 7.899 36.9 41.98 36 29.9 4.965 54.96 59.92 17.94 44.91 34.98
