    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01 30.01
0 -8.266 -2.55 -0.8354 -0.3517 -1.979 -4.265 -3.298 -7.035 -5.364 -2.286 -7.386 -8.881 -10.73 -8.442 -6.507 -10.64
0.005 -10.82 -5.408 -3.254 -3.473 -4.792 -7.914 -8.486 -14.25 -10.82 -4.045 -11.26 -15.65 -19.43 -16 -11.34 -19.96
0.01 -10.29 -7.694 -5.232 -5.892 -4.704 -9.761 -11.7 -18.2 -13.98 -4.485 -12.66 -19.26 -24.53 -21.1 -14.42 -25.94
0.015 -6.067 -7.255 -5.76 -6.155 -1.143 -8.354 -10.99 -15.7 -12.4 -3.517 -10.46 -16.88 -21.72 -20.49 -13.54 -24.45
0.02 -1.583 -4.353 -4.968 -4.573 2.682 -5.1 -7.43 -8.881 -7.914 -2.462 -6.595 -10.9 -13.45 -15.21 -9.761 -16.97
0.025 -0.5276 -1.099 -4.001 -3.034 2.462 -2.946 -4.309 -3.517 -4.836 -2.902 -4.485 -6.507 -6.771 -10.2 -6.859 -9.936
0.03 -2.022 0.8354 -3.122 -2.242 -2.242 -2.77 -2.858 -1.231 -4.221 -4.66 -4.748 -5.276 -4.133 -7.474 -6.507 -6.507
0.035 -2.55 1.055 -1.759 -1.759 -7.87 -2.858 -1.715 0.1759 -3.605 -6.331 -5.364 -4.221 -2.55 -5.716 -7.035 -4.748
0.04 -1.319 -0.2198 -0.5716 -1.627 -10.55 -2.198 -0.4397 1.803 -1.979 -7.386 -5.1 -2.198 -0.7914 -4.133 -6.771 -3.517
0.045 0.4397 -1.715 -0.6595 -2.154 -9.409 -0.8793 0.4397 2.506 -0.5716 -7.386 -4.309 -0.2638 -0.2638 -3.429 -5.012 -2.814
0.05 2.11 -1.143 -1.539 -2.33 -5.408 1.143 1.407 2.814 0.6595 -6.155 -2.55 2.286 0.4397 -2.286 -0.5276 -1.143
0.055 3.341 2.462 -1.627 -0.7035 -0.6155 4.045 3.298 4.089 2.55 -3.517 1.407 7.386 4.133 1.319 6.859 3.254
0.06 3.166 7.035 -0.3517 2.198 2.55 6.771 5.276 5.364 4.265 0.4397 6.947 14.07 9.409 6.243 14.6 8.793
0.065 1.935 9.673 1.231 4.089 3.429 8.53 5.936 5.056 4.704 5.54 12.84 19.52 12.84 10.02 19.79 12.4
0.07 2.286 9.541 2.242 3.781 3.869 9.629 4.836 3.869 4.792 11.08 18.2 22.86 13.89 12.05 21.98 14.07
0.075 5.364 7.694 1.935 1.319 5.716 10.55 2.814 2.946 5.452 15.04 21.9 24.01 14.42 13.37 22.69 15.3
0.08 9.497 5.496 0.04397 -2.506 8.266 10.73 0.3078 1.187 5.1 15.56 21.81 21.72 13.1 13.01 21.81 15.21
0.085 12.93 4.089 -2.374 -5.892 9.673 9.805 -1.803 -1.891 2.242 12.84 17.67 15.56 8.178 10.29 18.73 12.13
0.09 15.56 4.397 -2.946 -6.463 9.277 8.705 -1.803 -4.001 -1.275 8.881 11.78 8.442 1.671 6.507 13.54 6.683
0.095 17.15 6.023 -0.4397 -2.99 7.65 8.002 0.7474 -2.946 -2.55 5.54 6.419 3.341 -2.99 3.254 7.123 1.055
0.1 16.53 7.079 3.341 1.979 4.968 6.771 3.254 -0.2638 -1.715 3.341 2.198 -0.5276 -6.595 0.3517 -0.08793 -4.66
0.105 13.19 6.243 4.968 4.529 1.187 3.385 2.462 0.7914 -0.8354 1.495 -1.935 -5.452 -10.73 -2.99 -7.211 -10.2
0.11 8.002 3.166 2.55 2.77 -3.605 -2.726 -2.242 -1.011 -1.363 -1.143 -6.419 -11.34 -14.6 -6.067 -12.4 -13.72
0.115 1.407 -1.319 -3.254 -2.33 -8.881 -10.24 -9.145 -5.012 -3.166 -4.924 -10.73 -16.27 -15.39 -7.123 -14.51 -13.89
0.12 -5.979 -6.331 -9.761 -8.178 -13.45 -16.53 -15.12 -9.145 -5.452 -8.178 -13.45 -18.29 -12.84 -6.067 -14.33 -11.08
0.125 -12.13 -10.33 -13.76 -11.96 -15.39 -18.77 -17.76 -11.12 -6.551 -8.354 -13.1 -16.53 -8.266 -3.341 -13.19 -6.595
0.13 -14.77 -11.91 -13.67 -11.87 -13.23 -15.92 -16.18 -9.629 -5.1 -4.924 -9.585 -11.7 -2.726 0.08793 -11.61 -1.407
0.135 -13.89 -10.55 -9.98 -7.914 -7.914 -9.717 -11.78 -5.848 -1.627 -0.7035 -4.924 -5.979 2.198 2.726 -10.11 2.902
0.14 -10.55 -7.079 -4.836 -2.55 -2.11 -3.341 -6.727 -2.682 0.7474 1.231 -1.935 -2.638 3.693 2.726 -8.793 4.133
0.145 -5.364 -3.166 -0.08793 1.407 1.759 1.055 -2.198 -1.715 0.08793 0.08793 -1.495 -2.55 0.7035 -0.3517 -7.738 1.583
0.15 0.8793 0.04397 3.781 3.078 3.341 3.737 2.286 -1.539 -2.55 -2.902 -2.286 -3.869 -4.045 -5.012 -6.507 -2.99
0.155 6.155 2.418 7.079 3.254 3.605 5.848 7.079 -0.4836 -4.397 -5.364 -2.462 -4.133 -6.947 -8.969 -4.573 -7.035
0.16 9.057 4.529 9.805 3.298 3.957 8.134 11.52 2.022 -3.913 -4.924 -0.6155 -2.462 -6.331 -10.64 -1.847 -8.266
0.165 8.969 6.507 11.3 3.737 4.792 9.673 14.11 4.968 -1.847 -1.319 3.078 0.5276 -3.254 -9.409 1.935 -5.628
0.17 6.067 7.562 10.64 4.309 4.836 8.705 13.67 6.551 0.1759 3.078 6.771 3.166 1.143 -5.716 6.155 -0.08793
0.175 0.6155 6.287 7.826 4.617 2.594 4.529 10.02 6.243 1.275 5.188 8.09 4.924 5.979 -0.7914 10.11 6.507
0.18 -5.628 2.418 3.869 3.913 -1.451 -1.099 4.66 4.836 1.715 4.66 6.771 5.804 9.936 4.309 12.93 11.78
0.185 -9.497 -2.418 0.2198 1.847 -5.144 -5.056 -0.4836 3.649 2.418 3.078 4.045 6.243 11.96 8.354 13.89 14.33
0.19 -9.409 -5.452 -2.154 -0.4836 -6.331 -5.188 -3.869 3.034 3.825 2.022 1.319 6.243 11.78 10.29 12.57 13.89
0.195 -6.419 -4.001 -2.55 -1.143 -4.309 -1.979 -4.529 2.902 5.584 1.407 -0.3517 5.716 10.11 9.585 9.761 11.26
0.2 -1.935 1.979 -0.7474 0.5716 -0.2638 2.77 -1.891 3.254 6.947 1.143 -0.2638 5.452 7.914 7.562 6.947 8.178
0.205 2.814 9.365 2.682 3.825 3.957 6.991 3.385 4.485 7.342 1.055 1.583 5.804 5.892 5.979 5.276 6.155
0.21 6.771 13.72 6.727 6.947 6.419 9.673 9.761 6.639 7.562 0.9673 4.573 7.035 5.188 6.155 5.188 5.892
0.215 8.793 13.01 10.11 8.925 7.123 10.9 14.64 9.585 8.705 0.9673 7.65 9.057 6.771 8.354 6.155 6.947
0.22 8.881 8.749 11.39 9.277 7.123 11.3 15.78 11.91 10.46 2.11 10.29 11.34 9.497 11.26 7.474 8.53
0.225 7.211 4.221 9.277 7.606 6.991 10.64 11.91 11.39 10.51 4.66 12.31 12.66 10.82 12.66 8.266 9.321
0.23 3.517 1.935 3.737 4.177 6.023 7.826 3.913 6.947 7.255 7.123 12.66 11.87 8.969 10.99 7.474 8.002
0.235 -2.286 1.759 -3.517 0.08793 3.078 2.374 -4.924 0.2638 1.935 7.386 10.46 8.793 5.364 7.035 5.1 4.924
0.24 -8.442 1.407 -9.805 -3.561 -1.363 -4.265 -11.43 -5.584 -2.77 4.836 5.716 4.133 1.583 2.99 1.319 1.055
0.245 -12.05 -1.627 -13.01 -6.243 -5.979 -9.98 -14.03 -8.705 -4.968 0.5276 -1.143 -2.286 -2.198 0.08793 -3.781 -2.99
0.25 -12.13 -7.518 -12.71 -7.342 -9.189 -13.63 -13.72 -9.629 -4.924 -4.133 -9.233 -10.38 -6.155 -2.11 -10.11 -7.386
0.255 -10.11 -13.76 -9.893 -6.683 -10.29 -15.26 -12.44 -10.24 -4.66 -8.442 -17.15 -18.55 -10.64 -4.924 -16.62 -11.96
