    T[sec] F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
0.205 -0.8989 1.438 4.18 -2.337 -3.775 -6.067 -9.393 -8.969 -4.539 -5.1 -10.99 -9.145 -6.652 -18.88 -20.04
0.21 1.258 4.045 9.798 0.1798 -0.2697 1.888 -1.888 -0.7035 -0.9438 -0.2638 -5.452 0.6155 -0.3596 -18.34 -16
0.215 5.124 6.112 12.76 3.775 5.573 9.348 6.157 8.002 4.944 5.716 0.6155 9.057 4.944 -15.01 -9.528
0.22 9.798 9.483 12.27 8.135 12 16.22 13.39 13.85 9.888 9.761 5.012 14.68 7.73 -10.16 -0.4494
0.225 13.93 14.16 9.213 12.67 16.63 22.2 19.46 14.99 10.97 10.2 7.474 17.76 8.449 -4.944 10.61
0.23 15.82 17.71 4.764 15.51 17.3 26.29 23.01 11.78 8.854 8.354 9.145 19.35 8.629 0.7191 21.12
0.235 14.38 17.66 1.438 14.92 14.29 27.01 23.6 7.211 6.607 8.178 12.49 21.19 9.798 7.91 29.84
0.24 10.61 14.25 1.573 11.42 10.65 25.17 22.02 4.836 8.404 12.49 19.08 24.01 12.4 18.07 36.76
0.245 6.652 10.07 4.944 7.371 8.719 22.29 19.51 5.452 13.84 19.79 26.29 26.12 14.92 28.94 40.81
0.25 4.584 6.787 8.854 4.18 8.27 18.97 16.36 6.375 17.66 24.09 28.67 24.53 14.83 35.87 39.73
0.255 4.674 4.539 9.843 1.348 6.472 14.83 12.4 4.704 14.02 20.14 23.39 18.47 11.51 36.22 33.53
0.26 5.213 2.292 7.146 -1.933 1.663 9.213 7.416 0.2638 3.281 8.793 13.19 9.936 7.101 31.91 24.27
0.265 3.865 -1.393 1.528 -5.438 -5.034 1.169 0.4045 -4.397 -8.09 -4.045 2.99 0.9673 3.146 26.52 13.75
0.27 -0.5393 -7.461 -6.742 -8.584 -10.74 -9.258 -9.348 -7.167 -12.9 -11.43 -3.781 -8.266 -0.6292 21.48 2.067
0.275 -7.191 -14.47 -16.04 -10.16 -13.39 -19.91 -20.09 -7.079 -9.303 -11.17 -7.123 -17.59 -5.753 16.27 -10.25
0.28 -13.03 -19.28 -23.37 -9.124 -12.22 -27.01 -28.18 -4.88 -1.528 -6.595 -8.617 -25.41 -11.96 9.708 -20.94
0.285 -14.47 -19.64 -24.99 -5.438 -8.36 -27.87 -30.16 -2.726 3.775 -2.902 -10.11 -29.28 -16.81 0.9888 -28.22
0.29 -10.07 -16.13 -20.54 -0.809 -3.955 -22.61 -25.57 -2.154 2.966 -3.078 -11.78 -27.26 -17.53 -9.258 -31.01
0.295 -1.708 -10.7 -12.63 2.517 -0.7191 -14.07 -16.45 -3.034 -1.843 -5.979 -12.13 -19.79 -13.57 -18.7 -29.84
0.3 6.562 -4.36 -3.865 3.101 1.213 -5.618 -6.337 -3.122 -5.888 -8.617 -10.38 -9.849 -6.921 -25.17 -26.97
