    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 23.01 23.01 23.01 23.01 23.01 23.01 23.01 23.01 22.01 23.01 22.01 22.01 22.01 23.01 23.01 23.01
0 4.045 -2.697 -2.831 -3.685 3.551 0.5843 2.112 3.416 5.589 -2.067 3.353 -3.009 1.72 4.494 2.427 3.056
0.005 3.596 -4.09 2.966 2.022 0.809 -7.416 -0.4494 5.034 8.211 -3.326 -1.462 -7.05 2.837 5.663 -0.7191 2.876
0.01 2.337 -4.135 10.29 9.663 -3.146 -15.64 -4.764 4.494 6.663 -6.472 -6.277 -9.458 0.5159 3.146 -3.236 0.08989
0.015 0.809 -2.022 15.37 15.6 -5.213 -17.39 -6.966 1.888 1.419 -8.18 -6.964 -8.856 -2.923 -1.169 -3.775 -3.236
0.02 0.1798 1.708 15.15 16.27 -2.921 -8.539 -3.596 -1.393 -4.127 -5.034 -1.376 -5.761 -4.041 -3.236 -1.438 -4.404
0.025 -0.2697 4.629 9.528 11.15 2.382 6.202 3.865 -3.506 -6.405 1.438 7.394 -1.806 -1.806 -2.157 1.798 -3.236
0.03 -1.348 4.539 1.753 3.596 6.562 17.35 10.52 -3.281 -3.955 6.202 13.58 1.462 1.806 0.5393 3.506 -1.258
0.035 -2.427 1.258 -3.955 -1.978 7.056 19.55 12.85 -0.6742 1.204 6.831 14.1 3.697 5.245 3.326 2.876 0.6292
0.04 -2.067 -3.326 -5.933 -3.865 4.315 13.66 10.52 3.506 5.847 5.034 9.974 4.643 7.996 5.933 1.258 2.517
0.045 -0.5393 -7.551 -4.764 -2.966 0.1348 3.236 4.719 7.685 8.082 2.876 3.525 3.611 9.544 7.371 -0.1798 3.685
0.05 0.3596 -9.708 -2.652 -1.213 -3.64 -7.191 -2.022 10.52 8.426 1.258 -3.009 0.8598 9.716 7.461 -1.438 3.685
0.055 0.1798 -9.348 -1.573 -0.5393 -5.303 -13.21 -6.966 11.33 8.469 1.169 -7.91 -3.181 9.286 7.82 -2.876 3.685
0.06 -1.888 -7.685 -2.517 -1.708 -4.764 -13.84 -9.034 9.978 8.383 2.427 -10.4 -7.91 8.598 9.348 -4.584 4.494
0.065 -5.753 -7.281 -4.764 -4 -3.82 -12.18 -10.11 6.517 6.749 3.056 -11.26 -11.87 6.448 10.61 -6.112 5.393
0.07 -9.978 -9.348 -6.742 -5.663 -4.225 -11.01 -11.46 1.663 2.708 2.517 -11.09 -13.15 2.665 10.07 -6.472 5.483
0.075 -11.6 -12.36 -6.697 -5.348 -5.393 -9.888 -11.87 -2.787 -2.235 2.697 -9.114 -10.92 -0.6019 7.91 -4.854 5.213
0.08 -8.09 -13.57 -4.09 -3.146 -5.798 -7.551 -9.933 -5.079 -5.159 5.753 -4.987 -6.362 -1.548 5.393 -1.169 4.764
0.085 -0.4494 -10.97 0.5393 0.3596 -4.674 -4.854 -6.652 -4.674 -4.385 10.34 -0.3439 -2.149 -0.5159 3.146 2.607 3.775
0.09 8.719 -4.135 5.708 4.315 -2.562 -2.921 -3.056 -2.112 -1.333 13.48 3.009 0.3439 1.118 1.618 4.404 2.607
0.095 16.27 5.618 9.483 7.416 0.2247 -0.7191 1.124 1.393 0.4729 14.2 5.073 1.29 2.837 1.708 3.596 2.607
0.1 19.6 15.1 10.16 8.09 3.371 3.056 6.112 4.27 -1.634 13.75 6.706 1.806 4.385 2.787 1.708 4.045
0.105 17.89 21.03 7.281 5.708 6.247 8.18 11.01 5.483 -6.577 13.39 8.426 2.751 5.589 3.596 0.4494 5.663
0.11 12.94 21.75 2.472 1.663 7.955 12.99 13.98 4.584 -10.62 14.02 9.2 4.213 6.448 3.416 0.8989 6.292
0.115 7.551 17.57 -1.753 -1.438 7.685 14.97 13.48 2.112 -10.06 15.19 7.738 4.901 6.362 2.697 2.517 5.483
0.12 3.236 9.933 -3.596 -1.933 5.213 11.96 8.315 -1.708 -5.546 15.55 3.353 3.439 3.869 1.618 4.315 2.787
0.125 -0.5393 1.079 -3.056 -0.1348 1.258 4.449 -0.8539 -6.472 -0.9028 14.2 -2.493 0.08598 -2.149 -0.6292 5.213 -1.438
0.13 -4.225 -6.292 -1.618 1.978 -2.562 -3.685 -9.978 -10.79 0.3439 11.33 -7.652 -3.009 -9.63 -3.416 4.764 -5.483
0.135 -7.551 -9.618 -0.8539 2.427 -4.764 -8.36 -14.07 -12.63 -1.548 8.18 -10.49 -3.783 -14.7 -6.202 2.607 -7.82
0.14 -8.899 -7.955 -1.753 0.4045 -4.854 -8.629 -11.91 -10.7 -3.396 4.854 -11.87 -2.579 -15.13 -8 -1.258 -8.18
0.145 -7.011 -2.382 -4.135 -3.416 -4 -7.056 -6.517 -5.618 -2.278 0.6292 -13.5 -1.72 -11.35 -8.27 -6.112 -7.281
0.15 -2.067 3.955 -6.787 -6.742 -3.91 -6.831 -1.798 0.4494 1.72 -4.584 -16.42 -2.751 -5.417 -6.112 -10.7 -5.124
0.155 3.146 7.685 -7.82 -7.461 -5.618 -8.854 0.4944 5.213 5.976 -9.438 -19.43 -5.417 0.08598 -2.337 -13.3 -1.888
0.16 4.944 6.742 -6.247 -5.438 -8 -10.79 0.6292 6.966 7.48 -11.06 -19.17 -7.48 3.439 1.079 -12.67 1.258
0.165 1.708 1.528 -2.562 -2.337 -8.764 -8.764 0.1348 5.663 5.632 -7.281 -13.67 -6.362 4.643 2.787 -8.539 3.685
0.17 -5.034 -4.944 1.483 -0.1348 -6.382 -1.888 0.3596 3.056 2.751 0.6292 -4.299 -1.376 5.331 3.326 -2.787 5.034
0.175 -10.97 -9.169 4.36 0.5843 -1.708 6.607 1.169 1.393 1.677 8.09 4.471 5.073 6.105 3.596 1.528 5.573
0.18 -12.31 -9.079 4.989 -0.1798 3.461 11.78 1.303 1.303 2.923 11.06 8.426 9.114 6.105 4.315 2.787 5.303
0.185 -8.539 -5.124 3.191 -1.888 7.056 11.64 0.3596 1.888 4.299 8.449 7.222 8.942 4.987 5.573 1.618 5.034
0.19 -2.067 0.3596 0.3146 -3.775 7.82 7.64 -0.04494 1.798 3.783 2.966 3.095 5.933 3.009 6.292 -0.1798 5.483
0.195 3.326 4.539 -1.528 -4.404 5.573 3.101 1.753 0.6742 1.505 -2.247 -1.204 2.923 1.204 4.764 -1.618 5.753
0.2 5.124 5.708 -1.258 -3.371 1.708 0.3596 5.348 -1.573 -0.9888 -5.034 -3.525 1.72 -0.4299 0.4494 -2.337 4.315
0.205 4.045 4.09 0.5393 -1.483 -1.393 0.2697 8.225 -4.719 -2.579 -4.944 -3.267 1.892 -2.321 -5.303 -1.888 0.809
0.21 2.697 1.573 2.517 0.2247 -2.472 1.663 8.719 -7.955 -3.138 -3.596 -1.29 2.064 -4.557 -9.169 -0.9888 -2.966
0.215 2.966 0.2697 3.865 1.573 -1.438 2.652 7.281 -10.25 -3.31 -2.876 1.118 1.204 -6.362 -9.708 0 -4.944
0.22 4.944 1.258 4.494 2.787 0.8539 3.101 5.798 -10.88 -3.525 -3.146 3.439 -0.6019 -6.706 -7.371 0.7191 -4.225
0.225 7.101 3.775 4.809 3.865 3.326 3.461 5.618 -9.438 -3.181 -3.506 5.417 -1.892 -4.901 -4.225 1.258 -1.618
0.23 7.64 5.663 5.034 5.169 3.955 3.461 6.921 -5.753 -1.419 -3.865 6.277 -1.72 -1.032 -2.067 1.348 0.9888
0.235 5.663 4.944 5.303 6.607 1.753 1.888 8.36 -0.4944 1.634 -4.944 4.901 0.172 3.439 -1.798 0.8989 1.978
0.24 1.888 1.213 4.944 7.056 -2.247 -1.124 8.18 4.719 3.869 -6.382 2.321 2.321 6.792 -2.697 0.8989 1.169
0.245 -2.157 -3.91 2.966 4.989 -5.213 -3.685 6.112 7.73 2.493 -6.831 1.032 3.869 8.426 -2.787 2.517 0.2697
0.25 -5.303 -8.27 -0.6742 0.4045 -5.303 -3.371 3.461 7.506 -2.923 -5.393 2.149 4.729 9.286 -1.079 5.663 1.438
0.255 -6.921 -9.978 -4.674 -4.899 -2.876 -0.1798 2.022 4.944 -9.673 -2.966 4.385 4.729 10.23 1.258 7.91 4.135
0.26 -7.191 -9.124 -7.64 -8.584 0.3596 4.045 1.798 1.753 -13.89 -1.528 5.589 3.353 10.83 2.427 6.742 6.112
0.265 -6.292 -7.056 -8.809 -9.933 2.562 6.562 1.258 -0.8539 -13.41 -2.337 4.127 0 9.974 1.079 1.708 4.854
0.27 -4.225 -5.213 -8.225 -9.303 2.292 5.708 -0.5843 -2.472 -8.899 -5.483 0 -4.557 7.308 -1.888 -5.034 0.809
0.275 -1.258 -3.91 -5.843 -7.551 -0.04494 2.112 -3.236 -3.101 -3.009 -9.528 -4.815 -8.856 4.299 -4.944 -10.52 -4.225
0.28 1.888 -2.337 -2.292 -5.573 -2.427 -1.753 -5.573 -3.461 1.247 -11.42 -7.652 -11.35 2.493 -6.742 -12.13 -7.91
0.285 4.674 0.9438 1.169 -3.91 -2.876 -3.416 -6.966 -3.955 2.708 -9.528 -7.05 -11.61 2.665 -7.011 -9.438 -9.258
0.29 6.292 5.708 3.461 -2.472 -1.258 -2.247 -6.921 -4.629 2.235 -4.944 -3.697 -9.802 4.385 -6.202 -4.764 -8.449
0.295 6.472 10.29 3.955 -0.8989 0.8989 0.2697 -5.483 -4.989 1.591 -0.3596 -0.172 -7.136 6.448 -5.213 -1.258 -6.652
0.3 4.404 12.22 2.472 0.3146 2.112 2.472 -3.685 -5.393 1.591 2.247 2.321 -4.815 7.48 -4.674 0.08989 -5.034
