    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1 208.1
0 28.96 11.99 11.99 11.99 17.99 -9.043 25.91 -2.032 -1.016 -5.081 13.92 -23.07 13.92 0 7.926 5.995
0.005 4.979 -2.032 -6.097 -5.081 0.9145 -22.05 11.99 -6.097 -12.09 -14.02 -3.048 -24.08 1.931 -4.064 -4.064 1.931
0.01 -1.016 -10.06 -12.09 -12.09 1.931 -32.01 10.97 -6.097 -29.06 -23.07 -15.04 -32.01 5.995 0 1.931 -3.048
0.015 -7.011 -25.1 -17.07 -19 -12.09 -43.08 2.947 -19 -24.08 -14.02 -18.09 -41.05 -6.097 -2.032 -9.043 0.9145
0.02 -21.03 -39.02 -25.1 -28.04 -24.08 -36.07 0.9145 -29.06 -15.04 -17.07 -18.09 -36.07 -24.08 -11.08 -17.07 -1.016
0.025 -13.01 -34.04 -12.09 -17.07 -13.01 -29.06 1.931 -22.05 -16.05 -24.08 -17.07 -41.05 -17.07 -15.04 -6.097 -1.016
0.03 2.947 -20.02 2.947 0 -5.081 -29.06 4.979 -23.07 -13.01 -19 -12.09 -36.07 -14.02 -7.011 -15.04 7.926
0.035 14.94 -3.048 23.98 12.9 -1.016 -21.03 0.9145 -23.07 -9.043 -15.04 -5.081 -19 -5.081 0 -15.04 25
0.04 28.96 7.926 41.97 21.95 9.958 -5.081 3.963 -13.01 -5.081 -11.08 11.99 -15.04 7.926 3.963 0.9145 11.99
0.045 26.93 4.979 44.91 13.92 27.94 0 17.99 -2.032 2.947 2.947 29.98 -12.09 13.92 5.995 8.942 9.958
0.05 22.96 0 39.93 7.926 36.99 0.9145 36.99 5.995 20.93 27.94 28.96 3.963 30.99 0.9145 31.91 7.926
0.055 25 8.942 36.99 17.99 53.96 9.958 63.91 34.95 33.94 47.96 14.94 15.95 42.98 0.9145 58.94 0
0.06 34.95 23.98 39.93 40.95 67.98 19.92 80.98 63.91 44 59.95 3.963 17.99 35.97 21.95 53.96 8.942
0.065 42.98 44 49.99 59.95 60.97 36.99 78.95 69.91 50.91 49.99 -1.016 25 34.95 42.98 41.97 29.98
