    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1
0 34.98 -4.006 -10.06 -18.08 -26.09 -36.05 -20.03 -18.08 -54.03 -57.06 1.954 -31.07 7.914 -45.04 -14.07 -32.05
0.005 24.91 -7.035 -10.06 -28.04 -37.03 -45.04 -46.02 -22.08 -17 -55.01 12.99 -27.06 19.93 -81.09 -6.058 -32.05
0.01 20.91 3.908 -2.052 -17 -27.06 -41.04 -25.01 -12.02 -25.01 -41.04 23.94 -21.01 3.908 -37.03 0.977 -21.01
0.015 26.97 4.983 4.983 -12.02 -6.058 -34 -2.052 -20.03 -56.08 -45.04 19.93 -15.05 -1.075 -17 -2.052 -12.02
0.02 18.95 -1.075 2.931 -20.03 -7.035 -27.06 -20.03 -25.01 -81.09 -49.05 22.96 -11.04 5.96 -33.02 -16.02 -8.012
0.025 38.98 5.96 18.95 -6.058 1.954 -14.07 -7.035 -4.006 -76.01 -37.03 47 -14.07 12.99 -9.086 -16.02 -1.075
0.03 52.96 5.96 31.95 0.977 7.914 -9.086 -1.075 9.966 -43.09 -38.01 38.98 -20.03 3.908 -10.06 -17 -7.035
0.035 12.99 -6.058 19.93 -8.012 2.931 -15.05 -16.02 7.914 -27.06 -47.09 11.92 -34 4.983 -37.03 -23.06 -16.02
0.04 0.977 -14.07 23.94 -9.086 9.966 -20.03 4.983 7.914 -48.07 -38.01 20.91 -35.08 13.97 -20.03 -7.035 -14.07
0.045 10.94 -29.02 30.97 -5.081 31.95 -10.06 36.93 13.97 -56.08 -35.08 11.92 -24.04 22.96 -13.09 4.983 -2.052
0.05 -15.05 -56.08 14.95 -14.07 31.95 0.977 24.91 16.9 -37.03 -36.05 0.977 -23.06 24.91 -24.04 1.954 9.966
0.055 -21.01 -63.02 2.931 -18.08 15.93 -10.06 13.97 19.93 -28.04 -33.02 20.91 -10.06 30.97 -15.05 6.937 21.98
0.06 -17 -61.06 -7.035 -18.08 5.96 -18.08 7.914 21.98 -36.05 -37.03 0 -1.075 14.95 -5.081 1.954 30.97
0.065 -65.07 -66.05 -39.08 -28.04 -14.07 -25.01 -12.02 15.93 -57.06 -27.06 -44.06 -11.04 -10.06 0 -18.08 37.91
0.07 -89.01 -65.07 -57.06 -35.08 -44.06 -39.08 -25.01 5.96 -76.01 2.931 -39.08 0 -10.06 -1.075 -16.02 32.93
0.075 -71.03 -48.07 -55.01 -28.04 -44.06 -27.06 -22.08 13.97 -69.08 7.914 -50.02 0 -24.04 -8.012 -14.07 30
0.08 -67.02 -33.02 -47.09 -24.04 -41.04 -18.08 -23.06 25.99 -56.08 -13.09 -62.04 -5.081 -46.02 -5.081 -25.01 24.91
0.085 -47.09 -25.01 -32.05 -28.04 -39.08 -26.09 -21.01 15.93 -64.09 -21.01 -26.09 1.954 -22.08 -9.086 -32.05 5.96
0.09 -7.035 -12.02 -12.02 -26.09 -7.035 -17 -2.052 20.91 -85 -38.01 -10.06 -5.081 -4.006 -8.012 -31.07 0
0.095 4.983 0 4.983 -11.04 15.93 -6.058 12.99 35.96 -84.03 -49.05 -1.075 -10.06 -1.075 5.96 -20.03 12.99
0.1 0.977 -1.075 9.966 -1.075 15.93 0 8.989 21.98 -76.01 -28.04 20.91 -1.075 21.98 -1.075 -1.075 14.95
0.105 0.977 -2.052 1.954 -14.07 10.94 1.954 1.954 25.99 -67.02 -31.07 3.908 -14.07 0 -31.07 0.977 8.989
0.11 2.931 3.908 -7.035 -12.02 -2.052 -7.035 -3.029 37.91 -49.05 -36.05 -12.02 -16.02 -31.07 -28.04 -9.086 15.93
0.115 2.931 7.914 -20.03 -14.07 -19.05 -20.03 0.977 32.93 -50.02 -7.035 -10.06 -2.052 -20.03 -29.02 -18.08 17.98
0.12 4.983 11.92 -26.09 -20.03 -27.06 -23.06 -6.058 23.94 -53.05 0.977 -6.058 -17 -21.01 -37.03 -16.02 14.95
0.125 34.98 28.92 -14.07 -4.006 -18.08 -28.04 -8.012 18.95 -42.01 -33.02 1.954 -13.09 -7.035 -7.035 0 10.94
0.13 32.93 31.95 -9.086 0.977 -21.01 -31.07 -17 -2.052 -59.01 -53.05 9.966 -9.086 7.914 -5.081 -1.075 -2.052
0.135 8.989 21.98 -12.02 -10.06 -21.01 -29.02 -28.04 -24.04 -75.04 -73.08 6.937 -19.05 3.908 -35.08 -4.006 -12.02
0.14 8.989 22.96 0 0 -4.006 -36.05 -16.02 -12.02 -54.03 -75.04 3.908 -7.035 1.954 -19.05 0 -8.012
0.145 8.989 22.96 5.96 0 4.983 -18.08 3.908 11.92 -36.05 -43.09 7.914 -7.035 0 -13.09 -7.035 -9.086
0.15 0.977 5.96 11.92 -9.086 15.93 -5.081 11.92 19.93 -25.01 -25.01 13.97 -27.06 -3.029 -29.02 -3.029 -23.06
0.155 14.95 0.977 13.97 -9.086 23.94 -13.09 9.966 20.91 -9.086 -9.086 19.93 -31.07 9.966 -19.05 3.908 -25.01
0.16 4.983 -14.07 8.989 -16.02 10.94 -13.09 12.99 24.91 -27.06 7.914 8.989 -33.02 19.93 -31.07 1.954 -12.02
0.165 -15.05 -40.06 -2.052 -33.02 -4.006 -14.07 5.96 15.93 -38.01 7.914 5.96 -31.07 21.98 -43.09 1.954 0
0.17 -7.035 -54.03 0.977 -26.09 -4.006 -26.09 2.931 17.98 -12.02 11.92 8.989 -29.02 21.98 -11.04 22.96 28.92
