    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
0.205 -1.04 5.978 -10.01 8.966 0.9746 -5.003 -5.003 0.9746 -15.01 -2.014 -11.05 0.9746 -10.01 -2.014 9.941 -3.054
0.21 10.98 11.96 -2.014 18 15.98 0.9746 5.978 0 -9.031 0.9746 -5.003 0 -1.04 0 11.96 -5.003
0.215 16.96 13.97 8.966 28.98 21.96 5.978 15.98 1.949 -3.054 -3.054 -3.054 7.992 0.9746 1.949 5.978 -7.017
0.22 18.97 11.96 14.94 30.99 21.96 13.97 15.98 0 -1.04 -5.003 -3.054 18 -1.04 5.978 -2.014 -5.003
0.225 16.96 9.941 19.95 23.98 11.96 19.95 7.992 0.9746 -1.04 -3.054 -1.04 25.99 0.9746 13.97 -5.003 0.9746
0.23 16.96 9.941 25.99 15.98 4.938 19.95 0.9746 -1.04 -2.014 -1.04 0.9746 25.99 -3.054 15.98 -11.05 3.963
0.235 14.94 9.941 23.98 9.941 1.949 13.97 -7.017 -3.054 -2.014 0.9746 -1.04 13.97 -7.017 11.96 -13.06 9.941
0.24 4.938 7.992 9.941 1.949 -5.003 0 -11.05 -7.017 0.9746 -3.054 -13.06 0.9746 -13.06 0 -13.06 3.963
0.245 -11.05 0 -11.05 -5.003 -9.031 -11.05 -13.06 -13.06 -3.054 -9.031 -27.03 -13.06 -21.05 -7.017 -15.01 -5.003
0.25 -35.02 -11.05 -41.06 -17.02 -15.01 -23 -15.01 -15.01 -7.017 -11.05 -39.05 -17.02 -27.03 -15.01 -17.02 -17.02
0.255 -53.02 -25.01 -61.01 -29.04 -25.01 -25.01 -15.01 -13.06 -9.031 -9.031 -41.06 -11.05 -31.06 -17.02 -21.05 -21.05
0.26 -61.01 -37.03 -59.06 -35.02 -31.06 -19.04 -17.02 -5.003 -5.003 -1.04 -33.01 -3.054 -27.03 -9.031 -21.05 -11.05
0.265 -53.02 -39.05 -37.03 -31.06 -26.05 -5.003 -17.02 -2.014 -1.04 0 -19.04 -2.014 -17.02 -3.054 -19.04 -2.014
0.27 -35.02 -33.01 -3.054 -19.04 -14.03 -2.014 -17.02 1.949 -2.014 1.949 -5.003 -1.04 -3.054 0.9746 -15.01 7.992
0.275 -15.01 -25.01 18 -5.003 -7.017 1.949 -15.01 0 -2.014 -2.014 -2.014 -7.017 -2.014 -1.04 -11.05 9.941
0.28 -3.054 -17.02 25.99 0 1.949 -1.04 -11.05 -3.054 0.9746 -3.054 3.963 -11.05 -2.014 -5.003 -7.017 1.949
0.285 -1.04 -15.01 18 -1.04 0 1.949 -7.017 -9.031 1.949 -7.017 1.949 -11.05 0.9746 -9.031 -5.003 -1.04
0.29 -5.003 -17.02 1.949 -3.054 -1.04 -1.04 -3.054 -9.031 -2.014 -5.003 0.9746 -7.017 -3.054 -9.031 -5.003 -5.003
0.295 -13.06 -25.01 -8.057 -12.02 -6.043 -1.04 -1.04 -2.014 0.9746 -2.014 -9.031 -5.003 -7.017 -3.054 -7.017 -3.054
0.3 -19.04 -31.06 -16.05 -20.01 -10.01 3.963 -1.04 -1.04 0.9746 -2.014 -16.05 -5.003 -7.017 0.9746 -13.06 -3.054
0.305 -21.05 -35.02 -15.01 -23 -11.05 -2.014 -7.017 -2.014 0.9746 -5.003 -21.05 -7.017 -7.017 -1.04 -19.04 -5.003
0.31 -21.05 -36.06 -8.057 -24.04 -15.01 -7.017 -15.01 -4.028 1.949 -8.057 -16.05 -11.05 -7.017 -10.01 -22.03 -8.057
0.315 -21.05 -38.01 -6.043 -28 -18.06 -19.04 -25.01 -20.01 0.9746 -12.02 -10.01 -15.01 -9.031 -26.05 -22.03 -8.057
0.32 -23 -45.03 -9.031 -35.02 -27.03 -29.04 -33.01 -31.06 1.949 -15.01 -2.014 -23 -9.031 -41.06 -17.02 -7.017
0.325 -23 -48.02 -5.003 -39.05 -28 -29.04 -31.06 -37.03 9.941 -11.05 10.98 -28 -7.017 -44.05 -6.043 -4.028
0.33 -21.05 -54.06 -1.04 -45.03 -29.04 -31.06 -29.04 -39.05 16.96 -9.031 19.95 -36.06 -1.04 -40.02 0 -10.01
0.335 -19.04 -53.02 -1.04 -47.04 -27.03 -31.06 -25.01 -35.02 15.98 -15.01 19.95 -37.03 0.9746 -33.01 0.9746 -19.04
0.34 -17.02 -41.06 0 -43.01 -22.03 -37.03 -23 -34.05 11.96 -20.01 18 -36.06 0.9746 -27.03 1.949 -26.05
0.345 -17.02 -32.03 -1.04 -42.04 -19.04 -45.03 -23 -39.05 6.952 -25.01 12.99 -34.05 0.9746 -31.06 -3.054 -27.03
0.35 -19.04 -29.04 -7.017 -37.03 -13.06 -49.05 -25.01 -41.06 5.978 -29.04 5.978 -33.01 -3.054 -35.02 -5.003 -21.05
0.355 -19.04 -30.02 -6.043 -30.02 -6.043 -46 -23 -40.02 12.99 -23 1.949 -32.03 -1.04 -32.03 -2.014 -7.017
0.36 -21.05 -34.05 0 -24.04 -1.04 -33.01 -18.06 -35.02 19.95 -17.02 2.989 -30.02 0 -23 0.9746 0.9746
0.365 -15.01 -34.05 9.941 -16.05 11.96 -16.05 -8.057 -19.04 28.98 -8.057 11.96 -26.05 11.96 -15.01 10.98 0
0.37 -11.05 -30.02 20.99 -12.02 22.94 -5.003 0 -9.031 31.97 1.949 24.95 -22.03 21.96 -11.05 18.97 0.9746
