    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1
0 -11.12 -1.098 -15.1 -25.12 15.92 33.91 13.86 31.98 -31.02 55.87 -27.04 0 15.92 27.87 -15.1 19.9
0.005 -21 -13.04 -23.06 -33.08 17.98 37.89 19.9 29.93 -25.12 35.97 -17.02 0.9609 11.94 29.93 -7.001 5.903
0.01 -19.08 -19.08 -17.02 -25.12 13.86 31.98 17.98 17.98 -21 5.903 0.9609 -2.059 3.981 23.89 -1.098 -5.079
0.015 -13.04 -21 -9.06 -15.1 5.903 13.86 9.884 -2.059 -21 -17.02 3.981 0 0 9.884 0.9609 -23.06
0.02 -15.1 -21 -7.001 -11.12 0.9609 -1.098 0 -15.1 -17.02 -35 0.9609 -2.059 -2.059 -3.02 0.9609 -35
0.025 -23.06 -21 -15.1 -17.02 -7.001 -17.02 -1.098 -25.12 -7.001 -41.04 -19.08 -7.001 0 -15.1 -2.059 -41.04
0.03 -35 -21 -25.12 -31.02 -5.079 -23.06 -1.098 -29.1 3.981 -45.03 -33.08 -21 3.981 -21 3.981 -45.03
0.035 -41.04 -23.06 -24.02 -38.02 -2.059 -21 -2.059 -25.12 23.89 -51.07 -29.1 -27.04 6.864 -21 13.86 -45.03
0.04 -35 -21 -12.08 -34.04 11.94 -15.1 3.981 -21 37.89 -63.01 -3.02 -23.06 10.98 -17.02 23.89 -43.1
0.045 -21 -17.02 7.962 -19.08 19.9 -7.001 7.962 -15.1 41.87 -75.09 21.96 -5.079 7.962 -11.12 25.94 -33.08
0.05 -5.079 -7.001 30.89 0.9609 19.9 -1.098 7.962 -9.06 35.97 -77.01 41.87 13.86 6.864 -3.02 19.9 -17.02
0.055 2.883 3.981 40.91 22.92 11.94 4.942 5.903 -1.098 22.92 -61.09 40.91 33.91 4.942 1.922 9.884 0.9609
0.06 8.923 17.98 33.91 37.89 1.922 11.94 3.981 3.981 7.962 -29.1 23.89 39.95 3.981 13.86 0.9609 17.98
0.065 8.923 25.94 21.96 41.87 1.922 20.87 4.942 15.92 0 3.981 6.864 36.93 9.884 25.94 -6.04 32.95
0.07 8.923 23.89 9.884 27.87 7.962 32.95 2.883 24.98 -16.06 31.98 0.9609 22.92 7.962 33.91 -10.02 42.97
0.075 12.9 17.98 5.903 9.884 15.92 39.95 -2.059 27.87 -31.02 45.99 3.981 7.962 1.922 31.98 -13.04 41.87
0.08 18.94 17.98 12.9 0 20.87 44.89 1.922 26.91 -40.08 41.87 14.96 6.864 1.922 23.89 -14 30.89
0.085 26.91 21.96 15.92 0.9609 16.88 41.87 -2.059 14.96 -49.01 29.93 19.9 14.96 -4.118 12.9 -12.08 14.96
0.09 34.87 29.93 13.86 9.884 7.962 27.87 -3.02 1.922 -51.07 17.98 9.884 25.94 -7.001 0 -13.04 0
0.095 38.99 39.95 9.884 31.98 4.942 16.88 -1.098 0 -43.1 12.9 3.981 32.95 0 1.922 -7.001 -3.02
0.1 42.97 40.91 8.923 37.89 0.9609 6.864 0.9609 -1.098 -24.02 14.96 2.883 21.96 0 -1.098 -5.079 -3.02
0.105 34.87 27.87 11.94 19.9 -1.098 1.922 0.9609 -1.098 -5.079 17.98 7.962 0 -2.059 1.922 -3.02 -2.059
0.11 24.98 12.9 13.86 -9.06 -12.08 1.922 -4.118 1.922 5.903 21.96 11.94 -17.02 -5.079 1.922 0 3.981
0.115 6.864 0.9609 2.883 -47.09 -29.1 -5.079 -11.12 -2.059 20.87 17.98 0.9609 -31.02 -16.06 -1.098 -1.098 2.883
0.12 -5.079 -14 -17.02 -63.01 -42.01 -20.04 -13.04 -10.02 31.98 8.923 -19.08 -23.06 -21 -12.08 2.883 -1.098
0.125 -23.06 -27.04 -54.09 -53.13 -43.1 -37.06 -9.06 -16.06 36.93 1.922 -54.09 -7.001 -10.02 -23.06 10.98 0
0.13 -37.06 -36.1 -75.09 -31.02 -32.12 -50.11 -4.118 -19.08 37.89 -9.06 -75.09 5.903 0.9609 -21 16.88 -5.079
