    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1 187.1
0 -57 -24.03 -30.06 -2.01 -6.029 -1.005 -1.005 16.99 -2.01 19.91 -40.01 -14.07 -21.01 -38 -6.029 -40.01
0.005 -43.03 -16.08 -26.04 -8.039 -12.06 -2.01 -10.05 6.943 -5.024 7.948 -37.09 -30.06 -23.02 -46.04 -12.06 -42.02
0.01 -39.01 -17.08 -33.07 -21.01 -23.02 -15.07 -19 -2.01 -11.05 0 -37.09 -41.02 -25.03 -55.09 -21.01 -49.06
0.015 -47.05 -22.02 -46.04 -38 -30.06 -30.06 -25.03 -3.015 -15.07 -1.005 -49.06 -40.01 -31.06 -58.01 -28.05 -56.09
0.02 -69.06 -36.08 -66.05 -54.08 -41.02 -41.02 -29.05 -7.034 -17.08 -3.015 -67.05 -35.08 -45.04 -60.02 -32.06 -64.04
0.025 -97.02 -53.08 -85.05 -65.04 -53.08 -47.05 -37.09 -11.05 -21.01 -5.024 -85.05 -31.06 -59.01 -61.02 -43.03 -69.06
0.03 -113 -69.06 -99.03 -73.08 -65.04 -49.06 -47.05 -21.01 -27.04 -9.044 -93.09 -35.08 -71.07 -63.03 -51.07 -75
0.035 -115 -77.01 -103 -79.02 -73.08 -55.09 -59.01 -35.08 -31.06 -17.08 -93.09 -47.05 -75 -71.07 -57 -81.03
0.04 -107.1 -81.03 -101 -85.05 -79.02 -65.04 -63.03 -51.07 -35.08 -25.03 -85.05 -63.03 -73.08 -83.04 -61.02 -89.07
0.045 -97.02 -81.03 -95.01 -89.07 -77.01 -77.01 -61.02 -61.02 -37.09 -31.06 -81.03 -73.08 -69.06 -91.08 -59.01 -95.01
0.05 -95.01 -79.02 -89.07 -89.07 -71.07 -87.06 -53.08 -65.04 -41.02 -31.06 -79.02 -73.08 -65.04 -93.09 -57 -99.03
0.055 -97.02 -75 -85.05 -83.04 -65.04 -85.05 -47.05 -63.03 -45.04 -31.06 -81.03 -65.04 -67.05 -85.05 -53.08 -95.01
0.06 -97.02 -69.06 -79.02 -73.08 -61.02 -75 -43.03 -59.01 -53.08 -33.07 -81.03 -55.09 -71.07 -71.07 -55.09 -91.08
0.065 -95.01 -61.02 -75 -63.03 -59.01 -61.02 -45.04 -57 -61.02 -41.02 -79.02 -51.07 -75 -57 -59.01 -87.06
0.07 -87.06 -55.09 -73.08 -57 -63.03 -51.07 -51.07 -57 -71.07 -57 -77.01 -57 -75 -51.07 -65.04 -85.05
0.075 -83.04 -53.08 -77.01 -59.01 -67.05 -51.07 -59.01 -61.02 -81.03 -73.08 -81.03 -69.06 -75 -55.09 -71.07 -89.07
0.08 -85.05 -53.08 -87.06 -67.05 -75 -61.02 -69.06 -67.05 -89.07 -85.05 -91.08 -83.04 -77.01 -67.05 -77.01 -96.01
0.085 -95.01 -52.07 -97.02 -76.01 -81.03 -75 -75 -71.07 -97.02 -90.07 -99.03 -90.07 -83.04 -78.02 -83.04 -104.1
0.09 -101 -53.08 -103 -81.03 -87.06 -83.04 -81.03 -77.01 -101 -91.08 -99.03 -93.09 -91.08 -89.07 -87.06 -111.1
0.095 -99.03 -50.06 -98.02 -80.03 -87.06 -86.05 -85.05 -80.03 -100 -88.06 -89.07 -92.08 -93.09 -92.08 -89.07 -118
0.1 -89.07 -46.04 -88.06 -74.09 -84.04 -84.04 -87.06 -86.05 -96.01 -88.06 -76.01 -90.07 -89.07 -92.08 -87.06 -124.1
0.105 -81.03 -49.06 -79.02 -71.07 -83.04 -83.04 -87.06 -89.07 -91.08 -89.07 -71.07 -93.09 -87.06 -93.09 -87.06 -131
0.11 -77.01 -54.08 -76.01 -72.08 -80.03 -82.04 -86.05 -88.06 -90.07 -93.09 -72.08 -94 -87.06 -93.09 -87.06 -137
0.115 -85.05 -63.03 -84.04 -77.01 -80.03 -86.05 -86.05 -88.06 -92.08 -97.02 -86.05 -97.02 -93.09 -93.09 -91.08 -145.1
0.12 -105.1 -77.01 -101 -87.06 -81.03 -89.07 -89.07 -91.08 -99.03 -99.03 -103 -99.03 -101 -93.09 -97.02 -151
0.125 -121 -89.07 -108.1 -95.01 -82.04 -89.07 -86.05 -89.07 -103 -100 -106.1 -93.09 -107.1 -92.08 -99.03 -158
0.13 -131 -96.01 -115 -102 -82.04 -95.01 -86.05 -97.02 -105.1 -102 -105.1 -88.06 -104.1 -92.08 -95.01 -161.1
0.135 -137 -103 -117 -111.1 -83.04 -97.02 -85.05 -105.1 -109.1 -113 -103 -89.07 -99.03 -99.03 -89.07 -165.1
0.14 -139 -104.1 -119 -115 -85.05 -102 -86.05 -112.1 -112.1 -121 -99.03 -92.08 -96.01 -103 -83.04 -164.1
0.145 -133 -101 -124.1 -117 -89.07 -110.1 -91.08 -119 -118 -132 -102 -103 -96.01 -108.1 -83.04 -161.1
0.15 -127.1 -91.08 -125.1 -113 -89.07 -115 -101 -119 -125.1 -135 -107.1 -109.1 -99.03 -105.1 -89.07 -159
0.155 -115 -75 -116 -99.03 -85.05 -108.1 -104.1 -111.1 -130.1 -129.1 -105.1 -105.1 -100 -91.08 -97.02 -155
0.16 -97.02 -63.03 -101 -81.03 -78.02 -92.08 -102 -101 -129.1 -121 -94 -97.02 -93.09 -77.01 -101 -155
0.165 -87.06 -59.01 -85.05 -71.07 -73.08 -75 -91.08 -97.02 -123.1 -113 -81.03 -87.06 -87.06 -71.07 -101 -153
0.17 -77.01 -58.01 -73.08 -68.06 -65.04 -64.04 -78.02 -91.08 -114 -112.1 -70.07 -82.04 -79.02 -69.06 -91.08 -147.1
0.175 -75 -63.03 -70.07 -66.05 -64.04 -62.03 -69.06 -93.09 -104.1 -116 -67.05 -85.05 -77.01 -74.09 -77.01 -137
